year,co2 (ppmv)
2001.03,368.02
1998.0,361.78
1996.28,359.65
1994.41,357.11
1993.08,353.95
1992.31,353.72
1991.13,352.42
1989.97,350.81
1989.41,349.8
1988.97,349.28
1988.07,347.6
1987.21,345.44
1986.62,344.72
1986.14,343.97
1985.76,343.11
1984.92,342.05
1983.08,341.33
1983.03,339.46
1979.14,334.85
1976.8,335.55
1976.67,332.37
1975.57,332.37
1974.13,331.55
1972.09,328.42
1972.04,330.35
1970.87,326.31
1970.66,326.65
1970.64,324.91
1970.22,324.56
1969.42,324.71
1968.98,325.08
1968.81,324.09
1968.54,320.38
1966.79,320.49
1966.55,322.17
1965.87,320.98
1965.3,319.2
1965.23,319.89
1963.56,319.12
1963.2,319.07
1962.62,318.61
1962.54,317.45
1962.4,319.14
1962.32,317.52
1961.72,316.59
1960.57,318.21
1960.31,313.09
1959.09,311.98
1958.56,316.33
1958.1,316.1
1957.87,314.57
1957.26,315.27
1957.2,316.33
1957.1,314.44
1956.16,315.34
1954.8,314.71
1953.79,313.17
1953.71,312.8
1953.56,312.22
1952.38,312.18
1950.25,312.0
1949.67,313.66
1948.77,309.69
1947.71,311.57
1946.66,310.36
1946.63,312.87
1945.62,312.56
1945.56,311.97
1945.39,311.81
1944.96,310.44
1944.76,311.28
1944.51,310.22
1943.57,312.36
1942.21,311.88
1942.04,312.84
1941.78,312.39
1940.84,311.8
1940.75,307.74
1939.97,309.8
1939.59,310.95
1939.22,311.21
1938.97,310.46
1938.16,308.48
1938.13,311.94
1937.87,311.52
1937.77,312.33
1936.86,307.41
1935.87,309.34
1935.71,307.26
1935.06,306.32
1933.88,309.63
1933.59,307.08
1932.78,305.94
1932.54,308.28
1932.29,308.26
1930.83,305.74
1929.39,305.38
1928.74,305.78
1928.54,305.71
1928.16,305.67
1927.8,308.02
1925.31,304.97
1924.75,304.72
1922.84,306.2
1922.51,303.18
1919.71,301.88
1918.67,304.61
1917.87,303.85
1915.79,301.92
1914.39,300.7
1912.52,301.3
1911.29,299.26
1911.1,297.73
1910.72,298.11
1909.76,297.87
1908.52,301.5
1905.77,299.63
1905.54,297.33
1905.35,299.02
1903.91,295.99
1901.7,295.61
1900.18,294.22
1898.94,297.05
1898.66,295.28
1893.76,293.81
1893.66,293.17
1893.06,295.32
1892.88,294.86
1892.39,295.17
1889.87,290.92
1889.01,292.34
1887.39,294.34
1885.6,288.12
1884.18,289.23
1883.79,289.76
1882.92,292.46
1879.95,287.77
1876.91,289.33
1873.74,291.56
1872.83,286.66
1870.04,286.33
1869.66,287.99
1868.41,289.54
1867.73,287.99
1866.74,285.05
1864.13,286.65
1862.98,285.35
1861.83,287.17
1858.84,286.63
1856.62,283.16
1854.72,285.57
1853.71,288.05
1851.11,285.47
1850.83,288.79
1850.26,284.0
1847.32,286.84
1845.9,283.62
1844.65,283.18
1844.46,283.53
1843.29,281.58
1840.83,283.65
1836.7,284.15
1833.18,283.82
1832.87,285.09
1826.92,285.91
1824.74,281.36
1813.66,284.43
1799.34,282.8
1796.47,280.4
1795.94,282.3
1794.1,281.62
1780.3,273.07
1779.49,280.24
1773.46,277.86
1763.7,276.4
1762.88,277.16
1752.13,278.0
1751.93,276.46
1749.12,277.6
1741.26,276.81
1733.87,278.31
1723.01,277.01
1722.8600000000001,278.27
1694.07,277.36
1689.74,276.32
1681.8899999999999,276.66
1649.1,278.02
1639.81,276.69
1628.6,273.78
1609.46,271.11
1603.42,275.07
1590.99,279.36
1588.18,281.11
1573.01,282.57
1559.8600000000001,281.83
1549.65,283.53
1529.68,283.95
1501.53,283.12
1469.4,280.31
1449.16,282.23
1428.8,279.73
1410.8600000000001,279.7
1390.33,280.91
1348.85,278.36
1330.12,284.07
1307.45,281.58
1278.2,278.43
1259.51,282.2
1251.27,282.41
1210.95,283.69
1199.81,284.54
1165.98,283.97
1146.29,284.51
1115.6100000000001,282.84
1099.4099999999999,283.09
1070.2,282.84
1049.1799999999998,280.97
1040.08,280.92
1019.27,280.06
1017.58,279.8
982.65,278.74
957.65,277.41
914.1300000000001,280.11
875.4100000000001,279.42
822.3299999999999,278.62
793.0999999999999,279.72
762.3,279.29
730.4300000000001,279.99
701.25,277.1
669.1800000000001,278.45
637.0,279.59
614.52,277.87
582.4100000000001,276.2
557.47,278.46
551.6199999999999,276.56
517.96,276.79
488.1300000000001,277.11
436.94000000000005,280.0
406.3599999999999,279.13
384.23,277.25
357.3299999999999,277.8
317.54999999999995,281.69
295.5999999999999,280.91
274.44000000000005,280.24
266.0999999999999,278.31
240.5999999999999,280.25
174.52999999999997,277.56
153.52999999999997,278.07
136.0,278.1
104.0,277.5
56.0,277.4
30.0,277.9
1.0,276.7
-49.710000000000036,278.0
-143.36000000000013,276.9
-284.2399999999998,276.7
-315.5500000000002,276.7
-464.32000000000016,277.6
-576.1199999999999,277.9
-678.02,273.9
-758.48,278.9
-851.7600000000002,275.3
-954.5500000000002,274.7
-998.8200000000002,276.3
-1106.6,274.6
-1305.73,276.3
-1333.6599999999999,273.1
-1481.12,274.0
-1578.29,275.0
-1694.46,273.4
-1743.4099999999999,273.0
-1856.8600000000001,271.5
-1906.17,275.4
-2018.9499999999998,274.9
-2158.67,271.7
-2255.84,271.6
-2325.08,272.8
-2392.8199999999997,271.5
-2544.3599999999997,271.1
-2642.8199999999997,269.1
-2697.46,269.8
-2823.0,271.5
-2971.2,270.7
-3031.58,269.3
-3136.79,268.6
-3268.5699999999997,269.8
-3361.1800000000003,267.6
-3407.55,265.3
-3583.29,265.2
-3631.3,267.6
-3807.6099999999997,265.9
-3902.26,265.5
-3984.09,260.7
-4049.38,266.7
-4139.81,265.5
-4351.96,263.2
-4387.21,262.7
-4451.24,261.2
-4622.29,261.1
-4732.55,259.4
-4819.65,262.1
-4930.31,262.9
-5020.08,258.1
-5088.27,257.6
-5238.07,262.3
-5324.01,263.0
-5455.32,260.7
-5547.87,258.4
-5711.37,260.1
-5769.59,260.4
-5910.18,259.7
-5976.37,259.2
-6025.85,260.8
-6166.28,259.6
-6244.799999999999,259.3
-6401.879999999999,258.3
-6509.68,261.3
-6596.58,260.7
-6760.68,261.8
-6831.280000000001,259.0
-6961.85,260.9
-7042.99,260.4
-7110.17,259.3
-7193.01,262.0
-7345.3099999999995,263.7
-7411.120000000001,263.8
-7486.700000000001,265.2
-7568.0599999999995,260.6
-7574.4400000000005,260.9
-7605.860000000001,263.0
-7623.27,263.8
-7951.040000000001,264.4
