bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,Bag,Age,Deuterium,anom c,year,temp c
1.0,0.0,-50.0,-55.0,,218.3,3.105321,,,,,,
2.0,0.55,-43.55977,-50.51333333,,218.3,3.104805,,,,,,
3.0,1.1,-37.44019,-46.02666667,,218.3,3.104404,,,,,,
4.0,1.65,-31.64156,-41.54,,218.3,3.104025,,,,,,
5.0,2.2,-24.55278,-34.51666667,,218.3,3.103453,,,,,,
6.0,2.75,-17.78422,-27.49333333,,218.3,3.102677,,,,,,
7.0,3.3,-11.01305,-20.47,,218.3,3.101557,,,,,,
8.0,3.85,-3.2703,-12.21333333,,218.3,3.099708,,,,,,
9.0,4.4,5.447842,-3.956666667,,218.3,3.096691,,,,,,
10.0,4.95,13.52999,4.3,,218.3,3.092812,,,,,,
11.0,5.5,22.27284,13.22,,218.3,3.087226,,,,,,
12.0,6.05,30.70987,22.14,,218.3,3.080266,,,,,,
13.0,6.6,38.51757,31.06,-390.9,218.3,3.07229,,,,,,
14.0,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,,,,,,
15.0,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,,,,,,
16.0,8.25,64.43646,57.05,-394.1,217.7,3.027896,,,,,,
17.0,8.8,73.05573,66.38,-398.7,217.0,3.011312,,,,,,
18.0,9.35,81.72349,75.71,-395.9,217.4,2.994881,,,,,,
19.0,9.9,90.43857,85.04,-395.9,217.4,2.92487,,,,,,
20.0,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,,,,,,
21.0,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,,,,,,
22.0,11.55,119.2176,114.51,-399.5,216.8,2.660774,,,,,,
23.0,12.1,129.3916,124.6733333,-402.9,216.3,2.65627,,,,,,
24.0,12.65,139.9534,134.8366667,-393.9,217.8,2.655582,,,,,,
25.0,13.2,150.1377,145.0,-398.6,217.0,2.659589,,,,,,
26.0,13.75,160.6797,155.4433333,-389.8,218.4,2.662412,,,,,,
27.0,14.3,171.2088,165.8866667,-394.5,217.7,2.66669,,,,,,
28.0,14.85,181.7194,176.33,-400.5,216.7,2.672306,,,,,,
29.0,15.4,191.8325,186.7333333,-403.6,216.2,2.678883,,,,,,
30.0,15.95,202.293,197.1366667,-393.1,217.9,2.734536,,,,,,
31.0,16.5,212.5394,207.54,-410.9,215.0,2.745716,,,,,,
32.0,17.05,223.471,218.3533333,-393.6,217.8,2.75664,,,,,,
33.0,17.6,233.9967,229.1666667,-391.1,218.2,2.768041,,,,,,
34.0,18.15,244.8395,239.98,-391.9,218.1,2.764792,,,,,,
35.0,18.7,255.6953,251.3866667,-396.3,217.4,2.687325,,,,,,
36.0,19.25,266.864,262.7933333,-397.0,217.3,2.699987,,,,,,
37.0,19.8,277.9812,274.2,-404.7,216.0,2.712933,,,,,,
38.0,20.35,289.4143,286.1633333,-398.2,217.1,2.726437,,,,,,
39.0,20.9,301.1585,298.1266667,-395.2,217.6,2.724871,,,,,,
40.0,21.45,312.545,310.09,-403.5,216.2,2.730676,,,,,,
41.0,22.0,323.9099,322.2733333,-398.6,217.0,2.743243,,,,,,
42.0,22.55,335.5896,334.4566667,-399.7,216.8,2.755527,,,,,,
43.0,23.1,346.8579,346.64,-396.0,217.4,2.726245,,,,,,
44.0,23.65,358.6178,359.39,-400.2,216.7,2.677694,,,,,,
45.0,24.2,370.9679,372.14,-401.6,216.5,2.686326,,,,,,
46.0,24.75,382.9111,384.89,-405.4,215.9,2.693056,,,,,,
47.0,25.3,395.2021,397.84,-399.0,216.9,2.741105,,,,,,
48.0,25.85,407.2843,410.79,-396.9,217.3,2.821527,,,,,,
49.0,26.4,418.6733,423.74,-394.9,217.6,2.821524,,,,,,
50.0,26.95,430.4257,436.3933333,-406.6,215.7,2.818627,,,,,,
51.0,27.5,442.5554,449.0466667,-395.2,217.6,2.827304,,,,,,
52.0,28.05,454.3007,461.7,-395.3,217.5,2.864376,,,,,,
53.0,28.6,466.2551,474.5333333,-399.5,216.8,2.850119,,,,,,
54.0,29.15,478.2794,487.3666667,-401.0,216.6,2.831804,,,,,,
55.0,29.7,490.3924,500.2,-393.6,217.8,2.783818,,,,,,
56.0,30.25,503.0865,513.42,-410.4,215.0,2.649808,,,,,,
57.0,30.8,516.0368,526.64,-401.3,216.5,2.628777,,,,,,
58.0,31.35,529.475,539.86,-398.3,217.0,2.608592,,,,,,
59.0,31.9,542.6268,553.08,-388.5,218.7,2.672903,,,,,,
60.0,32.45,555.8396,566.3,-391.9,218.1,2.822153,,,,,,
61.0,33.0,568.3494,579.52,-400.8,216.6,2.805037,,,,,,
62.0,33.55,580.9313,592.3966667,-387.7,218.8,2.790755,,,,,,
63.0,34.1,593.5725,605.2733333,-401.4,216.5,2.787745,,,,,,
64.0,34.65,606.2219,618.15,-401.0,216.6,2.813386,,,,,,
65.0,35.2,619.1082,630.7,-387.3,218.9,2.808731,,,,,,
66.0,35.75,631.65,643.25,-390.2,218.4,2.808108,,,,,,
67.0,36.3,644.5452,655.8,-394.5,217.7,2.782628,,,,,,
68.0,36.85,657.9103,669.4466667,-401.9,216.4,2.545311,,,,,,
69.0,37.4,672.1189,683.0933333,-399.8,216.8,2.556151,,,,,,
70.0,37.95,686.6481,696.74,-399.9,216.8,2.572144,,,,,,
71.0,38.5,700.6882,711.2466667,-399.1,216.9,2.550936,,,,,,
72.0,39.05,715.2436,725.7533333,-401.9,216.4,2.521643,,,,,,
73.0,39.6,729.5808,740.26,-404.8,216.0,2.535807,,,,,,
74.0,40.15,744.6373,754.86,-401.6,216.5,2.548125,,,,,,
75.0,40.7,759.2383,769.46,-396.7,217.3,2.830327,,,,,,
76.0,41.25,772.3893,784.06,-397.1,217.2,2.841283,,,,,,
77.0,41.8,785.8553,797.64,-394.2,217.7,2.84443,,,,,,
78.0,42.35,798.9567,811.22,-395.9,217.4,2.903514,,,,,,
79.0,42.9,812.1401,824.8,-392.7,218.0,3.133139,,,,,,
80.0,43.45,824.3588,837.55,-390.4,218.3,3.136153,,,,,,
81.0,44.0,836.5675,850.3,-389.0,218.6,3.139172,,,,,,
82.0,44.55,848.7663,863.05,-387.0,218.9,3.075957,,,,,,
83.0,45.1,861.5453,876.68,-402.3,216.4,2.756111,,,,,,
84.0,45.65,875.4421,890.31,-392.5,218.0,2.758608,,,,,,
85.0,46.2,889.3285,903.94,-404.6,216.0,2.761102,,,,,,
86.0,46.75,903.5693,918.55,-390.5,218.3,2.744254,,,,,,
87.0,47.3,917.8998,933.16,-402.3,216.4,2.734505,,,,,,
88.0,47.85,932.2836,947.77,-400.1,216.7,2.736998,,,,,,
89.0,48.4,947.0249,962.7,-399.4,216.9,2.746718,,,,,,
90.0,48.95,960.9822,977.63,-400.6,216.7,2.793314,,,,,,
91.0,49.5,975.4282,992.56,-393.8,217.8,2.795871,,,,,,
92.0,50.05,989.8635,1007.383333,-398.5,217.0,2.798396,,,,,,
93.0,50.6,1004.288,1022.206667,-398.7,217.0,2.8391,,,,,,
94.0,51.15,1018.508,1037.03,-401.8,216.5,2.861252,,,,,,
95.0,51.7,1032.268,1051.463333,-395.2,217.6,2.863657,,,,,,
96.0,52.25,1046.723,1065.896667,-390.1,218.4,2.856795,,,,,,
97.0,52.8,1060.862,1080.33,-393.9,217.8,2.821768,,,,,,
98.0,53.35,1075.176,1095.11,-400.6,216.7,2.824023,,,,,,
99.0,53.9,1089.481,1109.89,-400.9,216.6,2.826217,,,,,,
100.0,54.45,1104.135,1124.67,-391.7,218.1,2.938972,,,,,,
101.0,55.0,1118.228,1139.59,-399.3,216.9,2.977765,,,,,,
102.0,55.55,1132.48,1154.51,-386.7,219.0,2.979947,,,,,,
103.0,56.1,1146.385,1169.43,-401.5,216.5,2.997708,,,,,,
104.0,56.65,1160.21,1183.663333,-398.1,217.1,3.046928,,,,,,
105.0,57.2,1173.811,1197.896667,-390.4,218.3,3.048791,,,,,,
106.0,57.75,1187.738,1212.13,-389.8,218.4,3.050581,,,,,,
107.0,58.3,1201.327,1226.456667,-390.7,218.3,3.012204,,,,,,
108.0,58.85,1215.092,1240.783333,-399.3,216.9,2.995794,,,,,,
109.0,59.4,1229.273,1255.11,-392.5,218.0,2.997182,,,,,,
110.0,59.95,1243.449,1270.176667,-393.8,217.8,2.979469,,,,,,
111.0,60.5,1258.053,1285.243333,-394.4,217.7,2.920587,,,,,,
112.0,61.05,1272.603,1300.31,-397.0,217.3,2.921544,,,,,,
113.0,61.6,1287.152,1315.393333,-397.8,217.1,2.922352,,,,,,
114.0,62.15,1302.045,1330.476667,-388.6,218.6,3.087595,,,,,,
115.0,62.7,1315.817,1345.56,-394.7,217.6,3.108113,,,,,,
116.0,63.25,1330.151,1360.473333,-390.6,218.3,3.10837,,,,,,
117.0,63.8,1344.162,1375.386667,-397.0,217.3,3.111592,,,,,,
118.0,64.35,1357.836,1390.3,-386.6,219.0,3.114634,,,,,,
119.0,64.9,1371.821,1404.833333,-390.6,218.3,3.114276,,,,,,
120.0,65.45,1385.811,1419.366667,-397.0,217.3,3.113704,,,,,,
121.0,66.0,1399.806,1433.9,-396.1,217.4,2.820622,,,,,,
122.0,66.55,1415.617,1450.18,-398.9,216.9,2.803153,,,,,,
123.0,67.1,1431.53,1466.46,-400.2,216.7,2.80226,,,,,,
124.0,67.65,1447.451,1482.74,-398.7,217.0,2.871246,,,,,,
125.0,68.2,1462.64,1498.793333,-389.7,218.5,2.882421,,,,,,
126.0,68.75,1478.122,1514.846667,-401.6,216.5,2.880757,,,,,,
127.0,69.3,1493.617,1530.9,-397.9,217.1,2.865307,,,,,,
128.0,69.85,1509.198,1546.89,-399.2,216.9,2.855912,,,,,,
129.0,70.4,1524.834,1562.88,-397.6,217.2,2.853573,,,,,,
130.0,70.95,1540.486,1578.87,-390.5,218.3,2.870685,,,,,,
131.0,71.5,1556.402,1595.08,-401.5,216.5,2.884297,,,,,,
132.0,72.05,1571.892,1611.29,-395.7,217.5,2.881112,,,,,,
133.0,72.6,1587.755,1627.5,-394.5,217.7,2.826122,,,,,,
134.0,73.15,1603.929,1644.266667,-402.9,216.3,2.752708,,,,,,
135.0,73.7,1620.539,1661.033333,-401.0,216.6,2.748981,,,,,,
136.0,74.25,1637.175,1677.8,-391.5,218.2,2.796988,,,,,,
137.0,74.8,1653.893,1694.506667,-403.4,216.2,2.858533,,,,,,
138.0,75.35,1669.896,1711.213333,-393.4,217.8,2.853567,,,,,,
139.0,75.9,1685.574,1727.92,-393.8,217.8,2.813092,,,,,,
140.0,76.45,1701.843,1744.806667,-400.8,216.6,2.740314,,,,,,
141.0,77.0,1719.291,1761.693333,-399.3,216.9,2.734628,,,,,,
142.0,77.55,1736.397,1778.58,-396.6,217.3,2.776,,,,,,
143.0,78.1,1753.243,1795.473333,-395.3,217.5,2.835,,,,,,
144.0,78.65,1769.379,1812.366667,-392.6,218.0,2.835,,,,,,
145.0,79.2,1785.877,1829.26,-404.4,216.0,2.775,,,,,,
146.0,79.75,1802.735,1846.63,-394.4,217.7,2.689,,,,,,
147.0,80.3,1820.513,1864.0,-402.2,216.4,2.689,,,,,,
148.0,80.85,1837.917,1881.37,-401.9,216.4,2.755,,,,,,
149.0,81.4,1854.906,1897.823333,-393.8,217.8,2.816,,,,,,
150.0,81.95,1871.526,1914.276667,-402.3,216.4,2.816,,,,,,
151.0,82.5,1888.512,1930.73,-385.1,219.2,2.88,,,,,,
152.0,83.05,1905.122,1947.4,-395.9,217.4,2.933,,,,,,
153.0,83.6,1921.089,1964.07,-395.8,217.4,2.933,,,,,,
154.0,84.15,1936.711,1980.74,-398.2,217.0,2.871,,,,,,
155.0,84.7,1953.737,1997.776667,-394.8,217.6,2.8,,,,,,
156.0,85.25,1970.831,2014.813333,-397.7,217.1,2.8,,,,,,
157.0,85.8,1987.929,2031.85,-400.3,216.7,2.74,,,,,,
158.0,86.35,2005.404,2049.556667,-402.4,216.4,2.692,,,,,,
159.0,86.9,2023.194,2067.263333,-396.0,217.4,2.692,,,,,,
160.0,87.45,2041.366,2084.97,-401.4,216.5,2.821,,,,,,
161.0,88.0,2058.349,2102.193333,-386.1,219.1,2.869,,,,,,
162.0,88.55,2075.403,2119.416667,-400.1,216.7,2.869,,,,,,
163.0,89.1,2092.459,2136.64,-400.3,216.7,2.799,,,,,,
164.0,89.65,2109.946,2153.993333,-393.2,217.9,2.783,,,,,,
165.0,90.2,2127.17,2171.346667,-399.7,216.8,2.783,,,,,,
166.0,90.75,2144.764,2188.7,-397.9,217.1,2.696,,,,,,
167.0,91.3,2162.928,2206.983333,-402.0,216.4,2.691,,,,,,
168.0,91.85,2181.506,2225.266667,-398.7,217.0,2.729,,,,,,
169.0,92.4,2199.454,2243.55,-398.6,217.0,2.887,,,,,,
170.0,92.95,2216.423,2260.54,,217.6,2.887,,,,,,
171.0,93.5,2233.749,2277.53,-390.6,218.3,2.888,,,,,,
172.0,94.05,2250.719,2294.52,-394.0,217.7,2.891,,,,,,
173.0,94.6,2268.024,2311.996667,-397.9,217.1,2.891,,,,,,
174.0,95.15,2285.687,2329.473333,-394.8,217.6,2.71,,,,,,
175.0,95.7,2304.155,2346.95,-408.2,215.4,2.503,,,,,,
176.0,96.25,2324.155,2366.986667,-404.3,216.0,2.503,,,,,,
177.0,96.8,2344.158,2387.023333,-399.6,216.8,2.634,,,,,,
178.0,97.35,2363.171,2407.06,-400.8,216.6,2.649,,,,,,
179.0,97.9,2381.69,2426.05,-401.5,216.5,2.623,,,,,,
180.0,98.45,2400.787,2445.04,-407.7,215.5,2.552,,,,,,
181.0,99.0,2420.419,2464.03,-400.5,216.7,2.552,,,,,,
182.0,99.55,2440.054,2482.973333,-395.8,217.4,2.677,,,,,,
183.0,100.1,2459.158,2501.916667,-399.7,216.8,2.734,,,,,,
184.0,100.65,2477.49,2520.86,-399.6,216.8,2.737,,,,,,
185.0,101.2,2496.178,2538.836667,-394.8,217.6,2.91,,,,,,
186.0,101.75,2513.759,2556.813333,-398.5,217.0,2.91,,,,,,
187.0,102.3,2530.991,2574.79,-390.2,218.4,2.904,,,,,,
188.0,102.85,2548.615,2592.536667,-396.4,217.3,2.869,,,,,,
189.0,103.4,2566.453,2610.283333,-392.7,218.0,2.869,,,,,,
190.0,103.95,2584.294,2628.03,-400.4,216.7,2.902,,,,,,
191.0,104.5,2601.936,2645.516667,-393.5,217.8,2.963,,,,,,
192.0,105.05,2619.218,2663.003333,-390.6,218.3,2.963,,,,,,
193.0,105.6,2636.503,2680.49,-395.2,217.5,2.877,,,,,,
194.0,106.15,2654.309,2698.623333,-396.9,217.3,2.788,,,,,,
195.0,106.7,2673.049,2716.756667,-399.1,216.9,2.788,,,,,,
196.0,107.25,2691.426,2734.89,-396.9,217.3,2.87,,,,,,
197.0,107.8,2709.281,2752.643333,-401.0,216.6,2.896,,,,,,
198.0,108.35,2727.333,2770.396667,-387.9,218.7,2.896,,,,,,
