"Global Land and Ocean Temperature Anomalies",,,
"Units: Degrees Celsius, 1901-2000 avg=13.9",,,
"Base Period: 1901-2000",,,
"Missing: -999",,,
"Year","Anomaly","1901-2000 avg","act temp c"
1850,-0.37,13.9,13.53
1851,-0.12,13.9,13.78
1852,-0.15,13.9,13.75
1853,0,13.9,13.9
1854,-0.23,13.9,13.67
1855,0.01,13.9,13.91
1856,-0.08,13.9,13.82
1857,-0.28,13.9,13.62
1858,-0.16,13.9,13.74
1859,-0.09,13.9,13.81
1860,-0.12,13.9,13.78
1861,-0.46,13.9,13.44
1862,-0.4,13.9,13.5
1863,-0.04,13.9,13.86
1864,-0.34,13.9,13.56
1865,-0.04,13.9,13.86
1866,0.1,13.9,14
1867,-0.21,13.9,13.69
1868,-0.41,13.9,13.49
1869,-0.13,13.9,13.77
1870,-0.04,13.9,13.86
1871,-0.26,13.9,13.64
1872,-0.17,13.9,13.73
1873,-0.1,13.9,13.8
1874,-0.04,13.9,13.86
1875,-0.39,13.9,13.51
1876,-0.25,13.9,13.65
1877,-0.14,13.9,13.76
1878,0.11,13.9,14.01
1879,-0.05,13.9,13.85
1880,-0.15,13.9,13.75
1881,-0.14,13.9,13.76
1882,0.15,13.9,14.05
1883,-0.32,13.9,13.58
1884,-0.16,13.9,13.74
1885,-0.58,13.9,13.32
1886,-0.29,13.9,13.61
1887,-0.53,13.9,13.37
1888,-0.29,13.9,13.61
1889,-0.04,13.9,13.86
1890,-0.36,13.9,13.54
1891,-0.28,13.9,13.62
1892,-0.21,13.9,13.69
1893,-0.67,13.9,13.23
1894,-0.35,13.9,13.55
1895,-0.34,13.9,13.56
1896,-0.15,13.9,13.75
1897,-0.06,13.9,13.84
1898,0,13.9,13.9
1899,-0.23,13.9,13.67
1900,-0.3,13.9,13.6
1901,-0.13,13.9,13.77
1902,-0.16,13.9,13.74
1903,-0.15,13.9,13.75
1904,-0.49,13.9,13.41
1905,-0.26,13.9,13.64
1906,-0.21,13.9,13.69
1907,-0.36,13.9,13.54
1908,-0.37,13.9,13.53
1909,-0.5,13.9,13.4
1910,-0.3,13.9,13.6
1911,-0.54,13.9,13.36
1912,-0.24,13.9,13.66
1913,-0.34,13.9,13.56
1914,0.05,13.9,13.95
1915,-0.17,13.9,13.73
1916,-0.2,13.9,13.7
1917,-0.6,13.9,13.3
1918,-0.44,13.9,13.46
1919,-0.15,13.9,13.75
1920,-0.25,13.9,13.65
1921,-0.09,13.9,13.81
1922,-0.29,13.9,13.61
1923,-0.25,13.9,13.65
1924,-0.18,13.9,13.72
1925,-0.36,13.9,13.54
1926,0.13,13.9,14.03
1927,-0.27,13.9,13.63
1928,-0.05,13.9,13.85
1929,-0.42,13.9,13.48
1930,-0.29,13.9,13.61
1931,-0.07,13.9,13.83
1932,0.1,13.9,14
1933,-0.26,13.9,13.64
1934,-0.25,13.9,13.65
1935,-0.3,13.9,13.6
1936,-0.3,13.9,13.6
1937,-0.09,13.9,13.81
1938,0.08,13.9,13.98
1939,-0.09,13.9,13.81
1940,0.08,13.9,13.98
1941,0.22,13.9,14.12
1942,0.31,13.9,14.21
1943,-0.03,13.9,13.87
1944,0.31,13.9,14.21
1945,0.18,13.9,14.08
1946,0.17,13.9,14.07
1947,-0.03,13.9,13.87
1948,0.02,13.9,13.92
1949,0.06,13.9,13.96
1950,-0.2,13.9,13.7
1951,-0.31,13.9,13.59
1952,0.14,13.9,14.04
1953,0.07,13.9,13.97
1954,-0.2,13.9,13.7
1955,0.13,13.9,14.03
1956,-0.11,13.9,13.79
1957,-0.06,13.9,13.84
1958,0.35,13.9,14.25
1959,0.07,13.9,13.97
1960,0.05,13.9,13.95
1961,0.14,13.9,14.04
1962,0.08,13.9,13.98
1963,0.02,13.9,13.92
1964,-0.08,13.9,13.82
1965,-0.09,13.9,13.81
1966,-0.14,13.9,13.76
1967,-0.11,13.9,13.79
1968,-0.18,13.9,13.72
1969,-0.08,13.9,13.82
1970,0.15,13.9,14.05
1971,-0.02,13.9,13.88
1972,-0.24,13.9,13.66
1973,0.34,13.9,14.24
1974,-0.08,13.9,13.82
1975,0.06,13.9,13.96
1976,-0.01,13.9,13.89
1977,0.2,13.9,14.1
1978,0.15,13.9,14.05
1979,0.14,13.9,14.04
1980,0.35,13.9,14.25
1981,0.55,13.9,14.45
1982,0.11,13.9,14.01
1983,0.51,13.9,14.41
1984,0.31,13.9,14.21
1985,0.28,13.9,14.18
1986,0.23,13.9,14.13
1987,0.3,13.9,14.2
1988,0.53,13.9,14.43
1989,0.12,13.9,14.02
1990,0.4,13.9,14.3
1991,0.42,13.9,14.32
1992,0.44,13.9,14.34
1993,0.34,13.9,14.24
1994,0.22,13.9,14.12
1995,0.55,13.9,14.45
1996,0.28,13.9,14.18
1997,0.29,13.9,14.19
1998,0.58,13.9,14.48
1999,0.49,13.9,14.39
2000,0.34,13.9,14.24
2001,0.43,13.9,14.33
2002,0.68,13.9,14.58
2003,0.71,13.9,14.61
2004,0.58,13.9,14.48
2005,0.74,13.9,14.64
2006,0.63,13.9,14.53
2007,0.93,13.9,14.83
2008,0.29,13.9,14.19
2009,0.66,13.9,14.56
2010,0.74,13.9,14.64
2011,0.55,13.9,14.45
2012,0.48,13.9,14.38
2013,0.7,13.9,14.6
2014,0.74,13.9,14.64
2015,0.82,13.9,14.72
2016,1.22,13.9,15.12
2017,1.05,13.9,14.95
2018,0.83,13.9,14.73
2019,0.91,13.9,14.81
2020,1.13,13.9,15.03
2021,0.83,13.9,14.73
2022,0.93,13.9,14.83
