Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
167336.07,64387.09,51.831302,-8.4745107,154,Cork Airport,Cork,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,155.3,92.6,56,207.2,35.3,11.4,179,46.5,40.7,53.8,153.2,169.4
1851,359.5,47.1,78.8,39,56.3,104.7,64.5,57.5,37.2,88.7,20.5,98.6
1852,216.2,43.5,84.2,45.7,68.4,145.6,53,94.7,53.5,121.9,241.2,209.6
1853,191.3,15,51.5,93.6,63.2,68.8,90,85.3,83.8,252.1,171.9,56.4
1854,157,16.4,35.9,3.7,97.7,108.7,118.5,47.1,42.8,48.3,23.7,40.3
1855,9.9,88.6,118.5,43.2,104.7,64.4,33.3,91.5,56.7,36.9,75.7,137.5
1856,174.9,138.6,53.5,104.7,123.7,34,24.9,97.3,78.7,130.2,27.5,199.7
1857,116,44.7,115.6,149.7,92.6,83.4,61.4,82.4,134.6,108.3,107.6,83.8
1858,82.4,217,12.5,191,87.1,56.4,68.8,79.4,116,71,116.7,226.4
1859,75.7,72.8,77.5,143,27.8,41,74.6,109.4,134.6,146,173.4,217.3
1860,197.2,49.7,92.9,38.4,121.4,162.8,38.8,105,60.8,47.1,103.5,149.7
1861,133.6,187.7,72.8,65.2,0.8,128.4,138,139.8,162.8,180.7,103.9,87.1
1862,186.9,78,134.6,74.9,99.1,100.9,118.9,91.8,94.1,143.4,109.7,161
1863,95.9,23.7,155.5,42.1,46.5,115.6,42.4,165.4,58.5,241.2,115.6,110.5
1864,131.7,39.2,89.2,54.1,72.8,52.3,39.2,19.4,75.7,165.8,165.8,102.9
1865,138,77.5,106.1,44.7,131,17.2,110.5,140.4,20.5,126.3,234.8,223.1
1866,206.7,71.7,112.3,103.5,57.8,106.8,17.6,140.1,125.5,93.3,81.2,175.7
1867,134.6,65.8,99,76.1,165.8,10.2,78.7,64,114.1,110.8,35.4,54.9
1868,191.8,49.1,89.2,80.1,55.6,26.3,35.9,210.3,208.2,81.6,181.1,307.7
1869,267.5,75.4,75.7,68.8,180.7,2.3,55.9,21.6,149.7,11.4,71.3,210.8
