Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
284100,118400,52.3111802,-6.7710795,71,Foulkesmills,Wexford,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,114.9,66,30.2,150.5,43.7,38,107.1,44.3,58.2,47.7,109.6,125.8
1851,212.1,38.6,83.5,57.1,38.1,93.3,71.5,64.1,33.7,104.9,28.8,74.1
1852,151.4,68.5,46.7,38.8,78,184.3,56.9,95.9,57.6,90.1,237,200
1853,142.5,37.6,76.3,70.6,37.6,78.9,84.9,78.6,64.5,215.1,105.4,46.9
1854,143.5,20.9,24.8,18.7,98.2,112.7,94.5,44.5,36.9,68.3,57,54.6
1855,13.1,65.2,83.6,27.5,79.3,67.2,81.6,99.7,51.4,104.5,55.6,82.9
1856,115.3,84.6,31.9,83.4,131.8,47.9,37,83.9,94.9,97.4,21.4,108.3
1857,77.7,48.6,83.9,106.1,62.7,85.4,54.6,58,84.3,92.3,95.6,54.1
1858,51.8,67.3,44.9,149.1,70.3,39.3,74,53.3,87,80,80,124.1
1859,73.7,33.8,75.7,111.5,16.8,30.3,51.6,81,122.7,80,117.8,114
1860,159.1,36.7,73.4,54.2,91.6,154.4,69.6,136,59.9,69.2,100.1,89
1861,92.3,99.5,91.8,42.8,11.6,102.9,163.3,126.8,150.6,106.7,90.3,72.9
1862,161.1,39,103.5,99.2,92.1,97.6,92.1,72,64.4,138,82.7,119.7
1863,87.9,33.4,98.8,37.1,43.5,62.6,35.5,114.1,91.4,191.6,110.3,81.8
1864,81.3,38,77.2,34.6,46.6,69.2,29.6,41,82.6,117.3,143.8,87.6
1865,105.7,82,61.9,39.3,107.5,23,84,113.5,25.6,131.1,171.4,145.4
1866,138.6,70.5,98.5,74.9,43.5,95.4,28.2,94,117.7,74.4,68.9,101
1867,99.2,75.9,94.3,81.9,103.7,26.4,80.5,75.6,65.6,131.3,33.1,47.1
1868,133.4,61.8,85.2,70.2,59.6,35.5,41.6,133.4,121.3,79,109.6,207.8
1869,168,71,70.7,67.3,106.4,17.9,53.6,35.5,156.9,30.5,76.5,142.2
1870,109.6,78.9,73.8,31.3,68.7,25.1,29.9,51,78.4,182.5,67,69.7
1871,118.7,86.8,64,106,24.3,85.1,140.4,67.8,83.7,130.5,88.5,81.5
1872,143.6,116.1,96.3,67.9,44,95.4,89.6,115.4,92.4,126.2,145.2,225
1873,167.4,47.6,98.1,36.9,48.5,44.1,114.3,137.5,90.5,101.3,71.5,26.3
1874,67.1,73.9,56.4,70.9,22.4,20.3,51.3,78.2,85.6,163.6,128.8,94.2
1875,195.8,84.8,39.6,31,75.7,88.4,109.5,78.5,142.2,267.5,151.6,52.6
1876,53.3,156.5,71.6,85.1,18.3,34,58.9,121.7,139.4,147.1,119.4,243.6
1877,151.4,40.1,80.5,131.6,61.5,80.3,71.1,147.3,92.7,150.9,150.6,135.1
1878,63.2,82.6,38.4,110,100.8,131.1,23.1,81,53.3,78.7,32.8,45.5
1879,109.2,142.5,50.5,60.5,51.3,169.2,79.2,112.3,132.3,46.5,15.2,43.9
1880,34.3,103.9,100.3,79.8,37.1,43.4,125.2,40.1,86.9,149.1,95,77.7
1881,62.2,118.9,79,51.6,38.4,130,67.3,134.4,74.7,62.2,150.6,94.7
1882,104.1,125.5,36.8,112.8,83.3,93.5,109.7,90.2,117.3,121.2,109,130.3
1883,150.6,165.4,50.5,72.1,55.4,65.3,127.5,103.4,121.9,81.3,110.2,31.5
1884,129.3,183.1,105.2,39.4,52.3,10.2,94,12.4,57.4,36.3,64.8,79.2
1885,103.9,149.1,80,120.9,78.2,31,41.9,75.9,130.6,122.7,81.8,46.7
1886,73.4,80,136.4,56.9,98.3,41.7,95.3,70.6,124.7,142,78,136.9
1887,103.4,27.9,39.4,46,16.3,21.6,67.3,63,37.1,43.7,107.7,65.5
1888,100.1,21.6,86.6,33,72.9,133.9,137.4,83.3,20.3,64,142,165.4
1889,61,56.1,28.2,58.9,93.7,26.9,50.5,98.8,31.5,146.1,52.3,116.1
1890,134.6,48.5,86.1,44.7,76.2,84.6,61.2,55.9,47.2,49.8,111.5,80.8
1891,51.8,10.2,25.1,62.7,95.5,71.6,33.8,171.2,96.8,176.8,142.2,165.6
1892,33.8,131.1,34.5,35.6,87.4,59.2,96.8,132.3,94.5,81.3,106.2,61.5
1893,108,79,28.2,13.5,23.1,50.8,50.3,117.9,30.5,54.4,65.5,104.9
1894,149.4,41.7,59.2,99.8,54.1,63.5,120.1,88.1,20.1,120.7,150.4,93.5
1895,112,36.1,83.3,64.8,14.2,43.7,119.4,132.8,48,60.5,142.7,164.1
1896,41.1,66.8,67.1,14,0.8,60.7,136.4,31,146.8,84.8,30,235
1897,88.1,66,139.2,121.7,40.4,84.6,60.7,118.1,81,91.2,144.5,146.8
1898,108.5,38.9,14.7,136.1,70.1,83.6,57.4,106.7,66.3,129.5,86.4,83.8
1899,144.8,109.5,41.7,73.9,89.7,52.8,81.3,55.1,38.1,67.8,85.6,177
1900,97.8,137.2,27.2,54.6,80,109.7,88.6,106.9,31.2,111,177.8,116.8
1901,98.3,38.4,56.1,57.7,34.8,73.2,20.1,97.3,133.4,165.9,59.2,121.9
1902,48,90.2,50.8,80,32,121.4,86.4,59.7,105.9,75.2,160.3,89.9
1903,146.1,69.3,173.5,37.1,65,143.8,107.4,117.3,86.6,127.3,56.4,146.6
1904,106.4,143.8,103.1,31.2,61.7,70.4,79.2,106.2,117.3,56.1,49.5,78.5
1905,55.6,26.7,116.6,97.5,41.4,40.9,50,134.4,52.1,24.9,122.9,45.7
1906,118.6,73.2,57.9,30.2,94.7,40.1,33.5,72.6,24.4,151.9,54.9,54.9
1907,21.8,44.4,25.7,87.1,116.7,120.4,82.5,63.8,30.3,138.1,121.1,126.4
1908,68,53.4,93.7,66,63.1,26,105.3,135.7,168.4,82,62.9,137.1
1909,45.1,19.4,102.2,126.2,54.4,67.2,76.9,30.3,91.5,179.1,35.4,150.5
1910,79.8,115.5,57.3,70.1,58.5,109.5,83.7,171.6,24,87.6,133.2,146.3
1911,47.3,75.2,52.9,63.8,42.2,65.5,97.8,60.9,122.1,126,129.1,262.6
1912,138.8,128.6,96.1,28.4,27.4,177.2,157.5,136.4,17.7,84.9,50.7,119.9
1913,218.9,66.5,89.6,110.2,137.8,45.1,7.5,32.5,96.1,145.4,112.4,48.8
1914,52.8,132.6,103.6,40.1,40.4,34.5,101.3,126.5,42.2,68.3,95.5,262.4
1915,65.5,127,38.1,37.1,63.2,43.9,148.3,62,41.9,162.8,74.2,192.3
1916,56.6,132.1,55.4,67.1,108,82.6,38.4,41.9,53.8,205.7,128.5,62
1917,79.5,29.5,76.5,46,78,43.2,53.3,200.4,48.5,78,65,64.3
1918,107.4,108.2,56.4,42.7,58.7,67.1,88.4,63.8,215.9,118.1,89.9,142.2
1919,119.6,97.8,78.2,30,80.3,49.8,28.2,98.8,59.2,20.3,58.9,159.8
1920,115.3,52.8,119.9,115.1,76.5,40.6,128,84.1,53.8,179.8,77.7,114.8
1921,87.6,44.7,90.9,20.6,59.4,1.8,86.4,144.5,26.4,77.5,146.6,46.2
1922,110.2,77.2,46.2,78.7,41.1,41.9,97.3,135.6,77,27.4,38.4,89.2
1923,38.9,180.3,75.7,104.4,31.5,14.5,83.6,142.5,83.8,115.3,71.4,69.6
1924,203.5,30,29,80.3,83.8,102.4,119.1,80.5,188.5,106.2,106.4,188.7
