Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
96943.4,84115.38,51.999994,-9.5012707,54,Killarney,Kerry,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,208.9,112.9,58.4,193.8,60.6,41.8,129.7,51.1,72.8,70.3,177.7,205.6
1851,367,71.9,123.3,73,58.3,108,83.6,65.4,47.1,131.5,62,142.7
1852,257.7,105.1,82.3,48.1,76,194.9,61.2,100.2,54,124,365.1,306.2
1853,239.1,54.9,106.8,97.9,57.6,83.3,98.3,88.4,90,298.2,191.9,78.3
1854,229.1,48.6,54.1,20,138.6,132.1,112.3,58.3,48.9,96.6,77.4,96.8
1855,45,95.4,147.2,43.5,113.9,75.8,70.9,120.4,63.9,106.9,99.7,151.1
1856,206.9,156.5,57.2,115.3,165.8,52.3,35.4,93.7,109.5,150.9,56.5,213.2
1857,145.6,86.2,146.4,135.9,73.7,92.1,61.7,72,142.2,142.8,146.8,108.1
1858,113,173.6,49.9,199.6,100.3,49,71.9,70.2,116.1,109.7,128,243.3
1859,137.9,89.9,114.3,144.7,31.5,39.8,64.3,105.2,182.7,142.7,198.2,216.5
1860,271.4,80.8,120.7,64.2,124.6,165.2,60.8,162.5,67.9,105.3,168.5,158.9
1861,203.6,158.1,128,44.4,36.6,102.1,184.2,294.8,319.3,169.2,181.5,139
1862,222.7,57.2,131.6,139.2,112.4,127.3,82.9,96.7,90.2,271.7,163,189.5
1863,144.1,89.3,222.9,88.5,58.3,99.4,34.1,207.7,160.9,231.8,237.3,176.4
1864,147.3,78.2,107.2,42,67.9,133.2,39.1,93.2,144.1,73.7,217.7,145.9
1865,217.2,100.5,113.5,46.3,95.9,35.4,63.6,167.1,111.3,233,246,170.6
1866,213.9,112.4,153,141.7,65,75.8,50.4,148.6,150.7,95.9,107.8,160.3
1867,151.3,128,97.8,113.5,89.2,30.6,97,136.5,141.9,238.8,54.4,122.1
1868,229.9,128.4,155.8,91.8,94.3,44.9,74.1,71.4,85.4,171.9,193.7,262.6
1869,231.3,116.5,88.9,121.6,70,24.7,141.4,57.4,229.3,58.7,130.3,231.8
1870,166.9,124.6,52.5,97.8,121.9,16.5,55.6,98,115,271.7,134.6,70.1
1871,151.7,126.6,160.6,121.5,46.1,131.9,149.3,68,80.7,208.6,112.4,139.3
1872,244.3,193.3,115.3,43.8,56.6,168.8,139.5,123.8,136.5,198,212.8,229.3
1873,252.2,107,126.8,64.2,85.4,75.3,241.9,154.9,179.5,178.2,121.5,70.1
1874,135.5,164,73.4,107,28.2,43.2,134.3,146.5,157.1,196.3,130,188
1875,272.8,60.1,59.8,99.2,122.3,153.5,52.5,98.6,269.4,207,114.9,116.4
1876,116.3,162.2,146.3,107.2,19.8,73.1,71.8,136.7,170.1,151.3,253.4,258.8
1877,242.4,95.8,131.6,156.6,87.4,119.2,78.2,179.2,96.2,199.1,278.1,188.7
1878,158.6,81.7,59.7,103.9,171.9,150.3,53.7,176.4,103.7,178.2,93.7,116.4
1879,194.6,194.2,72.3,145.8,83.8,192.2,116.4,141,131.9,61.5,23,82.9
1880,115.7,181.7,81.7,136,65,126.6,104.3,127,134.9,66.3,159.8,149.3
1881,54.2,169,151,49.4,67.5,194.7,71.8,139.3,72.8,120.8,225.6,255.1
1882,144.9,116.4,106.7,176.5,70.9,93.8,93.6,90.1,90.7,175.9,237.4,127.1
1883,317.4,386,88,102.8,104.8,71.9,130.3,141.9,121.2,134.9,200.4,79.5
1884,232.4,269.3,218.6,42.3,103.5,32.3,156.7,45.6,111.2,121.6,141.9,219.5
1885,182.9,226.4,112.7,105.2,82.4,60.9,39.7,92.8,177.4,139,121.2,73
1886,153.7,117.5,165.3,95,115.1,24.9,147,103.2,202.7,180,142.2,210.8
1887,261.6,108.9,47,55.8,33.8,20.7,74.4,124.5,118.1,104.1,120.7,149.4
1888,161,37,150.6,71.7,103,89.5,119.3,121,23,139,128.7,293.5
1889,173,108.9,52.9,93.4,134.9,52.6,37.2,180.8,82.6,171.7,96.3,158.4
1890,307.4,75,127.5,66.6,107.9,115.9,71.9,104.1,81,90.4,216.5,140.6
1891,111.8,12.9,68.1,48.2,123.8,96,59.8,178.7,109.9,242,132.6,249.5
1892,141,108.9,54.4,43.2,97.9,68.1,85.6,274.7,140.6,137.6,251.9,125.5
1893,113.2,192.1,18,34.3,26.3,40.8,92.3,116.4,85.4,105.2,90.4,209.2
1894,250.5,144.1,101.7,191.3,74,68.9,140,84.3,35.7,175.2,270.9,162.6
1895,137.1,63.6,136.7,86.6,25.2,79.6,157.1,129,29.2,124.2,213,252.8
1896,74.6,82.6,175.5,42.7,7.8,76.2,162,102.8,227,112.4,41.7,205.2
1897,99.8,111.3,198.8,107.7,68.5,115.3,60.7,213.3,105.2,159,167.8,294.2
1898,78,145.1,38.6,191.8,80.1,73.2,34.6,140,126.3,194.2,156.4,205.6
1899,249.9,221.1,125.8,109.2,98.3,37.8,93,62.5,84.4,74,163.6,260.8
1900,152.7,176.2,41.4,94.3,107.9,170.2,90.9,150.7,64.7,295.9,233.2,318.5
1901,171.4,29.7,139.1,138.3,66.7,102.9,29.1,91.1,189.5,149.8,70.2,184.1
1902,94.1,117.3,135.7,62.9,98,88.9,47.8,142.3,52.9,70.7,226.6,200.4
1903,238.6,148.6,370,62.9,88.3,65.3,112.4,133.5,161.5,247,83.4,146.9
1904,245.3,164.5,102.3,92.8,89.4,64.1,146.6,115.6,98.4,82,124.7,144.1
1905,131.4,83.1,232.8,117.8,45.4,54.3,45.7,143.2,79.4,88.3,157.2,178.3
