Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
319700,186000,52.916983,-6.226596,131,Rathdrum,Wicklow,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,142.1,79.6,41.9,178.2,64.8,46,101.3,52.8,72.7,57.5,134.7,141.6
1851,245.6,49,99.8,59.2,58.1,92.8,70.3,74.2,48.4,116.4,35.9,87.9
1852,184.3,85.1,60.4,48.2,103.7,178.6,48.9,105.4,75.3,112.6,301.1,246.1
1853,169.2,51,95.2,82.9,46.3,79,82.8,84.3,68.6,235.7,134.8,71.5
1854,176.4,34.2,37.6,23.8,105.6,112.2,99,51.3,46.3,86.7,78.6,85.9
1855,22.6,79.5,97.6,37.1,102.3,68.5,75,105.8,58.9,119.5,67.4,110.8
1856,137.3,98,44,86.2,148.7,44.5,31.7,87.2,108,101.1,33.6,136.3
1857,106.4,60.6,120.6,131.8,73.3,78.8,58.1,70.6,88.1,97.4,127.6,77.4
1858,65.5,82.2,55,191.6,93.4,41.6,71.1,65.4,91.7,85.6,98.2,151.4
1859,101.4,45,99,130,22.9,30.5,50,93,132.3,88.3,147.6,136.1
1860,186.8,43.7,87.6,58.7,114.1,143.5,57.5,139.4,63.9,76.1,119.6,113.4
1861,118.1,117,121.8,55.2,17.9,106.4,135.8,136.5,162,113.9,114.5,96.1
1862,203.8,47.4,128.8,120.8,119.6,99.4,88.6,75.3,74.1,155,104.6,152.8
1863,111,36.1,122.3,49.3,59.9,77.7,33.4,119.5,104.4,225,133,99.9
1864,104.2,52.2,98.3,48.4,61.2,65,32,47.9,91.2,122.5,191.5,111.9
1865,127,95.9,84.5,48.7,145.4,24.6,76.2,122.2,29.4,159.7,215.7,180.6
1866,176,86.2,132.9,90.9,56.2,92.9,36.4,98.5,126.2,81.7,90,130.6
1867,132.9,96.9,119.1,103.3,136.7,28.1,78.9,79.1,74.6,146.5,41.8,69
1868,162.6,79.4,114.2,88.8,74.5,34.4,33.3,131.9,128.7,87.5,144.2,259.6
1869,200.3,99.9,95.7,79.9,127.1,17.8,47.5,36.7,160.6,41.4,93.7,161.9
1870,133.3,90.7,87.9,37.6,80,25.9,28.5,55.6,86,207.4,86.7,96.1
1871,151.7,108.3,77.7,135.6,24,78.4,131.5,72.6,107.3,142.9,112.2,97.6
1872,142.6,142.6,89.1,100.5,76.7,88.1,38,102.8,93.2,150.4,194,253.4
1873,125.5,38.8,99.9,16.4,25.9,28.2,84.6,113.4,73.4,97.9,82.4,15.8
1874,73.5,105,38,48.6,52.3,24.2,32.8,130.4,58.2,107.4,128.3,113.9
1875,144.3,89,52.6,33.1,50.8,67,88.1,40.1,159.9,265.6,162.4,54.8
1876,19.6,137.8,96.4,71.7,25,38.6,18.5,84.6,156.3,198.4,205.6,282.6
1877,223.2,51.6,83.8,186.5,96.2,44.7,70.2,114.1,110.4,107.4,118.4,95
1878,54.5,72.1,50.8,106.2,103.3,49.7,67,119.6,119.4,116.1,134.2,113
1879,129.4,169.6,67.8,99.6,77,196.1,118.7,99,87.8,47.8,45.4,69.8
1880,31.5,136.3,138.2,97.8,14.5,81.8,164.9,54.3,85.9,257.8,129,107.7
1881,44.5,149,156.8,54.2,68.3,122.3,68.9,140.2,52.2,174,153.4,108.8
1882,87.2,114.8,86.6,187.7,77.3,68.7,112.5,66.1,125,167.4,185.9,149
1883,173.3,275.8,90.6,105.5,111.3,91.6,115,78.1,179.6,87.1,136.7,50.2
1884,136.3,272.7,146,80.4,52.8,32,80.3,17.6,52,35.8,75.8,93.3
1885,112.5,163.9,114.5,150.6,103.6,58.6,29.6,88.4,153.4,154.2,112.8,29
1886,137.8,103.6,109.2,94,200,47.5,74.3,39.5,80.5,276.1,140,147
1887,113,34.4,74.8,47,54.4,7.6,40.1,114.7,53.4,78.8,165.9,72.6
1888,85.5,28.5,194.9,88.4,86,95.7,152.9,53.2,19.7,71.6,247.4,169.6
1889,109.3,101.3,78.9,110.1,130.8,8.1,68.7,164.6,40.5,258.2,29.9,83.8
1890,145.8,45.4,157.4,65.6,132.4,53.4,48.6,81.1,108.6,32,214.5,92.2
1891,47.9,5.2,64.9,105.8,124.9,97.9,59.6,139.4,71.6,216.1,190.4,206.3
1892,74.6,101.3,43.6,34.9,160.8,97.9,105.8,101.2,91.3,119.6,160.5,26.4
1893,126.9,126.5,8,17.4,32.7,55,51.7,84.4,24.2,37,79.6,106.8
1894,145.4,82.6,47.7,161.7,143.1,45.6,108.4,125.6,29.2,231.2,93.7,89.9
1895,209.2,18.7,118.7,68,3.4,51.3,104.9,108.2,33.7,98.2,174,174.8
1896,21.5,33.3,107,35.9,2.7,40.1,167.5,29.9,235.7,172.5,31.3,217.3
1897,119.6,40.2,179.7,126.2,42.4,113.6,46.9,156.2,96.1,102.1,140.3,118.5
1898,63.2,81.5,52.3,169.5,125.2,56.4,37.7,77.6,59.6,152.8,192.5,48.8
1899,141.2,153.2,32.7,96.2,87.9,94.9,119.1,82.9,93.7,44.5,129,150.4
1900,118.5,182.8,39.9,60.3,91.8,72.4,113,186.5,28.9,102.6,201.7,104.1
1901,150.1,67.8,79.2,77,40.5,72.7,75.4,92.5,187.7,93.2,105.7,120.8
1902,68.5,98.4,57.6,124,106.1,96.6,137.8,113.6,129.2,136.3,207.1,114.5
1903,143.2,108.8,179.4,48.6,110.1,44.7,124.5,114.5,154.2,152.5,85,130.8
1904,117.1,145.4,111.1,55.4,83.5,67,38.6,90.3,133.4,18.5,49.9,81.2
1905,93.6,45.4,167.6,112.6,52.6,51.7,40.4,282.9,44.5,51.1,181.1,84.4
