Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
182877.68,60742.1,51.7992369,-8.2488888,40,Roches Point,Cork,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,117.1,70.4,37.9,156.3,45.7,44,123.6,60.4,61.8,57.8,115.1,135.3
1851,226.3,42.1,93.2,53.1,48.3,98.6,79.3,83.4,40.7,113.5,24.7,71.3
1852,159.4,64.5,56.8,40.8,92.8,177.2,62.7,116.7,70.8,106.9,232.8,202.5
1853,152.5,40.9,83.6,67.4,45.9,84.2,96.6,97,70.9,224.3,105.5,54.9
1854,158.5,23.5,27.7,24.1,90.6,113.1,109.7,59,43.4,81.2,55.7,48
1855,19,72.9,87.2,28.8,90.6,74,94.2,121.1,58.8,113.9,60.1,93.6
1856,124.2,92.1,41.8,80.6,132.6,47.3,46.8,102.7,100.1,109,20.7,108
1857,82.2,51.2,95.2,101.4,69.7,89.6,72.5,80,86,104,96.9,60.5
1858,55,78,51.4,155.4,75.2,50.1,87.5,71.2,92,84.2,86.6,123.3
1859,80.9,34.6,84.4,113.1,24.1,35.1,68.1,105.7,120.6,94.6,116.6,117.5
1860,166.2,37.6,77.3,49.6,98.1,155.5,80.7,150.8,68.3,75.8,101.8,96.1
1861,109.5,108.9,96.2,45.5,20.5,102.6,162.2,160.6,164.1,114,90.9,79
1862,168.6,42.6,109.3,101.3,96,104.7,100.9,89.6,72.2,149,89.5,126.7
1863,92.1,37.2,122,43,52.7,77.1,53.5,142.4,96,199.5,112.2,86.8
1864,93.2,46.6,85,35.6,54.1,77.3,46.6,63.2,87.3,111.2,141.3,93.6
1865,112.8,81.3,74,41.4,110.5,32.5,91.9,140.7,42,142.5,171.6,150.2
1866,144.2,71.7,114.4,83.5,53,97.2,46.4,115.1,115.9,83.2,65,100.6
1867,106.9,80,104.6,81.2,108.8,34.3,90.3,98.4,80.2,139.8,34,55.4
1868,146.1,65.3,96.4,71.1,68.3,42.3,56,139.5,120.4,95.3,116.7,217.7
1869,176.2,72.6,80.9,68.6,105.8,23.5,77.3,51.5,155.2,45.3,74.8,141.1
1870,117.4,86.5,79.7,38.5,79.8,32.8,45.6,73,79.8,181,72.8,69.8
1871,125.9,92.7,78.5,109.6,27.4,92.5,148.9,85.1,92.3,141.2,90.7,84.9
1872,155,125.9,109.1,65.2,48.8,103.7,108.2,130,96,132.4,144.9,227.7
1873,172.3,56.3,104,38,55.7,53.6,135.1,154.7,94.9,109.2,73.3,28.1
1874,82.8,91.9,50.8,55.7,34.7,40.9,79.8,117.8,90.4,147.1,114.6,114.3
1875,182.4,68,47.3,39.7,71.6,91.3,93.5,79.3,160.6,222,119,62.4
1876,59.7,130.7,98.4,80.2,21.9,49.5,59.7,115.4,132.3,159.2,143.4,225.8
1877,166.3,47.8,89.5,141.5,84.5,77,81.7,164.9,88.8,140.7,142.2,112.7
1878,77.3,72,39,91.3,132.7,135.6,51.8,123.8,73.3,104.9,54.3,68.7
