Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
261478.55,116752.28,52.2994333,-7.0995223,42,Waterford,Waterford,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,94.5,61.2,20.5,164.8,22.7,30.3,103.4,36.6,51.6,40.7,127.9,132.2
1851,214.3,45.7,86.2,57.4,35.4,76.8,50.3,82.4,31.1,110.9,22.2,94.8
1852,167.6,55.1,52.6,44.2,113.2,181.5,48,104.1,61.4,80.4,221.6,268.1
1853,168.8,35.4,72.3,65,42,96.5,90.2,67.2,67.7,228.5,108.9,41.7
1854,148.9,25.5,2.3,30.1,79.9,87.4,89.2,35.9,31.8,84.2,56.4,44.2
1855,2.3,9.1,71.8,22.5,82.1,68.7,97,107.9,56.1,137.5,53.1,104.4
1856,121.3,84.2,44.7,91.5,116,27,31.6,90.5,106.7,122.1,14.4,75.1
1857,63.4,62.9,57.9,96.5,112.2,70.8,40.2,54.8,46,79.1,137.7,78.6
1858,29.3,0,90,124.6,79.9,21,65,43.7,75.3,62.4,139.5,94.5
1859,80.4,7.8,76.8,85.9,13.6,7.1,44.2,87.7,95.8,54.6,107.2,71.5
1860,160.7,37.4,53.1,50.8,70.8,179.2,100.3,130.9,64.7,60.4,87.4,78.3
1861,81.4,79.6,81.6,40.7,0,87.2,158,75.8,135.5,61.4,84.9,81.9
1862,208,53.6,86.2,79.1,106.7,113.5,76.6,94.8,73.5,107.2,77.1,147.8
1863,74,22,81.9,21,55.6,13.9,69.8,38.4,91.7,185,71.5,47.5
1864,34.1,40.9,47,33.9,17.9,57.4,25,45.7,70.5,113.5,150.9,110.2
1865,86.9,91.2,49,42.7,122.8,19.7,89.5,109.7,26.3,127.4,174.4,162.8
1866,136.7,58.9,97.6,76.3,27,78.3,29.3,75.3,138.2,97,44.7,98.8
1867,96.8,89.7,70,92.8,124.1,11.6,57.6,65.2,59.6,116.8,28.8,58.9
1868,128.1,58.1,84.4,88.5,75.3,46.5,40.9,134.5,126.4,70.3,132.2,283.1
1869,195.4,65.2,60.1,69,105.6,12.4,53.1,35.9,145.1,29.8,60.1,134.2
1870,142,93.5,94.5,32.3,73.3,28.3,26.3,84.2,73,171.6,76.8,69.2
1871,114,98.1,56.6,130.7,18.7,82.1,139.3,100.8,84.2,121.6,132.7,90.2
1872,176.4,155.9,128.1,97.3,59.4,118.3,75.3,119.3,98.8,127.9,155.4,306.6
1873,214.8,44.5,93,41.2,57.9,36.6,99.3,155.9,94.8,89.7,68.5,21.7
1874,82.9,83.4,38.2,52.1,45,46,48.3,109.7,88.7,160.2,126.9,121.3
1875,231.2,60.7,40.9,24.3,77.1,77.6,119.3,69,168.1,262.8,127.6,60.9
1876,67.5,137.2,95,82.9,14.2,38.2,41.7,127.1,128.6,191.6,155.4,277.2
1877,171.6,45,78.1,155.2,91,64.7,73,168.8,99.1,128.1,144.1,114.2
1878,65.7,78.3,23.3,105.6,150.1,134.5,32.9,75.8,66.5,99.3,48,57.1
1879,127.6,159.7,49.5,72.8,48.5,157.2,108.7,145.3,105.6,34.6,19.5,37.4
1880,38.7,137.7,121.8,108.4,21,63.9,154.7,41.4,85.7,98.8,116.3,86.4
1881,79.6,144.6,89.5,43.5,63.2,129.1,57.9,127.4,75.1,68.5,183,109.9
