Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1871,1,1,33.3,32.6,0.7,0.3
1871,1,2,45.1,33.4,7.3,0.8
1871,1,3,39.5,34,4.2,1.1
1871,1,4,40.2,35.6,4.6,2
1871,1,5,46.3,39.8,7.9,4.3
1871,1,6,41.4,35.4,5.2,1.9
1871,1,7,52.2,36,11.2,2.2
1871,1,8,38.5,33,3.6,0.6
1871,1,9,40.5,36.9,4.7,2.7
1871,1,10,40,34.1,4.4,1.2
1871,1,11,40.3,34.6,4.6,1.4
1871,1,12,39.2,31.2,4,-0.4
1871,1,13,39.1,34.8,3.9,1.6
1871,1,14,48.2,42.7,9,5.9
1871,1,15,51.5,39.4,10.8,4.1
1871,1,16,42.2,37,5.7,2.8
1871,1,17,46.1,37.2,7.8,2.9
1871,1,18,41.6,33.1,5.3,0.6
1871,1,19,38,33.6,3.3,0.9
1871,1,20,43,34.5,6.1,1.4
1871,1,21,37.1,32.7,2.8,0.4
1871,1,22,40.3,34.7,4.6,1.5
1871,1,23,39.8,35.4,4.3,1.9
1871,1,24,40.2,32,4.6,0
1871,1,25,39.5,33.2,4.2,0.7
1871,1,26,37.3,28.7,2.9,-1.8
1871,1,27,34.1,32,1.2,0
1871,1,28,40,34.2,4.4,1.2
1871,1,29,35.7,33.5,2.1,0.8
1871,1,30,37.6,34.6,3.1,1.4
1871,1,31,38.4,34.7,3.6,1.5
1871,2,1,40.1,34.5,4.5,1.4
1871,2,2,36,34.3,2.2,1.3
1871,2,3,46.9,38.4,8.3,3.6
1871,2,4,46.8,43.4,8.2,6.3
1871,2,5,54,43.5,12.2,6.4
1871,2,6,52.7,45,11.5,7.2
1871,2,7,56.2,47.8,13.4,8.8
1871,2,8,51.7,47.3,10.9,8.5
1871,2,9,48.2,38.2,9,3.4
1871,2,10,42.9,37.4,6.1,3
1871,2,11,44.8,33.3,7.1,0.7
1871,2,12,52.4,40,11.3,4.4
1871,2,13,51.2,40.5,10.7,4.7
1871,2,14,53.9,45.8,12.2,7.7
1871,2,15,51.2,44.8,10.7,7.1
1871,2,16,53.4,40,11.9,4.4
1871,2,17,53.5,45.9,11.9,7.7
1871,2,18,53.8,44.3,12.1,6.8
1871,2,19,55.9,50.2,13.3,10.1
1871,2,20,50.7,43.8,10.4,6.6
1871,2,21,48.5,41,9.2,5
1871,2,22,50.8,39.8,10.4,4.3
1871,2,23,53.6,44,12,6.7
1871,2,24,51,43,10.6,6.1
1871,2,25,49.1,44.6,9.5,7
1871,2,26,49,39,9.4,3.9
1871,2,27,53.2,43.2,11.8,6.2
1871,2,28,47.6,45.2,8.7,7.3
1871,3,1,46.6,43,8.1,6.1
1871,3,2,58.5,43.8,14.7,6.6
1871,3,3,54.2,45.7,12.3,7.6
1871,3,4,56.6,42.6,13.7,5.9
1871,3,5,55.7,43.4,13.2,6.3
1871,3,6,53.4,43.8,11.9,6.6
1871,3,7,50.2,37.3,10.1,2.9
1871,3,8,46.4,38.9,8,3.8
