Year,Month,Day,Max at 9h (°F),Min at 9h (°F),Max at 21h (°F),Min at 21h (°F),Max at 9h (°C),Min at 9h (°C),Max at 21h (°C),Min at 21h (°C)
1959,1,1,45.3,40.8,47.2,37,7.4,4.9,8.4,2.8
1959,1,2,39.8,35,45.3,38,4.3,1.7,7.4,3.3
1959,1,3,38.8,32,40,34.8,3.8,0,4.4,1.6
1959,1,4,35,30.3,40.2,30,1.7,-0.9,4.6,-1.1
1959,1,5,35,29.8,41,34.7,1.7,-1.2,5,1.5
1959,1,6,40.3,39.7,41.7,39.9,4.6,4.3,5.4,4.4
1959,1,7,40,34.8,48,31.4,4.4,1.6,8.9,-0.3
1959,1,8,33.2,27.6,38.3,31,0.7,-2.4,3.5,-0.6
1959,1,9,34,29.7,38.5,28.7,1.1,-1.3,3.6,-1.8
1959,1,10,28.7,24.8,36.3,28,-1.8,-4,2.4,-2.2
1959,1,11,31.8,28.7,35.6,26.8,-0.1,-1.8,2,-2.9
1959,1,12,29.3,26.8,38,29.2,-1.5,-2.9,3.3,-1.6
1959,1,13,31,26.3,30,26.3,-0.6,-3.2,-1.1,-3.2
1959,1,14,30.8,27.2,37.3,29.8,-0.7,-2.7,2.9,-1.2
1959,1,15,37.3,30,39.8,24.7,2.9,-1.1,4.3,-4.1
1959,1,16,25.8,20.2,41.5,34.5,-3.4,-6.6,5.3,1.4
1959,1,17,49.5,34.5,49.7,41.5,9.7,1.4,9.8,5.3
1959,1,18,43.7,35.3,52,40,6.5,1.8,11.1,4.4
1959,1,19,52.3,47.8,54,46.7,11.3,8.8,12.2,8.2
1959,1,20,47.7,39,51.6,38.8,8.7,3.9,10.9,3.8
1959,1,21,44.3,38,43,39.5,6.8,3.3,6.1,4.2
1959,1,22,42.6,37.7,38.3,29,5.9,3.2,3.5,-1.7
1959,1,23,33,29.8,39.6,29.3,0.6,-1.2,4.2,-1.5
1959,1,24,30.7,25.4,41.8,27.9,-0.7,-3.7,5.4,-2.3
1959,1,25,27.5,21.3,40.7,27.3,-2.5,-5.9,4.8,-2.6
1959,1,26,38.5,32,44.3,34.8,3.6,0,6.8,1.6
1959,1,27,40.5,32.5,45.3,29,4.7,0.3,7.4,-1.7
1959,1,28,32.8,28.4,45.7,32.3,0.4,-2,7.6,0.2
1959,1,29,47.2,42.8,51.2,44.8,8.4,6,10.7,7.1
1959,1,30,46.2,41.3,46.1,38.5,7.9,5.2,7.8,3.6
1959,1,31,42.6,40.3,45.3,37.2,5.9,4.6,7.4,2.9
1959,2,1,41.2,35.6,44.4,31.2,5.1,2,6.9,-0.4
1959,2,2,31.6,24.7,44.3,29.2,-0.2,-4.1,6.8,-1.6
1959,2,3,39,26.5,41.6,37.7,3.9,-3.1,5.3,3.2
1959,2,4,40.3,36.7,43,39.8,4.6,2.6,6.1,4.3
1959,2,5,40.3,32.8,41.2,27.6,4.6,0.4,5.1,-2.4
1959,2,6,39.5,25.5,41,39,4.2,-3.6,5,3.9
1959,2,7,43.2,39,46.3,36.7,6.2,3.9,7.9,2.6
1959,2,8,40.7,26.8,46.7,31.6,4.8,-2.9,8.2,-0.2
1959,2,9,39.3,30.2,45.4,34.6,4.1,-1,7.4,1.4
1959,2,10,44,32.2,52.7,32.2,6.7,0.1,11.5,0.1
1959,2,11,33.5,26,49,30,0.8,-3.3,9.4,-1.1
1959,2,12,44.5,42.3,49.2,43,6.9,5.7,9.6,6.1
1959,2,13,49.3,42.7,51,48.8,9.6,5.9,10.6,9.3
1959,2,14,50,48.8,51.9,36.3,10,9.3,11.1,2.4
1959,2,15,45.3,32.3,52.4,44.2,7.4,0.2,11.3,6.8
1959,2,16,50,47,54.6,41.6,10,8.3,12.6,5.3
1959,2,17,46.5,36.7,54.4,32,8.1,2.6,12.4,0
1959,2,18,42.3,28,55,38.3,5.7,-2.2,12.8,3.5
1959,2,19,44,33,50.3,37,6.7,0.6,10.2,2.8
1959,2,20,49.3,43.2,53.7,44.4,9.6,6.2,12.1,6.9
1959,2,21,49,42,51.2,48.2,9.4,5.6,10.7,9
1959,2,22,48.3,44.7,54.7,45.9,9.1,7.1,12.6,7.7
1959,2,23,49.2,43.8,52.3,47,9.6,6.6,11.3,8.3
1959,2,24,50,46.4,57.3,50,10,8,14.1,10
1959,2,25,52.8,49.7,56,45.6,11.6,9.8,13.3,7.6
1959,2,26,54,45.2,56.6,50,12.2,7.3,13.7,10
