Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1851,4,1,55,37.5,12.8,3.1
1851,4,2,58.4,39.4,14.7,4.1
1851,4,3,53.5,40,11.9,4.4
1851,4,4,55.5,44.6,13.1,7
1851,4,5,56,35,13.3,1.7
1851,4,6,55,37.5,12.8,3.1
1851,4,7,58,38.4,14.4,3.6
1851,4,8,57.5,36.5,14.2,2.5
1851,4,9,49.5,36,9.7,2.2
1851,4,10,52,39,11.1,3.9
1851,4,11,57.6,34.5,14.2,1.4
1851,4,12,55,37.2,12.8,2.9
1851,4,13,51,38.5,10.6,3.6
1851,4,14,51,40,10.6,4.4
1851,4,15,50,34.2,10,1.2
1851,4,16,49,40.5,9.4,4.7
1851,4,17,50.6,40.4,10.3,4.7
1851,4,18,60,44.6,15.6,7
1851,4,19,60,36.6,15.6,2.6
1851,4,20,56,42,13.3,5.6
1851,4,21,60.6,42,15.9,5.6
1851,4,22,59,43,15,6.1
1851,4,23,60,41,15.6,5
1851,4,24,57,37.4,13.9,3
1851,4,25,58.6,35.6,14.8,2
1851,4,26,60,38,15.6,3.3
1851,4,27,49.6,34.2,9.8,1.2
1851,4,28,49,34.2,9.4,1.2
1851,4,29,52,37,11.1,2.8
1851,4,30,55,36.4,12.8,2.4
1851,5,1,53.8,33.5,12.1,0.8
1851,5,2,57.5,41,14.2,5
1851,5,3,57.5,36.5,14.2,2.5
1851,5,4,51.4,36,10.8,2.2
1851,5,5,51,36.8,10.6,2.7
1851,5,6,54,36.8,12.2,2.7
1851,5,7,56,39.8,13.3,4.3
1851,5,8,61,46.2,16.1,7.9
1851,5,9,53.8,36,12.1,2.2
1851,5,10,58.4,42,14.7,5.6
1851,5,11,66.4,46,19.1,7.8
1851,5,12,57.2,39.2,14,4
1851,5,13,62,43,16.7,6.1
1851,5,14,65.8,46,18.8,7.8
1851,5,15,63,44,17.2,6.7
1851,5,16,63.8,47.2,17.7,8.4
1851,5,17,63,47.8,17.2,8.8
1851,5,18,68,48,20,8.9
1851,5,19,58.5,40.5,14.7,4.7
1851,5,20,58.4,42,14.7,5.6
1851,5,21,65,49.4,18.3,9.7
1851,5,22,69.6,50,20.9,10
1851,5,23,65.8,39.8,18.8,4.3
1851,5,24,63,42.5,17.2,5.8
1851,5,25,68.4,51.5,20.2,10.8
1851,5,26,60,44.5,15.6,6.9
1851,5,27,59.6,43,15.3,6.1
1851,5,28,62,45,16.7,7.2
1851,5,29,68,49,20,9.4
1851,5,30,72,47.5,22.2,8.6
1851,5,31,68,40.5,20,4.7
1851,6,1,68,40.4,20,4.7
1851,6,2,66,46.8,18.9,8.2
1851,6,3,68.5,46.6,20.3,8.1
1851,6,4,62,38.5,16.7,3.6
1851,6,5,58.8,41,14.9,5
1851,6,6,66,39.5,18.9,4.2
1851,6,7,64.5,41,18.1,5
1851,6,8,65.5,49.2,18.6,9.6
1851,6,9,62,43.5,16.7,6.4
1851,6,10,64,41.2,17.8,5.1
1851,6,11,64,39,17.8,3.9
1851,6,12,66,44,18.9,6.7
1851,6,13,65,45,18.3,7.2
1851,6,14,66.8,41.8,19.3,5.4
1851,6,15,68.4,50.5,20.2,10.3
1851,6,16,66.8,49,19.3,9.4
1851,6,17,61,47,16.1,8.3
1851,6,18,61.4,46,16.3,7.8
1851,6,19,67.2,53.5,19.6,11.9
1851,6,20,65,47,18.3,8.3
1851,6,21,73,52.4,22.8,11.3
1851,6,22,74.4,47,23.6,8.3
1851,6,23,62.2,43.8,16.8,6.6
1851,6,24,62.5,46,16.9,7.8
1851,6,25,73,54.5,22.8,12.5
1851,6,26,75,53.5,23.9,11.9
1851,6,27,77.2,49,25.1,9.4
1851,6,28,73.8,54.5,23.2,12.5
1851,6,29,80.6,56.2,27,13.4
1851,6,30,81,56.2,27.2,13.4
1851,7,1,78,58,25.6,14.4
1851,7,2,73,52.5,22.8,11.4
1851,7,3,68,48.5,20,9.2
1851,7,4,73.4,41.2,23,5.1
1851,7,5,68.4,44,20.2,6.7
1851,7,6,68.5,50.5,20.3,10.3
1851,7,7,67,53,19.4,11.7
1851,7,8,67,52.8,19.4,11.6
1851,7,9,64.5,46.4,18.1,8
1851,7,10,67,50.4,19.4,10.2
1851,7,11,61,46.4,16.1,8
1851,7,12,70,52.4,21.1,11.3
1851,7,13,74,54,23.3,12.2
1851,7,14,68,50.6,20,10.3
1851,7,15,68,46,20,7.8
1851,7,16,67.2,42,19.6,5.6
1851,7,17,72,44,22.2,6.7
1851,7,18,72.5,56,22.5,13.3
1851,7,19,71.5,55,21.9,12.8
1851,7,20,66,52.5,18.9,11.4
1851,7,21,66.5,45,19.2,7.2
1851,7,22,67,44.5,19.4,6.9
1851,7,23,71,51,21.7,10.6
1851,7,24,59.5,49,15.3,9.4
1851,7,25,63,50,17.2,10
1851,7,26,65.5,46,18.6,7.8
1851,7,27,66.5,46,19.2,7.8
1851,7,28,70.5,52,21.4,11.1
1851,7,29,72.5,51.5,22.5,10.8
1851,7,30,67.5,51,19.7,10.6
1851,7,31,65,51,18.3,10.6
1851,8,1,73.8,48.5,23.2,9.2
1851,8,2,68,43.4,20,6.3
1851,8,3,70,56.6,21.1,13.7
1851,8,4,69,49.4,20.6,9.7
1851,8,5,73.5,48,23.1,8.9
1851,8,6,69,48,20.6,8.9
1851,8,7,69,48,20.6,8.9
1851,8,8,68,50.5,20,10.3
1851,8,9,67,46.8,19.4,8.2
1851,8,10,70,46.5,21.1,8.1
1851,8,11,69.4,53,20.8,11.7
1851,8,12,73.5,50.2,23.1,10.1
1851,8,13,73,55.5,22.8,13.1
1851,8,14,77.4,51.6,25.2,10.9
1851,8,15,74,51,23.3,10.6
1851,8,16,72.8,45.5,22.7,7.5
1851,8,17,66.5,51.6,19.2,10.9
1851,8,18,66,48.8,18.9,9.3
1851,8,19,71,52.5,21.7,11.4
1851,8,20,75,52,23.9,11.1
1851,8,21,75,54,23.9,12.2
1851,8,22,76.6,51.4,24.8,10.8
1851,8,23,70.8,47,21.6,8.3
1851,8,24,70,41.5,21.1,5.3
1851,8,25,57,42,13.9,5.6
1851,8,26,68,47,20,8.3
1851,8,27,68.5,50,20.3,10
1851,8,28,65,45.5,18.3,7.5
1851,8,29,60.5,42,15.8,5.6
1851,8,30,60,41,15.6,5
1851,8,31,63.6,41,17.6,5
1851,9,1,68,53,20,11.7
1851,9,2,69.8,56,21,13.3
1851,9,3,69,56.4,20.6,13.6
1851,9,4,69,49.4,20.6,9.7
1851,9,5,69.6,49.2,20.9,9.6
1851,9,6,63,62.4,17.2,16.9
1851,9,7,60,40.5,15.6,4.7
1851,9,8,63,43.5,17.2,6.4
1851,9,9,63,45.2,17.2,7.3
1851,9,10,66,46,18.9,7.8
1851,9,11,69,37,20.6,2.8
1851,9,12,68,35,20,1.7
1851,9,13,70,36,21.1,2.2
1851,9,14,70,36,21.1,2.2
1851,9,15,71,37,21.7,2.8
1851,9,16,68.6,37,20.3,2.8
1851,9,17,67.5,40.6,19.7,4.8
1851,9,18,64,38.5,17.8,3.6
1851,9,19,63,46,17.2,7.8
1851,9,20,68,50,20,10
1851,9,21,68,45,20,7.2
1851,9,22,68,48,20,8.9
1851,9,23,66,51.4,18.9,10.8
1851,9,24,64.2,40,17.9,4.4
1851,9,25,66.6,42.5,19.2,5.8
1851,9,26,50.8,35,10.4,1.7
1851,9,27,53,40.8,11.7,4.9
1851,9,28,54,37,12.2,2.8
1851,9,29,54,42,12.2,5.6
1851,9,30,56,46.6,13.3,8.1
1851,10,1,59,40.8,15,4.9
1851,10,2,55,34.5,12.8,1.4
1851,10,3,59,41,15,5
