Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1850,10,1,57,53,13.9,11.7
1850,10,2,58.5,47.5,14.7,8.6
1850,10,3,56,50.3,13.3,10.2
1850,10,4,56,50,13.3,10
1850,10,5,54.5,47,12.5,8.3
1850,10,6,56,48,13.3,8.9
1850,10,7,55,54.5,12.8,12.5
1850,10,8,57.5,54.3,14.2,12.4
1850,10,9,54.5,44.5,12.5,6.9
1850,10,10,54.5,45,12.5,7.2
1850,10,11,50.5,44.5,10.3,6.9
1850,10,12,51.8,44.8,11,7.1
1850,10,13,52.8,48,11.6,8.9
1850,10,14,55.5,50,13.1,10
1850,10,15,53,44,11.7,6.7
1850,10,16,55,49,12.8,9.4
1850,10,17,59,52,15,11.1
1850,10,18,57.5,53.5,14.2,11.9
1850,10,19,56,53,13.3,11.7
1850,10,20,57,48.5,13.9,9.2
1850,10,21,56.8,44,13.8,6.7
1850,10,22,52.5,42.3,11.4,5.7
1850,10,23,53.5,42,11.9,5.6
1850,10,24,49.2,41.5,9.6,5.3
1850,10,25,49,40.5,9.4,4.7
1850,10,26,49,43.5,9.4,6.4
1850,10,27,53.5,46.5,11.9,8.1
1850,10,28,54,44.5,12.2,6.9
1850,10,29,49.8,41,9.9,5
1850,10,30,55,46.3,12.8,7.9
1850,10,31,56,51.4,13.3,10.8
1850,11,1,56.8,53,13.8,11.7
1850,11,2,57.6,52,14.2,11.1
1850,11,3,56.5,50.5,13.6,10.3
1850,11,4,55.5,45,13.1,7.2
1850,11,5,53,47,11.7,8.3
1850,11,6,55,48.5,12.8,9.2
1850,11,7,54.5,51.2,12.5,10.7
1850,11,8,53.5,NA,11.9,NA
1850,11,9,54,48,12.2,8.9
1850,11,10,55.8,52.5,13.2,11.4
1850,11,11,55.2,52.5,12.9,11.4
1850,11,12,55.5,49.3,13.1,9.6
1850,11,13,53.5,45.5,11.9,7.5
1850,11,14,49.5,44.3,9.7,6.8
1850,11,15,50.8,45.2,10.4,7.3
1850,11,16,52.8,48.5,11.6,9.2
1850,11,17,52,47.5,11.1,8.6
1850,11,18,50.8,43.8,10.4,6.6
1850,11,19,54,44,12.2,6.7
1850,11,20,51.8,45,11,7.2
