Year,Month,Daily,Max (°F),Min (°F),Max (°C),Min (°C)
1880,1,1,56.5,52.3,13.6,11.3
1880,1,2,45,38.9,7.2,3.8
1880,1,3,48,35.1,8.9,1.7
1880,1,4,50,35.6,10,2
1880,1,5,50.7,46,10.4,7.8
1880,1,6,49.8,42.8,9.9,6
1880,1,7,45.4,39.6,7.4,4.2
1880,1,8,41.3,40,5.2,4.4
1880,1,9,43.7,36.4,6.5,2.4
1880,1,10,40.9,34.5,4.9,1.4
1880,1,11,40.3,34.9,4.6,1.6
1880,1,12,37,35.7,2.8,2.1
1880,1,13,36,33.2,2.2,0.7
1880,1,14,39.9,25.5,4.4,-3.6
1880,1,15,43.3,28.3,6.3,-2.1
1880,1,16,44,26.9,6.7,-2.8
1880,1,17,38.1,30.4,3.4,-0.9
1880,1,18,38,26.3,3.3,-3.2
1880,1,19,34.4,27.9,1.3,-2.3
1880,1,20,35.7,23,2.1,-5
1880,1,21,35.9,21,2.2,-6.1
1880,1,22,31.5,19,-0.3,-7.2
1880,1,23,34.6,21.3,1.4,-5.9
1880,1,24,38.6,23.4,3.7,-4.8
1880,1,25,41.1,33.8,5.1,1
1880,1,26,41.9,31.4,5.5,-0.3
1880,1,27,45.4,30.9,7.4,-0.6
1880,1,28,48.2,33.9,9,1.1
1880,1,29,50.2,41.2,10.1,5.1
1880,1,30,50.1,44.3,10.1,6.8
1880,1,31,52.3,38.1,11.3,3.4
1880,2,1,51.6,40.2,10.9,4.6
1880,2,2,51.4,44.7,10.8,7.1
1880,2,3,53.2,40.9,11.8,4.9
1880,2,4,57.1,44.5,13.9,6.9
1880,2,5,47.9,42.8,8.8,6
1880,2,6,51.6,33.7,10.9,0.9
1880,2,7,47.2,36.9,8.4,2.7
1880,2,8,44.2,31.7,6.8,-0.2
1880,2,9,46.8,31.2,8.2,-0.4
1880,2,10,43.9,31.2,6.6,-0.4
1880,2,11,46.9,29,8.3,-1.7
1880,2,12,42.4,29,5.8,-1.7
1880,2,13,46.8,31.2,8.2,-0.4
1880,2,14,48.6,31,9.2,-0.6
1880,2,15,45.9,30.4,7.7,-0.9
1880,2,16,44.9,38,7.2,3.3
1880,2,17,50.4,34.8,10.2,1.6
1880,2,18,51.1,34.2,10.6,1.2
1880,2,19,54.4,42.5,12.4,5.8
1880,2,20,51.9,42.2,11.1,5.7
1880,2,21,48.4,34.7,9.1,1.5
1880,2,22,48,34.2,8.9,1.2
1880,2,23,48.2,35.1,9,1.7
1880,2,24,49.7,35,9.8,1.7
1880,2,25,47.9,35,8.8,1.7
1880,2,26,47.2,38.2,8.4,3.4
1880,2,27,48.9,37.9,9.4,3.3
1880,2,28,52.4,39.4,11.3,4.1
1880,2,29,52.9,45.3,11.6,7.4
1880,3,1,47.4,36.5,8.6,2.5
1880,3,2,50.4,33,10.2,0.6
1880,3,3,52.1,42.2,11.2,5.7
1880,3,4,52.2,40.3,11.2,4.6
1880,3,5,56.4,43.1,13.6,6.2
1880,3,6,52.6,48,11.4,8.9
1880,3,7,53,41.9,11.7,5.5
1880,3,8,53.9,38.1,12.2,3.4
1880,3,9,48.9,30.1,9.4,-1.1
1880,3,10,49.2,33.9,9.6,1.1
1880,3,11,49.3,39.2,9.6,4
1880,3,12,49.2,42.9,9.6,6.1
1880,3,13,56,35.5,13.3,1.9
1880,3,14,53.2,38.4,11.8,3.6
1880,3,15,55.5,41.9,13.1,5.5
1880,3,16,48.8,41.3,9.3,5.2
1880,3,17,47.6,42.1,8.7,5.6
1880,3,18,55.6,42.5,13.1,5.8
1880,3,19,57.9,39.7,14.4,4.3
1880,3,20,59.6,34.9,15.3,1.6
1880,3,21,51.6,36.9,10.9,2.7
1880,3,22,53.9,28.4,12.2,-2
1880,3,23,49.2,31.3,9.6,-0.4
1880,3,24,52.9,30.1,11.6,-1.1
1880,3,25,50,35.9,10,2.2
1880,3,26,46,44.2,7.8,6.8
1880,3,27,59.2,36.9,15.1,2.7
1880,3,28,60.1,32.1,15.6,0.1
1880,3,29,58.9,35.1,14.9,1.7
1880,3,30,58.4,33.9,14.7,1.1
1880,3,31,53.9,38.4,12.2,3.6
1880,4,1,51.7,35.3,10.9,1.8
1880,4,2,57.7,40.4,14.3,4.7
1880,4,3,55.3,46.4,12.9,8
1880,4,4,51.9,36.7,11.1,2.6
1880,4,5,50.4,38.6,10.2,3.7
1880,4,6,53.9,36.8,12.2,2.7
1880,4,7,52.8,40.2,11.6,4.6
1880,4,8,51.6,38.3,10.9,3.5
1880,4,9,53.6,31.1,12,-0.5
1880,4,10,52.4,33.4,11.3,0.8
1880,4,11,48.8,33.9,9.3,1.1
1880,4,12,49.9,32.3,9.9,0.2
1880,4,13,53.4,35.3,11.9,1.8
1880,4,14,49.6,36.3,9.8,2.4
1880,4,15,51.1,34.9,10.6,1.6
1880,4,16,52.5,38.9,11.4,3.8
1880,4,17,53.8,41.1,12.1,5.1
1880,4,18,54.9,43.1,12.7,6.2
1880,4,19,59.2,46,15.1,7.8
1880,4,20,55.9,41.1,13.3,5.1
1880,4,21,54.1,44,12.3,6.7
1880,4,22,55.9,36.9,13.3,2.7
