Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1953,10,1,NA,NA,NA,NA
1953,10,2,NA,NA,NA,NA
1953,10,3,54.8,40.7,12.7,4.8
1953,10,4,57.4,35.7,14.1,2.1
1953,10,5,61.1,36.7,16.2,2.6
1953,10,6,58.9,35.8,14.9,2.1
1953,10,7,59,46.9,15,8.3
1953,10,8,61.7,40.9,16.5,4.9
1953,10,9,60.2,42.2,15.7,5.7
1953,10,10,59.5,47.8,15.3,8.8
1953,10,11,61.2,46.7,16.2,8.2
1953,10,12,56,45.1,13.3,7.3
1953,10,13,53,45,11.7,7.2
1953,10,14,49,39.9,9.4,4.4
1953,10,15,50.2,39.3,10.1,4.1
1953,10,16,56.6,46.7,13.7,8.2
1953,10,17,57.2,39.8,14,4.3
1953,10,18,52,40.7,11.1,4.8
1953,10,19,59.6,37,15.3,2.8
1953,10,20,58.1,39.2,14.5,4
1953,10,21,62.4,50.9,16.9,10.5
1953,10,22,56.1,52,13.4,11.1
1953,10,23,56.7,37.9,13.7,3.3
1953,10,24,59,44.3,15,6.8
1953,10,25,56.2,38.9,13.4,3.8
1953,10,26,59.7,49.1,15.4,9.5
1953,10,27,56.9,36.9,13.8,2.7
1953,10,28,55.3,34.3,12.9,1.3
1953,10,29,53.7,29.8,12.1,-1.2
1953,10,30,58,38,14.4,3.3
1953,10,31,56.6,36.9,13.7,2.7
1953,11,1,55.2,43.1,12.9,6.2
1953,11,2,50,37.2,10,2.9
1953,11,3,53.6,35.9,12,2.2
1953,11,4,51.2,35.5,10.7,1.9
1953,11,5,51.2,34.3,10.7,1.3
1953,11,6,53.3,35.6,11.8,2
1953,11,7,55.6,44.4,13.1,6.9
1953,11,8,50,36.3,10,2.4
1953,11,9,48.6,33.7,9.2,0.9
1953,11,10,51,39,10.6,3.9
1953,11,11,53.2,44.4,11.8,6.9
1953,11,12,56.2,49.3,13.4,9.6
1953,11,13,52.6,44,11.4,6.7
1953,11,14,56.6,48.4,13.7,9.1
1953,11,15,57.4,51.8,14.1,11
1953,11,16,55.4,48,13,8.9
1953,11,17,51.4,46.7,10.8,8.2
1953,11,18,55,44.3,12.8,6.8
1953,11,19,54.7,46.7,12.6,8.2
1953,11,20,54.1,44.3,12.3,6.8
1953,11,21,54,37,12.2,2.8
1953,11,22,58,36,14.4,2.2
1953,11,23,55.7,50.8,13.2,10.4
1953,11,24,56.3,39.4,13.5,4.1
1953,11,25,51.4,39.2,10.8,4
1953,11,26,54.3,45.3,12.4,7.4
1953,11,27,46.5,37.2,8.1,2.9
1953,11,28,40.7,35.4,4.8,1.9
1953,11,29,51,40.2,10.6,4.6
1953,11,30,49,41.3,9.4,5.2
1953,12,1,53,37.2,11.7,2.9
1953,12,2,60.8,51.2,16,10.7
1953,12,3,58.4,39,14.7,3.9
1953,12,4,43,32.7,6.1,0.4
1953,12,5,51.6,35.3,10.9,1.8
1953,12,6,53,49.3,11.7,9.6
1953,12,7,51.7,43.6,10.9,6.4
1953,12,8,51,39,10.6,3.9
1953,12,9,51.7,34.6,10.9,1.4
1953,12,10,54,42,12.2,5.6
1953,12,11,53.7,47.6,12.1,8.7
1953,12,12,57.6,48,14.2,8.9
1953,12,13,54.3,49.5,12.4,9.7
1953,12,14,55.2,36.8,12.9,2.7
1953,12,15,50.3,29.7,10.2,-1.3
1953,12,16,51.3,44,10.7,6.7
1953,12,17,51.6,38.4,10.9,3.6
1953,12,18,50.7,35.7,10.4,2.1
1953,12,19,46.6,28.4,8.1,-2
1953,12,20,50,28.3,10,-2.1
1953,12,21,54,42.2,12.2,5.7
1953,12,22,55.2,44,12.9,6.7
1953,12,23,54.2,43.3,12.3,6.3
1953,12,24,44.2,35.6,6.8,2
1953,12,25,44.5,34.5,6.9,1.4
1953,12,26,54.5,34.6,12.5,1.4
1953,12,27,44.6,35,7,1.7
1953,12,28,45,35.4,7.2,1.9
1953,12,29,49.3,40.6,9.6,4.8
1953,12,30,49.2,33.4,9.6,0.8
1953,12,31,41.2,29.5,5.1,-1.4
1954,1,1,39,31.4,3.9,-0.3
1954,1,2,49,32.2,9.4,0.1
1954,1,3,49.2,30,9.6,-1.1
1954,1,4,40.7,27.7,4.8,-2.4
1954,1,5,40.3,31.2,4.6,-0.4
1954,1,6,40.8,28.1,4.9,-2.2
1954,1,7,37.8,26.7,3.2,-2.9
1954,1,8,38.9,27,3.8,-2.8
1954,1,9,47.8,38.2,8.8,3.4
1954,1,10,48,39.3,8.9,4.1
1954,1,11,45,39.1,7.2,3.9
1954,1,12,50.9,40,10.5,4.4
1954,1,13,43,33,6.1,0.6
1954,1,14,53,33.3,11.7,0.7
1954,1,15,54.5,41,12.5,5
1954,1,16,44.6,37.4,7,3
1954,1,17,47.4,33,8.6,0.6
1954,1,18,51.8,33.6,11,0.9
1954,1,19,54.3,49.5,12.4,9.7
1954,1,20,56,50,13.3,10
1954,1,21,55,48,12.8,8.9
1954,1,22,53.2,46.7,11.8,8.2
1954,1,23,49.4,41.8,9.7,5.4
1954,1,24,45,41.3,7.2,5.2
1954,1,25,45,34.8,7.2,1.6
1954,1,26,41.8,29.2,5.4,-1.6
1954,1,27,36.3,31,2.4,-0.6
1954,1,28,33.3,30.4,0.7,-0.9
1954,1,29,37.3,27.7,2.9,-2.4
1954,1,30,37.8,26.9,3.2,-2.8
1954,1,31,34.7,25.2,1.5,-3.8
1954,2,1,33.2,28,0.7,-2.2
1954,2,2,33,25.4,0.6,-3.7
1954,2,3,35.3,27.7,1.8,-2.4
1954,2,4,43.2,32.4,6.2,0.2
1954,2,5,40.2,28.9,4.6,-1.7
1954,2,6,44,22.8,6.7,-5.1
1954,2,7,44.1,32.6,6.7,0.3
1954,2,8,43.6,32.8,6.4,0.4
1954,2,9,47.5,38.3,8.6,3.5
1954,2,10,52.8,43.1,11.6,6.2
1954,2,11,45.2,41.4,7.3,5.2
1954,2,12,51,38,10.6,3.3
1954,2,13,50,41.2,10,5.1
1954,2,14,46.6,40.8,8.1,4.9
1954,2,15,49.3,36,9.6,2.2
1954,2,16,51.2,31.8,10.7,-0.1
1954,2,17,49,32.5,9.4,0.3
1954,2,18,41.8,31.3,5.4,-0.4
1954,2,19,44.3,31.4,6.8,-0.3
1954,2,20,51,26.3,10.6,-3.2
1954,2,21,58.7,44.8,14.8,7.1
1954,2,22,52.4,33,11.3,0.6
1954,2,23,50.8,35.8,10.4,2.1
1954,2,24,51.3,36.4,10.7,2.4
1954,2,25,44.2,33.7,6.8,0.9
1954,2,26,47.8,35.8,8.8,2.1
1954,2,27,43,27.8,6.1,-2.3
1954,2,28,38.4,28.8,3.6,-1.8
1954,3,1,40,24.4,4.4,-4.2
1954,3,2,40.6,23.2,4.8,-4.9
1954,3,3,47,33.6,8.3,0.9
1954,3,4,39,33.2,3.9,0.7
1954,3,5,46.9,32,8.3,0
1954,3,6,49,38,9.4,3.3
1954,3,7,52,36.6,11.1,2.6
1954,3,8,51.7,33,10.9,0.6
1954,3,9,49.6,28.7,9.8,-1.8
1954,3,10,56.6,32.2,13.7,0.1
1954,3,11,53,38.5,11.7,3.6
1954,3,12,58.7,39.9,14.8,4.4
1954,3,13,48,37,8.9,2.8
1954,3,14,42.2,39.3,5.7,4.1
1954,3,15,43.3,39.2,6.3,4
1954,3,16,47.6,38,8.7,3.3
1954,3,17,47.8,30.5,8.8,-0.8
1954,3,18,47.9,26.3,8.8,-3.2
1954,3,19,48,40.4,8.9,4.7
1954,3,20,59.8,44,15.4,6.7
1954,3,21,59.1,44.4,15.1,6.9
1954,3,22,55,46,12.8,7.8
1954,3,23,52.5,45,11.4,7.2
1954,3,24,46.6,40.4,8.1,4.7
1954,3,25,52.2,41.4,11.2,5.2
1954,3,26,53,35.8,11.7,2.1
1954,3,27,53.7,32.4,12.1,0.2
1954,3,28,55.7,41.6,13.2,5.3
1954,3,29,53.5,44.9,11.9,7.2
1954,3,30,53.4,38,11.9,3.3
1954,3,31,54,35,12.2,1.7
1954,4,1,55,37.9,12.8,3.3
1954,4,2,57.3,46.6,14.1,8.1
1954,4,3,60.8,45.3,16,7.4
1954,4,4,50,35.3,10,1.8
1954,4,5,45.1,31.5,7.3,-0.3
