Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1856,8,1,77.3,48.8,25.2,9.3
1856,8,2,79.2,54.8,26.2,12.7
1856,8,3,84.2,55.7,29,13.2
1856,8,4,85.2,53.3,29.6,11.8
1856,8,5,84.2,53.3,29,11.8
1856,8,6,83.7,51.5,28.7,10.8
1856,8,7,83,53.8,28.3,12.1
1856,8,8,85.2,49.9,29.6,9.9
1856,8,9,78.2,56,25.7,13.3
1856,8,10,70.5,58.8,21.4,14.9
1856,8,11,74.2,62,23.4,16.7
1856,8,12,75.9,58.2,24.4,14.6
1856,8,13,70.4,50.8,21.3,10.4
1856,8,14,72.6,50.5,22.6,10.3
1856,8,15,70,52.8,21.1,11.6
1856,8,16,69.5,50.3,20.8,10.2
1856,8,17,66.8,54.8,19.3,12.7
1856,8,18,64.2,49,17.9,9.4
1856,8,19,56.4,49.3,13.6,9.6
1856,8,20,61.2,52.3,16.2,11.3
1856,8,21,56.4,47,13.6,8.3
1856,8,22,59.4,43.9,15.2,6.6
1856,8,23,61.4,51,16.3,10.6
1856,8,24,66.9,56.5,19.4,13.6
1856,8,25,72.2,57.5,22.3,14.2
1856,8,26,70.8,51.3,21.6,10.7
1856,8,27,62.7,55.5,17.1,13.1
1856,8,28,62.5,53.8,16.9,12.1
1856,8,29,71,56.7,21.7,13.7
1856,8,30,70.9,52.4,21.6,11.3
1856,8,31,72.4,46.7,22.4,8.2
1856,9,1,65.4,34,18.6,1.1
1856,9,2,63,40.6,17.2,4.8
1856,9,3,69.8,44,21,6.7
1856,9,4,68.3,44.5,20.2,6.9
1856,9,5,71.2,55.1,21.8,12.8
1856,9,6,NA,50.6,NA,10.3
1856,9,7,40,48.9,4.4,9.4
1856,9,8,66.2,51,19,10.6
1856,9,9,71.6,46,22,7.8
1856,9,10,63.3,50.8,17.4,10.4
1856,9,11,68.1,43.1,20.1,6.2
1856,9,12,68.1,39.4,20.1,4.1
1856,9,13,62.9,49,17.2,9.4
1856,9,14,61.8,51.3,16.6,10.7
1856,9,15,66.1,53.7,18.9,12.1
1856,9,16,66.9,49.6,19.4,9.8
1856,9,17,65.5,53.3,18.6,11.8
1856,9,18,63.8,39.9,17.7,4.4
1856,9,19,61,38.3,16.1,3.5
1856,9,20,59.8,43.5,15.4,6.4
1856,9,21,57.7,38.8,14.3,3.8
1856,9,22,62.7,45.3,17.1,7.4
1856,9,23,60.2,45.9,15.7,7.7
1856,9,24,61.9,43.6,16.6,6.4
1856,9,25,59.4,47,15.2,8.3
1856,9,26,58.2,37.5,14.6,3.1
1856,9,27,57.2,50.7,14,10.4
1856,9,28,55.6,42,13.1,5.6
1856,9,29,55.8,46,13.2,7.8
1856,9,30,60.4,46.5,15.8,8.1
1856,10,1,55.1,43.4,12.8,6.3
1856,10,2,58.5,40.1,14.7,4.5
1856,10,3,64.2,44.9,17.9,7.2
1856,10,4,66.3,43.3,19.1,6.3
1856,10,5,69.1,48.6,20.6,9.2
1856,10,6,56,41,13.3,5
1856,10,7,60,47.3,15.6,8.5
1856,10,8,50.2,46.8,10.1,8.2
1856,10,9,50.7,34,10.4,1.1
1856,10,10,59,43.3,15,6.3
1856,10,11,60.2,46.3,15.7,7.9
1856,10,12,61.8,35.8,16.6,2.1
1856,10,13,67.7,50,19.8,10
1856,10,14,64.6,51.8,18.1,11
1856,10,15,57.5,45.1,14.2,7.3
1856,10,16,55.9,43,13.3,6.1
1856,10,17,59.2,52.3,15.1,11.3
1856,10,18,61.8,47.1,16.6,8.4
1856,10,19,65.4,43.3,18.6,6.3
1856,10,20,67.4,32.1,19.7,0.1
1856,10,21,56.5,43.9,13.6,6.6
1856,10,22,57.8,49.5,14.3,9.7
1856,10,23,62.2,45.2,16.8,7.3
1856,10,24,65.9,40.1,18.8,4.5
1856,10,25,61,48,16.1,8.9
1856,10,26,55.2,47.8,12.9,8.8
1856,10,27,55.4,47.8,13,8.8
1856,10,28,56.9,40.4,13.8,4.7
1856,10,29,53.8,36,12.1,2.2
