Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1855,2,1,33.5,29.5,0.8,-1.4
1855,2,2,34.5,29.5,1.4,-1.4
1855,2,3,37,31.8,2.8,-0.1
1855,2,4,40,32.5,4.4,0.3
1855,2,5,40,34.8,4.4,1.6
1855,2,6,39.3,35.8,4.1,2.1
1855,2,7,40.8,33,4.9,0.6
1855,2,8,40,32.5,4.4,0.3
1855,2,9,34,28.8,1.1,-1.8
1855,2,10,34,29.8,1.1,-1.2
1855,2,11,34.3,24.5,1.3,-4.2
1855,2,12,38,31,3.3,-0.6
1855,2,13,38.3,20.3,3.5,-6.5
1855,2,14,38.5,16.8,3.6,-8.4
1855,2,15,38.5,4.8,3.6,-15.1
1855,2,16,34,24.8,1.1,-4
1855,2,17,34.5,25.3,1.4,-3.7
1855,2,18,33,9.3,0.6,-12.6
1855,2,19,33,12.8,0.6,-10.7
1855,2,20,39.5,28,4.2,-2.2
1855,2,21,35.3,28.8,1.8,-1.8
1855,2,22,34,29,1.1,-1.7
1855,2,23,40.2,32.8,4.6,0.4
1855,2,24,40,24.5,4.4,-4.2
1855,2,25,49.5,35.3,9.7,1.8
1855,2,26,42,36.8,5.6,2.7
1855,2,27,49,36.3,9.4,2.4
1855,2,28,50.5,37,10.3,2.8
1855,3,1,56.3,34.8,13.5,1.6
1855,3,2,51.5,43,10.8,6.1
1855,3,3,52.5,37.8,11.4,3.2
1855,3,4,52.5,30.5,11.4,-0.8
1855,3,5,50.3,36.8,10.2,2.7
1855,3,6,50,26.9,10,-2.8
1855,3,7,51.5,38.5,10.8,3.6
1855,3,8,51,29.5,10.6,-1.4
1855,3,9,47.2,30.5,8.4,-0.8
1855,3,10,47,34.5,8.3,1.4
1855,3,11,49.5,33,9.7,0.6
1855,3,12,50.5,37,10.3,2.8
1855,3,13,49,34.5,9.4,1.4
1855,3,14,49,36,9.4,2.2
1855,3,15,50.3,39.5,10.2,4.2
1855,3,16,54.5,39,12.5,3.9
1855,3,17,51,38.5,10.6,3.6
1855,3,18,51,36.5,10.6,2.5
1855,3,19,53,37.5,11.7,3.1
1855,3,20,55,37.5,12.8,3.1
1855,3,21,52,39,11.1,3.9
1855,3,22,45,35.5,7.2,1.9
1855,3,23,41,33.5,5,0.8
1855,3,24,41,29.5,5,-1.4
1855,3,25,44.5,28,6.9,-2.2
1855,3,26,47.5,32.3,8.6,0.2
