Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1850,12,1,45,34,7.2,1.1
1850,12,2,51,43,10.6,6.1
1850,12,3,52,48,11.1,8.9
1850,12,4,53,45,11.7,7.2
1850,12,5,55,47,12.8,8.3
1850,12,6,55,45,12.8,7.2
1850,12,7,52,45,11.1,7.2
1850,12,8,50,42,10,5.6
1850,12,9,50,41,10,5
1850,12,10,47,40.5,8.3,4.7
1850,12,11,51,46,10.6,7.8
1850,12,12,52,39.5,11.1,4.2
1850,12,13,46.5,39,8.1,3.9
1850,12,14,47,33.5,8.3,0.8
1850,12,15,47,35,8.3,1.7
1850,12,16,42,35,5.6,1.7
1850,12,17,37.2,32,2.9,0
1850,12,18,39.5,30.5,4.2,-0.8
1850,12,19,37.5,33,3.1,0.6
1850,12,20,39,26.5,3.9,-3.1
1850,12,21,42.5,29,5.8,-1.7
1850,12,22,47,31,8.3,-0.6
1850,12,23,40.5,34,4.7,1.1
1850,12,24,40,37.5,4.4,3.1
1850,12,25,47,37,8.3,2.8
1850,12,26,46,40,7.8,4.4
1850,12,27,48,40,8.9,4.4
1850,12,28,51,39.5,10.6,4.2
1850,12,29,49,41.5,9.4,5.3
1850,12,30,50.5,41,10.3,5
1850,12,31,50,46,10,7.8
1851,1,1,54,48,12.2,8.9
1851,1,2,55,44,12.8,6.7
1851,1,3,47,31,8.3,-0.6
1851,1,4,46,31,7.8,-0.6
1851,1,5,47.8,32,8.8,0
1851,1,6,38.5,33.5,3.6,0.8
1851,1,7,45,34,7.2,1.1
1851,1,8,45,33,7.2,0.6
1851,1,9,38,33,3.3,0.6
1851,1,10,54,34,12.2,1.1
1851,1,11,54,49,12.2,9.4
1851,1,12,53,41.5,11.7,5.3
1851,1,13,53,41,11.7,5
1851,1,14,50.5,41,10.3,5
1851,1,15,46.5,42,8.1,5.6
1851,1,16,48.5,35,9.2,1.7
1851,1,17,51.5,35,10.8,1.7
1851,1,18,44,33,6.7,0.6
1851,1,19,48,34,8.9,1.1
1851,1,20,49,43,9.4,6.1
1851,1,21,51,34.5,10.6,1.4
1851,1,22,41,33,5,0.6
1851,1,23,42,32,5.6,0
1851,1,24,44.5,36,6.9,2.2
1851,1,25,45,32,7.2,0
1851,1,26,43.5,32.5,6.4,0.3
1851,1,27,41.5,32,5.3,0
1851,1,28,46,34,7.8,1.1
1851,1,29,50,37,10,2.8
1851,1,30,50.5,33,10.3,0.6
1851,1,31,50.5,32,10.3,0
1851,2,1,41.5,31,5.3,-0.6
1851,2,2,41.5,29.5,5.3,-1.4
1851,2,3,41,30,5,-1.1
1851,2,4,43.5,30,6.4,-1.1
1851,2,5,49.5,31,9.7,-0.6
1851,2,6,50,34,10,1.1
1851,2,7,47,35,8.3,1.7
1851,2,8,51,43,10.6,6.1
1851,2,9,49,35,9.4,1.7
1851,2,10,48.5,40,9.2,4.4
1851,2,11,47,43.5,8.3,6.4
1851,2,12,52.5,38,11.4,3.3
1851,2,13,48.5,38,9.2,3.3
1851,2,14,50,38,10,3.3
1851,2,15,50,38,10,3.3
1851,2,16,50,34,10,1.1
1851,2,17,46,36,7.8,2.2
1851,2,18,49.5,38,9.7,3.3
1851,2,19,52.5,46.5,11.4,8.1
1851,2,20,56,41,13.3,5
1851,2,21,48,31,8.9,-0.6
1851,2,22,46,33,7.8,0.6
1851,2,23,48,40,8.9,4.4
1851,2,24,48,38,8.9,3.3
1851,2,25,47.5,39,8.6,3.9
1851,2,26,45.5,36.5,7.5,2.5
1851,2,27,46,30.5,7.8,-0.8
1851,2,28,42.5,32,5.8,0
1851,3,1,44,30,6.7,-1.1
1851,3,2,46,31,7.8,-0.6
1851,3,3,45,34,7.2,1.1
1851,3,4,46,33,7.8,0.6
1851,3,5,48,40,8.9,4.4
1851,3,6,50,35,10,1.7
1851,3,7,45.5,30.5,7.5,-0.8
1851,3,8,48.5,35,9.2,1.7
1851,3,9,50.5,40,10.3,4.4
1851,3,10,46,32,7.8,0
1851,3,11,46.5,30,8.1,-1.1
1851,3,12,48,36.5,8.9,2.5
1851,3,13,49.5,35,9.7,1.7
1851,3,14,50,34.5,10,1.4
1851,3,15,51,38.5,10.6,3.6
1851,3,16,52,36.5,11.1,2.5
1851,3,17,50.5,40.5,10.3,4.7
1851,3,18,50,40,10,4.4
1851,3,19,52,39,11.1,3.9
1851,3,20,50,40,10,4.4
1851,3,21,49.5,38,9.7,3.3
1851,3,22,51.5,36,10.8,2.2
1851,3,23,50,39,10,3.9
1851,3,24,51,42,10.6,5.6
1851,3,25,50.5,40.5,10.3,4.7
1851,3,26,53.5,39,11.9,3.9
1851,3,27,51,40,10.6,4.4
1851,3,28,51,39,10.6,3.9
1851,3,29,51,41,10.6,5
1851,3,30,49,37.5,9.4,3.1
1851,3,31,48.5,35.5,9.2,1.9
1851,4,1,54,40,12.2,4.4
1851,4,2,53,42.5,11.7,5.8
1851,4,3,51,45,10.6,7.2
1851,4,4,56,43.5,13.3,6.4
1851,4,5,55,43.5,12.8,6.4
1851,4,6,50.5,33,10.3,0.6
1851,4,7,53.5,37,11.9,2.8
1851,4,8,55.5,35,13.1,1.7
1851,4,9,50,32,10,0
1851,4,10,49.5,40,9.7,4.4
1851,4,11,52.5,33,11.4,0.6
1851,4,12,50.5,35.5,10.3,1.9
1851,4,13,54.5,35.5,12.5,1.9
1851,4,14,52,33.5,11.1,0.8
1851,4,15,54,34.5,12.2,1.4
1851,4,16,52,43,11.1,6.1
1851,4,17,53,46.5,11.7,8.1
1851,4,18,58,46,14.4,7.8
1851,4,19,58,45,14.4,7.2
1851,4,20,57,43,13.9,6.1
