Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1881,7,1,67,47,19.4,8.3
1881,7,2,73,56,22.8,13.3
1881,7,3,78,59,25.6,15
1881,7,4,84,60,28.9,15.6
1881,7,5,82,52,27.8,11.1
1881,7,6,65,49,18.3,9.4
1881,7,7,71,51,21.7,10.6
1881,7,8,72,52,22.2,11.1
1881,7,9,73,51,22.8,10.6
1881,7,10,74,56,23.3,13.3
1881,7,11,68,50,20,10
1881,7,12,73,53,22.8,11.7
1881,7,13,77,57,25,13.9
1881,7,14,78,54,25.6,12.2
1881,7,15,78,50,25.6,10
1881,7,16,81,52,27.2,11.1
1881,7,17,80,52,26.7,11.1
1881,7,18,76,52,24.4,11.1
1881,7,19,81,51,27.2,10.6
1881,7,20,68,42,20,5.6
1881,7,21,72,55,22.2,12.8
1881,7,22,73,55,22.8,12.8
1881,7,23,70,55,21.1,12.8
1881,7,24,68,45,20,7.2
1881,7,25,73,47,22.8,8.3
1881,7,26,70,48,21.1,8.9
1881,7,27,80,42,26.7,5.6
1881,7,28,66,54,18.9,12.2
1881,7,29,77,53,25,11.7
1881,7,30,71,55,21.7,12.8
1881,7,31,70,42,21.1,5.6
1881,8,1,78,48,25.6,8.9
1881,8,2,72,58,22.2,14.4
1881,8,3,72,60,22.2,15.6
1881,8,4,70,58,21.1,14.4
1881,8,5,73,51,22.8,10.6
1881,8,6,77,57,25,13.9
1881,8,7,67,57,19.4,13.9
1881,8,8,75,50,23.9,10
1881,8,9,66,53,18.9,11.7
1881,8,10,67,47,19.4,8.3
1881,8,11,75,57,23.9,13.9
1881,8,12,71,44,21.7,6.7
1881,8,13,67,45,19.4,7.2
1881,8,14,70,54,21.1,12.2
1881,8,15,78,55,25.6,12.8
1881,8,16,70,48,21.1,8.9
1881,8,17,70,50,21.1,10
1881,8,18,72,52,22.2,11.1
1881,8,19,65,41,18.3,5
1881,8,20,74,45,23.3,7.2
1881,8,21,71,45,21.7,7.2
1881,8,22,75,50,23.9,10
1881,8,23,66,46,18.9,7.8
1881,8,24,73,50,22.8,10
1881,8,25,63,49,17.2,9.4
1881,8,26,69,43,20.6,6.1
1881,8,27,73,45,22.8,7.2
1881,8,28,70,55,21.1,12.8
1881,8,29,73,50,22.8,10
1881,8,30,65,40,18.3,4.4
1881,8,31,72,36,22.2,2.2
1881,9,1,78,38,25.6,3.3
1881,9,2,76,40,24.4,4.4
1881,9,3,68,46,20,7.8
1881,9,4,72,53,22.2,11.7
1881,9,5,61,51,16.1,10.6
1881,9,6,68,50,20,10
1881,9,7,67,42,19.4,5.6
1881,9,8,74,46,23.3,7.8
1881,9,9,75,53,23.9,11.7
1881,9,10,66,52,18.9,11.1
1881,9,11,68,46,20,7.8
1881,9,12,64,44,17.8,6.7
1881,9,13,70,36,21.1,2.2
1881,9,14,75,41,23.9,5
1881,9,15,70,36,21.1,2.2
1881,9,16,73,41,22.8,5
1881,9,17,61,51,16.1,10.6
1881,9,18,63,41,17.2,5
1881,9,19,63,47,17.2,8.3
1881,9,20,61,49,16.1,9.4
1881,9,21,65,35,18.3,1.7
1881,9,22,69,39,20.6,3.9
1881,9,23,63,48,17.2,8.9
1881,9,24,68,42,20,5.6
1881,9,25,63,38,17.2,3.3
1881,9,26,68,41,20,5
1881,9,27,72,50,22.2,10
1881,9,28,71,55,21.7,12.8
1881,9,29,65,56,18.3,13.3
1881,9,30,68,55,20,12.8
1881,10,1,65,49,18.3,9.4
1881,10,2,68,40,20,4.4
1881,10,3,68,41,20,5
1881,10,4,66,48,18.9,8.9
1881,10,5,54,35,12.2,1.7
1881,10,6,67,39,19.4,3.9
1881,10,7,62,48,16.7,8.9
1881,10,8,62,45,16.7,7.2
1881,10,9,62,45,16.7,7.2
1881,10,10,59,54,15,12.2
1881,10,11,58,49,14.4,9.4
1881,10,12,60,40,15.6,4.4
1881,10,13,60,46,15.6,7.8
1881,10,14,51,37,10.6,2.8
1881,10,15,48,28,8.9,-2.2
1881,10,16,52,50,11.1,10
1881,10,17,57,49,13.9,9.4
1881,10,18,57,51,13.9,10.6
1881,10,19,53,48,11.7,8.9
1881,10,20,49,45,9.4,7.2
1881,10,21,55,48,12.8,8.9
1881,10,22,55,51,12.8,10.6
1881,10,23,58,54,14.4,12.2
1881,10,24,57,45,13.9,7.2
1881,10,25,50,42,10,5.6
1881,10,26,47,44,8.3,6.7
1881,10,27,48,32,8.9,0
1881,10,28,47,33,8.3,0.6
1881,10,29,45,26,7.2,-3.3
1881,10,30,44,34,6.7,1.1
