Year,Month,Day,Max at 9h (°F),Min at 9h (°F),Max at 21h (°F),Min at 21h (°F),Max at 9h (°C),Min at 9h (°C),Max at 21h (°C),Min at 21h (°C)
1850,10,1,50.6,50.5,50.8,40.8,10.3,10.3,10.4,4.9
1850,10,2,50,40.3,50.6,40.4,10,4.6,10.3,4.7
1850,10,3,50.6,40.3,50.8,50,10.3,4.6,10.4,10
1850,10,4,50.6,50.3,50.9,40.7,10.3,10.2,10.5,4.8
1850,10,5,50.2,40.5,50.5,40.5,10.1,4.7,10.3,4.7
1850,10,6,50,40.3,50.5,40.8,10,4.6,10.3,4.9
1850,10,7,50.2,40.5,50.3,40.7,10.1,4.7,10.2,4.8
1850,10,8,50.3,40.9,50.4,40.7,10.2,4.9,10.2,4.8
1850,10,9,50.4,40.2,50,40.1,10.2,4.6,10,4.5
1850,10,10,50.4,40.3,50,40.5,10.2,4.6,10,4.7
1850,10,11,40.5,40.1,40.6,40.2,4.7,4.5,4.8,4.6
1850,10,12,40.8,40.2,NA,40.5,4.9,4.6,NA,4.7
1850,10,13,NA,40.4,NA,40.7,NA,4.7,NA,4.8
1850,10,14,NA,40.8,NA,40,NA,4.9,NA,4.4
1850,10,15,NA,30.8,NA,40.5,NA,-0.7,NA,4.7
1850,10,16,NA,40.7,NA,40.8,NA,4.8,NA,4.9
1850,10,17,NA,50,NA,50.3,NA,10,NA,10.2
1850,10,18,NA,50,NA,50.3,NA,10,NA,10.2
1850,10,19,NA,50.2,NA,40.9,NA,10.1,NA,4.9
1850,10,20,NA,40.3,NA,40.5,NA,4.6,NA,4.7
1850,10,21,NA,40,NA,30.9,NA,4.4,NA,-0.6
1850,10,22,NA,30.6,NA,40.4,NA,-0.8,NA,4.7
1850,10,23,NA,30.8,NA,40.2,NA,-0.7,NA,4.6
1850,10,24,NA,30.9,NA,30.8,NA,-0.6,NA,-0.7
1850,10,25,NA,30.6,NA,40,NA,-0.8,NA,4.4
1850,10,26,NA,40,NA,40.3,NA,4.4,NA,4.6
1850,10,27,NA,40.4,NA,40.4,NA,4.7,NA,4.7
1850,10,28,NA,40.1,NA,40.1,NA,4.5,NA,4.5
1850,10,29,NA,40.1,NA,40.4,NA,4.5,NA,4.7
1850,10,30,NA,50.2,NA,50,NA,10.1,NA,10
1850,10,31,NA,50,NA,50.2,NA,10,NA,10.1
1850,11,1,NA,50.4,NA,50.3,NA,10.2,NA,10.2
1850,11,2,NA,50.1,NA,40.8,NA,10.1,NA,4.9
1850,11,3,NA,40.7,NA,40.8,NA,4.8,NA,4.9
1850,11,4,NA,40.2,NA,40.4,NA,4.6,NA,4.7
1850,11,5,NA,40.4,NA,40.6,NA,4.7,NA,4.8
1850,11,6,NA,30.7,NA,40.7,NA,-0.7,NA,4.8
1850,11,7,NA,51.7,NA,45,NA,10.9,NA,7.2
1850,11,8,NA,45,NA,43.8,NA,7.2,NA,6.6
1850,11,9,NA,44.1,NA,52,NA,6.7,NA,11.1
1850,11,10,NA,52,NA,52,NA,11.1,NA,11.1
1850,11,11,NA,53,NA,50,NA,11.7,NA,10
1850,11,12,NA,46,NA,42,NA,7.8,NA,5.6
1850,11,13,NA,41.8,NA,42,NA,5.4,NA,5.6
1850,11,14,NA,41,NA,42.5,NA,5,NA,5.8
1850,11,15,NA,44,NA,47.1,NA,6.7,NA,8.4
1850,11,16,NA,45,NA,44.1,NA,7.2,NA,6.7
1850,11,17,NA,43.3,NA,45.8,NA,6.3,NA,7.7
1850,11,18,NA,42,NA,44,NA,5.6,NA,6.7
1850,11,19,NA,44,NA,43.5,NA,6.7,NA,6.4
1850,11,20,NA,43,NA,43.9,NA,6.1,NA,6.6
1850,11,21,NA,40.1,NA,42,NA,4.5,NA,5.6
1850,11,22,NA,42.9,NA,47,NA,6.1,NA,8.3
1850,11,23,NA,44.2,NA,41.7,NA,6.8,NA,5.4
1850,11,24,NA,41.1,NA,41.5,NA,5.1,NA,5.3
1850,11,25,NA,44,NA,41.7,NA,6.7,NA,5.4
1850,11,26,NA,37,NA,37.1,NA,2.8,NA,2.8
1850,11,27,NA,32.1,NA,NA,NA,0.1,NA,NA
1850,11,28,NA,28.5,NA,NA,NA,-1.9,NA,NA
1850,11,29,NA,28.4,NA,NA,NA,-2,NA,NA
1850,11,30,NA,28.5,NA,NA,NA,-1.9,NA,NA
