Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1850,10,1,52,50,11.1,10
1850,10,2,64,51,17.8,10.6
1850,10,3,60,46,15.6,7.8
1850,10,4,61,51,16.1,10.6
1850,10,5,51,44.3,10.6,6.8
1850,10,6,61,50.5,16.1,10.3
1850,10,7,62,47,16.7,8.3
1850,10,8,60,44,15.6,6.7
1850,10,9,55,43,12.8,6.1
1850,10,10,65,40,18.3,4.4
1850,10,11,52,42,11.1,5.6
1850,10,12,52,36,11.1,2.2
1850,10,13,54,35,12.2,1.7
1850,10,14,54,43.5,12.2,6.4
1850,10,15,54,44.5,12.2,6.9
1850,10,16,55,45,12.8,7.2
1850,10,17,60,49,15.6,9.4
1850,10,18,62,53,16.7,11.7
1850,10,19,61,54.5,16.1,12.5
1850,10,20,65,51.5,18.3,10.8
1850,10,21,67,43.5,19.4,6.4
1850,10,22,55,39,12.8,3.9
1850,10,23,52,46,11.1,7.8
1850,10,24,52,42,11.1,5.6
1850,10,25,50,40,10,4.4
1850,10,26,49,38,9.4,3.3
1850,10,27,52,40,11.1,4.4
1850,10,28,54.5,43,12.5,6.1
1850,10,29,52,39,11.1,3.9
1850,10,30,56,45,13.3,7.2
1850,10,31,62,53,16.7,11.7
1850,11,1,59,55,15,12.8
1850,11,2,57,53,13.9,11.7
1850,11,3,59,49,15,9.4
1850,11,4,59,48,15,8.9
1850,11,5,59,50,15,10
1850,11,6,58,50,14.4,10
1850,11,7,59,51.5,15,10.8
1850,11,8,55,44,12.8,6.7
1850,11,9,54,49,12.2,9.4
1850,11,10,56,52,13.3,11.1
1850,11,11,56,52,13.3,11.1
1850,11,12,58.5,53,14.7,11.7
1850,11,13,57,NA,13.9,NA
1850,11,14,55,51,12.8,10.6
1850,11,15,53,51,11.7,10.6
1850,11,16,56,49,13.3,9.4
1850,11,17,54,44,12.2,6.7
1850,11,18,53,42,11.7,5.6
1850,11,19,56,47,13.3,8.3
1850,11,20,56,45,13.3,7.2
1850,11,21,52,41,11.1,5
1850,11,22,56,45,13.3,7.2
1850,11,23,56,47,13.3,8.3
1850,11,24,55,46,12.8,7.8
1850,11,25,55,45.5,12.8,7.5
1850,11,26,50.5,39,10.3,3.9
1850,11,27,45,39,7.2,3.9
1850,11,28,44,36,6.7,2.2
1850,11,29,48,36,8.9,2.2
1850,11,30,50,46,10,7.8
1850,12,1,51,47,10.6,8.3
1850,12,2,52.5,49,11.4,9.4
1850,12,3,55,51,12.8,10.6
1850,12,4,55,49,12.8,9.4
1850,12,5,54,49,12.2,9.4
1850,12,6,54,49,12.2,9.4
1850,12,7,54,49,12.2,9.4
1850,12,8,51.5,48.5,10.8,9.2
1850,12,9,52.5,49,11.4,9.4
1850,12,10,51.5,50,10.8,10
1850,12,11,53.5,50,11.9,10
1850,12,12,52,46.5,11.1,8.1
1850,12,13,51,45,10.6,7.2
1850,12,14,51.5,42,10.8,5.6
1850,12,15,51,39.5,10.6,4.2
1850,12,16,48,42,8.9,5.6
1850,12,17,45.5,38,7.5,3.3
1850,12,18,45,37,7.2,2.8
1850,12,19,46,36,7.8,2.2
1850,12,20,44,31,6.7,-0.6
1850,12,21,50.5,33,10.3,0.6
1850,12,22,40,35,4.4,1.7
1850,12,23,47.5,45,8.6,7.2
1850,12,24,48.5,45,9.2,7.2
1850,12,25,50.5,41,10.3,5
1850,12,26,50.5,42,10.3,5.6
1850,12,27,52,45,11.1,7.2
1850,12,28,55,39,12.8,3.9
1850,12,29,49.5,42,9.7,5.6
1850,12,30,52,48.5,11.1,9.2
1850,12,31,54,48.5,12.2,9.2
1851,1,1,54,48,12.2,8.9
1851,1,2,55,46,12.8,7.8
1851,1,3,54,36,12.2,2.2
1851,1,4,51,37,10.6,2.8
1851,1,5,50,36,10,2.2
1851,1,6,47.5,39,8.6,3.9
1851,1,7,49,44,9.4,6.7
1851,1,8,49,39,9.4,3.9
1851,1,9,46,36,7.8,2.2
1851,1,10,54,41,12.2,5
1851,1,11,53,50,11.7,10
1851,1,12,52,42.5,11.1,5.8
