Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1850,10,1,58.3,48.3,14.6,9.1
1850,10,2,56.3,46.5,13.5,8.1
1850,10,3,53.5,51,11.9,10.6
1850,10,4,57.3,50.3,14.1,10.2
1850,10,5,54.5,43.2,12.5,6.2
1850,10,6,54.7,43.5,12.6,6.4
1850,10,7,NA,47,NA,8.3
1850,10,8,56,42.5,13.3,5.8
1850,10,9,51.5,45.5,10.8,7.5
1850,10,10,54.2,45.5,12.3,7.5
1850,10,11,53.2,45.5,11.8,7.5
1850,10,12,51.5,40.4,10.8,4.7
1850,10,13,53.1,44.5,11.7,6.9
1850,10,14,53.5,46.5,11.9,8.1
1850,10,15,51.5,40.6,10.8,4.8
1850,10,16,54.5,47.2,12.5,8.4
1850,10,17,57.8,49,14.3,9.4
1850,10,18,57,49.8,13.9,9.9
1850,10,19,56.8,51.5,13.8,10.8
1850,10,20,53.4,49.5,11.9,9.7
1850,10,21,51.3,45.8,10.7,7.7
1850,10,22,NA,41,NA,5
1850,10,23,50,42.6,10,5.9
1850,10,24,49.2,42.5,9.6,5.8
1850,10,25,47.2,43.2,8.4,6.2
1850,10,26,49,41,9.4,5
1850,10,27,48.8,42,9.3,5.6
1850,10,28,48.8,40,9.3,4.4
1850,10,29,48.2,38,9,3.3
1850,10,30,49,40.5,9.4,4.7
1850,10,31,54,40.5,12.2,4.7
1850,11,1,56.2,48,13.4,8.9
1850,11,2,58.1,53,14.5,11.7
1850,11,3,50.6,47,10.3,8.3
1850,11,4,55,45.1,12.8,7.3
1850,11,5,51.5,43.5,10.8,6.4
1850,11,6,54.2,44,12.3,6.7
1850,11,7,52,41,11.1,5
1850,11,8,53.5,43,11.9,6.1
1850,11,9,50,42,10,5.6
1850,11,10,54.5,47.5,12.5,8.6
1850,11,11,57,52,13.9,11.1
1850,11,12,57.5,47,14.2,8.3
1850,11,13,52.5,44,11.4,6.7
1850,11,14,50.5,42.5,10.3,5.8
1850,11,15,47.1,40.5,8.4,4.7
1850,11,16,51.5,45.1,10.8,7.3
1850,11,17,51,41.5,10.6,5.3
1850,11,18,49,41.5,9.4,5.3
1850,11,19,NA,43,NA,6.1
1850,11,20,50,40,10,4.4
1850,11,21,51,43,10.6,6.1
1850,11,22,48,42.6,8.9,5.9
1850,11,23,52.5,46,11.4,7.8
1850,11,24,50,43.1,10,6.2
1850,11,25,51.4,43.5,10.8,6.4
1850,11,26,50,39,10,3.9
1850,11,27,46,39,7.8,3.9
1850,11,28,41,31.5,5,-0.3
1850,11,29,42.5,34,5.8,1.1
1850,11,30,45,41,7.2,5
1850,12,1,45,39,7.2,3.9
1850,12,2,50,39,10,3.9
1850,12,3,52,48.3,11.1,9.1
1850,12,4,52.3,48.5,11.3,9.2
1850,12,5,54,46.5,12.2,8.1
1850,12,6,54.5,47.5,12.5,8.6
1850,12,7,52.5,47,11.4,8.3
1850,12,8,50.5,46,10.3,7.8
1850,12,9,49,44,9.4,6.7
1850,12,10,49,43.5,9.4,6.4
1850,12,11,50.5,44.5,10.3,6.9
1850,12,12,52,42.5,11.1,5.8
1850,12,13,47.5,42,8.6,5.6
