Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1850,10,1,59.5,46.6,15.3,8.1
1850,10,2,57.5,52,14.2,11.1
1850,10,3,58.5,48,14.7,8.9
1850,10,4,55,50,12.8,10
1850,10,5,56.5,46.5,13.6,8.1
1850,10,6,59,49.5,15,9.7
1850,10,7,54.5,45.5,12.5,7.5
1850,10,8,56.5,46.5,13.6,8.1
1850,10,9,53.2,46,11.8,7.8
1850,10,10,54,39.8,12.2,4.3
1850,10,11,53.8,42,12.1,5.6
1850,10,12,56,37.8,13.3,3.2
1850,10,13,50,40.8,10,4.9
1850,10,14,55.5,49.3,13.1,9.6
1850,10,15,55.5,45.8,13.1,7.7
1850,10,16,56,51,13.3,10.6
1850,10,17,57,51.4,13.9,10.8
1850,10,18,57.5,54.6,14.2,12.6
1850,10,19,58.2,54.5,14.6,12.5
1850,10,20,52.5,50.2,11.4,10.1
1850,10,21,51.6,42.8,10.9,6
1850,10,22,54,39,12.2,3.9
1850,10,23,49,44.2,9.4,6.8
1850,10,24,48.5,44.5,9.2,6.9
1850,10,25,48.5,38,9.2,3.3
1850,10,26,51.5,42,10.8,5.6
1850,10,27,55,46,12.8,7.8
1850,10,28,47.5,41.5,8.6,5.3
1850,10,29,52.5,41.5,11.4,5.3
1850,10,30,55.5,51.8,13.1,11
1850,10,31,56,53,13.3,11.7
1850,11,1,59.5,55.3,15.3,12.9
1850,11,2,53.5,51.3,11.9,10.7
1850,11,3,56.5,52.3,13.6,11.3
1850,11,4,NA,NA,NA,NA
1850,11,5,60,54.5,15.6,12.5
1850,11,6,56,48.3,13.3,9.1
1850,11,7,55,45.3,12.8,7.4
1850,11,8,52.5,40.6,11.4,4.8
1850,11,9,57.4,43.9,14.1,6.6
1850,11,10,56.6,44.7,13.7,7.1
1850,11,11,55.5,47.5,13.1,8.6
1850,11,12,56.5,46.5,13.6,8.1
1850,11,13,57,43.4,13.9,6.3
1850,11,14,56.5,44.3,13.6,6.8
1850,11,15,54,44,12.2,6.7
1850,11,16,52.5,42,11.4,5.6
1850,11,17,51,45.5,10.6,7.5
1850,11,18,55.6,39.5,13.1,4.2
1850,11,19,46.5,38,8.1,3.3
1850,11,20,50,38.5,10,3.6
1850,11,21,52.8,37,11.6,2.8
1850,11,22,60.5,45.5,15.8,7.5
1850,11,23,56,41,13.3,5
1850,11,24,53.5,42,11.9,5.6
1850,11,25,48,37.4,8.9,3
1850,11,26,45.5,38.5,7.5,3.6
1850,11,27,43.5,30,6.4,-1.1
1850,11,28,44,24,6.7,-4.4
1850,11,29,47.5,35.5,8.6,1.9
1850,11,30,49,33.5,9.4,0.8
1850,12,1,NA,NA,NA,NA
1850,12,2,NA,NA,NA,NA
1850,12,3,NA,NA,NA,NA
1850,12,4,NA,NA,NA,NA
1850,12,5,NA,NA,NA,NA
1850,12,6,NA,NA,NA,NA
1850,12,7,NA,NA,NA,NA
1850,12,8,NA,NA,NA,NA
1850,12,9,NA,NA,NA,NA
1850,12,10,NA,NA,NA,NA
1850,12,11,NA,NA,NA,NA
1850,12,12,NA,NA,NA,NA
1850,12,13,NA,NA,NA,NA
1850,12,14,NA,NA,NA,NA
1850,12,15,NA,NA,NA,NA
1850,12,16,NA,NA,NA,NA
1850,12,17,NA,NA,NA,NA
1850,12,18,NA,NA,NA,NA
1850,12,19,NA,NA,NA,NA
1850,12,20,NA,NA,NA,NA
1850,12,21,NA,NA,NA,NA
1850,12,22,NA,NA,NA,NA
1850,12,23,NA,NA,NA,NA
1850,12,24,NA,NA,NA,NA
1850,12,25,NA,NA,NA,NA
1850,12,26,NA,NA,NA,NA
