Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1845,12,1,NA,NA,NA,NA
1845,12,2,NA,NA,NA,NA
1845,12,3,NA,NA,NA,NA
1845,12,4,NA,NA,NA,NA
1845,12,5,NA,NA,NA,NA
1845,12,6,NA,NA,NA,NA
1845,12,7,NA,NA,NA,NA
1845,12,8,NA,NA,NA,NA
1845,12,9,NA,NA,NA,NA
1845,12,10,NA,NA,NA,NA
1845,12,11,NA,NA,NA,NA
1845,12,12,NA,NA,NA,NA
1845,12,13,NA,NA,NA,NA
1845,12,14,NA,NA,NA,NA
1845,12,15,NA,NA,NA,NA
1845,12,16,NA,NA,NA,NA
1845,12,17,NA,NA,NA,NA
1845,12,18,NA,NA,NA,NA
1845,12,19,NA,NA,NA,NA
1845,12,20,NA,NA,NA,NA
1845,12,21,42.5,33,5.8,0.6
1845,12,22,47,31,8.3,-0.6
1845,12,23,51,40,10.6,4.4
1845,12,24,45,30.5,7.2,-0.8
1845,12,25,47,32,8.3,0
1845,12,26,47,39.5,8.3,4.2
1845,12,27,49,35,9.4,1.7
1845,12,28,53,38,11.7,3.3
1845,12,29,48,31.5,8.9,-0.3
1845,12,30,54,44,12.2,6.7
1845,12,31,50,34,10,1.1
1846,1,1,49,36,9.4,2.2
1846,1,2,40,35,4.4,1.7
1846,1,3,47,35.5,8.3,1.9
1846,1,4,51,35,10.6,1.7
1846,1,5,40,32.5,4.4,0.3
1846,1,6,50,38.5,10,3.6
1846,1,7,49.5,41,9.7,5
1846,1,8,50.5,41.5,10.3,5.3
1846,1,9,51,42.5,10.6,5.8
1846,1,10,48.5,42,9.2,5.6
1846,1,11,49,42.5,9.4,5.8
1846,1,12,45,42,7.2,5.6
1846,1,13,47,41.5,8.3,5.3
1846,1,14,48,45,8.9,7.2
1846,1,15,47.5,38,8.6,3.3
1846,1,16,46.5,37.5,8.1,3.1
1846,1,17,47,43.5,8.3,6.4
1846,1,18,47,34,8.3,1.1
1846,1,19,46,40,7.8,4.4
1846,1,20,50,40,10,4.4
1846,1,21,46,34,7.8,1.1
1846,1,22,50,41,10,5
1846,1,23,51,40.5,10.6,4.7
1846,1,24,48.5,42,9.2,5.6
1846,1,25,52,43.5,11.1,6.4
1846,1,26,54,46,12.2,7.8
1846,1,27,50,44,10,6.7
1846,1,28,51,40.5,10.6,4.7
1846,1,29,49.5,41,9.7,5
1846,1,30,50,41,10,5
1846,1,31,54,48,12.2,8.9
1846,2,1,53,39,11.7,3.9
1846,2,2,46,34.5,7.8,1.4
1846,2,3,47,35,8.3,1.7
1846,2,4,50,36,10,2.2
1846,2,5,45,36.5,7.2,2.5
1846,2,6,44,35,6.7,1.7
1846,2,7,49,38.5,9.4,3.6
1846,2,8,46.5,35,8.1,1.7
1846,2,9,42.5,28.5,5.8,-1.9
1846,2,10,40,27,4.4,-2.8
1846,2,11,38.5,26,3.6,-3.3
1846,2,12,42,33,5.6,0.6
1846,2,13,46,38,7.8,3.3
1846,2,14,44.5,38,6.9,3.3
1846,2,15,46,38,7.8,3.3
1846,2,16,43,37.5,6.1,3.1
1846,2,17,45,37,7.2,2.8
1846,2,18,44,38,6.7,3.3
1846,2,19,43,38.5,6.1,3.6
1846,2,20,44,40,6.7,4.4
1846,2,21,51.5,43,10.8,6.1
1846,2,22,53.5,46,11.9,7.8
1846,2,23,55,48,12.8,8.9
1846,2,24,55,48,12.8,8.9
1846,2,25,53,46,11.7,7.8
1846,2,26,52,41,11.1,5
1846,2,27,53,45,11.7,7.2
1846,2,28,52.5,44,11.4,6.7
1846,3,1,56,44,13.3,6.7
1846,3,2,52.5,42,11.4,5.6
1846,3,3,52,42,11.1,5.6
1846,3,4,52,42,11.1,5.6
1846,3,5,49,34,9.4,1.1
1846,3,6,47,33,8.3,0.6
1846,3,7,46,32.5,7.8,0.3
1846,3,8,50,32,10,0
1846,3,9,46.5,36,8.1,2.2
1846,3,10,51,34,10.6,1.1
1846,3,11,51,43,10.6,6.1
