Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1841,12,1,NA,NA,NA,NA
1841,12,2,NA,NA,NA,NA
1841,12,3,NA,NA,NA,NA
1841,12,4,NA,NA,NA,NA
1841,12,5,NA,NA,NA,NA
1841,12,6,NA,NA,NA,NA
1841,12,7,NA,NA,NA,NA
1841,12,8,NA,NA,NA,NA
1841,12,9,NA,NA,NA,NA
1841,12,10,NA,NA,NA,NA
1841,12,11,NA,NA,NA,NA
1841,12,12,NA,NA,NA,NA
1841,12,13,NA,NA,NA,NA
1841,12,14,NA,NA,NA,NA
1841,12,15,NA,NA,NA,NA
1841,12,16,NA,NA,NA,NA
1841,12,17,NA,NA,NA,NA
1841,12,18,NA,NA,NA,NA
1841,12,19,NA,NA,NA,NA
1841,12,20,NA,NA,NA,NA
1841,12,21,NA,NA,NA,NA
1841,12,22,NA,NA,NA,NA
1841,12,23,NA,NA,NA,NA
1841,12,24,NA,NA,NA,NA
1841,12,25,NA,NA,NA,NA
1841,12,26,39,30,3.9,-1.1
1841,12,27,39.5,32,4.2,0
1841,12,28,46,38,7.8,3.3
1841,12,29,48,37,8.9,2.8
1841,12,30,49.5,42,9.7,5.6
1841,12,31,49,45,9.4,7.2
1842,1,1,47.5,42,8.6,5.6
1842,1,2,46,42,7.8,5.6
1842,1,3,46,40,7.8,4.4
1842,1,4,42,30,5.6,-1.1
1842,1,5,36,28.5,2.2,-1.9
1842,1,6,34,25,1.1,-3.9
1842,1,7,35.5,28.5,1.9,-1.9
1842,1,8,38,33,3.3,0.6
1842,1,9,39,31.5,3.9,-0.3
1842,1,10,36.5,32,2.5,0
1842,1,11,38.5,44.5,3.6,6.9
1842,1,12,43,33.5,6.1,0.8
1842,1,13,43.5,40,6.4,4.4
1842,1,14,44.5,38.5,6.9,3.6
1842,1,15,37.5,30.5,3.1,-0.8
1842,1,16,39,32,3.9,0
1842,1,17,40.5,33,4.7,0.6
1842,1,18,44.5,39,6.9,3.9
1842,1,19,46,35,7.8,1.7
1842,1,20,44,37,6.7,2.8
1842,1,21,44,40,6.7,4.4
1842,1,22,47.5,42.5,8.6,5.8
1842,1,23,45,30,7.2,-1.1
1842,1,24,40,29,4.4,-1.7
1842,1,25,46,34,7.8,1.1
1842,1,26,43,36.5,6.1,2.5
1842,1,27,43,33,6.1,0.6
1842,1,28,41,32,5,0
1842,1,29,39.5,31,4.2,-0.6
1842,1,30,41,30.5,5,-0.8
1842,1,31,46.5,40,8.1,4.4
1842,2,1,46,35,7.8,1.7
1842,2,2,46,41,7.8,5
1842,2,3,46,32,7.8,0
1842,2,4,43,35,6.1,1.7
1842,2,5,47.5,34.5,8.6,1.4
1842,2,6,43,34,6.1,1.1
1842,2,7,41.5,33.5,5.3,0.8
1842,2,8,40,32,4.4,0
1842,2,9,47,38,8.3,3.3
1842,2,10,48,40,8.9,4.4
1842,2,11,53,47,11.7,8.3
1842,2,12,54.5,42,12.5,5.6
1842,2,13,51,38,10.6,3.3
1842,2,14,47,35.5,8.3,1.9
1842,2,15,50.5,35,10.3,1.7
1842,2,16,48.5,37,9.2,2.8
1842,2,17,49,32,9.4,0
1842,2,18,48,34,8.9,1.1
1842,2,19,49.5,37.5,9.7,3.1
1842,2,20,50.5,41,10.3,5
1842,2,21,51,37,10.6,2.8
1842,2,22,47.5,35.5,8.6,1.9
1842,2,23,45,34.5,7.2,1.4
1842,2,24,40.5,30.5,4.7,-0.8
1842,2,25,42.5,31,5.8,-0.6
1842,2,26,43,32,6.1,0
1842,2,27,43,32,6.1,0
1842,2,28,46,34.5,7.8,1.4
1842,3,1,47.5,37,8.6,2.8
1842,3,2,51,35,10.6,1.7
1842,3,3,54,49.5,12.2,9.7
1842,3,4,57,36,13.9,2.2
1842,3,5,51.5,38,10.8,3.3
1842,3,6,54,36.5,12.2,2.5
1842,3,7,50,43.5,10,6.4
1842,3,8,54.5,36.5,12.5,2.5
1842,3,9,47.5,34.5,8.6,1.4
1842,3,10,47,36,8.3,2.2
1842,3,11,56.5,39.5,13.6,4.2
1842,3,12,56.5,37.5,13.6,3.1
1842,3,13,50.5,38,10.3,3.3
1842,3,14,58,44,14.4,6.7
1842,3,15,60.5,49,15.8,9.4
1842,3,16,61,49,16.1,9.4
1842,3,17,55.5,40,13.1,4.4
1842,3,18,50,39,10,3.9
1842,3,19,48.5,33,9.2,0.6
1842,3,20,47,37.5,8.3,3.1
1842,3,21,50.5,35.5,10.3,1.9
1842,3,22,48.5,35.5,9.2,1.9
1842,3,23,48,35,8.9,1.7
1842,3,24,53,37,11.7,2.8
1842,3,25,55,39,12.8,3.9
1842,3,26,51,35,10.6,1.7
1842,3,27,53,34,11.7,1.1
1842,3,28,53,44,11.7,6.7
1842,3,29,59,39,15,3.9
1842,3,30,56.5,45,13.6,7.2
1842,3,31,60.5,44,15.8,6.7
1842,4,1,55.5,39,13.1,3.9
1842,4,2,50.5,37.5,10.3,3.1
1842,4,3,49.5,34,9.7,1.1
1842,4,4,48.5,33,9.2,0.6
1842,4,5,55.5,35,13.1,1.7
1842,4,6,63,36.5,17.2,2.5
1842,4,7,63,38,17.2,3.3
1842,4,8,53,37.5,11.7,3.1
1842,4,9,58.5,36,14.7,2.2
1842,4,10,62.5,38.5,16.9,3.6
1842,4,11,62,36,16.7,2.2
1842,4,12,58.5,38,14.7,3.3
1842,4,13,56.5,39,13.6,3.9
1842,4,14,49.5,37.5,9.7,3.1
1842,4,15,51.5,42,10.8,5.6
1842,4,16,55.5,41,13.1,5
1842,4,17,58,38.5,14.4,3.6
1842,4,18,64.5,38,18.1,3.3
1842,4,19,67.5,42,19.7,5.6
1842,4,20,70,45,21.1,7.2
1842,4,21,71,46,21.7,7.8
1842,4,22,72.5,46.5,22.5,8.1
1842,4,23,69,42,20.6,5.6
1842,4,24,59.5,45,15.3,7.2
1842,4,25,64.5,43.5,18.1,6.4
1842,4,26,66.5,50,19.2,10
1842,4,27,71,45,21.7,7.2
1842,4,28,67,49.5,19.4,9.7
1842,4,29,64,47.5,17.8,8.6
1842,4,30,66.5,51,19.2,10.6
1842,5,1,70,48,21.1,8.9
1842,5,2,70,46,21.1,7.8
1842,5,3,71,52,21.7,11.1
1842,5,4,59,42,15,5.6
1842,5,5,60.5,48,15.8,8.9
1842,5,6,60,46.5,15.6,8.1
1842,5,7,63,48,17.2,8.9
1842,5,8,58.5,46,14.7,7.8
1842,5,9,56.5,41,13.6,5
1842,5,10,58,47,14.4,8.3
1842,5,11,58.5,46,14.7,7.8
1842,5,12,57,43,13.9,6.1
1842,5,13,58,47.5,14.4,8.6
1842,5,14,61,50,16.1,10
1842,5,15,67,53,19.4,11.7
1842,5,16,71.5,49,21.9,9.4
