Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
180787.66,394679.05,54.7996033,-8.2994908,15,Ardara ,Donegal,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,169,162.4,62.2,159.5,101.3,100.4,134.4,156.1,137.6,120,173,117.7
1851,236.4,112.9,104.2,78.1,61.1,147.4,160.8,181.2,106,189.2,109.8,103.4
1852,249.7,191,50.8,67.7,72.3,246.5,123.2,167.3,85.5,122.1,329.5,339.5
1853,209.1,79.9,133.2,111.5,32,104.1,163.6,119.4,85.1,228.7,162.2,79.9
1854,188.5,80,72.9,21.2,141.2,150.3,152.3,109,94,128.1,159,232.9
1855,32.3,81.6,126.5,61.4,93.7,92.9,124.4,145.5,78.8,162.8,64.9,132.2
1856,151.6,106.6,47.6,93.9,152.8,105.5,82.1,124.1,143.3,92.6,97.7,192.4
1857,179.1,99.3,156.6,183.8,54.6,106.5,88.2,97.6,149.6,96.3,151.3,112.3
1858,110.1,82.4,86.1,176,130.5,59.1,131.5,116.9,130.8,139.8,80.7,244.7
1859,157.8,102.5,149,135.4,17.5,60.8,101.5,126.5,226,97.2,192.2,179.2
1860,254,102.9,145.5,87.8,138.9,209,100.4,231.6,69.6,131,126.8,134.5
1861,102.5,105.3,228.1,34.7,28.3,132.3,247.2,258.3,291.8,135.9,222.4,130.5
1862,228.5,65,154.3,132.4,140.9,108.5,155.6,111.1,93.5,246.9,137.9,206
1863,187.5,92.7,121.2,95.7,94.9,131.2,23,169.3,216.9,228.9,217.6,170.1
1864,105.2,90.7,144,78.6,73.6,121.9,69.2,88.9,175.9,137.3,270.7,117
1865,199.5,162.1,129,42.4,148.8,36,131.5,179.9,34.8,232.4,230.4,170
1866,233.6,152.5,133.9,68.2,57.7,115.3,90.6,174.4,226.5,96.2,185.2,221.9
1867,161.4,153.9,100.2,156,138.5,58,167.6,125.5,104.6,240.9,58.5,117.7
1868,180.5,146.6,175.5,89.6,99.5,47.6,57.4,189.5,98.7,149.5,161.2,268.3
1869,183.3,199.1,113.7,106.8,113.1,55.1,87.6,71.3,255.7,74.4,217.4,232.8
1870,164,129,50.8,68.2,95.7,96.5,78.5,88.5,124.3,340.5,94.1,117.1
1871,194.5,130.4,109.4,161.1,46.9,105.4,256.8,115.4,125.7,115.4,164,111.9
1872,281,166.2,135.1,147,147,204.2,88.8,192.3,294.9,254.1,225.2,214.2
1873,194.8,55.2,97.9,34.6,111.5,68.8,205.9,244.7,154.3,195.6,86.2,86.8
