Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
208016.8,203400.46,53.08143,-7.8810884,73,Birr,Offaly,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,93.3,41.5,10.3,81.7,72.2,40.9,81,47.5,68.4,39.5,70.8,62
1851,144.7,18.4,72.9,33.1,28.9,88,90.9,56.7,30.3,91.2,40.5,52.2
1852,112.6,74,30.6,32.5,43.9,181.9,89.3,83.7,20.3,43.1,179.1,159.6
1853,99.6,30.3,69.8,74,26.1,68.4,86.5,75.9,49.5,146,78.4,17.5
1854,85.7,19.5,28.9,5.6,141.6,108.5,79.8,56.7,28.9,41.7,50.9,65.6
1855,10.3,38.7,88.4,26.1,57.3,55.3,79.5,85.4,36.4,75.7,32,39.5
1856,81.5,54,16.1,82.9,146,72,57.3,79.8,76.2,64.2,25.6,91.8
1857,65.1,40.6,65.9,106.5,55.6,77,37.5,41.2,80.9,60.9,68.4,27.8
1858,48.4,32,39.5,102.1,70.6,22.8,70.6,52.6,70.9,76.8,41.7,106.2
1859,54,34.2,64.8,89.3,8.9,40.6,40.9,53.4,122.7,43.9,90.9,85.9
1860,121.5,36.2,76.8,66.2,85.9,131.6,77.3,147.4,38.9,62.3,70.1,54.8
1861,47.3,52.8,97.9,22,8.1,94,210.3,129.1,130.7,94,85.4,49.2
1862,101.9,28.7,97.5,74.7,98.3,71.9,88.1,74.2,38.4,123.4,49.5,73.7
1863,79.2,41.9,64.3,31.7,25.7,22.9,8.4,95.8,93.2,106.9,103.4,71.1
1864,46,17.3,67.1,29.7,41.9,82.5,20.6,43.9,84.8,95.2,110,54.4
1865,98.6,68.8,45.7,26.7,93.7,21.6,80.5,71.6,12.2,102.4,106.9,78.5
1866,105.2,65.8,61.7,45.5,29,65.3,23.1,93.5,116.6,55.1,74.9,89.9
1867,66.8,60.7,57.1,75.4,78,25.9,97,73.4,33.5,119.4,32.3,29
1868,80.5,62.2,79.2,55.9,55.6,39.4,61.5,124.5,71.6,58.2,58.7,105.7
1869,103.1,65.5,45.2,71.1,94.5,38.4,54.6,52.6,156,15.7,74.2,130.3
1870,74.9,42.7,54.4,23.9,56.1,19.8,41.7,41.4,89.2,184.9,35.1,46.5
1871,72.6,53.3,51.6,53.1,51.6,73.2,132.6,55.9,16.3,88.9,43.2,61
1872,87.6,61,54.4,58.4,52.3,83.8,55.6,123.4,83.3,114,94.5,133.9
