Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
226324.03,416013.92,54.9909177,-7.5895177,37,Derry,Derry,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,96.9,92.6,39.1,106.7,69.6,69.6,89.4,101,77.2,73.7,98.9,59.3
1851,136.3,63.2,63,53.6,41.5,102.6,108.3,118.1,58.3,114.7,61.5,51
1852,143.5,109.6,32.2,46.4,48.9,172.4,81.5,108.6,45.9,74.7,189.9,187.6
1853,119.7,43.6,79.6,74.6,20.7,72.5,110.3,75.8,45.6,137.9,91.3,37
1854,107.7,43.6,44.9,16,97,104.9,102.3,68.7,50.9,78.3,89.5,125.9
1855,16.3,44.6,75.8,42.2,63.9,64.5,82.4,93.7,41.9,98.9,34,67.4
1856,86.1,59.4,30.3,63.2,105.1,73.4,51.9,79,80.2,52.2,53.4,102.2
1857,102.2,55.1,93.5,121.6,36.5,74,56.2,60.8,83.9,59.4,84.9,55.8
1858,61.9,45.1,52.6,116.5,89.6,40.9,87.2,74,72.8,85.2,43.3,132.6
1859,89.7,56.9,88.8,90.2,10.6,42,65.7,80.6,129.3,60,109.1,94.6
1860,131,57.2,86.9,59.3,95.5,146.3,65,152.8,36.4,80,70.5,68.7
1861,36.3,36.6,149.6,23.6,24.4,68.6,105.2,164.6,151.9,53.3,162.1,65.3
1862,126.5,36.8,94.2,80.5,72.4,63,108.5,52.1,58.7,173,87.4,142.7
1863,125.7,62.2,56.4,77.7,72.9,132.6,20.3,92.5,159.8,145,99.1,116.1
1864,48.8,73.4,89.2,67.3,72.9,99.8,65.3,47,109,74.2,119.6,38.4
1865,113.8,98.3,70.4,32.3,93.5,18,55.9,156.2,14.2,124.2,101.6,83.3
1866,152.4,95.8,74.9,42.2,34.5,53.8,69.6,121.9,113.5,63.5,121.4,116.8
1867,104.4,85.6,42.2,120.6,67.3,56.4,144.5,59.2,49.3,180.8,44.4,62.7
1868,126.7,81.8,108.7,49.3,65,25.7,19,118.4,36.1,77.5,139.7,139.2
1869,85.6,103.1,55.1,61.7,51.6,53.3,53.1,48,126.2,50,183.6,145
1870,97.5,76.7,30.2,40.6,56.9,57.4,46.7,52.6,73.9,202.4,55.9,69.6
1871,115.6,77.5,65,95.8,27.9,62.7,152.7,68.6,74.7,68.6,97.5,66.5
1872,167.1,98.8,80.3,87.4,87.4,121.4,52.8,114.3,175.3,151.1,133.9,127.3
1873,115.8,32.8,58.2,20.6,66.3,40.9,122.4,145.5,91.7,116.3,51.3,51.6
1874,63.8,58.9,60.7,63,37.3,69.6,70.9,127.8,132.1,111.8,110,117.6
1875,147.8,32,49,6.6,52.1,61.7,67.3,72.9,113.5,101.6,126.7,65.3
1876,53.6,112.3,125,69.6,8.6,76.7,44.2,107.4,94.5,121.7,95.8,146.6
1877,187.7,97,71.4,68.3,62.2,101.6,105.9,124.7,46.5,127.8,143.3,114.3
1878,108.5,44.4,60.2,61,109.7,80.5,18.5,78,95.5,127.8,116.6,119.1
1879,61,46.2,55.4,49.5,96,116.3,118.1,89.2,122.9,44.2,43.4,55.1
1880,43.4,63.8,55.1,91.4,29.5,54.1,130,66.8,91.9,38.6,123.2,94.7
1881,21.6,121.7,112.8,38.6,72.6,104.6,63.8,113.8,54.1,118.4,119.1,85.3
1882,59.2,75.4,70.1,66.8,62.7,89.9,209,79.2,110.7,66.8,169.7,102.9
1883,133.6,104.9,55.9,46.7,58.2,60.2,68.1,145.5,142.2,105.4,119.4,85.3
1884,144.5,108.7,104.9,36.8,82.5,21.1,72.4,95.5,91.9,128,130,110.7
1885,67.1,120.9,61.5,68.8,73.9,15.2,40.4,52.3,145.3,110.7,47.2,75.7
1886,140.7,74.4,67.6,54.4,75.2,62.5,74.7,41.1,91.7,101.6,85.9,152.7
1887,79.2,44.7,41.7,59.7,54.4,24.6,81.8,75.9,85.3,80.5,54.9,86.4
1888,74.4,24.4,70.4,50.8,65,97.3,141.5,106.7,36.1,62,109,91.2
1889,87.1,87.6,45,68.1,71.9,15.5,95,176.5,85.3,110.7,63,82.5
1890,131.3,29,78.2,44.2,43.7,73.7,90.2,82.3,79.5,62.2,229.9,30.7
1891,62.5,4.3,86.4,34.8,94.5,45.7,95.2,127.5,68.6,98.6,107.7,109.7
1892,87.9,61.7,26.2,24.6,94.5,75.7,66.5,129.3,74.7,131.3,120.9,89.9
1893,78.5,91.4,50.8,34,27.4,42.4,61.7,109.5,87.9,111,75.2,111.5
1894,158,151.9,73.4,48.5,39.4,52.8,107.7,67.1,7.9,88.1,82.8,110.5
1895,84.1,15.7,77.7,46.2,16.5,40.9,109,101.9,20.6,156.5,107.9,138.4
1896,54.4,98.3,134.1,50.5,23.1,84.6,135.6,67.8,104.6,103.1,31.2,110.7
1897,40.6,63.2,114.3,54.6,58.4,162.6,51.8,140.2,53.8,61,62.2,137.7
1898,37.6,123.2,41.1,129.8,74.7,65.3,15.2,86.9,102.9,74.4,87.1,75.9
1899,104.6,57.4,58.9,111,99.3,62.7,81.3,71.4,125.5,50.8,80.5,142.5
1900,90.2,89.9,28.7,74.2,86.9,132.6,82.5,105.9,60.2,119.6,136.7,92.2
1901,79,37.6,81,70.4,64.5,74.9,49.5,100.6,103.1,106.2,101.1,106.7
