Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
246600,115200,52.2869497,-7.3177773,8,Portlaw,Waterford,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,109.5,71.6,37.1,172.5,36.6,44.6,94.2,43.1,66.2,33.5,126.6,148.6
1851,231.9,43.1,101.4,59.4,52.9,101.7,66.2,63.6,41.2,92.4,17.6,80.2
1852,160.8,52.1,55.8,33.5,63.6,190.7,26.5,92.4,48.8,81.2,305.1,220.2
1853,160.1,28,86.6,65.4,37.9,76.3,98.3,77.6,75.7,238.7,121.1,54.5
1854,188.3,29.3,32.9,33.7,94.7,131,117.5,52.4,35,83.5,33.5,37.6
1855,11.7,47,98.1,32.2,121.4,73.9,97.8,149.2,50.8,72.4,64.6,115.2
1856,128.9,123.5,43.3,89,142.7,17.6,13.5,76.3,97,109,19.2,123.2
1857,64.9,59.9,131,70.8,20.5,77.6,72.9,72.9,122.2,113.6,90.5,82.2
1858,45.4,131.8,28.3,206.2,82.8,42.5,60.7,58.4,85.6,47.2,78.3,146.1
1859,99.4,54.7,89,122.7,17.1,11.2,64.1,124.5,173.3,103,116.2,124.5
1860,194.6,49.8,73.7,37.4,101.7,147.3,51.1,184.7,54.2,77.6,140.1,99.6
1861,113.1,113.4,99.9,59.9,12.5,130.5,177.7,117.3,158.2,105.8,85.6,105.3
1862,244.6,47,121.4,129.4,87.9,105.8,95.2,67.7,60.4,114.7,68.5,156.9
1863,93.4,37.4,139.6,25.9,49.3,69.8,38.4,125.6,90.3,214.3,124.8,74.2
1864,157.2,61.7,94.9,37.6,50.3,56,33.2,29.1,97.8,143.7,165,118
1865,104.5,79.9,56.8,48,132.8,15.3,114.1,122.2,13.2,111.3,227,200.5
1866,181.8,83.5,116,69,34.8,137.5,14.8,92.4,115.7,74.2,68.7,81.5
1867,98.8,92.1,147.1,92.1,137.5,63.8,91.1,88.7,57.8,118.6,39.2,40.5
1868,161.1,67.2,95.2,89.8,71.6,35,33.5,172.3,170.2,85.6,117.8,244.6
1869,190.7,84.6,100.7,51.9,61.5,2.9,25.9,21.5,183.9,19.7,57.3,128.9
1870,135.1,99.9,92.6,18.2,82.2,26.5,13.8,39.9,61.8,153.3,62.5,54.7
1871,126.3,101.7,50,114.4,28.3,77.5,157.2,76,100.9,114.9,98,108.7
1872,187.3,147.9,114.7,84.9,14,76.3,71.6,114.7,105.6,89.8,156.2,279.6
1873,217.6,78.6,94.7,37.4,49.3,31.9,94.2,179.8,85.4,69.8,56.8,22.6
