Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
194500,279100,53.7551234,-8.1081918,49,Strokestown,Roscommon,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,96.4,95.4,38.4,107.6,75,71.4,86.9,102.5,75.1,71.3,90.7,56.5
1851,138.2,64.1,64.8,52.7,44,104.7,104.9,118.9,56.5,113.2,54,47.9
1852,146.2,113.4,31.2,45.5,52.6,174.7,79.2,109.6,44.5,72.5,181.6,190.5
1853,121.1,43.1,83.2,75,21.6,73.9,106.6,78.1,44.3,137,84.4,33.5
1854,108.3,43.2,45.1,14.2,105.7,106.6,98.9,71.4,49.5,76.1,82.6,126.1
1855,11.5,44.2,79,41.3,69.1,66,80.1,95.3,40.6,97.1,27.9,65.1
1856,85.5,60,29.1,63.2,114.6,74.9,51.3,81.2,78.4,54.7,46.9,101.5
1857,102.5,55.4,98,123.8,39,75.7,55.4,63.9,82.1,56.9,78.1,53.1
1858,59.8,44.7,53.4,118.5,97.5,42.1,84.8,76.5,71.1,83.2,37.1,133.2
1859,89.3,57.4,93.2,91.2,10.4,43.3,64.5,82.8,126.9,57.4,101.8,93.6
1860,148.9,57.7,91,59.1,103.9,148.1,63.7,151.8,35.1,77.9,63.9,66.5
1861,66.9,67.3,132.8,24.2,19.4,96.6,172.5,180.2,177.6,89.5,112.6,67
1862,133.3,33.4,94.6,91,107.2,83.6,97.3,76.8,50.7,149.3,72.4,104.4
1863,100.3,49.8,87.4,61.7,65.5,86.2,13.2,121.9,116.2,138.7,123.3,86.6
1864,62.3,45.9,86.7,47.1,50.2,88.5,39.1,62.5,97.6,78.8,149.7,63.3
1865,116.6,88.3,80.6,28.3,108,27.8,85.7,115.5,24.6,143.8,132.5,90.9
1866,130.8,84.5,86.5,53.6,43.7,83.6,54.4,114.5,127.3,57.3,90.5,116.5
1867,89.2,88.2,65.2,98.5,103.5,37.1,102.2,89.7,63.8,141.6,23.1,58.2
1868,104.1,84.2,108.1,62,74.4,36,41.8,116.2,56.4,94.6,81.3,149.7
1869,112,113.3,71,74.7,84.2,34.8,65.9,46.8,150.8,42.7,102.4,124.8
1870,86.9,61.7,45.3,42.1,76.1,31.2,45.4,60.7,77.4,210.8,58.4,71.2
1871,115.6,85.5,61.4,94.5,28,77,142.7,72.3,68.5,88.8,54.9,59.1
1872,132.9,99.1,72.5,61.2,59.2,116.5,85,107.4,126.5,136.3,124.4,155.6
1873,137.4,27.6,83.1,40.6,60.8,53.9,140,148.5,86.9,111.7,68.2,34.3
1874,74.9,61.8,54.7,62.1,43.2,46.8,93.8,122.9,108.5,125.4,104.6,118.3
1875,141.4,38.6,34.3,33.5,69.4,103.5,69.8,87.8,134.8,128.5,99.8,60.7
1876,47.5,125.6,114.3,76.1,21.5,55,52.4,96.6,112,106.1,104.6,176
1877,157.8,84.9,82,92.5,70.3,91.6,81,121.7,64.9,122.7,154.6,108.1
1878,99.2,49.9,48.3,54.8,115.2,138.5,39.8,111.4,97.4,101.1,57.5,51.9
1879,74.6,92.7,50,59.3,79,144.4,117.7,120.6,119,46.6,25.8,51.8
1880,39.1,85.3,78.6,96.3,42.4,98.8,144.1,47.8,76.5,44.1,122.9,89.9
1881,17.8,97.8,89.8,41.5,69.7,123.2,67.7,119.5,74.2,85.1,121.1,119.9
1882,63.5,76.7,88.7,101.9,78.3,97.8,124.5,84,78.3,93.9,149.7,98.4
1883,145.4,140,37.6,54.7,63.7,59.1,99.7,101.6,118.8,99.1,121.5,58.4
1884,133.4,119.5,97.4,40.3,82.1,26.4,92.5,55.1,72.1,76.1,91,116.7
1885,78.7,100.6,60.5,70.3,65.8,27.5,62.8,75.3,137,107.5,63.3,40.8
1886,111.5,66.7,87.5,54.7,107.4,46.2,95.9,74.8,101.5,126.3,87.8,137.9
1887,82.6,50.8,37,49.7,41.1,14.4,77.3,82.2,96.4,65.5,83.1,81.5
1888,68.8,22.3,89.7,49.4,77.8,117.5,126.7,85.1,33,53.3,104.8,110.8
1889,77.3,77.4,50.6,70.8,96.6,26.7,63,153.1,57.6,113.8,51.8,99.6
1890,129.7,32.1,84,37,60.6,84.6,69.7,88.1,83.1,68.6,171.8,54.4
