Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
287831.33,345772.01,54.3530737,-6.6499043,62,Armagh,Armagh,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,92.5,45.9,25.9,84.6,84,71.4,89.4,67.5,78,50.7,51.9,30.8
1851,97,32.1,43.2,27.5,51.3,78.9,106.9,79.3,58.6,72.4,30.3,45.4
1852,100.5,77.6,27.7,31.3,59.6,177,63,97.9,57.3,80.6,188.4,161.1
1853,74.7,41.6,56.3,59.7,17.8,69.8,102.1,74.9,31.7,123.8,79.9,40.9
1854,79.5,39,41.5,4.5,73.8,113.8,133.2,65.7,41.7,74.1,63.2,104
1855,9.5,38.7,53.6,34.2,62,60.2,71.5,83.5,36.4,81.5,17.9,53.1
1856,58.3,41.3,21,26.5,81.8,51.3,37.7,66.9,80.3,36.3,35.4,90.2
1857,83.2,41.9,99.5,111.5,31.6,47.5,71.1,75.6,53.8,39.6,84.4,43.3
1858,37,32.9,27,133.4,83.8,26.6,78.3,84.5,46.6,61.6,29.5,93.5
1859,71.7,40.8,65.5,66.1,10.2,33.4,47,82.1,102,38.5,84.6,63.4
1860,89,28.8,51.5,37.2,78,95.1,35.4,126.1,22.7,56.2,46.7,54
1861,50.9,43.5,105.5,29.3,16,120.2,105.4,142.3,102.5,69,81.6,54.5
1862,118.3,24.2,76.9,70.2,108.9,86.9,102,61.6,43.3,121.1,45.2,83.9
1863,73.9,20.1,42.9,43.3,42.3,105.8,6.3,88.5,99.3,144,77.5,51.5
1864,46.2,33.9,58.5,50.1,47.2,57.1,43.2,56.7,75,63.2,143.9,54
1865,74.3,71.8,58.6,25,132.2,18.9,64.3,83.4,8.1,149.9,107.2,79.4
1866,117.1,66.5,80.3,39.7,29.7,55.2,81,84.1,90.3,47.2,77.9,99.2
1867,93.3,77.4,46.8,85.6,100,23.9,116.4,62,35,113.3,22.9,46.8
1868,67.4,75.1,90.6,64.4,48.2,23.5,22.5,75.3,40.5,53,77,125.3
