Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
242312.33,457958.12,55.3665488,-7.3335006,22,"Malin Head,", Donegal,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,107.6,98.3,43.5,101.3,63.7,69.7,92.2,104.9,87.3,77,109.6,65.8
1851,147.3,68.9,67.5,51.7,39.5,100.7,109.6,121.2,68.2,119.1,71.2,57.6
1852,154.6,115.5,36.6,44.9,45.8,166.3,84.9,112,55.6,78,203.5,193.9
1853,130.7,49.5,84.2,71.3,21.5,72.3,111.5,80.8,55.3,142.8,101.9,43.7
1854,118.6,49.5,49.4,16.4,87.3,102.8,104.1,74.1,60.7,81.7,100.1,132.4
1855,26.6,50.5,80.4,40.9,58.7,64.8,85.7,97.8,51.6,102.8,42.9,74
1856,96.9,65.4,34.7,60.6,94.3,73.2,57.6,83.9,90.3,54.9,62.8,108.7
1857,113.1,61,98.1,115.2,35.1,73.8,61.6,66.6,94.1,62.3,95.3,62.5
1858,72.5,51,57.1,110.4,81,42.7,90.2,79.1,82.8,88.8,52.5,139
1859,100.5,62.8,93.4,85.8,12.7,43.7,70.3,85.4,140,62.9,120.2,101.1
1860,142.2,63.1,91.5,56.9,86,141.7,69.7,153.9,46,83.5,80.5,75.3
1861,67.7,64.4,139.6,24.1,19.1,90.7,167,170.9,179.6,86.5,137.6,72.7
1862,142.2,40.3,96.6,83.6,87,75.2,106.1,75.3,60.2,154.7,86.3,116.6
1863,118.2,57,77.1,61.3,59.2,90.1,18.4,113.1,134.5,143.7,134.6,95.8
1864,69.3,55.7,90.8,50.9,46.4,84,48.9,60.9,109.9,87.5,166.8,64.8
1865,125.2,98.4,81.8,28.8,91.7,27.5,90.3,119.9,24.9,145.6,142.4,95.6
1866,145.4,92.7,84.7,44.5,36.8,79.6,63.1,116.4,140.3,62.4,115,125.7
1867,102.6,93.5,64.9,98,85.5,41.9,113.9,84.6,66.9,151.1,37.9,65.4
1868,113.9,89.1,109,57.6,62,35,41.3,126.2,63.3,94.9,100.4,152.6
1869,115.5,120.4,72.8,68,70.2,40.1,61.2,49.4,157.8,49,134.6,132
1870,95.3,66.6,45.5,39.6,59.5,37.2,51.8,62.3,86.4,229.6,67.5,79.5
1871,125.3,85.7,60.1,86.5,25.4,70.9,148.8,75.7,74.1,82.2,70.8,63.2
1872,145.5,97.7,71.1,65.1,56.2,110,72.5,105,152.9,148.7,140.5,150.1
1873,142.6,28.8,78.3,36.9,52.9,50.7,131.6,149.2,94.7,118.9,80.7,46
1874,85.5,61.1,60.5,59.6,41,52.2,91.8,128.1,124.2,129.2,124,123.4
