Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
241780,247765,53.4781196,-7.3709332,112,Mullingar,Westmeath,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,82.5,70.9,27.1,99,64,57.1,76.9,73.2,61.5,56.2,72.1,54.3
1851,120.6,43,56.1,46,34.9,91,91.9,89.3,40.5,96.8,38.7,33.1
1852,116,90.8,21.9,36.9,55.9,165.6,69,94.5,46.1,66.5,159.2,149
1853,97.5,36.6,70.3,62,17.5,63.2,88.7,66.2,35.1,122.2,63.4,29.9
1854,96.2,26.6,31.4,10.3,88.9,96.7,84.7,48.6,38.2,61,71.1,92.8
1855,6.3,50.8,59.3,29.5,56.3,55.4,76.9,75.9,34,92.1,25,46.3
1856,69,44.1,18.3,52.6,107.1,64.9,45.3,66.5,72.1,42.5,31.7,76.1
1857,78.6,38.8,75.1,107.9,32.8,71.5,49.6,45.3,61.9,50.6,61.7,33
1858,44.4,27.5,40.6,110.2,75.3,34.2,81,53.7,62.4,74.2,26.8,97.5
1859,66.2,36,73.1,86.9,7.8,34.2,51.2,59.3,102.8,45.2,83.7,75
1860,120.8,36.8,71.4,52.6,89.9,132.5,59.2,129.9,34.6,63.7,56.7,54
1861,47,52.6,113.8,20.4,12.6,84.6,160.7,142,138.6,69.1,85.8,45.5
1862,107.8,18.7,80.8,85.8,93.5,68.6,94.2,54.9,39.3,119.2,56.5,78.4
1863,81.7,31.9,59.1,50,55.9,73.4,6.5,98.7,96.9,125.5,94.1,64.8
1864,44.6,31.3,75.2,39.1,42.2,67.9,31.3,41.3,77.3,70,123.3,44.7
1865,87.1,77.5,63.3,23.7,99.5,18,78,97.7,5.8,118.6,107.7,75.5
1866,102.9,67.8,73.8,41.2,38.7,79.4,46.9,89.8,108.9,44.4,73.3,90.4
1867,74.5,69.2,61.1,86.3,91.4,25.7,93.3,67.2,43.5,115.4,14.3,38.2
1868,83.2,63.3,85.2,51.2,58.7,23.7,28.2,108.9,51.6,70.5,57.9,125.1
1869,93.3,91.5,62.3,61.1,87.8,25.1,43.8,29.7,128.8,35.5,86,97.2
1870,65,44.1,41.6,29.9,59.5,19.6,36.2,41.4,66.4,187.3,41.9,60.8
1871,101.8,66.3,45,86.2,18.1,62.6,133.4,54.1,54.9,76.6,35.9,39.7
1872,103.5,75.1,63.4,56.3,46.4,95.5,69,88.9,106,118.9,102.6,135.7
1873,112.3,11,72.4,32.1,45.8,41.2,119.3,131.2,68.3,94.7,57.5,19.9
1874,62.6,44.3,42.1,48.5,40.3,30.9,81.4,109.1,87.9,106.3,90.4,95.6
1875,130.1,51.8,26.4,17.4,69.1,70.4,40,51.4,103.9,112,79.4,52.7
1876,35.1,123.8,80.3,65.9,19,37.6,33.3,103.8,102.6,72,80,162.1
