Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
311871.41,236856.22,53.370275,-6.3199808,39,Phoenix Park,Dublin,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,75.7,51.6,23.2,104.7,49.6,40.5,89.1,53.5,50.7,40.6,71.1,65.1
1851,120.7,32.5,48.9,41.3,34.8,76.4,75.1,69.8,34.5,74.7,25.4,43
1852,96.5,61,29.1,36.4,65.2,148.9,55.3,86.4,44.3,57.3,151.7,133.4
1853,82.8,30.1,52.4,55,27.5,64.6,76.5,68.2,40.8,123.1,69,31.2
1854,82.4,20.6,22,11.8,78.8,90.3,81.2,48.3,32.1,47.6,51.6,60
1855,8.8,43.3,54.7,26.2,61.9,52.8,61.5,77.3,38,72.1,32,50.2
1856,65.1,48.2,20.4,55,103.5,47.7,36.7,72.4,74.9,52.1,24.4,74.9
1857,59.9,35.2,64.8,88.3,52.8,61.6,46.6,52.3,56.3,48.8,66.7,34.6
1858,36.9,34.9,34.7,103,71.8,32.4,69.2,54.1,63.7,56.8,47.7,85.2
1859,50.1,29.2,54.5,77,12.3,28.8,42.1,66,87.4,46.6,83,70.6
1860,100.3,29.4,53.8,44.4,76.9,125.1,57,111.6,40.1,46.9,57.2,59.1
1861,49.9,56.9,75.3,30.5,8.1,83,126.3,105.9,101.1,64.7,66.9,44.5
1862,97.9,26.6,72.3,72.9,89.7,78.3,85.4,63,46,89.9,58.8,79.8
1863,62.5,19.9,52.5,33.9,43.3,61.8,25.6,89.8,73.1,128,72.4,52.3
1864,39.6,26.5,59.4,34.9,42.1,55.7,30.4,40.5,60.4,76,102.5,50.7
1865,67.3,60,47.7,27.1,103.7,21,64.8,91,11.6,94.5,107.2,87.6
1866,85.6,51.3,69.6,49.2,38,71.8,37,79.8,95.7,46.6,61.2,77.2
1867,68.6,53.9,56.4,68.5,96.2,18.5,79.2,58.1,43.2,86.9,22,33.9
1868,73.6,47.9,65.3,55.1,48.9,26.1,29.7,115.2,78.4,45,71.6,133.2
1869,97.4,64,48.2,51.3,94.7,21.9,40.6,34.9,110.6,24.4,62.8,87.4
1870,63.2,47.4,46.5,21.9,51.7,22.5,29.8,43.8,59.9,137.6,41.9,54
1871,78.8,59.5,38.9,80.9,17.3,61.8,116.4,60.9,70.9,79.3,57.5,47.1
1872,86,75.6,63.7,57.6,44.6,80.7,72.9,95.4,75.5,88.6,101.3,148.1
1873,98.6,24.4,64.1,24.5,42.8,37.5,97.1,120.4,63.6,67.3,52.1,15.9
1874,46.5,51.2,30.3,38.9,30.7,26.8,54.4,94.4,69.9,88.9,86.9,75.4
1875,104.2,42.4,26.4,19.7,51.6,69.3,73.5,57.6,114.9,130.7,88.4,40.8
1876,28.5,87.5,65.3,55.5,16,37.2,37.6,82,94.7,97,89,156.5
1877,109.9,38.9,58,100.5,64,62.2,63.2,111.9,61.5,83.8,98.7,72.7
1878,49.6,43.8,26.9,55.8,104.8,114.1,32.2,89.6,63.4,60.2,39.9,41.5
1879,63.9,81.1,35.8,51.1,56.9,137.1,99.4,93.9,87,26.4,20.2,34.7
1880,22.3,72.7,65.9,75.6,25.6,65.3,125.4,32,62.5,80.7,87,64.9
1881,27.5,78.8,66,35.5,54.6,101,54.6,111.5,54.4,69.8,102,73.1
1882,50.5,61.6,50.4,92.1,70.6,76.6,107.8,73.3,65.4,73,99.1,83.7
