Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
137792,159203.87,52.6807753,-8.9205048,6,Shannon Airport,Limerick,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,85.2,81.3,27.1,87.2,71,65.9,74.8,93.2,72.5,60.3,85.4,56.1
1851,126.1,55.4,64.1,41.9,42.1,98,86.6,108.3,50.4,96.4,57.1,51.3
1852,138.8,99.8,25,30.8,44.8,168.2,74.8,104.6,42.6,75.2,193.8,202
1853,122.3,41,76.6,72,19.4,66.4,94.6,72.4,44,133.4,89.8,33.1
1854,103,41.1,39,11.2,104,100.3,94.1,56.4,44.3,70.9,77.6,120.1
1855,10,40.4,72.7,34.6,57.5,62.4,81.7,89.8,34.7,90.2,26.8,66.3
1856,87.5,56.8,23.4,58,103.2,69.1,46.9,73.2,62.1,53.5,40.2,99.6
1857,94.4,50.6,79.4,123.2,34.3,78,49.7,57.5,79.1,56.2,83.5,53.9
1858,52.1,43,42.1,116.5,73.9,33,70.9,69.8,58.7,77.6,35.5,132.6
1859,86.1,48.6,85.7,87.2,10,40.8,61.2,75.4,122.1,47.3,97.8,98.1
1860,128.7,49,79.7,52.6,95.4,127.1,54.7,150.2,29.9,70.9,66.1,57.4
1861,48.1,66,136.1,19.3,11.5,103.4,253.1,188.9,204.9,81.7,83.3,60.5
1862,105.3,40.7,86.7,83.6,130.1,75.6,92.5,64.6,50.8,124.3,68.5,76.7
1863,87.7,39,92.5,44.9,49.8,61.1,18.7,113.6,102.9,134.7,160.3,92.9
1864,60.8,43.5,73.5,30.3,41.8,78.7,23.1,40.1,105.9,49,131.7,52
1865,124.3,103.2,90.5,35.8,113,32.8,138.4,123.2,12.7,127.9,125.7,80.8
1866,131.2,92.5,77,40.7,44.3,111.1,59.1,106.1,115.3,50.1,56.9,140.8
1867,55,92.7,57.4,95.7,81.7,60.5,57.7,95.2,67.4,145.5,20.9,50.1
1868,80.1,60.5,91.6,64.3,59.1,45.3,28.6,173.3,60.2,118.2,59.4,162
1869,116.4,81.4,83.3,88.3,96.8,28.6,40.1,43.5,141.6,60.5,104.3,117.1
1870,104.6,60.2,61.6,45.9,70.4,25.9,24.2,66.6,92.9,187.6,53.1,75.3
1871,126.5,71.8,56.4,114.4,21.7,88.5,126.3,56.1,53.4,96.3,43.8,56.4
1872,137.8,79.5,60.2,42.1,35.2,96.3,74.8,75.3,97.7,126.5,102.9,149.1
1873,146.6,17.9,105.9,66.3,52.8,55.9,85.3,147.4,107.3,154.3,65.2,51.1
1874,74.6,52.8,43.5,47,42.4,31.4,87.4,154.3,102.9,113.9,99.8,134.5
1875,147.7,30.5,30.5,45.3,47.3,119.4,70.7,94,175.5,117.4,96.6,42.4
1876,33.2,111.4,109.2,96.3,21.1,34.6,34.9,95.4,101.8,77.8,91.9,123.7
1877,102.3,68.8,70.4,86.7,53.9,92.5,31.7,122.2,63.2,116.1,156,108.7
1878,88,33.5,45.6,81.1,74,181.8,53.9,114.2,75.6,96,42.1,54.2
1879,65.7,133.1,28.9,34.9,64.1,148.5,89.1,142.2,68.8,27.5,27.5,55
1880,32.9,46.9,87.8,63.4,26.6,78.4,114.1,59.5,68.1,24.4,124.1,101.9
1881,6.2,67.8,50.4,41.2,45.1,78.6,46.6,122.5,53.4,99.5,83.4,153.1
1882,63.7,73.8,94.7,97.2,42.6,101.1,108.5,92.2,57,98.9,153.5,129.6
1883,143.5,137.9,36.8,56.8,62.1,40.7,116.6,64.8,88.1,82,136.8,47.6
1884,95.2,141.2,71.5,31.9,52.4,26.4,72.9,31.3,58.7,47.4,62.8,96.1
1885,79.3,84.2,52.6,45.3,51.3,31,51.7,93.6,106,122.1,74.7,38.8
1886,103.4,51.7,80.4,57.4,80.4,50.6,73.6,73.8,80.9,99.1,102.3,141.3
1887,89.8,37.2,35.8,52.4,25.8,8.3,44.3,70.1,96.3,50.4,71.2,86.4
1888,57.4,32.2,71.7,28.8,79.3,83.4,141.6,64.8,29.9,61.2,99.7,99.3
1889,74.5,81.4,31.3,57.7,69,15.2,73.6,127.4,45.5,89.7,51,101.6
1890,160.4,49.9,53.5,32.7,61.8,69.6,72.2,82.8,75.1,66.7,137.2,75.6
1891,54.7,6,50.4,52.1,48,52.9,28.3,161.8,68.5,94.5,61.4,166.4
1892,62.1,95.2,17.7,26.4,93.8,36.3,76.1,145.2,104.4,54,116.6,70.6
1893,68.7,93.6,10.1,30.8,29,34.7,66.5,68.2,88.5,112.2,62.1,114.7
1894,117.2,78.9,65.5,84.4,64.6,59.5,89.8,103.3,7.5,112.8,114.1,81.8
1895,70.8,32.2,70.8,35.7,19.3,34.5,72,81.6,20.5,107.5,127.8,115.8
1896,40.2,33.1,136.3,39.1,11.1,66.2,105.3,68.7,139.6,86.4,20.9,113.1
1897,59.8,41.8,133.8,135.2,38.2,147.6,63.4,126.4,81.8,83.7,129,114.7
1898,68.7,81.6,25.8,87.3,83.7,70.6,27.8,125.3,64.3,100,93.3,96.1
1899,116.3,93.6,35.8,92.4,63.9,51,47.1,71.2,73.1,50.4,85,165.3
1900,91.7,89.7,32.9,50.4,44.6,94.5,50.8,157.9,44.8,135.2,141.6,131.7
1901,83.9,26.6,75.4,68.7,36.3,60,19.6,68.1,116.3,96.6,80.9,94
1902,78.1,48.5,76.3,20.7,59.8,42.3,40.7,56.3,37.2,47.9,118.3,97.2
1903,131.9,89.7,140.4,63.7,59.1,30.1,118.3,99.5,91.5,119.1,77.9,125
1904,104.4,115.6,60.7,66.5,52.9,39.3,84.4,83,41.6,69,71.2,50.4
1905,81.2,49,105.8,46,8.3,28.5,54,97,51,61.4,86.7,46.9
1906,138.6,93.8,87.8,44.8,74,59.3,70.8,79.3,41.2,134.4,46.5,98.4
1907,53.5,54.3,46.9,62.9,82.5,105,46.5,88.7,65.1,131,104.4,140
1908,74.5,75.6,91.1,39.3,63.2,40.2,60.7,117,140.7,35.7,71.2,111.9
1909,92,43.7,71,92.2,35.7,49,76.5,24.9,57.7,150.1,50.4,86.7
1910,111.5,146.9,58.2,89.2,80.4,72.2,80,96.1,25,47.1,122.1,103
1911,41.8,79,39.8,38.4,55.9,54.5,35.2,30.1,83.7,92,110.3,183.4
1912,79,66.5,105.8,30.8,35.4,201.4,121.1,97.7,14.5,79.5,73.8,131.7
1913,129.4,29.2,114.5,79.3,101.9,93.8,20.7,49.9,61.6,118.6,127.1,91.2
1914,59.6,140.7,132.7,34.3,44.5,24.9,102.6,127.5,72.2,47.8,110.9,172.2
1915,159.4,109,10.1,57.7,24.4,26,124.9,64.1,36.2,65.3,108.1,143.8
1916,81.4,151.4,48.2,71.9,55.8,55.1,49.6,66.2,50.1,189.7,149.9,97.2
1917,39.9,36.2,61.5,33.6,56.8,40.9,36.2,174.6,27,130.5,84.6,54.8
1918,67.9,98.9,66.9,24.1,55.8,35.5,139.8,52,201.3,135.9,73.6,152.8
1919,103.8,39.8,61.7,33.1,61.5,40.7,45,70,81.8,23.6,65.3,132.9
1920,146.2,78,83.2,81.4,111.2,49.9,102,46.8,74,69.3,109.2,62.7
1921,113.3,68.6,85.8,21.3,48.5,14.2,102,117.5,41.3,68.2,85.1,88.2
1922,106.9,133.1,45.9,45.9,38.8,49.2,84.2,65.3,92.5,14.4,40.7,146.8
1923,87.7,145.7,74.5,97.2,45.2,30.5,89.2,123.2,82.8,107.8,101.2,111.4
1924,92.9,39.8,36.2,72.2,72.6,112.1,62.9,107.6,125.6,105.7,79.7,166.3
1925,143.1,138.4,12.8,78.3,115.9,4.7,97.7,43,62.5,91.5,58.7,80.9
1926,125.8,75.2,40.2,64.3,84.9,92.9,62.7,60.5,63.1,83.5,126.3,30.1
1927,183.1,73.1,91.8,46.8,38.8,127,50.4,81.8,127.3,53,69.1,82.5
1928,141.4,114.2,72.6,89.2,23.2,101,57,119.2,50.4,154.7,141,120.9
1929,42.6,86.6,19.2,27.9,41.2,23.4,100.3,96,18.4,121.8,151.1,219.7
1930,188.7,14.4,85.8,46.8,35,54.2,70.5,119.9,88.6,162.2,93.4,122.5
1931,83.8,88.4,48.5,73.2,70.9,104.9,72.9,58.7,45.2,48.8,138.7,66
1932,117.3,3,54.6,74.7,40.9,39.9,89.9,63.5,97.8,92.7,56.4,131.8
1933,98.8,47.8,69.8,31.2,105.4,43.7,73.4,45.5,21.1,55.4,33.3,36.8
1934,127.8,7.6,82.8,47,50.8,42.9,52.8,106.7,112,102.9,55.1,148.8
1935,39.9,100.6,63.5,95.2,28.4,114.6,40.4,92.2,155.7,117.1,145.5,67.8
1936,118.1,52.6,48,66.5,27.9,87.9,184.4,32.5,77,79.2,131.6,128.8
1937,171.7,131.1,50.5,71.1,47,21.6,134.6,51.3,96,37.8,49,63.5
1938,182.4,40.9,56.9,5.6,95.8,92.7,116.1,146.3,81.5,160.5,144.8,101.3
1939,115.8,73.2,59.2,31.5,15.7,57.9,83.1,49,32,74.9,228.6,71.1
1940,39.6,101.3,71.4,94,20.3,36.6,73.9,12.7,71.9,116.6,99.1,91.4
1941,67.3,81.9,68.5,35.5,80.3,30.5,48.5,100.4,27.1,47.7,160,62.2
