Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
46471.78,78165.16,51.9352866,-10.232517,11,Valentia ,Kerry,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,157.1,96.3,47.3,226.2,37.9,38.5,155,54.6,73.4,58.9,183.4,197
1851,347.6,58.3,117.8,67,56.9,117.7,75.5,87.6,50.7,134.2,25.8,120.5
1852,239.1,65.8,82.7,52.6,98,215.1,53.7,124,75.7,127.8,349.2,313
1853,230,34.1,93.7,93.3,56.3,102.1,115.8,97.9,103.6,325,178.8,66.2
1854,219.5,30.1,28.5,30.6,106.4,135.8,134.6,58.4,50.5,100.8,51.8,53.7
1855,13.4,56.9,124.3,41.1,120.1,87.4,96.1,148,75.4,117,85.5,155.9
1856,186.4,148.7,61.3,119.5,149.3,34.7,30.3,112.4,130.1,164.2,25.3,168.4
1857,107.3,73.8,130.7,131.1,89.5,97.1,72.8,89.3,135.2,136.5,153.3,107.7
1858,69,138.6,61.9,215.4,98.1,50.9,81.2,77.2,125.3,82.7,152.2,198.5
1859,115.7,53.6,107.1,145.1,23.9,26.1,76.1,136,182.6,135,176.2,173.8
1860,243.3,58,94.2,54.6,113.7,203,80.5,178.3,82.8,86,149.1,140.3
1861,195.8,152,123.1,42.7,35.1,98.2,177,283.3,307,162.7,174.4,133.6
1862,214,54.9,126.5,133.8,108,122.4,79.7,92.9,86.7,261.1,156.7,182.2
1863,138.5,85.9,214.3,85.1,56,95.5,32.8,199.7,154.6,222.9,228.1,169.5
1864,141.6,75.2,103.1,40.4,65.3,128.1,37.5,89.6,138.5,70.8,209.3,140.3
1865,208.8,96.6,109.1,44.5,92.2,34.1,61.2,160.6,107,223.9,236.4,164
1866,205.7,108,147.1,136.2,62.5,72.9,48.4,142.9,144.8,92.2,103.6,154.1
1867,145.5,123.1,94,109.1,85.7,29.4,93.2,131.2,136.4,229.6,52.3,117.4
1868,221,123.4,149.7,88.3,90.6,43.2,71.3,68.7,82,165.3,186.2,252.5
1869,222.3,112,85.4,116.9,67.2,23.7,135.9,55.2,220.5,56.5,125.2,222.9
1870,160.4,119.8,50.5,94,117.2,15.9,53.4,94.2,110.6,261.1,129.4,67.4
1871,145.8,121.6,154.4,116.8,43.2,126.8,143.5,63.8,75.7,200.5,108,133.9
1872,234.8,185.9,110.9,41.1,53.1,162.2,134.1,119,131.2,190.3,204.6,220.5
1873,242.4,100.3,121.9,60.2,80,70.6,232.5,148.9,172.6,171.3,116.8,65.8
1874,130.2,157.7,68.8,100.3,26.4,40.6,129.1,140.8,151,188.7,124.9,180.7
1875,262.2,56.4,56.1,93,117.5,147.6,49.3,92.5,259,199,110.4,111.9
1876,111.7,155.9,140.6,100.6,18.5,68.6,67.3,131.5,163.5,145.5,243.6,248.7
1877,233,89.9,126.5,150.5,82,114.6,73.4,172.3,90.2,191.4,267.4,181.4
1878,152.5,76.7,55.9,97.5,165.3,144.5,50.3,169.5,97.3,171.3,87.9,111.9
1879,187,186.7,67.8,140.1,78.5,184.8,111.9,135.6,126.8,57.7,21.6,77.7
1880,111.2,174.7,76.7,130.7,61,121.6,97.8,122.1,129.7,62.2,153.6,143.5
1881,50.8,162.5,145.2,46.2,63.2,187.2,67.3,133.9,68.3,116.1,216.9,245.3
1882,118.6,133.7,85.6,175,35.1,110.1,186.8,128,98.3,248.8,201,152.4
1883,217,272.3,67.1,111.4,73,49.6,136.6,130.7,144.5,117.2,181.4,64.1
1884,161.1,241.1,269.7,68.3,78.7,37.4,185,108.3,100.3,100.5,148.4,151.5
1885,179.7,174.1,124.7,141.8,107.5,37.6,70.6,89.7,205.9,138.8,128.8,68.4
1886,141.1,154.7,160.6,83.8,138,34.9,155,138.7,106.3,199.6,126,193.7
1887,187.2,73.4,57.4,47,41.4,35.3,75.9,120,99.3,115.1,142.2,133.6
1888,111.7,46.5,121.6,73.9,94.7,90.2,111.7,131.7,45,72.4,96.5,236.4
1889,210.3,116.8,85.1,69.3,164.3,46,55.6,195.3,87.1,153.6,99.1,184.8
1890,182.6,88.1,111.4,135.1,145.8,162.5,100.3,72.4,81,101.6,195,121.1
1891,112.2,17.8,73.7,96.5,106.7,122.4,51.3,163.3,159.6,274.2,123.9,241.6
1892,127.8,92.2,55.6,42.2,79.5,73.9,148.1,184.4,104.4,111.5,236.5,124.7
1893,97.8,167.4,41.9,28.7,47.5,47.2,79.8,146.2,84.8,81.9,61.2,215.6
1894,174.5,75.4,81.3,167.1,76.7,62.7,188.7,96.8,33.8,133.6,205.5,135.9
1895,153.4,69.6,120.7,88.9,40.9,58.9,144.5,132.8,34.8,116.1,150.6,161.3
1896,71.1,97.8,165.4,33.3,5.8,83.1,110,77,177.5,140.5,48.8,228.1
1897,96.8,114,179.3,142.5,67.8,128.8,61.2,195.1,91.9,149.1,182.4,201.4
1898,135.4,92.7,42.9,156.7,45,47.5,23.9,155.4,109.2,184.2,168.1,121.4
1899,196.1,186.9,84.1,145,75.9,63.2,67.1,133.9,79,79.2,120.1,304.5
1900,132.8,160.8,29.2,97.8,113,145,52.6,140.5,57.2,197.9,201.7,236.5
1901,145.8,56.4,81,170.9,65.8,76.2,56.6,85.1,204.2,122.7,78.2,178.3
1902,77,146.1,114.6,99.8,48.8,111,48,106.7,81,88.1,197.1,154.2
1903,208,125.2,237.5,60.2,78.5,87.4,116.6,191.8,178.8,201.2,98.3,125.7
1904,189.5,220.5,77,99.1,99.1,134.4,132.6,165.6,208.8,129.8,99.8,118.4
1905,115.3,67.4,225,125.5,64.3,103.1,70.6,127.8,120.1,44.2,171.5,117.6
1906,183.6,110.5,68.8,58.2,131.1,73.2,128.8,115.8,43.9,193.8,74.7,89.9
1907,58.9,106.9,61.5,110.2,110,115.6,46,144,57.9,168.1,93,229.6
1908,130.3,76.7,146.1,75.4,93,39.6,96.5,86.9,195.3,68.6,68.3,202.4
