Year,Month,Daily,Max (°F),Min (°F),Max (°C),Min (°C)
1872,5,1,59.5,49.6,15.3,9.8
1872,5,2,56.8,47.6,13.8,8.7
1872,5,3,62.5,42.7,16.9,5.9
1872,5,4,59.2,42.1,15.1,5.6
1872,5,5,54.6,40.1,12.6,4.5
1872,5,6,55.1,38.7,12.8,3.7
1872,5,7,55.9,43,13.3,6.1
1872,5,8,52.9,42,11.6,5.6
1872,5,9,55.4,38.4,13,3.6
1872,5,10,55,31.6,12.8,-0.2
1872,5,11,53.8,39,12.1,3.9
1872,5,12,54.3,31.5,12.4,-0.3
1872,5,13,51.1,32.4,10.6,0.2
1872,5,14,58.1,32.3,14.5,0.2
1872,5,15,59.3,49.7,15.2,9.8
1872,5,16,57.5,46,14.2,7.8
1872,5,17,61.5,38,16.4,3.3
1872,5,18,53.6,38.6,12,3.7
1872,5,19,50.8,29.2,10.4,-1.6
1872,5,20,53.5,30.2,11.9,-1
1872,5,21,56,34.8,13.3,1.6
1872,5,22,55.8,34.6,13.2,1.4
1872,5,23,51.2,36,10.7,2.2
1872,5,24,54.6,42.5,12.6,5.8
1872,5,25,55.4,47.6,13,8.7
1872,5,26,63.1,45.8,17.3,7.7
1872,5,27,62.5,52.3,16.9,11.3
1872,5,28,59.5,47,15.3,8.3
1872,5,29,64.1,51.1,17.8,10.6
1872,5,30,58.9,44.7,14.9,7.1
1872,5,31,57.7,43.3,14.3,6.3
1872,6,1,56.9,37.7,13.8,3.2
1872,6,2,56.6,37.6,13.7,3.1
1872,6,3,56.2,44.9,13.4,7.2
1872,6,4,55.1,45.7,12.8,7.6
1872,6,5,58.9,50.6,14.9,10.3
1872,6,6,57.6,38.4,14.2,3.6
1872,6,7,57.5,42.6,14.2,5.9
1872,6,8,57.5,40.7,14.2,4.8
1872,6,9,58.3,45.4,14.6,7.4
1872,6,10,56.5,44.1,13.6,6.7
1872,6,11,59.8,45.4,15.4,7.4
1872,6,12,59.5,50.4,15.3,10.2
1872,6,13,61.4,52.7,16.3,11.5
1872,6,14,69.1,49.8,20.6,9.9
1872,6,15,66.5,53.7,19.2,12.1
1872,6,16,68.5,53.7,20.3,12.1
1872,6,17,71,56.6,21.7,13.7
1872,6,18,70.7,57.6,21.5,14.2
1872,6,19,69.8,55.5,21,13.1
1872,6,20,64.4,44.8,18,7.1
1872,6,21,67.3,51.5,19.6,10.8
1872,6,22,63.5,48.8,17.5,9.3
1872,6,23,62.4,50.2,16.9,10.1
1872,6,24,64.7,50.1,18.2,10.1
1872,6,25,61.5,52.7,16.4,11.5
1872,6,26,60.3,46.7,15.7,8.2
1872,6,27,62.1,46.8,16.7,8.2
1872,6,28,61.2,52.5,16.2,11.4
1872,6,29,60.5,42.6,15.8,5.9
1872,6,30,64.9,47.8,18.3,8.8
1872,7,1,60.7,44.7,15.9,7.1
1872,7,2,64.7,46.7,18.2,8.2
1872,7,3,67.3,48.3,19.6,9.1
1872,7,4,69.5,56.9,20.8,13.8
1872,7,5,75.7,53.2,24.3,11.8
1872,7,6,69.8,52.6,21,11.4
1872,7,7,66.6,45.4,19.2,7.4
1872,7,8,66.5,45.5,19.2,7.5
1872,7,9,63.6,51.5,17.6,10.8
1872,7,10,67.5,52,19.7,11.1
1872,7,11,69.7,52,20.9,11.1
1872,7,12,67.1,53.5,19.5,11.9
1872,7,13,69,52.6,20.6,11.4
1872,7,14,70.9,52.6,21.6,11.4
1872,7,15,72.3,50.2,22.4,10.1
1872,7,16,68.4,50.7,20.2,10.4
1872,7,17,72.5,54.9,22.5,12.7
1872,7,18,70.7,53.3,21.5,11.8
1872,7,19,68.5,55.1,20.3,12.8
1872,7,20,68.5,55.1,20.3,12.8
1872,7,21,70.7,62.8,21.5,17.1
1872,7,22,70.3,54.6,21.3,12.6
1872,7,23,68.5,54.5,20.3,12.5
1872,7,24,70.4,57,21.3,13.9
1872,7,25,73.5,54.4,23.1,12.4
1872,7,26,65.7,56.8,18.7,13.8
1872,7,27,72.3,57.4,22.4,14.1
1872,7,28,70.7,56.4,21.5,13.6
1872,7,29,67.7,54.5,19.8,12.5
