Year,Month,Day,Max at 9h (°F),Min at 9h (°F),Max at 21h (°F),Min at 21h (°F),Max at 9h (°C),Min at 9h (°C),Max at 21h (°C),Min at 21h (°C)
1955,5,1,NA,NA,49,46,NA,NA,9.4,7.8
1955,5,2,48.9,46,51.8,45.5,9.4,7.8,11,7.5
1955,5,3,48,39.5,54.9,44.2,8.9,4.2,12.7,6.8
1955,5,4,50.7,45.8,55.1,47.9,10.4,7.7,12.8,8.8
1955,5,5,50.7,46.2,55.6,48.5,10.4,7.9,13.1,9.2
1955,5,6,55.9,46,52.5,47.5,13.3,7.8,11.4,8.6
1955,5,7,50.8,43.8,57.7,48.7,10.4,6.6,14.3,9.3
1955,5,8,55.7,49.1,60.8,51.3,13.2,9.5,16,10.7
1955,5,9,53.2,45.9,55.3,47.9,11.8,7.7,12.9,8.8
1955,5,10,49.4,40.3,46.1,41.6,9.7,4.6,7.8,5.3
1955,5,11,49.2,41,52.5,41.9,9.6,5,11.4,5.5
1955,5,12,48.2,45.3,50.6,45.1,9,7.4,10.3,7.3
1955,5,13,45.7,41.7,48,40.2,7.6,5.4,8.9,4.6
1955,5,14,44.6,37.2,47.6,40.9,7,2.9,8.7,4.9
1955,5,15,44.5,38.5,47,34,6.9,3.6,8.3,1.1
1955,5,16,45.7,36.2,47,43.8,7.6,2.3,8.3,6.6
1955,5,17,45.2,41.7,46.4,42.9,7.3,5.4,8,6.1
1955,5,18,45,40.2,47.5,41.2,7.2,4.6,8.6,5.1
1955,5,19,45.9,36.2,48.2,39.3,7.7,2.3,9,4.1
1955,5,20,47,40.9,48.3,42.9,8.3,4.9,9.1,6.1
1955,5,21,48.7,42.1,53,45,9.3,5.6,11.7,7.2
1955,5,22,51.7,44,54.8,50.6,10.9,6.7,12.7,10.3
1955,5,23,51.2,48.9,52.9,49.5,10.7,9.4,11.6,9.7
1955,5,24,52,49,52.6,49,11.1,9.4,11.4,9.4
1955,5,25,57,46.9,62.7,51.8,13.9,8.3,17.1,11
1955,5,26,57.1,49,61.4,45.4,13.9,9.4,16.3,7.4
1955,5,27,54.9,47.5,60.6,48.3,12.7,8.6,15.9,9.1
1955,5,28,53,46,57.9,47.2,11.7,7.8,14.4,8.4
1955,5,29,54.8,45.3,63,51.4,12.7,7.4,17.2,10.8
1955,5,30,61.9,47.4,68.2,55.8,16.6,8.6,20.1,13.2
1955,5,31,61.8,49.5,65.1,58,16.6,9.7,18.4,14.4
1955,6,1,59.5,51.1,65.7,51,15.3,10.6,18.7,10.6
1955,6,2,60.3,51,58.4,51,15.7,10.6,14.7,10.6
1955,6,3,56.9,47.7,55.1,50.6,13.8,8.7,12.8,10.3
1955,6,4,53,49.4,57.1,NA,11.7,9.7,13.9,NA
1955,6,5,57.3,NA,63,53,14.1,NA,17.2,11.7
1955,6,6,56,51.2,60.6,NA,13.3,10.7,15.9,NA
1955,6,7,58.8,50,50.2,NA,14.9,10,10.1,NA
1955,6,8,49.4,NA,54.4,48,9.7,NA,12.4,8.9
1955,6,9,52.2,45.1,52.4,47.9,11.2,7.3,11.3,8.8
1955,6,10,52,43.9,53.2,48.2,11.1,6.6,11.8,9
1955,6,11,50.9,43.8,54.9,48.9,10.5,6.6,12.7,9.4
1955,6,12,51,47.1,54.9,50.1,10.6,8.4,12.7,10.1
1955,6,13,55,47.5,57.4,50.6,12.8,8.6,14.1,10.3
1955,6,14,56,50.4,58.1,52.5,13.3,10.2,14.5,11.4
1955,6,15,54.7,51.3,56.2,49.2,12.6,10.7,13.4,9.6
1955,6,16,50.5,47.6,54.2,49.2,10.3,8.7,12.3,9.6
