Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1953,10,1,NA,NA,NA,NA
1953,10,2,NA,NA,NA,NA
1953,10,3,NA,NA,NA,NA
1953,10,4,NA,NA,NA,NA
1953,10,5,NA,NA,NA,NA
1953,10,6,NA,NA,NA,NA
1953,10,7,NA,NA,NA,NA
1953,10,8,NA,NA,NA,NA
1953,10,9,NA,NA,NA,NA
1953,10,10,NA,NA,NA,NA
1953,10,11,NA,NA,NA,NA
1953,10,12,NA,NA,NA,NA
1953,10,13,NA,NA,NA,NA
1953,10,14,NA,NA,NA,NA
1953,10,15,NA,NA,NA,NA
1953,10,16,60,NA,15.6,NA
1953,10,17,58,31,14.4,-0.6
1953,10,18,57,40,13.9,4.4
1953,10,19,53,44,11.7,6.7
1953,10,20,55,46,12.8,7.8
1953,10,21,58,52,14.4,11.1
1953,10,22,57,48,13.9,8.9
1953,10,23,53,48,11.7,8.9
1953,10,24,55,40,12.8,4.4
1953,10,25,57,29,13.9,-1.7
1953,10,26,58,36,14.4,2.2
1953,10,27,48,40,8.9,4.4
1953,10,28,52,36,11.1,2.2
1953,10,29,57,40,13.9,4.4
1953,10,30,52,35,11.1,1.7
1953,10,31,50,34,10,1.1
1953,11,1,49,42,9.4,5.6
1953,11,2,50,38,10,3.3
1953,11,3,51,34,10.6,1.1
1953,11,4,51,34,10.6,1.1
1953,11,5,51,31,10.6,-0.6
1953,11,6,54,31,12.2,-0.6
1953,11,7,51,44,10.6,6.7
1953,11,8,47,41,8.3,5
1953,11,9,49,34,9.4,1.1
1953,11,10,51,31,10.6,-0.6
1953,11,11,52,43,11.1,6.1
1953,11,12,55,49,12.8,9.4
1953,11,13,50,41,10,5
1953,11,14,56,43,13.3,6.1
1953,11,15,57,43,13.9,6.1
1953,11,16,52,44,11.1,6.7
1953,11,17,50,32,10,0
1953,11,18,53,32,11.7,0
1953,11,19,55,43,12.8,6.1
1953,11,20,54,43,12.2,6.1
1953,11,21,53,45,11.7,7.2
1953,11,22,56,47,13.3,8.3
1953,11,23,50,47,10,8.3
1953,11,24,50,38,10,3.3
1953,11,25,52,34,11.1,1.1
1953,11,26,51,40,10.6,4.4
1953,11,27,45,33,7.2,0.6
1953,11,28,49,28,9.4,-2.2
1953,11,29,53,28,11.7,-2.2
1953,11,30,49,43,9.4,6.1
1953,12,1,53,38,11.7,3.3
1953,12,2,56,47,13.3,8.3
1953,12,3,46,45,7.8,7.2
1953,12,4,47,32,8.3,0
1953,12,5,50,21,10,-6.1
1953,12,6,53,23,11.7,-5
1953,12,7,51,48,10.6,8.9
1953,12,8,51,47,10.6,8.3
1953,12,9,51,42,10.6,5.6
1953,12,10,50,46,10,7.8
1953,12,11,53,47,11.7,8.3
1953,12,12,53,45,11.7,7.2
1953,12,13,54,45,12.2,7.2
1953,12,14,51,45,10.6,7.2
1953,12,15,48,31,8.9,-0.6
1953,12,16,51,35,10.6,1.7
1953,12,17,51,46,10.6,7.8
1953,12,18,51,48,10.6,8.9
1953,12,19,44,30,6.7,-1.1
1953,12,20,53,31,11.7,-0.6
1953,12,21,53,42,11.7,5.6
1953,12,22,51,40,10.6,4.4
1953,12,23,51,40,10.6,4.4
1953,12,24,45,33,7.2,0.6
1953,12,25,48,35,8.9,1.7
1953,12,26,53,37,11.7,2.8
1953,12,27,46,38,7.8,3.3
1953,12,28,47,39,8.3,3.9
1953,12,29,52,41,11.1,5
1953,12,30,47,41,8.3,5
1953,12,31,46,30,7.8,-1.1
1954,1,1,41,27,5,-2.8
1954,1,2,50,31,10,-0.6
1954,1,3,43,39,6.1,3.9
1954,1,4,43,29,6.1,-1.7
1954,1,5,41,26,5,-3.3
1954,1,6,41,32,5,0
1954,1,7,37,25,2.8,-3.9
1954,1,8,48,25,8.9,-3.9
1954,1,9,49,34,9.4,1.1
1954,1,10,50,44,10,6.7
1954,1,11,48,37,8.9,2.8
1954,1,12,50,39,10,3.9
1954,1,13,43,33,6.1,0.6
1954,1,14,53,33,11.7,0.6
1954,1,15,48,42,8.9,5.6
1954,1,16,44,38,6.7,3.3
1954,1,17,47,38,8.3,3.3
1954,1,18,54,32,12.2,0
1954,1,19,54,47,12.2,8.3
1954,1,20,55,49,12.8,9.4
1954,1,21,52,37,11.1,2.8
1954,1,22,54,42,12.2,5.6
1954,1,23,49,46,9.4,7.8
1954,1,24,48,45,8.9,7.2
1954,1,25,39,36,3.9,2.2
1954,1,26,44,27,6.7,-2.8
1954,1,27,33,28,0.6,-2.2
1954,1,28,34,31,1.1,-0.6
1954,1,29,35,30,1.7,-1.1
1954,1,30,39,31,3.9,-0.6
1954,1,31,37,22,2.8,-5.6
1954,2,1,33,22,0.6,-5.6
1954,2,2,34,28,1.1,-2.2
1954,2,3,42,26,5.6,-3.3
1954,2,4,42,29,5.6,-1.7
1954,2,5,43,30,6.1,-1.1
1954,2,6,43,31,6.1,-0.6
1954,2,7,44,33,6.7,0.6
1954,2,8,44,32,6.7,0
1954,2,9,46,33,7.8,0.6
1954,2,10,47,38,8.3,3.3
1954,2,11,46,41,7.8,5
1954,2,12,51,41,10.6,5
1954,2,13,46,41,7.8,5
1954,2,14,46,42,7.8,5.6
1954,2,15,46,28,7.8,-2.2
1954,2,16,50,32,10,0
1954,2,17,49,37,9.4,2.8
1954,2,18,46,34,7.8,1.1
1954,2,19,46,32,7.8,0
1954,2,20,52,28,11.1,-2.2
1954,2,21,53,37,11.7,2.8
1954,2,22,45,31,7.2,-0.6
1954,2,23,45,35,7.2,1.7
1954,2,24,50,34,10,1.1
1954,2,25,42,33,5.6,0.6
1954,2,26,48,33,8.9,0.6
1954,2,27,46,30,7.8,-1.1
1954,2,28,37,33,2.8,0.6
1954,3,1,39,28,3.9,-2.2
1954,3,2,39,21,3.9,-6.1
1954,3,3,45,32,7.2,0
1954,3,4,43,33,6.1,0.6
1954,3,5,48,33,8.9,0.6
1954,3,6,48,39,8.9,3.9
1954,3,7,50,36,10,2.2
1954,3,8,50,32,10,0
1954,3,9,51,30,10.6,-1.1
1954,3,10,53,38,11.7,3.3
1954,3,11,52,45,11.1,7.2
1954,3,12,60,45,15.6,7.2
1954,3,13,54,37,12.2,2.8
1954,3,14,46,36,7.8,2.2
1954,3,15,43,39,6.1,3.9
1954,3,16,46,37,7.8,2.8
1954,3,17,50,34,10,1.1
1954,3,18,51,31,10.6,-0.6
1954,3,19,51,39,10.6,3.9
1954,3,20,58,39,14.4,3.9
1954,3,21,56,46,13.3,7.8
1954,3,22,55,46,12.8,7.8
1954,3,23,55,45,12.8,7.2
1954,3,24,50,41,10,5
1954,3,25,50,43,10,6.1
1954,3,26,52,40,11.1,4.4
1954,3,27,51,32,10.6,0
1954,3,28,56,38,13.3,3.3
1954,3,29,54,45,12.2,7.2
1954,3,30,50,37,10,2.8
1954,3,31,50,33,10,0.6
1954,4,1,54,39,12.2,3.9
1954,4,2,55,47,12.8,8.3
1954,4,3,57,46,13.9,7.8
1954,4,4,49,38,9.4,3.3
1954,4,5,46,36,7.8,2.2
1954,4,6,53,32,11.7,0
1954,4,7,52,38,11.1,3.3
1954,4,8,56,40,13.3,4.4
1954,4,9,56,43,13.3,6.1
1954,4,10,53,44,11.7,6.7
1954,4,11,56,45,13.3,7.2
1954,4,12,52,37,11.1,2.8
1954,4,13,53,39,11.7,3.9
1954,4,14,54,44,12.2,6.7
1954,4,15,53,48,11.7,8.9
1954,4,16,60,38,15.6,3.3
1954,4,17,58,41,14.4,5
1954,4,18,56,35,13.3,1.7
1954,4,19,56,32,13.3,0
1954,4,20,55,45,12.8,7.2
1954,4,21,57,35,13.9,1.7
1954,4,22,55,37,12.8,2.8
1954,4,23,55,40,12.8,4.4
1954,4,24,56,37,13.3,2.8
1954,4,25,55,31,12.8,-0.6
1954,4,26,54,37,12.2,2.8
1954,4,27,58,33,14.4,0.6
1954,4,28,58,29,14.4,-1.7
1954,4,29,56,31,13.3,-0.6
1954,4,30,48,38,8.9,3.3
1954,5,1,47,25,8.3,-3.9
1954,5,2,48,40,8.9,4.4
1954,5,3,51,41,10.6,5
1954,5,4,52,42,11.1,5.6
1954,5,5,56,39,13.3,3.9
1954,5,6,51,40,10.6,4.4
