Year,Month,Day ,Max (°F),Min (°F),Max (°C),Min (°C)
1883,1,1,54.1,47.5,12.3,8.6
1883,1,2,48.9,40.8,9.4,4.9
1883,1,3,49.9,41.1,9.9,5.1
1883,1,4,50.9,46.1,10.5,7.8
1883,1,5,51.4,44,10.8,6.7
1883,1,6,50.6,47.6,10.3,8.7
1883,1,7,48.6,46.2,9.2,7.9
1883,1,8,47.4,42.5,8.6,5.8
1883,1,9,43.4,39.9,6.3,4.4
1883,1,10,49.6,42,9.8,5.6
1883,1,11,49.7,45.4,9.8,7.4
1883,1,12,48.5,44.9,9.2,7.2
1883,1,13,49.3,41.7,9.6,5.4
1883,1,14,48.6,42.8,9.2,6
1883,1,15,46.8,39.4,8.2,4.1
1883,1,16,51,40.6,10.6,4.8
1883,1,17,52.1,43.9,11.2,6.6
1883,1,18,50.3,43.2,10.2,6.2
1883,1,19,52.3,42.6,11.3,5.9
1883,1,20,50.9,39,10.5,3.9
1883,1,21,50.4,48,10.2,8.9
1883,1,22,51.8,49.4,11,9.7
1883,1,23,52.5,49.2,11.4,9.6
1883,1,24,52.6,38.6,11.4,3.7
1883,1,25,50.9,37.9,10.5,3.3
1883,1,26,42.9,34.2,6.1,1.2
1883,1,27,49.7,38.4,9.8,3.6
1883,1,28,52.6,42.7,11.4,5.9
1883,1,29,52.5,35.9,11.4,2.2
1883,1,30,44.6,36,7,2.2
1883,1,31,42.8,34.7,6,1.5
1883,2,1,40.9,34.6,4.9,1.4
1883,2,2,43.9,35.4,6.6,1.9
1883,2,3,47,35,8.3,1.7
1883,2,4,50.8,44.3,10.4,6.8
1883,2,5,49.9,45.6,9.9,7.6
1883,2,6,50.7,42.4,10.4,5.8
1883,2,7,48.9,40.7,9.4,4.8
1883,2,8,48.7,37,9.3,2.8
1883,2,9,48.3,35,9.1,1.7
1883,2,10,45,38.9,7.2,3.8
1883,2,11,49.1,33.9,9.5,1.1
1883,2,12,49.4,37,9.7,2.8
1883,2,13,47.4,35.6,8.6,2
1883,2,14,52.9,37.1,11.6,2.8
1883,2,15,45.8,36.6,7.7,2.6
1883,2,16,49.3,45.4,9.6,7.4
1883,2,17,51.7,39.1,10.9,3.9
1883,2,18,47.4,37.5,8.6,3.1
1883,2,19,48.7,34,9.3,1.1
1883,2,20,52.6,48.7,11.4,9.3
1883,2,21,52.2,49,11.2,9.4
1883,2,22,51.3,39.7,10.7,4.3
1883,2,23,49.4,37.2,9.7,2.9
1883,2,24,51.4,46.7,10.8,8.2
1883,2,25,49.7,43.3,9.8,6.3
1883,2,26,50.6,43.1,10.3,6.2
1883,2,27,51.4,47.1,10.8,8.4
1883,2,28,52.5,45.6,11.4,7.6
1883,3,1,56.9,44.7,13.8,7.1
1883,3,2,50.4,45.4,10.2,7.4
1883,3,3,52.2,44.1,11.2,6.7
1883,3,4,51.2,40.2,10.7,4.6
1883,3,5,52.3,39,11.3,3.9
1883,3,6,50.3,40.6,10.2,4.8
1883,3,7,45.2,37.7,7.3,3.2
1883,3,8,44.4,34.2,6.9,1.2
1883,3,9,45.1,34.2,7.3,1.2
1883,3,10,44.4,36.8,6.9,2.7
1883,3,11,47.4,39,8.6,3.9
1883,3,12,45.7,37.1,7.6,2.8
1883,3,13,48.5,37.5,9.2,3.1
1883,3,14,45.1,36.9,7.3,2.7
1883,3,15,41.7,34.9,5.4,1.6
1883,3,16,45.8,35.6,7.7,2
1883,3,17,45.2,34.3,7.3,1.3
1883,3,18,43.5,33.3,6.4,0.7
1883,3,19,47.2,34.6,8.4,1.4
1883,3,20,48.9,36.9,9.4,2.7
1883,3,21,44.6,35.7,7,2.1
1883,3,22,42.1,35.6,5.6,2
1883,3,23,45.2,32.6,7.3,0.3
1883,3,24,46.9,29.5,8.3,-1.4
1883,3,25,48.6,35.1,9.2,1.7
1883,3,26,45,35.6,7.2,2
1883,3,27,45.4,34.3,7.4,1.3
1883,3,28,47.1,36,8.4,2.2
1883,3,29,51.7,46.2,10.9,7.9
1883,3,30,50.6,39.4,10.3,4.1
1883,3,31,48.9,37.7,9.4,3.2
1883,4,1,51.8,43.5,11,6.4
1883,4,2,51,43.7,10.6,6.5
1883,4,3,53.3,36.2,11.8,2.3
1883,4,4,52.2,48.8,11.2,9.3
1883,4,5,52.2,41.3,11.2,5.2
1883,4,6,56.5,37.7,13.6,3.2
1883,4,7,57.1,41.2,13.9,5.1
1883,4,8,59.5,38.7,15.3,3.7
1883,4,9,57.4,37.3,14.1,2.9
