Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1849,12,1,NA,NA,NA,NA
1849,12,2,NA,NA,NA,NA
1849,12,3,57,43,13.9,6.1
1849,12,4,51,39,10.6,3.9
1849,12,5,46,38,7.8,3.3
1849,12,6,54,38,12.2,3.3
1849,12,7,48,42,8.9,5.6
1849,12,8,49,41,9.4,5
1849,12,9,53,41,11.7,5
1849,12,10,51,40,10.6,4.4
1849,12,11,45,38,7.2,3.3
1849,12,12,48,41,8.9,5
1849,12,13,46,40,7.8,4.4
1849,12,14,53,42,11.7,5.6
1849,12,15,52,47,11.1,8.3
1849,12,16,59,46,15,7.8
1849,12,17,55,45,12.8,7.2
1849,12,18,52,47,11.1,8.3
1849,12,19,52,38,11.1,3.3
1849,12,20,46,35,7.8,1.7
1849,12,21,46,32,7.8,0
1849,12,22,47,38,8.3,3.3
1849,12,23,42,37,5.6,2.8
1849,12,24,41,34,5,1.1
1849,12,25,45,38,7.2,3.3
1849,12,26,44,40,6.7,4.4
1849,12,27,46,40,7.8,4.4
1849,12,28,43,28,6.1,-2.2
1849,12,29,43,28,6.1,-2.2
1849,12,30,35,29,1.7,-1.7
1849,12,31,35,24,1.7,-4.4
1850,1,1,41,32,5,0
1850,1,2,47,41,8.3,5
1850,1,3,47,40,8.3,4.4
1850,1,4,51,40,10.6,4.4
1850,1,5,45,33,7.2,0.6
1850,1,6,39,34,3.9,1.1
1850,1,7,39,28,3.9,-2.2
1850,1,8,37,30,2.8,-1.1
1850,1,9,47,36,8.3,2.2
1850,1,10,51,37,10.6,2.8
1850,1,11,42,36,5.6,2.2
1850,1,12,39,35,3.9,1.7
1850,1,13,40,35,4.4,1.7
1850,1,14,38,31,3.3,-0.6
1850,1,15,35,29,1.7,-1.7
1850,1,16,34,27,1.1,-2.8
1850,1,17,27,20,-2.8,-6.7
1850,1,18,42,30,5.6,-1.1
1850,1,19,49,40,9.4,4.4
1850,1,20,44,36,6.7,2.2
1850,1,21,41,36,5,2.2
1850,1,22,52,39,11.1,3.9
1850,1,23,50,40,10,4.4
1850,1,24,49,41,9.4,5
1850,1,25,51,40,10.6,4.4
1850,1,26,49,42,9.4,5.6
1850,1,27,49,31,9.4,-0.6
1850,1,28,52,38,11.1,3.3
1850,1,29,52,40,11.1,4.4
1850,1,30,48,40,8.9,4.4
1850,1,31,49,42,9.4,5.6
1850,2,1,54,47,12.2,8.3
1850,2,2,54,47,12.2,8.3
1850,2,3,56,41,13.3,5
1850,2,4,48,39,8.9,3.9
1850,2,5,49,36,9.4,2.2
1850,2,6,51,36,10.6,2.2
1850,2,7,44,36,6.7,2.2
1850,2,8,52,41,11.1,5
1850,2,9,53,46,11.7,7.8
1850,2,10,48,36,8.9,2.2
1850,2,11,50,40,10,4.4
1850,2,12,52,36,11.1,2.2
1850,2,13,41,31,5,-0.6
1850,2,14,51,35,10.6,1.7
1850,2,15,56,50,13.3,10
1850,2,16,55,41,12.8,5
1850,2,17,53,44,11.7,6.7
1850,2,18,55,47,12.8,8.3
1850,2,19,55,49,12.8,9.4
1850,2,20,55,45,12.8,7.2
1850,2,21,51,43,10.6,6.1
1850,2,22,54,46,12.2,7.8
1850,2,23,52,45,11.1,7.2
1850,2,24,50,45,10,7.2
1850,2,25,52,46,11.1,7.8
1850,2,26,57,43,13.9,6.1
1850,2,27,60,49,15.6,9.4
1850,2,28,54,46,12.2,7.8
1850,3,1,55,46,12.8,7.8
1850,3,2,55,47,12.8,8.3
1850,3,3,55,45,12.8,7.2
1850,3,4,50,37,10,2.8
1850,3,5,46,40,7.8,4.4
1850,3,6,52,45,11.1,7.2
1850,3,7,53,47,11.7,8.3
1850,3,8,52,46,11.1,7.8
1850,3,9,51,43,10.6,6.1
1850,3,10,52,38,11.1,3.3
1850,3,11,49,37,9.4,2.8
1850,3,12,48,33,8.9,0.6
1850,3,13,48,33,8.9,0.6
1850,3,14,51,40,10.6,4.4
1850,3,15,55,42,12.8,5.6
1850,3,16,48,29,8.9,-1.7
1850,3,17,48,37,8.9,2.8
1850,3,18,48,38,8.9,3.3
1850,3,19,49,40,9.4,4.4
1850,3,20,51,42,10.6,5.6
1850,3,21,52,38,11.1,3.3
1850,3,22,48,37,8.9,2.8
1850,3,23,51,37,10.6,2.8
1850,3,24,41,29,5,-1.7
1850,3,25,39,24,3.9,-4.4
1850,3,26,40,29,4.4,-1.7
1850,3,27,42,29,5.6,-1.7
1850,3,28,44,28,6.7,-2.2
1850,3,29,45,37,7.2,2.8
1850,3,30,47,38,8.3,3.3
1850,3,31,52,42,11.1,5.6
1850,4,1,55,46,12.8,7.8
1850,4,2,52,47,11.1,8.3
1850,4,3,57,47,13.9,8.3
1850,4,4,55,48,12.8,8.9
1850,4,5,55,45,12.8,7.2
1850,4,6,55,44,12.8,6.7
1850,4,7,56,47,13.3,8.3
1850,4,8,56,47,13.3,8.3
1850,4,9,55,39,12.8,3.9
1850,4,10,54,43,12.2,6.1
1850,4,11,55,44,12.8,6.7
1850,4,12,56,45,13.3,7.2
1850,4,13,57,47,13.9,8.3
1850,4,14,54,42,12.2,5.6
1850,4,15,55,45,12.8,7.2
1850,4,16,55,47,12.8,8.3
1850,4,17,56,45,13.3,7.2
1850,4,18,55,46,12.8,7.8
1850,4,19,57,47,13.9,8.3
1850,4,20,59,46,15,7.8
1850,4,21,56,46,13.3,7.8
1850,4,22,53,41,11.7,5
1850,4,23,54,40,12.2,4.4
1850,4,24,55,43,12.8,6.1
1850,4,25,55,46,12.8,7.8
1850,4,26,55,46,12.8,7.8
1850,4,27,53,44,11.7,6.7
1850,4,28,53,43,11.7,6.1
1850,4,29,54,43,12.2,6.1
1850,4,30,54,44,12.2,6.7
1850,5,1,50,40,10,4.4
1850,5,2,52,36,11.1,2.2
1850,5,3,54,41,12.2,5
1850,5,4,55,43,12.8,6.1
1850,5,5,50,35,10,1.7
1850,5,6,47,37,8.3,2.8
1850,5,7,48,39,8.9,3.9
1850,5,8,54,39,12.2,3.9
1850,5,9,54,36,12.2,2.2
1850,5,10,54,44,12.2,6.7
1850,5,11,57,48,13.9,8.9
1850,5,12,55,44,12.8,6.7
1850,5,13,54,40,12.2,4.4
1850,5,14,51,42,10.6,5.6
1850,5,15,48,37,8.9,2.8
1850,5,16,55,38,12.8,3.3
1850,5,17,57,46,13.9,7.8
1850,5,18,54,48,12.2,8.9
1850,5,19,54,45,12.2,7.2
1850,5,20,52,42,11.1,5.6
1850,5,21,57,47,13.9,8.3
1850,5,22,60,45,15.6,7.2
1850,5,23,59,51,15,10.6
1850,5,24,60,50,15.6,10
1850,5,25,59,49,15,9.4
1850,5,26,57,51,13.9,10.6
1850,5,27,58,50,14.4,10
1850,5,28,60,49,15.6,9.4
1850,5,29,63,50,17.2,10
1850,5,30,63,53,17.2,11.7
1850,5,31,66,52,18.9,11.1
1850,6,1,61,48,16.1,8.9
1850,6,2,74,57,23.3,13.9
1850,6,3,70,58,21.1,14.4
1850,6,4,79,57,26.1,13.9
1850,6,5,70,55,21.1,12.8
1850,6,6,67,54,19.4,12.2
1850,6,7,64,53,17.8,11.7
1850,6,8,68,47,20,8.3
1850,6,9,62,51,16.7,10.6
1850,6,10,80,53,26.7,11.7
1850,6,11,62,54,16.7,12.2
1850,6,12,66,54,18.9,12.2
1850,6,13,65,54,18.3,12.2
1850,6,14,60,50,15.6,10
1850,6,15,64,47,17.8,8.3
1850,6,16,63,47,17.2,8.3
1850,6,17,60,51,15.6,10.6
1850,6,18,75,51,23.9,10.6
1850,6,19,68,54,20,12.2
1850,6,20,70,57,21.1,13.9
1850,6,21,66,56,18.9,13.3
1850,6,22,66,59,18.9,15
1850,6,23,78,60,25.6,15.6
1850,6,24,73,59,22.8,15
1850,6,25,77,58,25,14.4
1850,6,26,64,52,17.8,11.1
1850,6,27,61,47,16.1,8.3
1850,6,28,62,54,16.7,12.2
1850,6,29,70,47,21.1,8.3
1850,6,30,63,53,17.2,11.7
1850,7,1,64,54,17.8,12.2
1850,7,2,65,50,18.3,10
1850,7,3,67,56,19.4,13.3
1850,7,4,64,53,17.8,11.7
1850,7,5,64,50,17.8,10
1850,7,6,64,55,17.8,12.8
1850,7,7,70,50,21.1,10
1850,7,8,60,51,15.6,10.6
1850,7,9,60,52,15.6,11.1
1850,7,10,62,55,16.7,12.8
1850,7,11,64,58,17.8,14.4
1850,7,12,70,60,21.1,15.6
1850,7,13,72,58,22.2,14.4
1850,7,14,71,58,21.7,14.4
1850,7,15,68,59,20,15
1850,7,16,69,60,20.6,15.6
1850,7,17,69,59,20.6,15
1850,7,18,64,59,17.8,15
1850,7,19,69,58,20.6,14.4
1850,7,20,68,57,20,13.9
1850,7,21,72,57,22.2,13.9
1850,7,22,65,60,18.3,15.6
