Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C),
1851,4,1,54,49,12.2,9.4,
1851,4,2,52,47,11.1,8.3,
1851,4,3,54,49,12.2,9.4,
1851,4,4,55,50,12.8,10,
1851,4,5,51,46,10.6,7.8,
1851,4,6,51,46,10.6,7.8,
1851,4,7,54,49,12.2,9.4,
1851,4,8,50,46,10,7.8,
1851,4,9,51,46,10.6,7.8,
1851,4,10,50,45,10,7.2,
1851,4,11,53,47,11.7,8.3,
1851,4,12,53,47,11.7,8.3,
1851,4,13,51,47,10.6,8.3,
1851,4,14,51,46,10.6,7.8,
1851,4,15,50,44,10,6.7,
1851,4,16,52,46,11.1,7.8,
1851,4,17,53,48,11.7,8.9,
1851,4,18,52,47,11.1,8.3,
1851,4,19,53,48,11.7,8.9,
1851,4,20,55,50,12.8,10,
1851,4,21,52,47,11.1,8.3,
1851,4,22,56,52,13.3,11.1,
1851,4,23,55,50,12.8,10,
1851,4,24,53,49,11.7,9.4,
1851,4,25,55,49,12.8,9.4,
1851,4,26,50,45,10,7.2,
1851,4,27,45,40,7.2,4.4,
1851,4,28,49,42,9.4,5.6,
1851,4,29,51,46,10.6,7.8,
1851,4,30,51,45,10.6,7.2,
1851,5,1,53,47,11.7,8.3,
1851,5,2,53,48,11.7,8.9,
1851,5,3,53,48,11.7,8.9,
1851,5,4,50,44,10,6.7,
1851,5,5,53,48,11.7,8.9,
1851,5,6,54,48,12.2,8.9,
1851,5,7,57,51,13.9,10.6,
1851,5,8,54,48,12.2,8.9,
1851,5,9,53,47,11.7,8.3,
1851,5,10,54,49,12.2,9.4,
1851,5,11,53,49,11.7,9.4,
1851,5,12,55,49,12.8,9.4,
1851,5,13,59,54,15,12.2,
1851,5,14,62,57,16.7,13.9,
1851,5,15,59,55,15,12.8,
1851,5,16,60,55,15.6,12.8,
1851,5,17,61,56,16.1,13.3,
1851,5,18,57,51,13.9,10.6,
1851,5,19,57,51,13.9,10.6,
1851,5,20,58,52,14.4,11.1,
1851,5,21,59,54,15,12.2,
1851,5,22,59,54,15,12.2,
1851,5,23,60,55,15.6,12.8,
1851,5,24,61,55,16.1,12.8,
1851,5,25,58,52,14.4,11.1,
1851,5,26,58,53,14.4,11.7,
1851,5,27,57,51,13.9,10.6,
1851,5,28,60,54,15.6,12.2,
1851,5,29,62,57,16.7,13.9,
1851,5,30,61,57,16.1,13.9,
1851,5,31,62,57,16.7,13.9,
1851,6,1,61,NA,16.1,NA,
1851,6,2,62,NA,16.7,NA,
1851,6,3,61,NA,16.1,NA,
1851,6,4,54,NA,12.2,NA,
1851,6,5,55,NA,12.8,NA,
1851,6,6,57,NA,13.9,NA,
1851,6,7,56,NA,13.3,NA,
1851,6,8,58,NA,14.4,NA,
1851,6,9,57,NA,13.9,NA,
1851,6,10,57,NA,13.9,NA,
1851,6,11,59,NA,15,NA,
1851,6,12,59,NA,15,NA,
1851,6,13,59,NA,15,NA,
1851,6,14,60,NA,15.6,NA,
1851,6,15,62,NA,16.7,NA,
1851,6,16,60,NA,15.6,NA,
1851,6,17,59,NA,15,NA,
1851,6,18,61,NA,16.1,NA,
1851,6,19,61,NA,16.1,NA,
1851,6,20,63,NA,17.2,NA,
1851,6,21,63,NA,17.2,NA,
1851,6,22,60,NA,15.6,NA,
1851,6,23,61,NA,16.1,NA,
1851,6,24,65,NA,18.3,NA,
1851,6,25,65,NA,18.3,NA,
1851,6,26,65,NA,18.3,NA,
1851,6,27,71,NA,21.7,NA,
1851,6,28,74,NA,23.3,NA,
1851,6,29,70,NA,21.1,NA,
1851,6,30,72,NA,22.2,NA,
1851,7,1,69,53,20.6,11.7,
1851,7,2,65,51,18.3,10.6,
1851,7,3,65,51,18.3,10.6,
1851,7,4,67,52,19.4,11.1,
1851,7,5,62,47,16.7,8.3,
1851,7,6,62,47,16.7,8.3,
1851,7,7,63,48,17.2,8.9,
1851,7,8,63,48,17.2,8.9,
1851,7,9,62,47,16.7,8.3,
1851,7,10,61,46,16.1,7.8,
1851,7,11,63,48,17.2,8.9,
1851,7,12,65,50,18.3,10,
1851,7,13,67,53,19.4,11.7,
1851,7,14,62,47,16.7,8.3,
1851,7,15,62,47,16.7,8.3,
1851,7,16,62,47,16.7,8.3,
1851,7,17,59,45,15,7.2,
1851,7,18,63,48,17.2,8.9,
1851,7,19,58,44,14.4,6.7,
1851,7,20,63,49,17.2,9.4,
1851,7,21,63,49,17.2,9.4,
1851,7,22,62,48,16.7,8.9,
1851,7,23,65,50,18.3,10,
1851,7,24,65,51,18.3,10.6,
1851,7,25,65,50,18.3,10,
1851,7,26,62,47,16.7,8.3,
1851,7,27,59,44,15,6.7,
1851,7,28,63,48,17.2,8.9,
1851,7,29,65,50,18.3,10,
1851,7,30,62,47,16.7,8.3,
1851,7,31,65,51,18.3,10.6,
1851,8,1,NA,NA,NA,NA,
1851,8,2,NA,NA,NA,NA,
1851,8,3,NA,NA,NA,NA,
1851,8,4,NA,NA,NA,NA,
1851,8,5,NA,NA,NA,NA,
1851,8,6,NA,NA,NA,NA,
1851,8,7,NA,NA,NA,NA,
1851,8,8,NA,NA,NA,NA,
1851,8,9,NA,NA,NA,NA,
1851,8,10,NA,NA,NA,NA,
1851,8,11,NA,NA,NA,NA,
1851,8,12,NA,NA,NA,NA,
1851,8,13,NA,NA,NA,NA,
1851,8,14,NA,NA,NA,NA,
1851,8,15,NA,NA,NA,NA,
1851,8,16,NA,NA,NA,NA,
1851,8,17,NA,NA,NA,NA,
1851,8,18,NA,NA,NA,NA,
1851,8,19,NA,NA,NA,NA,
1851,8,20,NA,NA,NA,NA,
1851,8,21,NA,NA,NA,NA,
1851,8,22,NA,NA,NA,NA,
1851,8,23,NA,NA,NA,NA,
1851,8,24,NA,NA,NA,NA,
