Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1850,10,1,59,50,15,10
1850,10,2,56,46,13.3,7.8
1850,10,3,57,50,13.9,10
1850,10,4,56,48,13.3,8.9
1850,10,5,54,42,12.2,5.6
1850,10,6,56,41,13.3,5
1850,10,7,53,46,11.7,7.8
1850,10,8,56,49,13.3,9.4
1850,10,9,51,45,10.6,7.2
1850,10,10,54,47,12.2,8.3
1850,10,11,51,44,10.6,6.7
1850,10,12,51,46,10.6,7.8
1850,10,13,54,46,12.2,7.8
1850,10,14,54,49,12.2,9.4
1850,10,15,53,41,11.7,5
1850,10,16,56,49,13.3,9.4
1850,10,17,58,50,14.4,10
1850,10,18,59,51,15,10.6
1850,10,19,55,52,12.8,11.1
1850,10,20,54,48,12.2,8.9
1850,10,21,52,43,11.1,6.1
1850,10,22,54,41,12.2,5
1850,10,23,47,43,8.3,6.1
1850,10,24,49,43,9.4,6.1
1850,10,25,50,43,10,6.1
1850,10,26,50,38,10,3.3
1850,10,27,52,43,11.1,6.1
1850,10,28,49,42,9.4,5.6
1850,10,29,49,42,9.4,5.6
1850,10,30,56,42,13.3,5.6
1850,10,31,57,50,13.9,10
1850,11,1,60,55,15.6,12.8
1850,11,2,56,52,13.3,11.1
1850,11,3,58,46,14.4,7.8
1850,11,4,51,45,10.6,7.2
1850,11,5,55,46,12.8,7.8
1850,11,6,53,46,11.7,7.8
1850,11,7,56,48,13.3,8.9
1850,11,8,56,46,13.3,7.8
1850,11,9,53,43,11.7,6.1
1850,11,10,57,51,13.9,10.6
1850,11,11,56,53,13.3,11.7
1850,11,12,55,48,12.8,8.9
1850,11,13,51,46,10.6,7.8
1850,11,14,50,37,10,2.8
1850,11,15,47,37,8.3,2.8
1850,11,16,51,37,10.6,2.8
1850,11,17,51,44,10.6,6.7
1850,11,18,49,43,9.4,6.1
1850,11,19,55,44,12.8,6.7
1850,11,20,52,45,11.1,7.2
1850,11,21,52,42,11.1,5.6
1850,11,22,47,40,8.3,4.4
1850,11,23,54,44,12.2,6.7
1850,11,24,52,41,11.1,5
1850,11,25,52,44,11.1,6.7
1850,11,26,50,42,10,5.6
1850,11,27,47,39,8.3,3.9
1850,11,28,42,29,5.6,-1.7
1850,11,29,39,29,3.9,-1.7
1850,11,30,44,35,6.7,1.7
1850,12,1,44,33,6.7,0.6
1850,12,2,51,36,10.6,2.2
1850,12,3,52,48,11.1,8.9
1850,12,4,53,45,11.7,7.2
1850,12,5,56,44,13.3,6.7
1850,12,6,59,44,15,6.7
1850,12,7,53,43,11.7,6.1
1850,12,8,50,41,10,5
1850,12,9,50,36,10,2.2
1850,12,10,49,38,9.4,3.3
1850,12,11,51,39,10.6,3.9
1850,12,12,53,40,11.7,4.4
1850,12,13,47,40,8.3,4.4
1850,12,14,48,37,8.9,2.8
1850,12,15,47,36,8.3,2.2
1850,12,16,46,39,7.8,3.9
1850,12,17,45,35,7.2,1.7
1850,12,18,45,32,7.2,0
1850,12,19,40,32,4.4,0
1850,12,20,44,34,6.7,1.1
1850,12,21,49,35,9.4,1.7
1850,12,22,49,38,9.4,3.3
1850,12,23,49,41,9.4,5
1850,12,24,51,44,10.6,6.7
1850,12,25,48,38,8.9,3.3
1850,12,26,50,45,10,7.2
1850,12,27,50,46,10,7.8
1850,12,28,51,43,10.6,6.1
1850,12,29,49,43,9.4,6.1
1850,12,30,51,47,10.6,8.3
1850,12,31,53,40,11.7,4.4
1851,1,1,56,43,13.3,6.1
1851,1,2,51,41,10.6,5
1851,1,3,46,31,7.8,-0.6
1851,1,4,42,30,5.6,-1.1
1851,1,5,47,40,8.3,4.4
1851,1,6,43,31,6.1,-0.6
1851,1,7,43,32,6.1,0
1851,1,8,45,32,7.2,0
1851,1,9,43,33,6.1,0.6
1851,1,10,53,34,11.7,1.1
1851,1,11,55,50,12.8,10
1851,1,12,54,42,12.2,5.6
1851,1,13,49,40,9.4,4.4
1851,1,14,51,40,10.6,4.4
1851,1,15,48,41,8.9,5
1851,1,16,47,35,8.3,1.7
1851,1,17,52,39,11.1,3.9
