Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1850,12,1,53,37.5,11.7,3.1
1850,12,2,54.4,44,12.4,6.7
1850,12,3,56,45,13.3,7.2
1850,12,4,54,39.5,12.2,4.2
1850,12,5,55.5,46.5,13.1,8.1
1850,12,6,53,39,11.7,3.9
1850,12,7,51,41,10.6,5
1850,12,8,52.5,41,11.4,5
1850,12,9,52.5,40.5,11.4,4.7
1850,12,10,55,43.5,12.8,6.4
1850,12,11,51,43.5,10.6,6.4
1850,12,12,50,38,10,3.3
1850,12,13,49.5,39.5,9.7,4.2
1850,12,14,45,34.5,7.2,1.4
1850,12,15,47,31.5,8.3,-0.3
1850,12,16,45,35,7.2,1.7
1850,12,17,42.5,31,5.8,-0.6
1850,12,18,43,31,6.1,-0.6
1850,12,19,40,28.5,4.4,-1.9
1850,12,20,47,32,8.3,0
1850,12,21,49,39.5,9.4,4.2
1850,12,22,47,34,8.3,1.1
1850,12,23,50,38.5,10,3.6
1850,12,24,50,34.5,10,1.4
1850,12,25,48.5,35.5,9.2,1.9
1850,12,26,51,38.5,10.6,3.6
1850,12,27,50.5,40.5,10.3,4.7
1850,12,28,48.5,38,9.2,3.3
1850,12,29,50,39,10,3.9
1850,12,30,52,40,11.1,4.4
1850,12,31,55.5,42.5,13.1,5.8
1851,1,1,NA,NA,NA,NA
1851,1,2,NA,NA,NA,NA
1851,1,3,NA,NA,NA,NA
1851,1,4,NA,NA,NA,NA
1851,1,5,NA,NA,NA,NA
1851,1,6,NA,NA,NA,NA
1851,1,7,NA,NA,NA,NA
1851,1,8,NA,NA,NA,NA
1851,1,9,NA,NA,NA,NA
1851,1,10,NA,NA,NA,NA
1851,1,11,NA,NA,NA,NA
1851,1,12,NA,NA,NA,NA
1851,1,13,NA,NA,NA,NA
1851,1,14,NA,NA,NA,NA
1851,1,15,NA,NA,NA,NA
1851,1,16,NA,NA,NA,NA
1851,1,17,NA,NA,NA,NA
1851,1,18,NA,NA,NA,NA
1851,1,19,NA,NA,NA,NA
1851,1,20,NA,NA,NA,NA
1851,1,21,NA,NA,NA,NA
1851,1,22,NA,NA,NA,NA
1851,1,23,NA,NA,NA,NA
1851,1,24,NA,NA,NA,NA
1851,1,25,NA,NA,NA,NA
1851,1,26,NA,NA,NA,NA
1851,1,27,NA,NA,NA,NA
1851,1,28,NA,NA,NA,NA
1851,1,29,NA,NA,NA,NA
1851,1,30,NA,NA,NA,NA
1851,1,31,NA,NA,NA,NA
1851,2,1,NA,NA,NA,NA
1851,2,2,NA,NA,NA,NA
1851,2,3,NA,NA,NA,NA
1851,2,4,NA,NA,NA,NA
1851,2,5,NA,NA,NA,NA
1851,2,6,NA,NA,NA,NA
1851,2,7,NA,NA,NA,NA
1851,2,8,NA,NA,NA,NA
1851,2,9,NA,NA,NA,NA
1851,2,10,NA,NA,NA,NA
1851,2,11,NA,NA,NA,NA
1851,2,12,NA,NA,NA,NA
1851,2,13,NA,NA,NA,NA
1851,2,14,NA,NA,NA,NA
1851,2,15,NA,NA,NA,NA
1851,2,16,NA,NA,NA,NA
1851,2,17,NA,NA,NA,NA
1851,2,18,NA,NA,NA,NA
1851,2,19,NA,NA,NA,NA
1851,2,20,NA,NA,NA,NA
1851,2,21,NA,NA,NA,NA
1851,2,22,NA,NA,NA,NA
1851,2,23,NA,NA,NA,NA
1851,2,24,NA,NA,NA,NA
1851,2,25,NA,NA,NA,NA
1851,2,26,NA,NA,NA,NA
1851,2,27,NA,NA,NA,NA
1851,2,28,NA,NA,NA,NA
1851,3,1,NA,NA,NA,NA
1851,3,2,NA,NA,NA,NA
1851,3,3,NA,NA,NA,NA
1851,3,4,NA,NA,NA,NA
1851,3,5,NA,NA,NA,NA
1851,3,6,NA,NA,NA,NA
1851,3,7,NA,NA,NA,NA
1851,3,8,NA,NA,NA,NA
1851,3,9,NA,NA,NA,NA
1851,3,10,NA,NA,NA,NA
1851,3,11,NA,NA,NA,NA
1851,3,12,NA,NA,NA,NA
1851,3,13,NA,NA,NA,NA
1851,3,14,NA,NA,NA,NA
1851,3,15,NA,NA,NA,NA
1851,3,16,NA,NA,NA,NA
1851,3,17,NA,NA,NA,NA
1851,3,18,NA,NA,NA,NA
1851,3,19,NA,NA,NA,NA
1851,3,20,NA,NA,NA,NA
1851,3,21,NA,NA,NA,NA
1851,3,22,NA,NA,NA,NA
1851,3,23,NA,NA,NA,NA
1851,3,24,NA,NA,NA,NA
1851,3,25,NA,NA,NA,NA
1851,3,26,NA,NA,NA,NA
1851,3,27,NA,NA,NA,NA
1851,3,28,NA,NA,NA,NA
1851,3,29,NA,NA,NA,NA
1851,3,30,NA,NA,NA,NA
1851,3,31,NA,NA,NA,NA
1851,4,1,NA,NA,NA,NA
1851,4,2,NA,NA,NA,NA
1851,4,3,NA,NA,NA,NA
1851,4,4,NA,NA,NA,NA
1851,4,5,NA,NA,NA,NA
1851,4,6,NA,NA,NA,NA
1851,4,7,NA,NA,NA,NA
1851,4,8,NA,NA,NA,NA
1851,4,9,NA,NA,NA,NA
1851,4,10,NA,NA,NA,NA
1851,4,11,NA,NA,NA,NA
1851,4,12,NA,NA,NA,NA
1851,4,13,NA,NA,NA,NA
1851,4,14,NA,NA,NA,NA
1851,4,15,NA,NA,NA,NA
1851,4,16,NA,NA,NA,NA
1851,4,17,NA,NA,NA,NA
1851,4,18,NA,NA,NA,NA
1851,4,19,NA,NA,NA,NA
1851,4,20,NA,NA,NA,NA
1851,4,21,NA,NA,NA,NA
1851,4,22,NA,NA,NA,NA
1851,4,23,NA,NA,NA,NA
1851,4,24,NA,NA,NA,NA
1851,4,25,NA,NA,NA,NA
1851,4,26,NA,NA,NA,NA
1851,4,27,NA,NA,NA,NA
1851,4,28,NA,NA,NA,NA
1851,4,29,NA,NA,NA,NA
1851,4,30,NA,NA,NA,NA
1851,5,1,NA,NA,NA,NA
1851,5,2,NA,NA,NA,NA
1851,5,3,NA,NA,NA,NA
1851,5,4,NA,NA,NA,NA
1851,5,5,NA,NA,NA,NA
1851,5,6,NA,NA,NA,NA
1851,5,7,NA,NA,NA,NA
1851,5,8,NA,NA,NA,NA
1851,5,9,NA,NA,NA,NA
1851,5,10,NA,NA,NA,NA
1851,5,11,NA,NA,NA,NA
1851,5,12,NA,NA,NA,NA
1851,5,13,NA,NA,NA,NA
1851,5,14,NA,NA,NA,NA
1851,5,15,NA,NA,NA,NA
1851,5,16,NA,NA,NA,NA
1851,5,17,NA,NA,NA,NA
1851,5,18,NA,NA,NA,NA
1851,5,19,NA,NA,NA,NA
1851,5,20,NA,NA,NA,NA
1851,5,21,NA,NA,NA,NA
1851,5,22,NA,NA,NA,NA
1851,5,23,NA,NA,NA,NA
1851,5,24,NA,NA,NA,NA
1851,5,25,NA,NA,NA,NA
1851,5,26,NA,NA,NA,NA
1851,5,27,NA,NA,NA,NA
1851,5,28,NA,NA,NA,NA
1851,5,29,NA,NA,NA,NA
1851,5,30,NA,NA,NA,NA
1851,5,31,NA,NA,NA,NA
1851,6,1,NA,NA,NA,NA
1851,6,2,NA,NA,NA,NA
1851,6,3,NA,NA,NA,NA
1851,6,4,NA,NA,NA,NA
1851,6,5,NA,NA,NA,NA
1851,6,6,NA,NA,NA,NA
1851,6,7,NA,NA,NA,NA
1851,6,8,NA,NA,NA,NA
1851,6,9,NA,NA,NA,NA
1851,6,10,NA,NA,NA,NA
1851,6,11,NA,NA,NA,NA
1851,6,12,NA,NA,NA,NA
