Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
270400,261700,53.6005289,-6.9360383,87,Athboy,Meath,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,87.1,74.6,30.9,103.3,65.8,63.5,80.7,83.1,66.7,60.4,74.8,59.7
1851,124.4,48.7,59.9,50.3,37.1,97.2,95.3,99.3,46,100.5,42.3,38.7
1852,119.9,93.2,25.7,41.1,57.8,171.3,73,104.6,51.5,70.5,159.5,153.4
1853,101.7,42.7,74.1,66.3,19.9,69.6,92.2,76.1,40.7,125.5,66.3,35.6
1854,100.4,33.3,35.2,14.5,90.3,102.9,88.4,58.4,43.8,65.1,73.9,97.8
1855,12.2,55.9,63.1,33.8,58.2,61.9,80.7,85.8,39.7,95.8,29.1,51.8
1856,73.8,49.6,22.1,56.8,108.3,71.2,49.8,76.4,77.2,46.9,35.6,81.3
1857,83.2,44.7,79,112.2,35,77.8,54,55.1,67.2,54.9,64.7,38.7
1858,49.6,34.1,44.5,114.4,76.9,40.8,84.7,63.5,67.7,78.1,30.8,102.4
1859,71,42.1,77,91.1,10.4,40.8,55.6,69.2,107.4,49.5,86.1,80.2
1860,124.6,42.8,75.3,56.8,91.3,138.4,63.4,140.2,40.2,67.7,59.8,59.4
1861,56.7,55.9,111.9,27.4,17.1,95.8,145.3,137.2,121.5,72,89.4,50.2
1862,113.1,24.7,87.3,92.5,91.9,80,99.6,63.6,47.2,121.9,65.9,88.1
1863,88.4,32.1,53.7,49.6,49,77.3,13.3,106.6,98.2,135.7,78.2,69.4
1864,45.5,33.8,76.4,43.1,42.8,64.7,34.3,47,69.4,76.3,118.8,49.1
1865,88.1,79.8,67.7,30.8,100.1,26.5,65.6,105.2,10.5,123.5,109.1,85
1866,105.3,70.7,81.9,47.4,41.7,79.3,52.7,96.7,112.6,49.3,84,90.5
1867,86.9,71.2,67.7,90.2,93.6,28.6,110.8,70,46.1,118.1,22.6,48.1
1868,92.1,68.4,86.7,56.2,57.8,29.2,31.1,114.7,63.3,57.9,67.8,131.1
1869,103.5,98.1,64,59.7,84.7,35.6,43.8,42.1,128.5,38.7,89,94.1
1870,67.8,52.4,47.1,29.6,54.9,28.8,39.3,46.4,72.6,191.4,40.8,68.6
1871,104.7,71.7,49.9,89.4,21.4,65.6,136.6,64,68.6,85.4,44.5,47.7
1872,103.5,84.9,70.2,68.9,52.7,100,70,100.8,106.8,118.2,110,151.7
1873,109.3,22.1,73.9,24.4,43.8,41.4,119.1,136.5,69,88.9,55.9,20.4
1874,62.7,56,40.1,51.4,37.2,30.9,71.3,115.6,89,104.8,95.3,93.2
1875,120.3,51.2,32.2,22,52,86.2,83.1,71.9,125.4,146.2,99.3,49.9
1876,32.7,107.4,84.3,62.5,18.3,45.6,43.7,89.7,105.7,106,92.2,181.3
1877,142.9,60.4,72.8,101.6,61.7,75.8,78.9,111.1,61.5,95.4,110.2,85
1878,72.3,49,38,52.1,104.3,123.4,36.1,98.3,82.8,78,49.6,47.9
1879,65.5,82.8,45.6,54.4,68.2,144.8,114,103.5,105.6,38.5,25.4,42.5
1880,27.1,79.1,74,85.8,32.4,80.1,151.3,35.3,71.5,91.4,97.9,77.2
1881,28.8,89.8,76.2,41.7,57.8,110.5,61.2,123.5,66.9,83.1,99.7,85.6
1882,57,70.6,68.6,102.3,73.4,89.3,119.7,81.7,77.2,84.7,123.2,92.3
1883,119.4,117.9,33.8,54.4,55.2,62.9,97,92.5,116.7,79.1,96.2,45.9
1884,110.5,106.5,79.3,42.4,59.3,26.2,86.4,39.9,58,53.7,67.1,89.3
1885,70.3,84.4,57.2,76,59.9,29.5,52.8,72,123.2,94.6,55.8,30.9
1886,94,58.1,76.8,49.7,106.8,41.9,82.8,62.6,91.6,131.2,71.3,116
1887,68.6,31.5,35.7,42.4,34.1,13.3,64.6,66.4,66.6,51.5,80,60.5
1888,60,18.4,90.4,48,61.8,120.7,134,72.5,25.3,43.1,116,97.8
1889,59.7,59.9,43.6,68.5,81.1,21.3,63,152.9,43,116.4,39.9,76.3
1890,73.1,19.1,73.4,23.6,42.5,73.4,50.9,79.8,50.5,38.7,129.5,32.7
1891,23,3.9,30.2,78.2,62.1,55.9,23.7,142.4,45.5,75.8,60.8,115.7
1892,31.4,54.9,11.6,27.3,105.1,50.2,75,146.5,92.4,66,63.8,47.1
1893,49.3,75.5,11.6,16.1,49.3,52.6,54.2,95.6,31.4,42.8,34.2,75.1
1894,88.9,84.8,40.7,91,63.2,50.9,93.9,68.1,6.2,90.4,60.2,81.5
1895,46,10.5,61.8,54.1,3.9,46.8,105.4,156.3,9.5,82.1,98.6,62.8
1896,36.5,44.3,87.6,30.6,4.7,49.7,197.1,73.2,151.1,52.1,24.8,134.6
1897,55.9,66.1,104.9,89.8,39.3,123.4,68.9,118.3,74.2,56.8,116.8,81.9
1898,62.3,58.8,32.7,82.2,86.2,80.7,14.6,151.5,72.1,108.6,160.1,61.8
1899,104,49.2,31.9,69,102.2,46.2,102.4,62.9,88.5,35.9,51.3,119
1900,98.1,69.3,30.6,60.6,57.4,131.3,65.4,162,41,90.9,148.2,90
1901,90.8,36,58,34.8,41.9,50.2,38.3,78,99.9,80.6,88.8,82.2
1902,65.6,45.7,61.7,65.9,55.3,67.5,81,55.1,72.1,66.3,73.2,60.4
1903,127.6,69.9,132.8,27.9,50.3,39.4,117.2,118.8,83.8,90.9,75.8,67.7
1904,94.8,101.3,64.6,47.2,72.5,24.6,95.6,126.7,74.2,35.1,44.7,51.6
1905,37.6,26.6,96.2,61.4,21.9,43.8,35.1,183.1,42.3,27.2,83,47.3
1906,100.2,57,46.6,39,85.1,57.5,35.6,66.4,28.3,105.2,55.8,63.7
1907,19.6,47,83.3,68.8,91.7,101,56.4,78.9,28.5,137.4,64.7,81.1
1908,93.8,54,83.5,69.6,65.1,40,112.3,78.9,139,53.1,51,77.4
1909,58.6,22,96.7,126.5,33.5,54.3,89.1,29.7,107.5,151.1,51.5,130
1910,99.9,110.7,41.1,63,62.2,117.2,80.7,132.3,23.5,40.2,90.9,125.5
1911,37.3,78.7,48.2,63,51.6,39.4,59.1,51.3,44.1,129.2,124.7,136.2
1912,95.1,70.1,103.3,27.9,40.3,135.6,116.9,176.6,15.9,65,68.4,84.9
1913,135.1,34.7,80.1,107.2,92.5,67.8,20.8,31.1,98,82.7,93,67.7
1914,41.4,81.7,72.5,37.4,45.3,38.9,79.4,169.3,47,57.3,99.9,153.4
1915,89.2,102.4,25.6,54,27.9,50.5,146.4,81,47.6,89.1,72.4,136.5
1916,67.2,95.9,64.3,73.8,119.4,78.9,90.5,65.6,52.6,205.8,105.4,82.5
1917,31.7,56.4,68,36.4,47.2,53.5,95.3,194.4,41.7,137.7,80.9,70.4
1918,61.5,81.5,52.4,34.3,65.6,49.7,108.8,81,165.4,95.9,62.1,112.6
1919,86,50.8,61.4,41.1,57.7,78.3,28.6,70.8,45.7,61.3,55.2,144.5
1920,123.6,64.7,70.9,73.5,87.2,59.4,151.2,68.3,39.1,98,63.1,80.1
1921,147,29.6,78.5,27.9,58,11.3,121.5,101.3,45.4,60.8,77.2,90
1922,76.8,73.6,64,80.6,58.8,37.8,77.5,140.4,71.3,49.1,16.4,86
1923,66.4,123,53.7,100.6,46.1,40.2,121.3,129.9,79.3,83.8,66.6,77.9
1924,136.7,18,37.9,74.3,100.9,88.6,122.3,122.9,189.7,118.4,78.7,160.1
1925,79.8,114.7,12.1,90.4,151.8,16.2,95.9,54.6,44.4,71.6,57.3,41.9
1926,109.1,68.5,31.1,48.7,67.5,89.4,72.4,128.6,63.7,71.1,100.7,24.4
1927,90.5,62.1,90.6,37.2,86.7,99.1,77.8,156.4,118.6,80.6,94.1,75.8
1928,127.6,93.8,118.6,33.7,40.6,123.2,60,97.2,52.3,111.8,104.4,84.4
1929,48.1,97,14,43.2,58.5,46.5,75.3,116.7,13.2,155.4,115.7,148.8
1930,117.9,20.1,111.5,41.9,48.7,62.7,95.3,157.7,98.3,116.5,105.7,99.1
1931,57.8,50,71.4,72.2,122.5,156.9,116.1,91.3,68.7,40.2,176,65.6
1932,86.2,11.3,48.1,73.7,86.1,25.2,116.9,60.1,92.3,93.6,50.5,124.3
1933,75.7,108,53.1,31.9,47.6,51.2,58.3,36.7,15.8,72,46.7,55
1934,108.7,6.1,63.2,53.5,41.5,42.9,40.5,86.8,126.2,70.8,19,127.1
1935,40.4,92,33.3,62.7,32,127.9,22,72.5,112.6,97.4,96.6,88.5
1936,89,43.5,52.7,47.4,41,158.2,141.8,56.8,88,50.1,74.9,73.9
1937,119.9,113.8,88.8,52.2,41.2,37.8,100.7,60.7,108.5,75.6,33.1,41.9
1938,138.8,24.5,24.8,3.6,79.9,99.1,119,48.9,47.1,162.9,82.7,59.1
1939,133.5,45.8,62.7,38.9,16.4,54.7,86.3,49.4,43.5,43,158.1,62.1
1940,103.3,54,91.4,116.2,76.3,20.9,118.2,12,71.3,151,99.9,86.7
1941,69.4,91.5,71.9,65.5,63.5,17.1,82,92.8,32.7,78.5,97.6,56.5
1942,119.9,38.8,78.7,65.8,100.8,7.3,98.4,128,131.5,55.8,14.5,119.6
1943,134.3,39.7,22.5,46.4,98.9,78.2,61.9,120.6,60.9,76.6,83.1,52
1944,103.4,34.8,12.3,51.3,34.4,49.8,84.1,92.2,137.9,116,156.3,84.4
1945,53.6,77.2,37.8,43.7,76.6,105.6,92.9,56.4,80.5,73.5,21.1,87.8
1946,92.7,96.8,46.6,28.1,50.3,98,71.8,116.5,181,62.3,100.9,110.5
1947,94.6,51,161.6,101.1,119.4,120.5,72.3,29.3,84.3,41.2,115.4,116.5
1948,159.3,58,66.5,73.1,83.9,112,69,99.1,94.5,71.3,62.8,133.5
1949,59.2,46.5,58.3,58.4,42,16.7,61.6,106,57.9,122.9,54.8,104.8
1950,23.2,118.2,39.7,71.7,31.5,32.6,104.2,146.1,138.5,84.4,51,65.9
1951,94.9,77.9,104.2,40.8,38.1,42.9,69.4,117.3,97.7,25.1,124.7,136.8
1952,115,15.9,40.3,50.8,55.7,58.5,27.6,95.4,60.3,117.5,74.1,71.7
1953,29.7,37.9,11.2,49.2,35.9,42.2,117.2,103.6,90.4,56.3,78.4,72.2
1954,57.9,95.7,80.5,17,119.9,58,89.7,70.9,92,183,127.3,155.9
1955,110.9,87.3,32.2,58.4,72.8,132.7,29.2,38.7,63.8,43.9,60.8,108.2
1956,79.4,30.3,59.4,21.4,28.5,53.2,103,154.9,102,56.2,40.4,101.8
1957,99.2,66.4,103.5,29.9,53.1,33.7,92.9,87.1,117.5,141.8,26,101.9
1958,90.4,97.9,37.5,31,101.6,164.4,129,144,107.1,60.9,46.6,87.8
1959,61.3,30.1,67,68.8,38.7,64.8,60.3,10.2,48.5,151.7,103.1,165
1960,113.8,51,62.7,63.4,60.4,90.2,142.8,105,116.5,116.9,127.4,92.2
1961,127.5,80.8,15,113.4,37,51.3,72.7,85.1,86.9,79.2,55.7,56.3
1962,85.3,53.4,66,54.4,75.2,35.1,72.9,102.7,162.5,40.6,47.5,97
1963,39.1,21.8,97.4,77,50.8,63.6,52,99.9,68,86.8,140.6,23.7
1964,45.4,44.1,84.6,65.5,57.7,58.9,67.8,83.7,67,130.4,50.3,148.3
1965,143.5,10,69.9,65.7,73.1,81.6,100.4,81.9,66.7,64.3,152.3,133.2
1966,69.4,137.2,60.9,129.6,84.7,117.3,52,54.2,61.1,117.7,47.5,120.3
1967,67.6,82.9,38.6,34,137.9,26.4,55.9,82.3,112,132.6,57.5,56.9
1968,123.3,23.7,70.4,71.1,69.1,77.6,16.8,76.1,114.8,89,103.2,122
1969,133.3,59.1,36.8,64.8,102.6,60.9,31.3,50.3,40.7,22.9,76.6,75.8
1970,63.8,92.8,49.5,94.2,29.2,40.5,73.2,75,73.7,83.3,147.7,50.6
1971,46.4,50.3,43.9,54.2,40.2,76.8,50.6,74.2,37.8,39.1,68.9,45.4
1972,103,52,68.5,64.4,98.7,63.6,78.5,37.8,10.8,47,99.3,88.7
1973,55.4,43.9,22.1,58.5,75.2,26.4,95.2,114.9,78.4,62.6,88,61.4
1974,129.2,75.7,33.1,35.4,62.9,36.2,121.7,60.5,115,49.6,84.4,78.4
1975,140.7,36.3,35.5,53.6,40.4,15.3,49.7,32.5,177,92.1,80.8,28.8
1976,79.3,50.4,74.8,26.7,76.5,35,53.3,7.4,121.9,144.6,58.8,64.8
1977,81.3,137.2,75.6,77.4,14,58.8,29.6,92.9,47.1,118.3,88,77
1978,81.7,71.6,98.1,38.7,23.9,48.9,59.9,76,61.2,36.5,81.3,251.9
1979,79.8,47.8,96.1,72.1,108,51.8,47.4,120.1,52.3,104.5,96.4,144.4
1980,115.9,100.4,123,12.7,34.9,80.8,51.8,87,108.2,128,78.8,89.4
1981,48.6,53.8,122.9,31.2,104.1,117.6,43.4,14.7,151.5,85.5,68.2,89.9
1982,90,60.1,93.2,27.7,56,144.6,10.9,78.7,76.7,107.2,123.2,98
1983,112.1,41,86.2,83.9,105,38.8,23.4,60.8,107.2,94.2,39.1,149.3
1984,128.6,68.7,63.3,39.8,26.1,44.2,35.1,84.5,104.3,82.2,126.7,104.9
1985,77.2,46.9,63.4,46.6,111.4,68.5,102,175.4,85,48.5,51.5,102.1
1986,109.1,23.5,103.5,80.1,98.8,79.4,68.4,145.6,1.8,79.3,107.5,122.8
1987,45.2,41.1,90.1,66,26.5,115.5,66.3,81.8,87.9,96.3,71.2,57.8
1988,130.1,65.4,115.5,30.4,64.7,39.4,72.2,84.9,63.6,87.6,42.8,63.5
1989,71.8,68.9,95.9,70.7,15,64.7,33.5,128.5,61.7,88.5,39.1,70.7
1990,91.8,170.3,27.1,32.6,51.1,87.3,50.1,83.7,17.2,167.1,66.4,132.6
1991,87.1,93.1,83.8,116,3.6,79.2,46.3,42.3,55.9,122.3,87.6,64.7
1992,60.9,49.2,80,101.5,46.7,41.1,85.5,93,78.7,42.7,100.8,60.2
1993,99.2,20.9,45.4,84.3,105.3,119.6,78.5,40.2,85.6,101,57.7,142.9
1994,144.5,122.9,91.4,63.2,43,43.6,87.4,59.9,87.9,36.9,61.5,122.4
1995,140.4,113.7,68.3,28.2,40.7,19.9,70.4,3.7,66.2,119.4,181.1,84.2
1996,73.2,81,77.9,100,66.6,28.5,52.3,95.8,25,104.2,113.6,50.2
1997,25.6,133.7,26.2,52.8,73.3,96.7,70.3,89.3,48,89.6,78.6,98.6
1998,106.6,23.3,91.7,114,25.9,138.8,71.8,50.6,108,110.3,87.3,88.8
1999,106.7,48.6,45.1,75.6,51,52.2,36.6,125.2,161.8,44,80.7,123.1
2000,49.9,75.3,22,80.2,47.7,54.1,42.1,99,79.3,116.1,138.7,134.4
2001,37.7,48.2,65,64.1,46.5,79.6,40.4,112.2,37.2,99.5,46.3,22.6
2002,96.3,163.2,41.9,92.6,117,103.8,69.8,38.9,20.7,166.5,138.9,96.4
2003,59.9,43,32.4,61.2,116.2,96.9,77,12.7,45.9,64.8,67.2,77.7
2004,104,36.8,58.3,58.6,46.3,79.4,33,132.9,77.2,138.5,58.4,71.2
2005,93.9,45.5,58.6,70.4,80.8,24.5,69.2,45.2,54.4,107,75.5,35
2006,25.3,40.7,111.2,45.9,68.4,21.1,30.5,65.5,142,117.9,103.8,142.3
2007,102.3,79.5,58.3,9.1,57.1,132.9,128.7,88.4,52.6,25.5,69.6,90.8
2008,129.3,32.6,72.9,39.7,35.3,90.7,128.8,175.6,98.8,106.8,53.3,55
2009,85.6,48.4,31.2,81.3,78.2,87.8,142.7,98.1,32.1,134.3,166.7,66.7
2010,48.6,35.9,66.6,33.2,53.8,26.6,128.3,43.1,170.8,51.6,132.9,39.6
