Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
213268.88,104799.9,52.1952942,-7.8066555,76,Cappoquinn,Waterford,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,156.8,100.3,45.9,223.6,57.3,49.5,155.1,61.7,79.7,63.2,159,186.3
1851,312.2,58.2,122.9,73.1,60.8,129.4,90.6,94.7,49.2,141.6,31.7,98.5
1852,217,91.6,72.3,55.2,122.4,244.5,66.3,142.2,92.7,132.2,324.8,278.5
1853,207.3,56.3,109.5,94,57.5,108.4,115.7,114,92.8,297.4,145.6,76.1
1854,215.8,30.4,31.8,30.9,119.4,150.6,134.8,59.7,53.1,96.2,75.4,66.5
1855,17.3,104.1,114.5,37.7,119.4,93.5,112.2,148.4,75.3,142.2,81.6,129.1
1856,166.9,132.7,51.4,113.2,177.5,54.4,43.2,122.1,134.9,135.3,26,148.8
1857,107.2,71.7,125.7,143.6,90.5,116.2,80.6,89.7,114.6,128.1,133.4,83.8
1858,68.6,111.6,64.7,222.3,98,58.4,102.5,77.1,123.3,100.3,118.9,169.9
1859,105.4,47,110.7,160.6,27.3,36.4,74.2,126.5,164.5,115,161.1,161.9
1860,226.7,51.5,100.8,68.1,129.8,212.8,92.5,191,89.1,88.5,140.3,132.5
1861,146,157.7,127.1,62,22.4,135.3,211.3,205,227.3,142.3,125,109
1862,230.1,58.9,145.3,143.4,126.9,138.3,122,103.4,94.8,191.5,123,174.4
1863,121.3,50.8,162.9,58.5,67,97.9,52.9,178.9,129,262.5,154.9,119.8
1864,122.8,64.8,111.5,47.7,69,98.2,42.9,65.6,116.5,138.3,195.9,129
1865,150.7,116.6,96.2,56,147,32.5,108.9,176.5,51.2,182.4,238.7,206.6
1866,195.4,102.2,152.4,117.4,67.4,127.4,42.5,139.8,157.8,99,88.4,138.7
1867,142.4,114.6,138.7,114.1,144.5,35.2,106.5,116,106.3,178.6,44.8,76.6
1868,198.1,92.7,127.3,99.4,88.5,46.9,56.5,174.8,164.3,115.9,161.3,299.2
1869,240.9,103.6,105.8,95.8,140.5,19.4,87.6,49,214.6,45.6,102.2,194.2
1870,167.4,107.8,111,44.4,115.6,44,44.4,49.7,115.6,203.5,106.8,139.7
1871,215.3,190.8,94,186.5,38.9,82.9,177.7,98.6,172,171.3,103.6,114.5
1872,199.6,198.2,164.2,90,72,144.6,201.4,208.8,126.9,155.7,203.1,338.9
1873,207.4,71.6,166.7,61,73,71.3,185.8,235.8,105.7,145.7,94.6,34.3
1874,101.3,117,71.6,72.3,41.9,44.7,126.2,137.6,132.6,181.5,165.6,195
1875,285.1,73,70.5,58.9,89.1,128.7,119.5,86.8,232.3,292.9,179.4,82.6
1876,73.4,196.1,166,129.4,14.9,56,67,144.3,216.2,215.5,201,309.2
1877,246.1,77.3,114.9,219.5,91.2,154.3,102.2,190.4,103.2,185.1,193.2,145
1878,117.5,125.7,29.5,77.3,176.6,235.5,28.7,111.3,114.9,140.7,72.6,74.9
1879,200,251.4,48.2,114.9,83.6,228,146.4,185.8,146,51.4,24.2,61.7
1880,51.9,248.8,87.8,159.2,54.1,87.4,152.2,47.9,86.6,140,180.6,131.2
1881,38.7,152.2,164.4,66.3,65.3,199.1,85.5,199.4,109.1,142,207.5,203.1
1882,95.5,178.8,98.1,212.7,166.3,142.6,216.8,131.6,60.8,126.4,127.5,161.5
