Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
200000,295800,53.9101614,-8.0098912,45,Drumsna ,Leitrim,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,95.6,93.2,41.7,103.5,72.1,72,88.1,104.7,76.3,74.4,91.8,62.7
1851,131.3,65.3,65.3,53.5,44.7,102.9,104.4,120.4,59.9,111.1,59.5,55.1
1852,138.2,109.3,35.3,47,52.4,167.9,81.2,111.6,49.3,75.5,172,181.9
1853,116.7,46.7,81.7,73.9,24.9,74.4,106.1,81.6,49.1,132,86.2,42.3
1854,105.8,46.7,47.7,18.4,99.2,104.7,99.1,75.1,53.7,78.7,84.6,124.6
1855,23.1,47.7,78,43.2,66.9,67,81.9,98,45.8,97.1,36.4,70.5
1856,86.3,61.7,33.4,63.1,107.1,75.3,55.7,84.5,79.2,59.9,53.2,102.8
1857,100.8,57.6,95,118.4,40.3,76,59.5,67.9,82.5,61.9,80.7,59.8
1858,64.3,48.1,55.2,113.5,92,44.9,86.3,80,72.7,84.9,44.5,130.9
1859,89.6,59.4,90.7,88.6,15,45.9,67.7,86.1,122,62.3,101.6,95.8
1860,140.5,59.7,88.7,59.4,97.7,143.2,67,151.9,41,80.2,68.1,71.7
1861,66.7,64.7,128.3,27.6,23.8,92.4,157.8,176.8,163.5,86.1,116.1,71.5
1862,126.2,38.3,92.1,87.5,97.5,81.2,98.2,77.5,55.5,144.7,77.1,110.2
1863,102,54,82.1,63.8,65.3,91.5,21.7,119.8,117,133.6,117.6,92.5
1864,64.6,52.3,85.3,51,53.5,89.5,47.2,65,97.1,80.1,140.2,65.5
1865,112.4,88.4,78.3,31.9,100.7,30.6,83.3,121.8,30.6,135.2,124.3,92.1
1866,127.7,85,83.5,53.2,43.8,80.1,59.9,117.1,120.5,62.5,94.7,115.8
1867,90.8,86.6,63,98.2,94,42.7,106.1,89.1,64.6,139.6,34.4,64.4
1868,104.4,83.1,104.3,60.8,71.3,38.2,44.3,118,57.4,92.6,89.5,144.2
1869,105.8,108.2,69.1,72.4,77.2,40.5,67.2,52,140,49.8,110.6,125.6
1870,86.1,64.2,43.4,45.1,71,37.4,51.3,66.5,77.1,202,61.4,73.2
1871,109.2,80.4,62.6,88.8,30.8,77.4,139.9,75.5,65.3,84.7,62.5,63.8
1872,130.1,94.3,69.3,64.2,62.5,115.4,75.8,105.2,129.4,135.1,120.6,140.5
1873,128.4,31.6,76.4,40.5,61.5,54.5,133.9,145.6,88,111,70.5,45.6
1874,76.7,62,57.6,63.8,45.1,53,91.4,126.8,109,120.1,103.4,116.2
1875,130.3,41.3,38.4,32.9,66.5,98.4,70,91.5,123.8,115.2,99.6,67.1
1876,54,119.3,111.2,73.2,24.8,59.8,55.8,99.2,103.1,102,99.8,163.2
1877,150.1,88.3,80.4,82.4,68.1,89.2,84.8,121.5,64.7,119,148.5,109.9
1878,100.4,49.6,54.4,56.2,106.9,125.1,44.8,112.8,96.8,102.7,68,64.6
1879,70.5,80.9,54.4,56.9,79.6,134.4,116.2,117.5,116.2,53.3,36.7,59.6
1880,47.1,76,77.5,91.8,42.7,96,140.9,55.5,80,45.2,119.6,92.8
1881,27.8,97.9,88.3,42.7,70.3,115.7,70.2,117.8,73.1,88.8,116,114.2
1882,66.9,73.3,87.3,91.3,70.3,94.7,125.5,85.4,84.9,92.1,150.5,99.2
1883,130.9,124.3,41.4,52.7,63.2,62.1,92.7,108.6,113.1,99.8,119.9,68.9
1884,128.1,108.6,93.1,41.2,82.1,30.7,91.7,66.3,76.9,84.9,95.1,116.7
1885,75.7,97.8,60.8,67.4,62.5,29.6,63.7,74.5,130.9,105.5,65.2,52.1
1886,114,67,84.4,54.3,95.5,50.7,90,71.5,96.5,115.4,90.3,136.3
1887,82.7,54.3,39.7,52.5,44.4,19.7,81.9,87.2,96.8,68.5,82.7,85.1
1888,67.5,27.8,87.2,49.1,71.9,110.5,120.7,89.1,40.1,57.5,100.3,104.9
1889,79.2,77.5,52.7,69.6,87.1,26.7,69.3,151.9,64.9,110.3,56.3,96.9
1890,126.1,33.7,78.7,39.8,55.8,83.5,72,91.8,84.1,71.4,170.1,58.4
1891,54.2,13.9,53,56.9,77.7,64.7,52.8,159.5,70.7,110,79,143.8
1892,69.7,65.1,26.2,34,111.5,69.7,80.7,166.2,99.3,84.1,109.6,69.8
1893,58,77.7,29,26.6,130.3,127.1,60.1,85.8,36.7,68.7,48.7,101.1
1894,103.1,99.6,61,64.8,83.7,57.1,135.1,72.6,3.3,101.9,106.7,73.6
1895,64.8,18.5,97.2,31.4,14.6,33.4,118.4,121.9,18.2,98,125,117.5
1896,34.4,43.3,131.6,36.1,20,74.4,165.6,58.8,130.3,80.1,32,129.1
1897,40,74.4,126.4,103.1,33.8,141.1,53.2,119.9,47,68.1,99.2,171.9
1898,54.7,72.6,34.1,81,111.2,107.6,17.1,119.6,108.2,66.6,75.3,96.9
1899,87,80.4,38.8,70.5,94.5,55.6,59.4,63.3,84.9,59.8,75.7,120.8
1900,108.9,88.5,10.5,88.2,71.2,101.1,46.4,133.3,60.1,148.3,114.5,131
1901,114.5,31.1,84.9,106.4,47.5,95.3,32.8,97.8,100.2,92.6,120.8,99.2
1902,81.3,65.2,55.6,85.2,67,54.1,80.1,60.4,70.5,66.4,132.2,107
1903,144.6,116.3,164.1,57.7,85.8,35.3,154.5,177,126.4,146.5,77.1,87.9
1904,104.6,137.2,79.6,75.7,48.4,65.4,121.1,138.4,105.8,68.5,73.8,75.9
1905,75.1,57.7,127.9,43.9,42.5,56.8,49.7,174.3,46,47.8,95.1,49.1
1906,124,74.4,63.3,54.4,99.2,45.8,47.2,164.8,31.1,121.3,39.2,87.3
1907,53,59.8,85.8,41.9,108.9,133.9,62.5,74.7,39.8,98,78,93.6
1908,81.6,63.7,105,70.3,112.2,91.4,64.8,43.3,155.5,43.1,73.2,94.7
1909,60.1,43.1,66.4,121.7,32.8,37.1,65.8,30.5,65.4,145.6,39.2,117.5
1910,92.4,145.6,72.4,61,60.1,120.5,109.1,183.2,51.1,40,111.2,61.6
1911,48.1,79.8,50.8,47.2,61.3,36.7,60.1,72,51.7,87.9,144.6,172.5
1912,94.7,101.1,129.5,23.7,44.5,105.8,79.8,143.2,9.3,73.6,80.1,125.8
1913,149.5,50.8,113,117.2,137.5,74.4,40.4,33.8,120.8,85.4,79.2,126.4
1914,65.2,150.1,115.3,55.9,52,32.8,70.5,143.8,32.8,44.8,102.3,100.7
1915,44.5,123.5,13.8,60.7,21.5,60.1,110.3,112.2,40.4,96.9,72.6,177.8
1916,66,87,34.7,111.8,102.5,53.8,65.8,126.4,45.4,182.7,126.2,85.8
1917,39.4,43.9,76.5,55.9,79,64.8,97.2,151,53.5,160.5,121.7,55.6
1918,101.5,126.8,42.9,31.3,61.1,42.9,90.6,55.8,169.4,134.2,60,96.8
1919,85.9,51.8,67.8,45.1,74.5,60,17.3,88.3,92.9,35.1,69.9,160.9
1920,113.9,67.1,60.7,110.4,93.4,68.5,93.8,34.1,55.1,44.7,89.4,95.9
1921,113.2,17.3,86.2,39.4,57.4,5.7,136,88.3,24.5,58.3,152.3,117.8
1922,88,118.9,45.4,61.8,31.6,40.8,84.8,84.1,68.9,30.2,32.7,95.2
1923,73.5,171.8,33.7,63.9,46.8,37.3,40.1,133.2,107.2,88.7,72.1,66.8
1924,90.8,46.1,44.4,111.5,94.1,85.9,90.6,129.5,97.3,63.6,69.2,83.7
1925,76.7,80.2,24.5,67.1,144.1,15.9,83,59.3,67.8,60,88.3,64.3
1926,111.8,53.2,30.2,39,94.1,48.6,76.3,80.9,57.2,66.4,138.8,27.7
1927,132.8,62.2,82.3,25.2,41.2,71,65,184.6,96.1,48.2,38.3,57.9
1928,105.4,73.8,74.2,39.7,41.5,154.7,47.5,108.6,78.1,108.3,118.5,39.7
1929,49.1,42.6,5.3,18.2,35.5,39,78.1,92.2,22.4,105.1,85.5,133.5
1930,82.7,11.7,74.9,42.6,27.7,33,82,159.7,101.2,125.6,101.5,79.5
1931,69.2,96.8,60.7,84.1,84.8,92.7,106.1,96.1,67.8,47.2,116.8,49.1
1932,86.2,3.5,53.7,88.7,71,27,125.6,70.3,104.4,100.5,64.3,119.6
1933,79.5,52.5,60,43.6,85.2,98,72.1,38.7,12.7,70.6,61.1,42.9
1934,107.6,5.7,79.9,61.3,67.1,51.8,36.9,117.5,134.2,130,34.4,114.3
1935,55.1,78.4,51.8,74.5,29.5,128.1,17.3,82,159.3,103,96.6,81.3
1936,117.1,60.4,69.6,36.9,41.9,155.8,207.7,32.7,123.8,79.1,96.6,93.8
1937,98.4,116.8,36.6,56,71,36.6,98.4,84.8,97.3,34.4,24.2,71.4
1938,111.1,43.6,55.8,6,72.1,95.4,152.6,89.2,72.8,159.7,131.4,109.3
1939,112.2,92.7,63.9,40.5,30.5,73.8,103,50.4,44.7,98,177.5,81.3
1940,125.6,104.7,130.2,92,82.7,46.1,102.6,36.9,80.2,132.8,84.1,105.1
1941,65.5,70.2,59,44.7,54.4,22.5,65.3,108.9,21.7,96.4,163.5,70.2
1942,82.3,33.8,64.1,28.4,63,13,111.6,138.4,139.1,73.9,32.5,137.4
1943,149.9,57.9,38.3,49,81,102.9,58.6,157.6,98.3,97.6,85.4,83.7
1944,112.5,40.6,19.2,48.1,79.3,79.6,91.1,154,117.6,158.1,132.5,115.7
1945,96.8,96,61,42.5,122.5,100.4,119.4,51.1,115.6,96.8,26.9,127.1
1946,104.7,88.5,27.2,38.6,59.6,91.7,134.9,108.5,159.2,51.4,134.9,142.3
1947,101.8,67.1,119.9,116,132.7,87.8,111.5,30.3,95.9,91.1,142.3,103.4
1948,148.2,61.1,85.8,44.4,53.2,101.7,88.4,113.3,97.4,66.6,82.9,175.7
1949,99.1,77.7,61.8,83.6,52.8,34.2,65.8,114.9,59.3,142.8,82.2,164.2
1950,59.4,103.6,66.7,119.1,16.7,63.8,169,147.3,191.8,77.4,73.6,98.7
1951,100,87.7,90.1,42.1,49.9,63.8,87.7,121.5,84.7,42.6,123.1,137.8
1952,131.9,28.7,60.7,43.4,53.9,62.2,26.3,91,50.8,148,51.8,113
1953,51.5,36.7,11,55.5,43.8,41.4,141.4,113.8,68.4,74.7,108,82.7
1954,68.2,127.9,123.1,26.4,75.3,55.5,90.7,100.1,157.9,199,131.4,119.4
1955,104.6,83.4,20.7,76.3,102.5,181.6,38.3,28.2,99.3,61.5,58.9,106.3
1956,87.8,51.8,55.6,22.2,33.4,104.4,142.8,135.5,129.2,94,63.7,178.6
1957,134.1,78.7,95.6,42.4,50.1,50.4,106,89.5,118.5,120.8,28.6,95.6
1958,100.2,96.5,52.4,30.2,86.5,110,108.3,117.6,94.7,59.3,50.8,100.7
1959,80.1,28.5,69.9,88.4,41.4,55.3,60,41.8,56.3,162.7,94.8,153
1960,98.4,78.8,37.9,63.1,57.8,67.8,153.4,139.7,115.6,65,131.8,117.2
