Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
295519.24,139406.63,52.4980984,-6.5942192,113,Enniscorthy,Wexford,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,130.5,78.9,37.9,185.8,46.7,38.3,128.5,47,63,50.4,130.7,153.7
1851,261.4,44.8,101.1,60.5,49.7,102.5,74.4,74,38,115.2,24.9,81
1852,181.2,71.8,59.5,45.6,101.1,195.1,54.1,112.9,73.7,107.5,268.7,230
1853,173,43.3,90.1,77.9,46.9,85.7,95.5,89.9,73.8,243.9,119.6,62.5
1854,180.2,22.3,26.3,25.4,98.6,119.6,111.4,45.4,41.2,77.7,61.2,54.5
1855,12.9,81.9,94.2,31,98.6,73.6,92.5,118.1,59.4,115.7,66.4,106.4
1856,139,105.1,42.4,93.9,147.2,42.2,34.6,96.5,108.4,110,20.2,122.7
1857,88.7,55.7,103.4,119.2,74.4,91.9,66,70,91.7,104.1,109.5,68.8
1858,56.1,88,53.3,184.7,80.8,45.4,84.3,59.7,98.8,81.1,97.4,140.1
1859,87.1,35.7,91.1,133.3,21.7,27.7,60.6,100.1,132.7,93.2,132.5,133.5
1860,189.4,39.4,82.9,56.3,107.3,169.5,76,152.9,70.8,71.4,115.3,109.2
1861,116.4,126.8,105.2,54.4,14.1,110.8,175.8,145,170.1,112.9,96.7,87.6
1862,198.8,46,122.6,119.8,105.1,109.2,105.3,80.9,76.2,146.1,97.4,145.5
1863,99.7,33.3,126,43.4,54.9,75.2,45.2,135.1,98.6,222.6,118.6,93
1864,100.8,48.5,93,40.4,55.1,69.4,34.1,44.4,88.9,126.3,162.3,106.5
1865,119.2,95.5,76.9,48,128.3,23.6,95.8,140,29.8,143,201,180.1
1866,164.9,79.7,126.3,93.5,54.1,107.9,31.6,107.3,128.6,81.2,70.7,114
1867,120,89.4,123,94.8,127,27.1,87.1,86.1,79.2,138.3,34.7,57.7
1868,165.5,68.1,101.1,83.8,70,35.8,41.1,155.5,145.6,86.4,131.3,259.2
1869,208.5,80.5,90.2,75.2,126.5,12.9,59.5,34.4,172,34,81.3,159.1
1870,134.1,101.9,92.8,28,74.1,23.6,22.6,74.6,64.9,155.9,78.5,46.5
1871,130.5,97.3,52.9,126.9,14.1,83,192.7,120.4,128,146.4,137.4,76
1872,166.8,142.9,131.1,85.8,52,113.7,56.5,136.6,113.2,134.1,180.1,263.6
1873,206,57.8,108,32.2,76.3,38.8,124.8,190.8,93.8,108.8,76.9,21.8
1874,80.5,87,41,54.2,27.5,30,57,119.3,69.9,152.5,128.5,98.9
1875,189.5,72.7,41.6,27,68.3,72.1,124.2,57.5,182.2,243.7,144.8,52
1876,56.2,184.2,92.8,87.8,20.4,40.7,69.9,128.5,146.3,167.4,151.1,234.6
1877,185.6,54.6,98.9,152,109.3,61.1,81,176.3,111,164.9,164.7,134.5
1878,69.1,95.3,33.6,103.6,138,122.3,44,91.2,61.7,103,52.4,55.6
1879,134.7,157.8,68.5,73.8,46.3,206.2,117.3,164.7,163.1,28,25.9,48.3
1880,34.7,128.9,114.8,107.7,30,73.3,183.1,63.3,102.1,156.1,120.9,114.3
1881,72.1,144.6,101.4,58.7,84.8,152.9,71.4,138.8,75.4,102.7,153.1,98.5
1882,84,160.8,66.2,161.6,83.1,114.8,146.3,162.7,124.8,133.8,133,137.7
1883,201.4,196.3,52.9,88.9,69.4,54.6,128,107.2,146.3,108.5,122.5,45.4
1884,148.2,216.7,125.6,27.9,71.9,37.2,96.1,23.6,75.8,38.6,76,124.2
1885,126.4,180.6,106.1,113.4,79.6,37.8,52.4,111.2,125.8,124.2,76.6,36.9
1886,106.3,103.3,109.8,69.8,112.4,50.4,105.7,99.6,124.2,182,83.1,155.9
1887,128.4,23.6,48.5,50.1,37.4,6.9,80.5,85.7,51,55.1,119.8,65.8
1888,144.3,26.4,111.2,69.1,87.8,140.9,196.3,68.5,19.9,79.4,144.8,179.5
1889,76.9,80,40.4,75.4,118,36.2,73,140.6,31.8,169.1,49.9,128.9
1890,161.5,74.4,130.5,51.1,110.2,110,83.6,79.6,75.4,53.3,174.6,83.6
1891,62.7,7.3,30.2,66.1,91.9,95.4,60.3,158.3,79.9,148.6,142.1,155.7
1892,33.2,95.1,26.8,23.5,86.4,71.2,117.9,151.8,81.5,74.4,127.4,45.6
1893,101.8,75.8,12.9,18,50,43.1,49.5,104.6,22.1,60.3,75.1,85
1894,113.1,49.3,44.7,108,103.9,65.8,102.5,87.5,35.3,131,113.5,80.6
1895,149.6,60.3,116.8,71.4,13.7,107.6,139.4,168.9,56.7,70.2,169.1,194.5
1896,53.3,69.2,93.1,22.1,2.2,55.1,168.9,35.2,212,148.6,46.6,267.8
1897,122.9,70.4,187.2,164.9,51.5,94.9,65.6,207.1,90.1,125.9,171.3,180.4
1898,113.6,55.1,15,171.5,103.8,100.2,61.9,157.8,74.2,167.9,138.8,93.5
1899,178,145.6,43.2,87.6,97.5,70.4,131.7,45,74.2,76,98.3,176.5
1900,113.6,166.9,34.6,86.1,100.8,149.6,116.4,135.4,40.4,154.7,275.4,145.8
