Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
169794.04,320195.93,54.1299663,-8.4627995,49,Markree Castle,Sligo,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,67.4,121.6,49.7,98.6,66.2,77.3,73.6,132.7,66.5,91.2,124.8,85.3
1851,142.4,82.1,87.3,63.4,43.5,136.4,85.8,162,55.7,132.2,94.9,58.6
1852,172.5,122.8,20.7,30.1,38.1,155.5,94.9,147.8,61.1,113.7,132.4,209.8
1853,174.2,42.9,109.1,84.1,19.3,69.1,122.2,72.5,62.5,116,86.4,38.4
1854,120.5,63.1,53.2,30.7,116.2,84.1,89.5,51.2,77.6,109.7,110,162
1855,17.1,33.3,72.2,47.7,64.8,83.8,115.7,111.7,40.4,120.5,31.3,98.3
1856,105.7,62.2,45.5,66.5,98.3,98.1,63.1,81,22.2,64.3,60.3,75.6
1857,115.1,59.7,60.3,154.1,20.2,129,55.4,61.1,114.5,79.9,72.2,89
1858,64.5,60.3,70.8,108.6,81.3,62,84.4,79.6,65.1,102.6,29.3,159.5
1859,120.2,64.2,135.3,109.1,15.3,58.6,123.9,101.5,143.2,73.3,88.7,120.2
1860,142.4,80.4,117.4,55.1,147.8,176.2,70.5,195.3,39.2,106.9,67.4,44.6
1861,72.8,53.4,166.8,12.5,46,124.8,150.4,195.5,182.5,84.4,175.1,76.2
1862,131.9,26.1,91.5,85.6,73.3,72.8,105.7,81.3,73,183.6,87.5,121.9
1863,117.7,64,74.5,73,69.4,88.7,6.5,128.8,133.9,77.3,42.6,110.3
1864,52.9,43.5,60.5,50,25.9,49.2,32.1,29.3,60,69.1,170.8,53.7
1865,113.7,99.5,133.6,45.5,62.5,28.4,85.3,170.5,25.9,155.2,148.7,93.8
1866,147.8,93.2,75.9,42.6,46,85.6,67.1,170.5,141.3,69.9,127,120.8
1867,100,100,70.2,125.6,114,44.6,157.2,93.8,95.8,167.7,17.3,113.4
1868,162.3,92.9,114,37.5,108.3,44.6,35,133.3,56.8,102.6,106.6,162
1869,124.2,162.3,90.1,60,67.4,50,54.9,36.9,138.4,68.5,154.6,114
1870,81.3,87.6,53.3,51.3,91.2,40.1,36.6,56.6,76.7,240.8,62.2,85.3
1871,115.8,86.6,79.5,85.6,25.9,101.1,180.3,92.7,50.3,67.8,53.8,63.5
1872,149.9,97,76.2,48,60.7,120.4,85.3,101.9,228.6,160.3,137.4,144
1873,147.3,27.9,79,33.3,55.9,38.9,129.5,152.7,58.7,126.5,48.5,33.3
1874,117.3,61,63.5,96.5,45.7,40.6,92.7,107.9,149.9,140.5,102.6,137.4
1875,136.9,33.8,43.2,25.9,64.3,104.9,82.8,95,105.4,106.9,121.4,61.7
1876,53.3,140.2,129.5,71.4,12.4,40.6,48.3,97.5,79.5,109,89.7,169.2
1877,177.8,129.5,104.1,35.6,66,87.6,97.8,133.3,49.5,137.2,147.3,119.4
1878,151.1,43.7,73.7,53.3,119.4,138.4,33,107.9,123.2,154.9,105.4,57.1
1879,35.6,61,72.4,40.6,82.5,104.1,132.1,144.8,157.5,77.7,35.6,64.8
1880,39.1,79.8,57.1,88.4,66.5,135.4,158.7,45.5,73.2,18.3,146.8,99.1
1881,29,95.2,87.9,37.1,73.9,131.6,46.2,109,113,87.6,112.8,102.6
1882,55.1,82,150.6,72.6,65.5,138.9,107.7,120.6,94,96.5,177.8,57.1
