Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
129000,225600,53.2763903,-9.0636842,14,        University College Galway,Galway,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,108.9,131.5,56.6,120.5,69.8,74.7,89.1,136.8,85.2,90.7,131.3,90.6
1851,163.8,92.8,86.1,69.3,42.1,114.2,107.4,155.9,66.7,141.3,87.1,71.4
1852,174.9,136.5,44.4,55.7,53.6,167.7,91.3,130.2,52.8,75.8,195.3,216.7
1853,152.8,52.5,104.7,84.2,29.4,78.2,114.4,93.8,64.3,149.1,104.1,52.4
1854,133.1,53.8,57.7,24.2,117.2,104,91.7,87.7,67.3,84,109.7,153
1855,33.9,55.5,100,48.9,74.2,71.6,89,115.3,56.7,111,50.6,91.3
1856,111.9,77.1,44.6,81.4,125.7,86,62.1,101.5,92.2,72.4,70.3,124.9
1857,123.4,70.1,105.5,129.3,46.7,88.3,55.1,72.8,109.8,72.1,92.4,79
1858,86.8,59.1,76.3,113.4,102.6,53.3,93.2,87.6,96.9,100,58.5,168.1
1859,110.8,73.6,114.6,103.4,17.7,52.4,76.9,97.8,153.7,73.4,127.8,126.6
1860,184,80.1,118,71.6,113.3,163.2,80.3,180.1,54.9,94.8,90,92.8
1861,78.5,110.9,166.9,29.6,26.4,67.6,155.2,205.6,251.4,94.7,141.7,91.3
1862,177.1,57.1,95.4,97.4,80.9,65.9,101.7,85.7,64.9,161.8,53.3,140.7
1863,125.6,121.6,107.6,102.2,127.2,125.5,9.9,129.8,170.3,118.7,195.7,101.3
1864,111.8,100.8,129.1,72.4,69.8,131,72.9,99.3,177.3,118.2,223.5,100.3
1865,144.6,122,61.5,17.9,101.5,30.5,111.4,118.9,53.5,143.1,162,109.5
1866,153.9,112.4,79.7,53.8,47.7,103.6,47,123.8,168.6,62.9,97.4,135.6
1867,115.6,120.6,81.6,100,113.1,42.4,76.3,108.7,85.2,128.1,17.9,54
1868,128.1,127.2,130.3,55.2,90.6,42.1,60.8,95.2,58.4,149.2,63.7,157.1
1869,103.5,148.2,83.3,82.6,116.2,38.7,93.7,35.6,204.9,40.4,121.4,195.5
1870,99.5,65.9,35.1,63.2,105.6,35.1,83,79.7,85.1,234.7,110.7,88.4
1871,156,115.8,53.5,83.3,31,84.8,150.2,88.2,52.8,53.3,33.5,59.1
1872,160.6,95.2,65.9,41.2,55.7,126.6,67.8,127.2,167.1,156.2,139.8,141.2
1873,172.7,36.6,75.8,78,58.2,85.7,156.7,152.1,100.3,100.3,133.2,70.7
1874,125,64.9,105.1,74.4,74.8,89.2,120.6,88.4,96.9,162.9,112.1,141.2
1875,163.7,30.8,35.6,64.9,109.2,115.9,33.5,106.5,32.6,105.9,84.2,85.7
1876,87.5,157.5,141.8,110.9,25.2,67.4,100.5,91.1,166.4,137.3,135.8,173.5
1877,204.7,95.5,74.1,99,104.7,62.6,94.9,154.8,71.8,168.5,240,129
1878,109.8,53.4,74.1,74.1,99.6,175.6,42.4,182.2,108.2,100.9,60.5,70.9
1879,110.9,120.2,75.1,72.6,56,168.1,114.8,191.8,149.2,68.2,26.2,95.5
1880,18.1,109.8,98.4,106.7,38.5,168.1,195.1,62,79.2,32.9,194.3,112.4
1881,9.2,105.3,95.7,35.8,80.3,144.1,75.9,163.1,80.1,87.2,215.3,131.9
1882,90.7,80.3,109.8,110,72,90.5,206.1,99.4,83,133.5,206.1,102.3
1883,133.1,134.4,32,43,63.5,41.8,126.7,115.9,127.3,148.3,186.6,73.2
1884,160.4,123.4,104.4,38.9,127.3,26.7,87.2,46.8,79.5,75.7,137.3,148.9
1885,85.1,91.7,49.3,77.1,62.2,14.8,133.5,88.4,163.5,146.8,85.5,36.2
1886,127.9,78.6,124,60.3,136.4,41,151.8,101.7,115.1,109.4,129.6,126.9
1887,71.2,82.2,37.7,64.9,46.2,13.7,121.6,143.9,206.7,103.5,134.6,98.8
1888,73.2,18.3,87.2,43.9,85.1,138.5,122.8,76.2,33.2,53.9,77.6,123.7
1889,110.3,120.7,44.5,59.7,130.8,31.2,78.6,142.3,76.8,118.6,52.5,127.5
1890,174.4,28.1,87.2,49.5,68.5,112.4,97.6,84.8,80.9,83.4,212,65.3
1891,65.5,9.5,55.1,65.5,62.8,63.2,26.2,215.9,113.8,188,64.9,230.1
1892,65.9,57,26.7,49.3,120.4,43.3,99,217.7,169.7,70.9,167.9,59.7
1893,69.7,144.4,25.5,63.2,37.1,61.1,117.5,110.3,54.3,145,88,149.2
1894,145.4,164.6,118.3,111.5,115.7,81.6,171.8,124.2,2.3,51.3,117.1,118.6
1895,91.9,8.9,142.3,38.5,20.2,36.8,118.1,142.7,37.1,116.3,166.4,124.6
1896,55.1,53.1,180.6,41,13.1,91.1,202,86.6,171.8,87.5,35.8,156.4
1897,53.4,86.6,187.8,145.4,41.8,133.8,112.7,202.6,73.2,70.6,126.7,172.3
1898,131.7,93.8,50.2,82.8,81.3,86.3,50.4,207.3,95.5,83,116.5,131.9
1899,142.7,111.5,64.9,141.5,86.1,70.3,61.4,64.1,97.6,66.1,116.9,153.1
1900,184.1,69.4,14.8,75.7,104.2,148.6,60.3,167.6,74.7,213,147.4,196.6
1901,92.8,28.7,104.4,96.7,68,96.4,46.2,133.5,168.5,123.1,149.2,113.3
1902,127.5,69.4,73.2,65.9,50.7,53.4,57.6,62.6,68.8,68.5,139.7,108.8
1903,159.9,149.5,192.8,55.8,54.3,30.6,132.3,255,144.1,187.4,93.4,106.5
