Year,Month,Daily,Max at 9h (°F),Min at 9h (°F),Max at 21h (°F),Min at 21h (°F),Max at 9h (°C),Min at 9h (°C),Max at 21h (°C),Min at 21h (°C),,
1921,1,1,53,43,NA,NA,11.7,6.1,NA,NA,,
1921,1,2,49,47,NA,NA,9.4,8.3,NA,NA,,
1921,1,3,55,40,NA,NA,12.8,4.4,NA,NA,,
1921,1,4,53,40,NA,NA,11.7,4.4,NA,NA,,
1921,1,5,52,35,NA,NA,11.1,1.7,NA,NA,,
1921,1,6,52,40,NA,NA,11.1,4.4,NA,NA,,
1921,1,7,45,35,NA,NA,7.2,1.7,NA,NA,,
1921,1,8,54,34,NA,NA,12.2,1.1,NA,NA,,
1921,1,9,54,38,NA,NA,12.2,3.3,NA,NA,,
1921,1,10,53,52,NA,NA,11.7,11.1,NA,NA,,
1921,1,11,44,37,NA,NA,6.7,2.8,NA,NA,,
1921,1,12,42,37,NA,NA,5.6,2.8,NA,NA,,
1921,1,13,40,34,NA,NA,4.4,1.1,NA,NA,,
1921,1,14,47,28,NA,NA,8.3,-2.2,NA,NA,,
1921,1,15,52,32,NA,NA,11.1,0,NA,NA,,
1921,1,16,52,46,NA,NA,11.1,7.8,NA,NA,,
1921,1,17,52,40,NA,NA,11.1,4.4,NA,NA,,
1921,1,18,47,46,NA,NA,8.3,7.8,NA,NA,,
1921,1,19,50,39,NA,NA,10,3.9,NA,NA,,
1921,1,20,52,39,NA,NA,11.1,3.9,NA,NA,,
1921,1,21,53,46,NA,NA,11.7,7.8,NA,NA,,
1921,1,22,45,42,NA,NA,7.2,5.6,NA,NA,,
1921,1,23,52,38,NA,NA,11.1,3.3,NA,NA,,
1921,1,24,53,41,NA,NA,11.7,5,NA,NA,,
1921,1,25,53,47,NA,NA,11.7,8.3,NA,NA,,
1921,1,26,51,45,NA,NA,10.6,7.2,NA,NA,,
1921,1,27,53,45,NA,NA,11.7,7.2,NA,NA,,
1921,1,28,54,49,NA,NA,12.2,9.4,NA,NA,,
1921,1,29,54,49,NA,NA,12.2,9.4,NA,NA,,
1921,1,30,42,37,NA,NA,5.6,2.8,NA,NA,,
1921,1,31,42,29,NA,NA,5.6,-1.7,NA,NA,,
1921,2,1,46,29,NA,NA,7.8,-1.7,NA,NA,,
1921,2,2,47,31,NA,NA,8.3,-0.6,NA,NA,,
1921,2,3,51,39,NA,NA,10.6,3.9,NA,NA,,
1921,2,4,51,44,NA,NA,10.6,6.7,NA,NA,,
1921,2,5,46,39,NA,NA,7.8,3.9,NA,NA,,
1921,2,6,44,30,NA,NA,6.7,-1.1,NA,NA,,
1921,2,7,41,35,NA,NA,5,1.7,NA,NA,,
1921,2,8,44,36,NA,NA,6.7,2.2,NA,NA,,
1921,2,9,46,29,NA,NA,7.8,-1.7,NA,NA,,
1921,2,10,39,26,NA,NA,3.9,-3.3,NA,NA,,
1921,2,11,43,25,NA,NA,6.1,-3.9,NA,NA,,
1921,2,12,46,28,NA,NA,7.8,-2.2,NA,NA,,
1921,2,13,47,35,NA,NA,8.3,1.7,NA,NA,,
1921,2,14,51,35,NA,NA,10.6,1.7,NA,NA,,
1921,2,15,49,44,NA,NA,9.4,6.7,NA,NA,,
1921,2,16,49,43,NA,NA,9.4,6.1,NA,NA,,
1921,2,17,50,43,NA,NA,10,6.1,NA,NA,,
1921,2,18,44,30,NA,NA,6.7,-1.1,NA,NA,,
1921,2,19,46,33,NA,NA,7.8,0.6,NA,NA,,
1921,2,20,43,39,NA,NA,6.1,3.9,NA,NA,,
1921,2,21,49,36,NA,NA,9.4,2.2,NA,NA,,
1921,2,22,50,39,NA,NA,10,3.9,NA,NA,,
1921,2,23,52,42,NA,NA,11.1,5.6,NA,NA,,
1921,2,24,50,39,NA,NA,10,3.9,NA,NA,,
1921,2,25,49,34,NA,NA,9.4,1.1,NA,NA,,
1921,2,26,51,30,NA,NA,10.6,-1.1,NA,NA,,
1921,2,27,51,29,NA,NA,10.6,-1.7,NA,NA,,
1921,2,28,49,40,NA,NA,9.4,4.4,NA,NA,,
1921,3,1,49,43,53,43,9.4,6.1,11.7,6.1,,
1921,3,2,45,33,48,33,7.2,0.6,8.9,0.6,,
1921,3,3,42,35,47,41,5.6,1.7,8.3,5,,
1921,3,4,49,47,53,48,9.4,8.3,11.7,8.9,,
1921,3,5,49,42,53,43,9.4,5.6,11.7,6.1,,
1921,3,6,47,36,41,36,8.3,2.2,5,2.2,,
1921,3,7,36,23,46,23,2.2,-5,7.8,-5,,
1921,3,8,44,37,48,36,6.7,2.8,8.9,2.2,,
