Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1882,10,1,NA,NA,NA,NA
1882,10,2,NA,NA,NA,NA
1882,10,3,NA,NA,NA,NA
1882,10,4,NA,NA,NA,NA
1882,10,5,NA,NA,NA,NA
1882,10,6,NA,NA,NA,NA
1882,10,7,NA,NA,NA,NA
1882,10,8,NA,NA,NA,NA
1882,10,9,NA,NA,NA,NA
1882,10,10,NA,NA,NA,NA
1882,10,11,NA,NA,NA,NA
1882,10,12,NA,NA,NA,NA
1882,10,13,NA,NA,NA,NA
1882,10,14,NA,NA,NA,NA
1882,10,15,NA,NA,NA,NA
1882,10,16,NA,NA,NA,NA
1882,10,17,NA,NA,NA,NA
1882,10,18,NA,NA,NA,NA
1882,10,19,NA,NA,NA,NA
1882,10,20,NA,NA,NA,NA
1882,10,21,NA,NA,NA,NA
1882,10,22,NA,NA,NA,NA
1882,10,23,NA,NA,NA,NA
1882,10,24,NA,NA,NA,NA
1882,10,25,NA,NA,NA,NA
1882,10,26,NA,NA,NA,NA
1882,10,27,NA,NA,NA,NA
1882,10,28,NA,NA,NA,NA
1882,10,29,50.4,35,10.2,1.7
1882,10,30,48.2,38,9,3.3
1882,10,31,53.4,38.2,11.9,3.4
1882,11,1,52,42.6,11.1,5.9
1882,11,2,53.6,42.4,12,5.8
1882,11,3,56,50.2,13.3,10.1
1882,11,4,54,44.6,12.2,7
1882,11,5,55,46.4,12.8,8
1882,11,6,56.2,39.4,13.4,4.1
1882,11,7,56.6,31,13.7,-0.6
1882,11,8,48,37.2,8.9,2.9
1882,11,9,46,39.4,7.8,4.1
1882,11,10,46,37,7.8,2.8
1882,11,11,46,34,7.8,1.1
1882,11,12,48,26.2,8.9,-3.2
1882,11,13,46,29.4,7.8,-1.4
1882,11,14,45.4,33.8,7.4,1
1882,11,15,43.2,35,6.2,1.7
1882,11,16,42.2,36,5.7,2.2
1882,11,17,41,31.2,5,-0.4
1882,11,18,46,32,7.8,0
1882,11,19,51,38,10.6,3.3
1882,11,20,42.6,37,5.9,2.8
1882,11,21,43,33,6.1,0.6
1882,11,22,51,36,10.6,2.2
1882,11,23,52,50,11.1,10
1882,11,24,53,42,11.7,5.6
1882,11,25,43,36.6,6.1,2.6
1882,11,26,NA,NA,NA,NA
1882,11,27,NA,NA,NA,NA
1882,11,28,NA,NA,NA,NA
1882,11,29,NA,NA,NA,NA
1882,11,30,NA,NA,NA,NA
1882,12,1,NA,NA,NA,NA
1882,12,2,NA,NA,NA,NA
1882,12,3,44,32.6,6.7,0.3
1882,12,4,46.6,36.4,8.1,2.4
1882,12,5,41.4,33,5.2,0.6
1882,12,6,38.1,29.2,3.4,-1.6
1882,12,7,31.4,26.2,-0.3,-3.2
1882,12,8,34,28.4,1.1,-2
1882,12,9,35,22,1.7,-5.6
1882,12,10,27,20,-2.8,-6.7
1882,12,11,24.6,13,-4.1,-10.6
1882,12,12,32.4,14,0.2,-10
1882,12,13,37,21,2.8,-6.1
1882,12,14,32,14.2,0,-9.9
1882,12,15,32.6,11,0.3,-11.7
1882,12,16,43.6,33.6,6.4,0.9
1882,12,17,44.6,33,7,0.6
1882,12,18,45,31.4,7.2,-0.3
1882,12,19,46,38.4,7.8,3.6
1882,12,20,43,38.2,6.1,3.4
1882,12,21,47,39,8.3,3.9
1882,12,22,44,32.8,6.7,0.4
1882,12,23,42,33,5.6,0.6
1882,12,24,39.4,31.6,4.1,-0.2
1882,12,25,40.4,33,4.7,0.6
1882,12,26,49.6,41.4,9.8,5.2
1882,12,27,53,42,11.7,5.6
1882,12,28,55.2,48,12.9,8.9
1882,12,29,53,49.4,11.7,9.7
1882,12,30,50.6,37.4,10.3,3
1882,12,31,46,38.4,7.8,3.6
1883,1,1,51,46,10.6,7.8
1883,1,2,53,40,11.7,4.4
1883,1,3,47.2,31,8.4,-0.6
1883,1,4,44.4,34.6,6.9,1.4
1883,1,5,47.2,41.6,8.4,5.3
1883,1,6,50,34,10,1.1
1883,1,7,47.2,26,8.4,-3.3
1883,1,8,42,26.4,5.6,-3.1
1883,1,9,41,35.8,5,2.1
1883,1,10,42.2,37.4,5.7,3
1883,1,11,43.6,42,6.4,5.6
1883,1,12,46.6,43,8.1,6.1
1883,1,13,43,41,6.1,5
1883,1,14,43.4,42,6.3,5.6
1883,1,15,46.2,39.2,7.9,4
1883,1,16,45.4,32.2,7.4,0.1
1883,1,17,50,37.2,10,2.9
1883,1,18,51.6,36,10.9,2.2
1883,1,19,48.6,35.8,9.2,2.1
1883,1,20,50.2,32,10.1,0
1883,1,21,47,32.2,8.3,0.1
1883,1,22,49.6,34.8,9.8,1.6
1883,1,23,47,35,8.3,1.7
1883,1,24,49.2,43.4,9.6,6.3
1883,1,25,52,34,11.1,1.1
1883,1,26,43.8,33.6,6.6,0.9
1883,1,27,41,33.4,5,0.8
1883,1,28,44,34.8,6.7,1.6
1883,1,29,52,41,11.1,5
1883,1,30,44,32,6.7,0
1883,1,31,39.8,27.2,4.3,-2.7
1883,2,1,39.8,26.4,4.3,-3.1
1883,2,2,42,27,5.6,-2.8
1883,2,3,38,32.6,3.3,0.3
1883,2,4,42,35,5.6,1.7
1883,2,5,47,49,8.3,9.4
1883,2,6,47,43,8.3,6.1
1883,2,7,45,40,7.2,4.4
1883,2,8,49.6,41,9.8,5
1883,2,9,46.8,30,8.2,-1.1
1883,2,10,45.4,33.8,7.4,1
1883,2,11,45.6,34,7.6,1.1
1883,2,12,46.6,35,8.1,1.7
1883,2,13,46.2,36.4,7.9,2.4
1883,2,14,51,38,10.6,3.3
1883,2,15,53.2,35.6,11.8,2
1883,2,16,45.4,33.2,7.4,0.7
1883,2,17,48,39.8,8.9,4.3
1883,2,18,48.6,33,9.2,0.6
1883,2,19,41,29.2,5,-1.6
1883,2,20,47.2,30,8.4,-1.1
1883,2,21,50,47.2,10,8.4
1883,2,22,57,43.6,13.9,6.4
1883,2,23,48,38.4,8.9,3.6
1883,2,24,51,42,10.6,5.6
1883,2,25,54.2,44,12.3,6.7
1883,2,26,49.6,32,9.8,0
1883,2,27,45,39,7.2,3.9
