Year,Month,Day,Max at 9h (°F),Min at 9h (°F),Max at 9h (°C),Min at 9h (°C),Max at 21h (°F),Min at 21h (°F),Max at 21h (°C),Min at 21h (°C)
1880,5,1,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,2,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,3,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,4,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,5,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,6,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,7,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,8,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,9,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,10,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,11,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,12,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,13,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,14,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,15,NA,NA,NA,NA,NA,NA,NA,NA
1880,5,16,NA,NA,NA,NA,56.6,48,13.7,8.9
1880,5,17,NA,NA,NA,NA,58.2,47.6,14.6,8.7
1880,5,18,NA,NA,NA,NA,64,51,17.8,10.6
1880,5,19,NA,NA,NA,NA,70.6,58,21.4,14.4
1880,5,20,NA,NA,NA,NA,74,56,23.3,13.3
1880,5,21,NA,NA,NA,NA,68,55.4,20,13
1880,5,22,NA,NA,NA,NA,62,51,16.7,10.6
1880,5,23,NA,NA,NA,NA,59.8,52,15.4,11.1
1880,5,24,NA,NA,NA,NA,60,48,15.6,8.9
1880,5,25,NA,NA,NA,NA,65.4,55.4,18.6,13
1880,5,26,NA,NA,NA,NA,58.2,51.4,14.6,10.8
1880,5,27,NA,NA,NA,NA,61.3,47.4,16.3,8.6
1880,5,28,NA,NA,NA,NA,59.2,49.2,15.1,9.6
1880,5,29,NA,NA,NA,NA,64,51,17.8,10.6
1880,5,30,NA,NA,NA,NA,57.5,51,14.2,10.6
1880,5,31,NA,NA,NA,NA,62,51,16.7,10.6
1880,6,1,53,49,11.7,9.4,60,50.2,15.6,10.1
1880,6,2,56,51,13.3,10.6,64.2,43.8,17.9,6.6
1880,6,3,60,51.4,15.6,10.8,69,56.6,20.6,13.7
1880,6,4,58.2,48,14.6,8.9,61,47,16.1,8.3
1880,6,5,50.6,39,10.3,3.9,54,49.6,12.2,9.8
1880,6,6,56.2,51,13.4,10.6,62,52.4,16.7,11.3
1880,6,7,54,48,12.2,8.9,56,47.2,13.3,8.4
1880,6,8,49.8,42,9.9,5.6,47.2,45.3,8.4,7.4
1880,6,9,53.2,38.8,11.8,3.8,56.4,48,13.6,8.9
1880,6,10,56.2,36,13.4,2.2,60,48.8,15.6,9.3
1880,6,11,58.3,36.4,14.6,2.4,62,53.6,16.7,12
1880,6,12,57.2,44.8,14,7.1,60.8,56.6,16,13.7
