Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1881,5,1,56.8,43,13.8,6.1
1881,5,2,55.8,38.1,13.2,3.4
1881,5,3,59,37,15,2.8
1881,5,4,57.7,45.7,14.3,7.6
1881,5,5,NA,NA,NA,NA
1881,5,6,65.2,35.7,18.4,2.1
1881,5,7,NA,NA,NA,NA
1881,5,8,66.8,38.7,19.3,3.7
1881,5,9,68.8,43.8,20.4,6.6
1881,5,10,63.8,39.7,17.7,4.3
1881,5,11,63.8,34.7,17.7,1.5
1881,5,12,64,33.7,17.8,0.9
1881,5,13,59.9,37.7,15.5,3.2
1881,5,14,60.8,49.8,16,9.9
1881,5,15,52.8,48.5,11.6,9.2
1881,5,16,56.8,45.7,13.8,7.6
1881,5,17,60.6,47.8,15.9,8.8
1881,5,18,57.4,50,14.1,10
1881,5,19,56.6,40.8,13.7,4.9
1881,5,20,57.2,47,14,8.3
1881,5,21,67.5,47.8,19.7,8.8
1881,5,22,67,49.9,19.4,9.9
1881,5,23,71.4,45.8,21.9,7.7
1881,5,24,68.8,52.3,20.4,11.3
1881,5,25,67.6,42,19.8,5.6
1881,5,26,65.7,49.8,18.7,9.9
1881,5,27,64.6,49.5,18.1,9.7
1881,5,28,63.7,NA,17.6,NA
1881,5,29,65.1,49.8,18.4,9.9
1881,5,30,74.1,39.2,23.4,4
1881,5,31,76.4,44.7,24.7,7.1
1881,6,1,75.2,48.5,24,9.2
1881,6,2,68.5,44,20.3,6.7
1881,6,3,67,41.5,19.4,5.3
1881,6,4,61,55,16.1,12.8
1881,6,5,58,46,14.4,7.8
1881,6,6,55.2,43.5,12.9,6.4
1881,6,7,56.4,NA,13.6,NA
1881,6,8,57.1,32.6,13.9,0.3
1881,6,9,61,32.6,16.1,0.3
1881,6,10,59.1,49.2,15.1,9.6
1881,6,11,60.7,46.7,15.9,8.2
1881,6,12,57.6,47.2,14.2,8.4
1881,6,13,63.9,50.8,17.7,10.4
1881,6,14,62.7,47.8,17.1,8.8
1881,6,15,62.7,50.8,17.1,10.4
1881,6,16,60.5,46.7,15.8,8.2
1881,6,17,58.1,44.7,14.5,7.1
1881,6,18,62.1,54.8,16.7,12.7
1881,6,19,64.1,53.3,17.8,11.8
1881,6,20,61.3,43.1,16.3,6.2
1881,6,21,60.5,52.8,15.8,11.6
1881,6,22,62.7,49.3,17.1,9.6
1881,6,23,60.9,49.3,16.1,9.6
1881,6,24,60.8,46.7,16,8.2
1881,6,25,63.8,52.9,17.7,11.6
1881,6,26,61.8,51.8,16.6,11
1881,6,27,59.7,51.8,15.4,11
1881,6,28,62.7,51.8,17.1,11
1881,6,29,63.3,53.8,17.4,12.1
1881,6,30,63.7,53.3,17.6,11.8
1881,7,1,60.8,51.8,16,11
1881,7,2,63.7,43.2,17.6,6.2
1881,7,3,66.7,52.8,19.3,11.6
1881,7,4,69.4,57.9,20.8,14.4
1881,7,5,70.9,55.8,21.6,13.2
1881,7,6,59.2,47.2,15.1,8.4
1881,7,7,60.2,51.3,15.7,10.7
1881,7,8,62.9,52,17.2,11.1
1881,7,9,61.7,44.2,16.5,6.8
1881,7,10,61.8,53.1,16.6,11.7
1881,7,11,65.8,56.9,18.8,13.8
1881,7,12,64.7,45.4,18.2,7.4
1881,7,13,63.9,58.9,17.7,14.9
1881,7,14,69.8,57.3,21,14.1
1881,7,15,64.1,55.8,17.8,13.2
1881,7,16,72.6,41.2,22.6,5.1
1881,7,17,69.3,54,20.7,12.2
1881,7,18,65.4,55.6,18.6,13.1
1881,7,19,64.9,51.5,18.3,10.8
1881,7,20,62,50.1,16.7,10.1
1881,7,21,60.3,41.9,15.7,5.5
1881,7,22,63.7,52.6,17.6,11.4
1881,7,23,64.8,54.8,18.2,12.7
1881,7,24,59.9,51.8,15.5,11
1881,7,25,61.5,47,16.4,8.3
1881,7,26,63.7,49.8,17.6,9.9
1881,7,27,67.9,40.1,19.9,4.5
1881,7,28,64.7,46.8,18.2,8.2
1881,7,29,66.2,55,19,12.8
1881,7,30,60.7,55.4,15.9,13
1881,7,31,63.2,47.8,17.3,8.8
1881,8,1,64,40.3,17.8,4.6
1881,8,2,64.2,40.9,17.9,4.9
1881,8,3,64.2,60.5,17.9,15.8
1881,8,4,71.7,60.9,22.1,16.1
1881,8,5,67,55,19.4,12.8
1881,8,6,67.7,53.8,19.8,12.1
1881,8,7,65.3,59.4,18.5,15.2
1881,8,8,64.7,53.9,18.2,12.2
1881,8,9,59.8,52.3,15.4,11.3
1881,8,10,62.7,51.8,17.1,11
1881,8,11,65.2,54.1,18.4,12.3
1881,8,12,64.9,47.5,18.3,8.6
1881,8,13,62.9,38.2,17.2,3.4
1881,8,14,61.1,49.8,16.2,9.9
1881,8,15,64.7,53.3,18.2,11.8
1881,8,16,61.7,53.8,16.5,12.1
1881,8,17,61.3,53.6,16.3,12
1881,8,18,63.7,52.6,17.6,11.4
1881,8,19,59.2,49.3,15.1,9.6
1881,8,20,64,41.3,17.8,5.2
1881,8,21,65.3,48.3,18.5,9.1
1881,8,22,63.2,41,17.3,5
1881,8,23,55.8,50.9,13.2,10.5
1881,8,24,62,47.1,16.7,8.4
1881,8,25,63.2,53.8,17.3,12.1
1881,8,26,61.5,51.4,16.4,10.8
1881,8,27,61,46.2,16.1,7.9
1881,8,28,61,47.3,16.1,8.5
1881,8,29,65.2,56.3,18.4,13.5
1881,8,30,59,52,15,11.1
1881,8,31,65,36.9,18.3,2.7
1881,9,1,66.3,39.8,19.1,4.3
1881,9,2,65.4,39.5,18.6,4.2
1881,9,3,63.7,44.8,17.6,7.1
1881,9,4,61.7,48.8,16.5,9.3
1881,9,5,60.7,53.2,15.9,11.8
1881,9,6,58.7,44.1,14.8,6.7
1881,9,7,57.8,50.1,14.3,10.1
1881,9,8,61.9,52.1,16.6,11.2
1881,9,9,61.9,53,16.6,11.7
1881,9,10,64,53.1,17.8,11.7
1881,9,11,59.6,50.8,15.3,10.4
1881,9,12,57.8,45.5,14.3,7.5
1881,9,13,62.8,38.3,17.1,3.5
1881,9,14,61.8,36.3,16.6,2.4
1881,9,15,62.1,41.3,16.7,5.2
1881,9,16,62.8,37.4,17.1,3
1881,9,17,54.8,44.7,12.7,7.1
1881,9,18,61.2,44.2,16.2,6.8
1881,9,19,65.5,40.8,18.6,4.9
1881,9,20,62.2,52.1,16.8,11.2
1881,9,21,60.8,43.4,16,6.3
1881,9,22,61.3,38.2,16.3,3.4
1881,9,23,61.2,43.7,16.2,6.5
1881,9,24,63.7,45.7,17.6,7.6
1881,9,25,64.7,45.1,18.2,7.3
1881,9,26,62.7,44.7,17.1,7.1
1881,9,27,60.2,45.8,15.7,7.7
1881,9,28,63.7,51.6,17.6,10.9
1881,9,29,65.3,56.8,18.5,13.8
1881,9,30,64,53.7,17.8,12.1
1881,10,1,62.8,55.1,17.1,12.8
1881,10,2,63.7,49.2,17.6,9.6
1881,10,3,60.9,42.3,16.1,5.7
1881,10,4,60.1,49.8,15.6,9.9
1881,10,5,53.4,48.6,11.9,9.2
1881,10,6,59.7,46.7,15.4,8.2
1881,10,7,62.9,52.4,17.2,11.3
1881,10,8,60.9,54,16.1,12.2
1881,10,9,54.6,48.1,12.6,8.9
1881,10,10,58.7,47.7,14.8,8.7
1881,10,11,60,52.9,15.6,11.6
1881,10,12,55,45.3,12.8,7.4
1881,10,13,60.5,45.7,15.8,7.6
1881,10,14,58.8,43.7,14.9,6.5
1881,10,15,52.8,34,11.6,1.1
1881,10,16,54.4,29.6,12.4,-1.3
1881,10,17,57.3,51.8,14.1,11
1881,10,18,56.9,52.1,13.8,11.2
1881,10,19,53.8,47.1,12.1,8.4
1881,10,20,49,45.7,9.4,7.6
1881,10,21,55.9,44.8,13.3,7.1
1881,10,22,56.1,49.6,13.4,9.8
1881,10,23,59.8,50.6,15.4,10.3
1881,10,24,55.9,52.3,13.3,11.3
1881,10,25,54.1,41.9,12.3,5.5
1881,10,26,48,38,8.9,3.3
1881,10,27,49.4,35.7,9.7,2.1
1881,10,28,48.3,31,9.1,-0.6
1881,10,29,46.2,29.4,7.9,-1.4
1881,10,30,47,24.3,8.3,-4.3
1881,10,31,50.3,35.2,10.2,1.8
1881,11,1,53.5,36,11.9,2.2
1881,11,2,51.8,41.3,11,5.2
1881,11,3,59.9,48.6,15.5,9.2
1881,11,4,59.7,52.7,15.4,11.5
1881,11,5,58.6,49.7,14.8,9.8
1881,11,6,58.6,51.1,14.8,10.6
1881,11,7,55.8,44.2,13.2,6.8
1881,11,8,59.4,53.8,15.2,12.1
1881,11,9,58,52.4,14.4,11.3
1881,11,10,57.9,54.3,14.4,12.4
1881,11,11,58.8,54.1,14.9,12.3
1881,11,12,57.6,52.3,14.2,11.3
1881,11,13,62.2,55.3,16.8,12.9
1881,11,14,59.6,53.8,15.3,12.1
1881,11,15,58,47.7,14.4,8.7
1881,11,16,56.9,48.8,13.8,9.3
1881,11,17,53.8,41,12.1,5
1881,11,18,57.9,39.7,14.4,4.3
1881,11,19,56.6,51.1,13.7,10.6
1881,11,20,54.8,47.7,12.7,8.7
1881,11,21,58.3,44.8,14.6,7.1
1881,11,22,58,41.8,14.4,5.4
1881,11,23,51.7,39.8,10.9,4.3
1881,11,24,54.8,42.9,12.7,6.1
1881,11,25,47.8,36.2,8.8,2.3
1881,11,26,55.8,33.3,13.2,0.7
1881,11,27,50.3,42,10.2,5.6
1881,11,28,50.2,43.7,10.1,6.5
1881,11,29,51,31.7,10.6,-0.2
1881,11,30,53.9,43.4,12.2,6.3
1881,12,1,52.6,37.2,11.4,2.9
1881,12,2,54,43.7,12.2,6.5
1881,12,3,46,32,7.8,0
1881,12,4,51.7,29.8,10.9,-1.2
1881,12,5,50.3,35.3,10.2,1.8
1881,12,6,55.2,44.5,12.9,6.9
1881,12,7,48.8,39.7,9.3,4.3
1881,12,8,42.9,34.6,6.1,1.4
1881,12,9,42.8,29.3,6,-1.5
1881,12,10,42,26,5.6,-3.3
1881,12,11,37.1,22.8,2.8,-5.1
1881,12,12,38.6,18.6,3.7,-7.4
1881,12,13,48.6,26.8,9.2,-2.9
1881,12,14,50.6,31.3,10.3,-0.4
1881,12,15,46.1,29.5,7.8,-1.4
1881,12,16,44.8,33.6,7.1,0.9
1881,12,17,48.8,39.6,9.3,4.2
1881,12,18,43.8,35.6,6.6,2
1881,12,19,45.3,37.6,7.4,3.1
1881,12,20,44.2,38.3,6.8,3.5
1881,12,21,44,30.7,6.7,-0.7
1881,12,22,41.3,25.8,5.2,-3.4
1881,12,23,48.9,24.8,9.4,-4
1881,12,24,50.8,36.6,10.4,2.6
1881,12,25,53.7,42.8,12.1,6
1881,12,26,50.2,46.9,10.1,8.3
1881,12,27,51.6,36.4,10.9,2.4
1881,12,28,54.6,47.2,12.6,8.4
1881,12,29,53.7,47.7,12.1,8.7
1881,12,30,50,39.3,10,4.1
1881,12,31,51.9,33.2,11.1,0.7
1882,1,1,46.6,31.3,8.1,-0.4
1882,1,2,54.9,44.9,12.7,7.2
1882,1,3,53.3,37,11.8,2.8
1882,1,4,52.9,38.2,11.6,3.4
1882,1,5,55.2,43.9,12.9,6.6
1882,1,6,55.4,39.8,13,4.3
1882,1,7,47.4,35.6,8.6,2
1882,1,8,53,42.3,11.7,5.7
1882,1,9,47.7,35,8.7,1.7
1882,1,10,49.7,43.7,9.8,6.5
1882,1,11,53,46.9,11.7,8.3
1882,1,12,51.9,48.8,11.1,9.3
1882,1,13,54.2,47.8,12.3,8.8
1882,1,14,55.6,47.2,13.1,8.4
1882,1,15,56.1,52.3,13.4,11.3
1882,1,16,54.1,49.4,12.3,9.7
1882,1,17,53,37.7,11.7,3.2
1882,1,18,45.9,33.3,7.7,0.7
1882,1,19,44.8,42.2,7.1,5.7
1882,1,20,50.3,34.6,10.2,1.4
1882,1,21,51.4,38,10.8,3.3
1882,1,22,47.6,43.5,8.7,6.4
1882,1,23,54.3,43.7,12.4,6.5
1882,1,24,53.1,44.5,11.7,6.9
1882,1,25,45.9,41.7,7.7,5.4
1882,1,26,49.4,41.2,9.7,5.1
1882,1,27,53.8,45.3,12.1,7.4
1882,1,28,46.7,35.6,8.2,2
1882,1,29,43.3,29.5,6.3,-1.4
1882,1,30,46.7,26.7,8.2,-2.9
1882,1,31,55.8,46.3,13.2,7.9
1882,2,1,51.2,46.2,10.7,7.9
1882,2,2,51.7,35.7,10.9,2.1
1882,2,3,52.1,39.5,11.2,4.2
1882,2,4,55.9,34.4,13.3,1.3
1882,2,5,53.6,44.5,12,6.9
1882,2,6,48.5,37,9.2,2.8
1882,2,7,45.6,39.9,7.6,4.4
1882,2,8,50,42,10,5.6
1882,2,9,55,49.8,12.8,9.9
1882,2,10,53.5,38.2,11.9,3.4
1882,2,11,52.8,40.8,11.6,4.9
1882,2,12,51.4,32.7,10.8,0.4
1882,2,13,53.2,47.3,11.8,8.5
1882,2,14,52.6,34.4,11.4,1.3
1882,2,15,45,36.6,7.2,2.6
1882,2,16,51.5,36.8,10.8,2.7
1882,2,17,52,45.1,11.1,7.3
1882,2,18,52.8,38.3,11.6,3.5
1882,2,19,49.7,29.4,9.8,-1.4
1882,2,20,49.7,38.2,9.8,3.4
1882,2,21,51.1,45.9,10.6,7.7
1882,2,22,45.9,42.3,7.7,5.7
1882,2,23,49.7,42.4,9.8,5.8
1882,2,24,53.7,42,12.1,5.6
1882,2,25,54.3,50.5,12.4,10.3
1882,2,26,52.8,49.7,11.6,9.8
1882,2,27,50.4,46.4,10.2,8
1882,2,28,47.8,44,8.8,6.7
1882,3,1,45.8,41.2,7.7,5.1
1882,3,2,46.9,30.6,8.3,-0.8
1882,3,3,47.2,29.8,8.4,-1.2
1882,3,4,51.8,35.1,11,1.7
1882,3,5,53.3,43,11.8,6.1
1882,3,6,51.4,40.3,10.8,4.6
1882,3,7,56.2,50.8,13.4,10.4
1882,3,8,58,50.9,14.4,10.5
1882,3,9,54,51.4,12.2,10.8
1882,3,10,57,45.9,13.9,7.7
1882,3,11,51,36,10.6,2.2
1882,3,12,53,33,11.7,0.6
1882,3,13,54,44.5,12.2,6.9
1882,3,14,58,46,14.4,7.8
1882,3,15,58,40.9,14.4,4.9
1882,3,16,51,34,10.6,1.1
1882,3,17,57,39,13.9,3.9
1882,3,18,58,47,14.4,8.3
1882,3,19,53,46,11.7,7.8
1882,3,20,51,41,10.6,5
1882,3,21,46,35,7.8,1.7
1882,3,22,50,33,10,0.6
1882,3,23,55,44,12.8,6.7
1882,3,24,58,45,14.4,7.2
1882,3,25,54,43,12.2,6.1
1882,3,26,48,39,8.9,3.9
1882,3,27,50.8,45,10.4,7.2
1882,3,28,58,49,14.4,9.4
1882,3,29,52,42,11.1,5.6
1882,3,30,52,41,11.1,5
1882,3,31,51.3,33.6,10.7,0.9
1882,4,1,53.1,33.6,11.7,0.9
1882,4,2,50.8,42,10.4,5.6
1882,4,3,52.8,43.8,11.6,6.6
1882,4,4,55.7,46,13.2,7.8
1882,4,5,55.8,37.7,13.2,3.2
1882,4,6,51.5,39.9,10.8,4.4
1882,4,7,57.9,31.8,14.4,-0.1
1882,4,8,59.8,36.8,15.4,2.7
1882,4,9,60,36.8,15.6,2.7
1882,4,10,59,30.8,15,-0.7
1882,4,11,60,42.4,15.6,5.8
1882,4,12,59.6,44.7,15.3,7.1
1882,4,13,58.3,48.2,14.6,9
1882,4,14,50.8,45.5,10.4,7.5
1882,4,15,48,33.4,8.9,0.8
1882,4,16,50.1,29.7,10.1,-1.3
1882,4,17,51.8,44.1,11,6.7
1882,4,18,54.8,40.5,12.7,4.7
1882,4,19,56.8,48.3,13.8,9.1
1882,4,20,58.1,48.1,14.5,8.9
1882,4,21,59.3,47.7,15.2,8.7
1882,4,22,57.7,47.7,14.3,8.7
1882,4,23,53,45.5,11.7,7.5
1882,4,24,51.6,44.6,10.9,7
1882,4,25,51.9,35.4,11.1,1.9
1882,4,26,51.9,31.3,11.1,-0.4
1882,4,27,54.9,33.7,12.7,0.9
1882,4,28,50.6,41.7,10.3,5.4
1882,4,29,46,35.4,7.8,1.9
1882,4,30,52.2,32.2,11.2,0.1
1882,5,1,55,41.3,12.8,5.2
1882,5,2,57.1,37.9,13.9,3.3
1882,5,3,50.8,41,10.4,5
1882,5,4,57.2,31.5,14,-0.3
1882,5,5,56.5,32.8,13.6,0.4
1882,5,6,53.6,33.9,12,1.1
1882,5,7,56.6,36.8,13.7,2.7
1882,5,8,59.2,39,15.1,3.9
1882,5,9,58.7,49.6,14.8,9.8
1882,5,10,62.7,52.8,17.1,11.6
1882,5,11,59.8,52.6,15.4,11.4
1882,5,12,62.2,39,16.8,3.9
1882,5,13,64.3,46,17.9,7.8
1882,5,14,63,49.6,17.2,9.8
1882,5,15,58,44.1,14.4,6.7
1882,5,16,57.6,35,14.2,1.7
1882,5,17,66.6,30.9,19.2,-0.6
1882,5,18,67.3,36.2,19.6,2.3
1882,5,19,63.2,44.2,17.3,6.8
1882,5,20,61.4,49.8,16.3,9.9
1882,5,21,57.9,49,14.4,9.4
1882,5,22,63.5,51.8,17.5,11
1882,5,23,64.1,50.8,17.8,10.4
1882,5,24,58.7,48.9,14.8,9.4
1882,5,25,55.8,46.2,13.2,7.9
1882,5,26,57.6,42.3,14.2,5.7
1882,5,27,58.8,46.3,14.9,7.9
1882,5,28,61.8,47.4,16.6,8.6
1882,5,29,63.7,44,17.6,6.7
1882,5,30,66.8,49.7,19.3,9.8
