Year,Month,Day,Min in Observatory (°F),Min in Observatory (°C),Min in Clock Square (°F),Min in Clock Square (°C),Max in Observatory (°F),Max in Observatory (°C)
1853,12,1,NA,NA,NA,NA,NA,NA
1853,12,2,NA,NA,NA,NA,NA,NA
1853,12,3,NA,NA,NA,NA,NA,NA
1853,12,4,NA,NA,NA,NA,NA,NA
1853,12,5,NA,NA,NA,NA,NA,NA
1853,12,6,NA,NA,NA,NA,NA,NA
1853,12,7,NA,NA,NA,NA,NA,NA
1853,12,8,NA,NA,NA,NA,NA,NA
1853,12,9,NA,NA,NA,NA,NA,NA
1853,12,10,NA,NA,NA,NA,NA,NA
1853,12,11,NA,NA,NA,NA,NA,NA
1853,12,12,NA,NA,NA,NA,NA,NA
1853,12,13,NA,NA,NA,NA,NA,NA
1853,12,14,NA,NA,NA,NA,NA,NA
1853,12,15,NA,NA,NA,NA,NA,NA
1853,12,16,NA,NA,NA,NA,NA,NA
1853,12,17,NA,NA,NA,NA,NA,NA
1853,12,18,NA,NA,NA,NA,NA,NA
1853,12,19,NA,NA,NA,NA,NA,NA
1853,12,20,NA,NA,NA,NA,NA,NA
1853,12,21,NA,NA,NA,NA,NA,NA
1853,12,22,NA,NA,NA,NA,NA,NA
1853,12,23,34.8,1.6,33.5,0.8,NA,NA
1853,12,24,36.7,2.6,31.5,-0.3,NA,NA
1853,12,25,35,1.7,30,-1.1,NA,NA
1853,12,26,34.6,1.4,32,0,NA,NA
1853,12,27,28.3,-2.1,26.1,-3.3,NA,NA
1853,12,28,24.5,-4.2,22,-5.6,NA,NA
1853,12,29,22.1,-5.5,19.5,-6.9,NA,NA
1853,12,30,34.2,1.2,29,-1.7,NA,NA
1853,12,31,29,-1.7,27.5,-2.5,NA,NA
1854,1,1,24,-4.4,21.8,-5.7,NA,NA
1854,1,2,23,-5,21,-6.1,NA,NA
1854,1,3,24.3,-4.3,20.8,-6.2,NA,NA
1854,1,4,32.5,0.3,31.5,-0.3,NA,NA
1854,1,5,31.5,-0.3,31.5,-0.3,NA,NA
1854,1,6,31,-0.6,28.8,-1.8,NA,NA
1854,1,7,31.2,-0.4,30,-1.1,NA,NA
1854,1,8,34.3,1.3,33.5,0.8,NA,NA
1854,1,9,35,1.7,34,1.1,NA,NA
1854,1,10,34.4,1.3,33.3,0.7,NA,NA
1854,1,11,34.2,1.2,32.2,0.1,NA,NA
1854,1,12,35.9,2.2,34.5,1.4,NA,NA
1854,1,13,27.8,-2.3,24,-4.4,NA,NA
1854,1,14,31.1,-0.5,27.5,-2.5,NA,NA
1854,1,15,35.4,1.9,34,1.1,NA,NA
1854,1,16,25.7,-3.5,22,-5.6,NA,NA
1854,1,17,NA,NA,NA,NA,NA,NA
1854,1,18,NA,NA,NA,NA,NA,NA
1854,1,19,NA,NA,NA,NA,NA,NA
1854,1,20,NA,NA,NA,NA,NA,NA
1854,1,21,NA,NA,NA,NA,NA,NA
1854,1,22,NA,NA,NA,NA,NA,NA
1854,1,23,NA,NA,NA,NA,NA,NA
1854,1,24,NA,NA,NA,NA,NA,NA
1854,1,25,NA,NA,NA,NA,NA,NA
1854,1,26,NA,NA,NA,NA,NA,NA
1854,1,27,NA,NA,NA,NA,NA,NA
1854,1,28,NA,NA,NA,NA,NA,NA
1854,1,29,NA,NA,NA,NA,NA,NA
1854,1,30,NA,NA,NA,NA,NA,NA
1854,1,31,NA,NA,NA,NA,NA,NA
1854,2,1,NA,NA,NA,NA,NA,NA
1854,2,2,NA,NA,NA,NA,NA,NA
1854,2,3,NA,NA,NA,NA,NA,NA
1854,2,4,NA,NA,NA,NA,NA,NA
1854,2,5,NA,NA,NA,NA,NA,NA
1854,2,6,NA,NA,NA,NA,NA,NA
1854,2,7,NA,NA,NA,NA,NA,NA
1854,2,8,NA,NA,NA,NA,NA,NA
1854,2,9,NA,NA,NA,NA,NA,NA
1854,2,10,NA,NA,NA,NA,NA,NA
1854,2,11,NA,NA,NA,NA,NA,NA
1854,2,12,NA,NA,NA,NA,NA,NA
1854,2,13,NA,NA,NA,NA,NA,NA
1854,2,14,NA,NA,NA,NA,NA,NA
1854,2,15,NA,NA,NA,NA,NA,NA
1854,2,16,NA,NA,NA,NA,NA,NA
1854,2,17,NA,NA,NA,NA,NA,NA
1854,2,18,NA,NA,NA,NA,NA,NA
1854,2,19,NA,NA,NA,NA,NA,NA
1854,2,20,NA,NA,NA,NA,NA,NA
1854,2,21,NA,NA,NA,NA,NA,NA
1854,2,22,NA,NA,NA,NA,NA,NA
1854,2,23,NA,NA,NA,NA,NA,NA
1854,2,24,NA,NA,NA,NA,NA,NA
1854,2,25,NA,NA,NA,NA,NA,NA
1854,2,26,NA,NA,NA,NA,NA,NA
1854,2,27,NA,NA,NA,NA,NA,NA
1854,2,28,NA,NA,NA,NA,NA,NA
1854,3,1,NA,NA,NA,NA,NA,NA
1854,3,2,NA,NA,NA,NA,NA,NA
1854,3,3,NA,NA,NA,NA,NA,NA
1854,3,4,NA,NA,NA,NA,NA,NA
1854,3,5,NA,NA,NA,NA,NA,NA
1854,3,6,NA,NA,NA,NA,NA,NA
1854,3,7,NA,NA,NA,NA,NA,NA
