Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1842,4,1,NA,NA,NA,NA
1842,4,2,NA,NA,NA,NA
1842,4,3,NA,NA,NA,NA
1842,4,4,NA,NA,NA,NA
1842,4,5,NA,29.5,NA,-1.4
1842,4,6,NA,28,NA,-2.2
1842,4,7,NA,31,NA,-0.6
1842,4,8,NA,31,NA,-0.6
1842,4,9,NA,29,NA,-1.7
1842,4,10,NA,NA,NA,NA
1842,4,11,NA,27,NA,-2.8
1842,4,12,NA,31,NA,-0.6
1842,4,13,NA,34.5,NA,1.4
1842,4,14,NA,32,NA,0
1842,4,15,NA,39,NA,3.9
1842,4,16,NA,38.5,NA,3.6
1842,4,17,NA,NA,NA,NA
1842,4,18,NA,29,NA,-1.7
1842,4,19,NA,32,NA,0
1842,4,20,NA,37,NA,2.8
1842,4,21,NA,37,NA,2.8
1842,4,22,NA,37,NA,2.8
1842,4,23,59,33,NA,0.6
1842,4,24,54,41,NA,5
1842,4,25,63,36,NA,2.2
1842,4,26,65.3,43.5,NA,6.4
1842,4,27,63.5,38,NA,3.3
1842,4,28,63,46,NA,7.8
1842,4,29,65,44,NA,6.7
1842,4,30,62.5,44,NA,6.7
1842,5,1,60,40,15.6,4.4
1842,5,2,64.5,36,18.1,2.2
1842,5,3,55.5,45,13.1,7.2
1842,5,4,57,37,13.9,2.8
1842,5,5,56,40.5,13.3,4.7
1842,5,6,58,45,14.4,7.2
1842,5,7,53,45,11.7,7.2
1842,5,8,NA,43.3,NA,6.3
1842,5,9,53.5,39,11.9,3.9
1842,5,10,56,42,13.3,5.6
1842,5,11,57,44.5,13.9,6.9
1842,5,12,59,36,15,2.2
1842,5,13,62,45,16.7,7.2
1842,5,14,63,49.5,17.2,9.7
1842,5,15,65,50,18.3,10
1842,5,16,66.5,42,19.2,5.6
1842,5,17,69,42,20.6,5.6
1842,5,18,69,42.5,20.6,5.8
1842,5,19,50,42.5,10,5.8
1842,5,20,50,43,10,6.1
1842,5,21,54,36,12.2,2.2
1842,5,22,NA,38,NA,3.3
1842,5,23,NA,41,NA,5
1842,5,24,NA,42,NA,5.6
1842,5,25,NA,39,NA,3.9
1842,5,26,59,43.5,NA,6.4
1842,5,27,NA,48.5,NA,9.2
1842,5,28,NA,NA,NA,NA
1842,5,29,NA,NA,NA,NA
1842,5,30,NA,NA,NA,NA
1842,5,31,NA,NA,NA,NA
1842,6,1,NA,NA,NA,NA
1842,6,2,NA,NA,NA,NA
1842,6,3,NA,NA,NA,NA
1842,6,4,NA,NA,NA,NA
1842,6,5,NA,NA,NA,NA
1842,6,6,NA,NA,NA,NA
1842,6,7,NA,NA,NA,NA
1842,6,8,NA,NA,NA,NA
1842,6,9,NA,NA,NA,NA
1842,6,10,68,NA,20,NA
1842,6,11,73,51,22.8,10.6
