Year,Month,Day,Max at 9h (°F),Max at 18h  (°F),Max at 9h (°C),Min at 18h (°C)
1955,12,1,NA,NA,NA,NA
1955,12,2,NA,NA,NA,NA
1955,12,3,NA,NA,NA,NA
1955,12,4,NA,NA,NA,NA
1955,12,5,NA,NA,NA,NA
1955,12,6,NA,NA,NA,NA
1955,12,7,NA,52.9,NA,11.6
1955,12,8,52.9,52.8,11.6,11.6
1955,12,9,53.1,55.5,11.7,13.1
1955,12,10,50.4,50.1,10.2,10.1
1955,12,11,49.9,45.4,9.9,7.4
1955,12,12,50.2,51.3,10.1,10.7
1955,12,13,52.9,53.2,11.6,11.8
1955,12,14,53.7,53.3,12.1,11.8
1955,12,15,51.9,54.4,11.1,12.4
1955,12,16,50.4,53.3,10.2,11.8
1955,12,17,51.7,48.1,10.9,8.9
1955,12,18,44.3,45,6.8,7.2
1955,12,19,47.2,48.8,8.4,9.3
1955,12,20,50.1,44.8,10.1,7.1
1955,12,21,41.4,41,5.2,5
1955,12,22,52.9,51.2,11.6,10.7
1955,12,23,54,48.6,12.2,9.2
1955,12,24,50.8,50.8,10.4,10.4
1955,12,25,51.3,54,10.7,12.2
1955,12,26,55,49.8,12.8,9.9
1955,12,27,53.6,56.3,12,13.5
1955,12,28,55.9,54,13.3,12.2
1955,12,29,50,47.1,10,8.4
1955,12,30,43.5,46.5,6.4,8.1
1955,12,31,47.6,50,8.7,10
