Year,Month,Daily,Max at 7h (°F),Min at 7h (°F),Max at 18h (°F),Min at 18h (°F),Max at 7h (°C),Min at 7h (°C),Max at 18h (°C),Min at 18h (°C)
1921,1,1,53,49,NA,NA,11.7,9.4,NA,NA
1921,1,2,50.8,48.2,NA,NA,10.4,9,NA,NA
1921,1,3,54.3,47.5,NA,NA,12.4,8.6,NA,NA
1921,1,4,53.8,50.1,NA,NA,12.1,10.1,NA,NA
1921,1,5,52.9,42.6,NA,NA,11.6,5.9,NA,NA
1921,1,6,51.6,46.6,NA,NA,10.9,8.1,NA,NA
1921,1,7,49.1,38.8,NA,NA,9.5,3.8,NA,NA
1921,1,8,54.3,42,NA,NA,12.4,5.6,NA,NA
1921,1,9,54.7,44.5,NA,NA,12.6,6.9,NA,NA
1921,1,10,52.5,52.2,NA,NA,11.4,11.2,NA,NA
1921,1,11,49.8,43.4,NA,NA,9.9,6.3,NA,NA
1921,1,12,46.3,42,NA,NA,7.9,5.6,NA,NA
1921,1,13,43.7,38.1,NA,NA,6.5,3.4,NA,NA
1921,1,14,50.8,33,NA,NA,10.4,0.6,NA,NA
1921,1,15,53,35.3,NA,NA,11.7,1.8,NA,NA
1921,1,16,51.3,48.5,NA,NA,10.7,9.2,NA,NA
1921,1,17,50.1,44.6,NA,NA,10.1,7,NA,NA
1921,1,18,50.6,43.6,NA,NA,10.3,6.4,NA,NA
1921,1,19,51,44.6,NA,NA,10.6,7,NA,NA
1921,1,20,52.4,45.8,NA,NA,11.3,7.7,NA,NA
1921,1,21,51.4,48,NA,NA,10.8,8.9,NA,NA
1921,1,22,48,47.1,NA,NA,8.9,8.4,NA,NA
1921,1,23,52.6,45.3,NA,NA,11.4,7.4,NA,NA
1921,1,24,53.8,47.3,NA,NA,12.1,8.5,NA,NA
1921,1,25,53.3,51,NA,NA,11.8,10.6,NA,NA
1921,1,26,52,48.6,NA,NA,11.1,9.2,NA,NA
1921,1,27,53.3,49,NA,NA,11.8,9.4,NA,NA
1921,1,28,53.8,51.3,NA,NA,12.1,10.7,NA,NA
1921,1,29,53.5,50.3,NA,NA,11.9,10.2,NA,NA
1921,1,30,48,42.4,NA,NA,8.9,5.8,NA,NA
1921,1,31,46.4,36.6,NA,NA,8,2.6,NA,NA
1921,2,1,48.5,34,NA,NA,9.2,1.1,NA,NA
1921,2,2,50,39.4,NA,NA,10,4.1,NA,NA
1921,2,3,52.8,45.8,NA,NA,11.6,7.7,NA,NA
1921,2,4,52.2,44.4,NA,NA,11.2,6.9,NA,NA
1921,2,5,46.6,41.7,NA,NA,8.1,5.4,NA,NA
1921,2,6,48.7,42.2,NA,NA,9.3,5.7,NA,NA
1921,2,7,48,45.6,NA,NA,8.9,7.6,NA,NA
1921,2,8,47.6,41.7,NA,NA,8.7,5.4,NA,NA
1921,2,9,49.9,36.7,NA,NA,9.9,2.6,NA,NA
1921,2,10,48.5,33.3,NA,NA,9.2,0.7,NA,NA
1921,2,11,45.7,30.5,NA,NA,7.6,-0.8,NA,NA
1921,2,12,48.4,30.2,NA,NA,9.1,-1,NA,NA
1921,2,13,48.6,42.5,NA,NA,9.2,5.8,NA,NA
1921,2,14,50.8,43.6,NA,NA,10.4,6.4,NA,NA
1921,2,15,50.1,46.6,NA,NA,10.1,8.1,NA,NA
1921,2,16,50.6,48.1,NA,NA,10.3,8.9,NA,NA
1921,2,17,50.3,43.7,NA,NA,10.2,6.5,NA,NA
1921,2,18,50.7,43.5,NA,NA,10.4,6.4,NA,NA
1921,2,19,48.5,44.8,NA,NA,9.2,7.1,NA,NA
1921,2,20,45,44.5,NA,NA,7.2,6.9,NA,NA
1921,2,21,49.4,41.3,NA,NA,9.7,5.2,NA,NA
1921,2,22,51.3,42.8,NA,NA,10.7,6,NA,NA
1921,2,23,49.5,37.1,NA,NA,9.7,2.8,NA,NA
1921,2,24,48.1,41.6,NA,NA,8.9,5.3,NA,NA
1921,2,25,48.8,42,NA,NA,9.3,5.6,NA,NA
1921,2,26,50.5,36.5,NA,NA,10.3,2.5,NA,NA
1921,2,27,48.2,36.5,NA,NA,9,2.5,NA,NA
1921,2,28,49.9,42,NA,NA,9.9,5.6,NA,NA
1921,3,1,48.3,45.2,51.8,47,9.1,7.3,11,8.3
1921,3,2,45,38.6,47,40.2,7.2,3.7,8.3,4.6
1921,3,3,46,42,48.9,45.8,7.8,5.6,9.4,7.7
1921,3,4,50.3,48.5,53.1,48.9,10.2,9.2,11.7,9.4
1921,3,5,48.9,46.4,49.1,44.9,9.4,8,9.5,7.2
1921,3,6,46.2,43,45.3,41.3,7.9,6.1,7.4,5.2
1921,3,7,45.1,28.6,47.9,29,7.3,-1.9,8.8,-1.7
1921,3,8,47.6,42,50.6,42,8.7,5.6,10.3,5.6
1921,3,9,49.3,47.3,52.2,48.9,9.6,8.5,11.2,9.4
1921,3,10,49.5,45.3,51,39.8,9.7,7.4,10.6,4.3
1921,3,11,43.3,36,49.8,37.9,6.3,2.2,9.9,3.3
1921,3,12,46.6,42.6,53.6,43.7,8.1,5.9,12,6.5
1921,3,13,46.4,41.9,51.3,42.3,8,5.5,10.7,5.7
1921,3,14,44.2,38.3,47,39.7,6.8,3.5,8.3,4.3
1921,3,15,50.6,40.7,54.7,50.1,10.3,4.8,12.6,10.1
1921,3,16,52.9,47,49.8,43.8,11.6,8.3,9.9,6.6
1921,3,17,46.9,41.2,51.9,39,8.3,5.1,11.1,3.9
1921,3,18,44.9,37.5,47.6,41.9,7.2,3.1,8.7,5.5
1921,3,19,47.3,41.9,51.6,47,8.5,5.5,10.9,8.3
1921,3,20,51.7,46.8,50.2,48.1,10.9,8.2,10.1,8.9
1921,3,21,51,49.3,54.1,49.5,10.6,9.6,12.3,9.7
1921,3,22,51.9,44.8,51.9,45.1,11.1,7.1,11.1,7.3
1921,3,23,50.6,44.7,52,50,10.3,7.1,11.1,10
1921,3,24,51.6,50.3,51.1,50.1,10.9,10.2,10.6,10.1
1921,3,25,51,45.5,50,45.9,10.6,7.5,10,7.7
1921,3,26,47.5,39.3,48.5,43.4,8.6,4.1,9.2,6.3
1921,3,27,46.6,42.9,49.2,45.2,8.1,6.1,9.6,7.3
1921,3,28,50.5,45.3,51.3,43.1,10.3,7.4,10.7,6.2
1921,3,29,44.4,32.6,49.1,44,6.9,0.3,9.5,6.7
1921,3,30,47.6,45,51,44.7,8.7,7.2,10.6,7.1
1921,3,31,49.6,47.4,52.1,47.9,9.8,8.6,11.2,8.8
1921,4,1,50.8,47.1,51.6,47.1,10.4,8.4,10.9,8.4
1921,4,2,49.8,43.7,53.6,44,9.9,6.5,12,6.7
1921,4,3,48.6,46,51.5,45.7,9.2,7.8,10.8,7.6
1921,4,4,47.8,43.7,50.7,44.1,8.8,6.5,10.4,6.7
1921,4,5,49.9,47.8,52.8,49.8,9.9,8.8,11.6,9.9
1921,4,6,51.4,47.5,57,47.9,10.8,8.6,13.9,8.8
1921,4,7,53.6,40.1,60,40.9,12,4.5,15.6,4.9
1921,4,8,55.6,43.3,58.5,44.9,13.1,6.3,14.7,7.2
1921,4,9,51.5,38.5,55,39.3,10.8,3.6,12.8,4.1
1921,4,10,45.5,42.8,55.8,44.9,7.5,6,13.2,7.2
1921,4,11,52.9,46.6,61,46.9,11.6,8.1,16.1,8.3
1921,4,12,59.1,44.7,64.9,47.8,15.1,7.1,18.3,8.8
1921,4,13,56.6,40,52.9,43.7,13.7,4.4,11.6,6.5
1921,4,14,50.3,42,48.3,41,10.2,5.6,9.1,5
1921,4,15,45.3,35.5,46,37.2,7.4,1.9,7.8,2.9
1921,4,16,43.9,37,51,37.6,6.6,2.8,10.6,3.1
1921,4,17,47.3,39.9,51,41.2,8.5,4.4,10.6,5.1
1921,4,18,47.1,43.3,50,41.3,8.4,6.3,10,5.2
1921,4,19,47.7,33.4,50,36.6,8.7,0.8,10,2.6
1921,4,20,46.9,37.2,53.9,46.4,8.3,2.9,12.2,8
1921,4,21,50,45,50.8,45.9,10,7.2,10.4,7.7
1921,4,22,48.2,37,52.2,45.4,9,2.8,11.2,7.4
1921,4,23,52.2,47,50.8,46.4,11.2,8.3,10.4,8
1921,4,24,49,38.2,54.3,43.9,9.4,3.4,12.4,6.6
1921,4,25,49,47.3,53.2,48.9,9.4,8.5,11.8,9.4
1921,4,26,50.4,49.1,55,49,10.2,9.5,12.8,9.4
1921,4,27,52.9,48.8,61.6,50.2,11.6,9.3,16.4,10.1
1921,4,28,59.5,51.1,59.1,52.8,15.3,10.6,15.1,11.6
1921,4,29,59,45.2,59.2,45.6,15,7.3,15.1,7.6
1921,4,30,57,43.6,69,50.1,13.9,6.4,20.6,10.1
1921,5,1,57.7,43.6,63.6,47.5,14.3,6.4,17.6,8.6
1921,5,2,57.6,45.9,55,51,14.2,7.7,12.8,10.6
1921,5,3,52,39.4,51.3,43.5,11.1,4.1,10.7,6.4
1921,5,4,49,37.2,51,45.9,9.4,2.9,10.6,7.7
1921,5,5,48.3,36,52.2,45.2,9.1,2.2,11.2,7.3
1921,5,6,53.8,51,56.1,52,12.1,10.6,13.4,11.1
1921,5,7,55.6,47,56.7,50,13.1,8.3,13.7,10
1921,5,8,54.9,47.2,53.7,48.7,12.7,8.4,12.1,9.3
1921,5,9,51.7,46.3,53.1,47.4,10.9,7.9,11.7,8.6
1921,5,10,51.4,42.1,54.8,51.1,10.8,5.6,12.7,10.6
1921,5,11,54.8,50.7,55.1,51.8,12.7,10.4,12.8,11
1921,5,12,54.6,48.5,53.6,48.2,12.6,9.2,12,9
1921,5,13,53.8,43.5,56,51.5,12.1,6.4,13.3,10.8
1921,5,14,54.3,51.5,54.9,50.7,12.4,10.8,12.7,10.4
1921,5,15,53,46.8,54.4,48.6,11.7,8.2,12.4,9.2
1921,5,16,53.5,48,57.8,48.7,11.9,8.9,14.3,9.3
1921,5,17,50.7,46.6,52.9,47,10.4,8.1,11.6,8.3
1921,5,18,52.6,43.6,57.2,46.1,11.4,6.4,14,7.8
1921,5,19,52.2,49,54.9,51.3,11.2,9.4,12.7,10.7
1921,5,20,52.6,50.1,56.8,50.5,11.4,10.1,13.8,10.3
1921,5,21,54.7,51.2,58.8,53.3,12.6,10.7,14.9,11.8
1921,5,22,54,50.3,58.5,50.9,12.2,10.2,14.7,10.5
1921,5,23,57.8,53.5,63,55.3,14.3,11.9,17.2,12.9
1921,5,24,58.6,47.3,56.4,51.8,14.8,8.5,13.6,11
1921,5,25,53.6,47.4,60,50.9,12,8.6,15.6,10.5
1921,5,26,59.9,47.2,54.1,48.1,15.5,8.4,12.3,8.9
1921,5,27,51.6,44.8,52,45.3,10.9,7.1,11.1,7.4
1921,5,28,52,43,51.4,43.9,11.1,6.1,10.8,6.6
1921,5,29,50.6,42.2,55.2,46.5,10.3,5.7,12.9,8.1
1921,5,30,54,49.7,53.8,48.9,12.2,9.8,12.1,9.4
1921,5,31,53,47.8,53.2,46.1,11.7,8.8,11.8,7.8
1921,6,1,52,40.9,53.9,49.2,11.1,4.9,12.2,9.6
1921,6,2,53.2,43.7,57.4,50.1,11.8,6.5,14.1,10.1
1921,6,3,57,43.9,66.8,53,13.9,6.6,19.3,11.7
1921,6,4,65,46.2,68.4,54.8,18.3,7.9,20.2,12.7
1921,6,5,64,54,67.3,59,17.8,12.2,19.6,15
1921,6,6,65.3,51.9,70.1,58,18.5,11.1,21.2,14.4
1921,6,7,62.7,44.3,64.6,52.9,17.1,6.8,18.1,11.6
1921,6,8,58.1,52.9,60,54.3,14.5,11.6,15.6,12.4
1921,6,9,55.3,43.4,57.1,52.2,12.9,6.3,13.9,11.2
1921,6,10,55.2,48.2,56.7,51.5,12.9,9,13.7,10.8
1921,6,11,54,52.5,57.9,53.5,12.2,11.4,14.4,11.9
1921,6,12,56,45.5,58.2,54.3,13.3,7.5,14.6,12.4
1921,6,13,56.5,54,58.6,54.5,13.6,12.2,14.8,12.5
1921,6,14,56.1,53.4,65,53.9,13.4,11.9,18.3,12.2
1921,6,15,64.2,52.1,69.9,59.7,17.9,11.2,21.1,15.4
1921,6,16,67.1,50.2,70.3,58.6,19.5,10.1,21.3,14.8
1921,6,17,64.1,51.1,68.4,58.7,17.8,10.6,20.2,14.8
1921,6,18,68.2,50.6,63.8,57,20.1,10.3,17.7,13.9
1921,6,19,61.7,48.6,60,55,16.5,9.2,15.6,12.8
1921,6,20,59.7,53.3,58.2,53.8,15.4,11.8,14.6,12.1
1921,6,21,56.6,52.3,61.1,55.7,13.7,11.3,16.2,13.2
1921,6,22,59.3,49,61.1,55.4,15.2,9.4,16.2,13
1921,6,23,60.1,55.1,62.7,57.1,15.6,12.8,17.1,13.9
1921,6,24,61.2,49.1,70.4,57.8,16.2,9.5,21.3,14.3
1921,6,25,68.2,49.6,72.9,58.7,20.1,9.8,22.7,14.8
1921,6,26,67,57.8,64,58.5,19.4,14.3,17.8,14.7
1921,6,27,62.1,52.4,67,57.1,16.7,11.3,19.4,13.9
1921,6,28,64.8,58.9,71.1,60.2,18.2,14.9,21.7,15.7
1921,6,29,71,50.2,70.2,57.3,21.7,10.1,21.2,14.1
1921,6,30,69.8,49.6,69,58.5,21,9.8,20.6,14.7
1921,7,1,64.7,49.6,60.6,55.4,18.2,9.8,15.9,13
1921,7,2,58.7,46.9,62.4,55.2,14.8,8.3,16.9,12.9
1921,7,3,61.4,48,68.7,56,16.3,8.9,20.4,13.3
1921,7,4,66,46.1,68.9,56.5,18.9,7.8,20.5,13.6
1921,7,5,67.9,51.1,71.7,60.6,19.9,10.6,22.1,15.9
1921,7,6,68.7,58.9,68.9,61.9,20.4,14.9,20.5,16.6
1921,7,7,65.6,61,70.4,63.1,18.7,16.1,21.3,17.3
1921,7,8,66,64,71,64.9,18.9,17.8,21.7,18.3
1921,7,9,71.1,62.5,74.9,64.6,21.7,16.9,23.8,18.1
1921,7,10,73,53.2,76.7,62.7,22.8,11.8,24.8,17.1
1921,7,11,75.1,51.2,75,58.2,23.9,10.7,23.9,14.6
1921,7,12,73.2,55.9,84,61.9,22.9,13.3,28.9,16.6
1921,7,13,79.1,60.1,81.8,70.5,26.2,15.6,27.7,21.4
1921,7,14,73.9,64.2,71.8,66.3,23.3,17.9,22.1,19.1
1921,7,15,70.6,62.3,69.9,63.2,21.4,16.8,21.1,17.3
1921,7,16,69.7,60.7,71.6,62.6,20.9,15.9,22,17
