Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1850,10,1,58,55,14.4,12.8
1850,10,2,56,43,13.3,6.1
1850,10,3,58,43,14.4,6.1
1850,10,4,59,53,15,11.7
1850,10,5,55,45,12.8,7.2
1850,10,6,55,43,12.8,6.1
1850,10,7,53,45,11.7,7.2
1850,10,8,54,49,12.2,9.4
1850,10,9,50,42,10,5.6
1850,10,10,50,43,10,6.1
1850,10,11,46,41,7.8,5
1850,10,12,NA,42,NA,5.6
1850,10,13,NA,44,NA,6.7
1850,10,14,NA,48,NA,8.9
1850,10,15,NA,38,NA,3.3
1850,10,16,NA,47,NA,8.3
1850,10,17,NA,50,NA,10
1850,10,18,NA,50,NA,10
1850,10,19,NA,52,NA,11.1
1850,10,20,NA,43,NA,6.1
1850,10,21,NA,40,NA,4.4
1850,10,22,NA,36,NA,2.2
1850,10,23,NA,38,NA,3.3
1850,10,24,NA,39,NA,3.9
1850,10,25,NA,36,NA,2.2
1850,10,26,NA,40,NA,4.4
1850,10,27,NA,44,NA,6.7
1850,10,28,NA,41,NA,5
1850,10,29,NA,41,NA,5
1850,10,30,NA,52,NA,11.1
1850,10,31,NA,50,NA,10
1850,11,1,NA,54,NA,12.2
1850,11,2,NA,51,NA,10.6
1850,11,3,NA,47,NA,8.3
1850,11,4,NA,42,NA,5.6
1850,11,5,NA,44,NA,6.7
1850,11,6,NA,37,NA,2.8
1850,11,7,NA,51.7,NA,10.9
1850,11,8,NA,45,NA,7.2
1850,11,9,NA,44.1,NA,6.7
1850,11,10,NA,52,NA,11.1
1850,11,11,NA,53,NA,11.7
1850,11,12,NA,46,NA,7.8
1850,11,13,NA,41.8,NA,5.4
1850,11,14,NA,41,NA,5
1850,11,15,NA,44,NA,6.7
1850,11,16,NA,45,NA,7.2
1850,11,17,NA,43.3,NA,6.3
1850,11,18,NA,42,NA,5.6
1850,11,19,NA,44,NA,6.7
1850,11,20,NA,43,NA,6.1
1850,11,21,NA,40.1,NA,4.5
1850,11,22,NA,42.9,NA,6.1
1850,11,23,NA,44.2,NA,6.8
1850,11,24,NA,41.1,NA,5.1
1850,11,25,NA,44,NA,6.7
1850,11,26,NA,37,NA,2.8
1850,11,27,NA,32.1,NA,0.1
1850,11,28,NA,28.5,NA,-1.9
1850,11,29,NA,28.4,NA,-2
1850,11,30,NA,28.5,NA,-1.9
1850,12,1,NA,35,NA,1.7
1850,12,2,NA,35,NA,1.7
1850,12,3,NA,49.8,NA,9.9
1850,12,4,NA,45,NA,7.2
1850,12,5,NA,45,NA,7.2
1850,12,6,NA,45.8,NA,7.7
1850,12,7,NA,45.1,NA,7.3
1850,12,8,NA,43.9,NA,6.6
1850,12,9,NA,42,NA,5.6
1850,12,10,NA,43,NA,6.1
1850,12,11,NA,41,NA,5
1850,12,12,NA,41,NA,5
1850,12,13,NA,41,NA,5
1850,12,14,NA,38,NA,3.3
1850,12,15,NA,36,NA,2.2
1850,12,16,NA,36,NA,2.2
1850,12,17,NA,35,NA,1.7
1850,12,18,NA,31,NA,-0.6
1850,12,19,NA,31,NA,-0.6
1850,12,20,NA,30,NA,-1.1
1850,12,21,NA,35,NA,1.7
1850,12,22,NA,38,NA,3.3
1850,12,23,NA,37,NA,2.8
1850,12,24,NA,44,NA,6.7
1850,12,25,NA,39,NA,3.9
1850,12,26,NA,45,NA,7.2
1850,12,27,NA,45,NA,7.2
1850,12,28,NA,43,NA,6.1
1850,12,29,NA,43,NA,6.1
1850,12,30,NA,47,NA,8.3
1850,12,31,NA,42,NA,5.6
1851,1,1,NA,43,NA,6.1
1851,1,2,NA,40,NA,4.4
1851,1,3,NA,30,NA,-1.1
1851,1,4,NA,31,NA,-0.6
1851,1,5,NA,35,NA,1.7
1851,1,6,NA,32,NA,0
1851,1,7,NA,33,NA,0.6
1851,1,8,NA,34,NA,1.1
1851,1,9,NA,32,NA,0
1851,1,10,NA,38,NA,3.3
1851,1,11,NA,49,NA,9.4
1851,1,12,NA,42,NA,5.6
1851,1,13,NA,43,NA,6.1
1851,1,14,NA,42,NA,5.6
1851,1,15,NA,43,NA,6.1
1851,1,16,NA,37,NA,2.8
1851,1,17,NA,37,NA,2.8
1851,1,18,NA,37,NA,2.8
1851,1,19,51,40,10.6,4.4
1851,1,20,50,43,10,6.1
1851,1,21,50,34,10,1.1
1851,1,22,40,34,4.4,1.1
1851,1,23,44,37,6.7,2.8
1851,1,24,47,40,8.3,4.4
1851,1,25,47,35,8.3,1.7
1851,1,26,44,34,6.7,1.1
1851,1,27,42,35,5.6,1.7
1851,1,28,46,36,7.8,2.2
1851,1,29,51,36,10.6,2.2
1851,1,30,46,35,7.8,1.7
1851,1,31,39,33,3.9,0.6
1851,2,1,41,31,5,-0.6
1851,2,2,44,30,6.7,-1.1
1851,2,3,40,31,4.4,-0.6
1851,2,4,42,34,5.6,1.1
1851,2,5,47,36,8.3,2.2
1851,2,6,45,36,7.2,2.2
1851,2,7,49,37,9.4,2.8
1851,2,8,51,42,10.6,5.6
1851,2,9,47,36,8.3,2.2
1851,2,10,51,36,10.6,2.2
1851,2,11,54,45,12.2,7.2
1851,2,12,50,42,10,5.6
1851,2,13,44,36,6.7,2.2
1851,2,14,44,39,6.7,3.9
1851,2,15,48,40,8.9,4.4
1851,2,16,50,39,10,3.9
1851,2,17,47,40,8.3,4.4
1851,2,18,49,44,9.4,6.7
1851,2,19,52,48,11.1,8.9
1851,2,20,52,39,11.1,3.9
1851,2,21,47,33,8.3,0.6
1851,2,22,47,33,8.3,0.6
1851,2,23,47,37,8.3,2.8
