Year,Month,Day,Min (°F),Min (°C)
1865,9,1,59,15
1865,9,2,59,15
1865,9,3,57,13.9
1865,9,4,56,13.3
1865,9,5,58,14.4
1865,9,6,61.5,16.4
1865,9,7,58,14.4
1865,9,8,58.5,14.7
1865,9,9,64,17.8
1865,9,10,58,14.4
1865,9,11,59,15
1865,9,12,59,15
1865,9,13,58.5,14.7
1865,9,14,54,12.2
1865,9,15,61,16.1
1865,9,16,48,8.9
1865,9,17,55,12.8
1865,9,18,50,10
1865,9,19,57,13.9
1865,9,20,48,8.9
1865,9,21,49.5,9.7
1865,9,22,43.5,6.4
1865,9,23,42,5.6
1865,9,24,42,5.6
1865,9,25,49.5,9.7
1865,9,26,53.5,11.9
1865,9,27,46.5,8.1
1865,9,28,53.5,11.9
1865,9,29,52,11.1
1865,9,30,54,12.2
1865,10,1,52,11.1
1865,10,2,58,14.4
1865,10,3,53,11.7
1865,10,4,46.5,8.1
1865,10,5,40.5,4.7
1865,10,6,38.5,3.6
1865,10,7,46,7.8
1865,10,8,53,11.7
1865,10,9,53,11.7
1865,10,10,53,11.7
1865,10,11,52,11.1
1865,10,12,44,6.7
1865,10,13,44,6.7
1865,10,14,41.5,5.3
1865,10,15,45.5,7.5
1865,10,16,45,7.2
1865,10,17,44.5,6.9
1865,10,18,39.5,4.2
1865,10,19,36,2.2
1865,10,20,35.5,1.9
1865,10,21,35.5,1.9
1865,10,22,31,-0.6
1865,10,23,41,5
1865,10,24,43.5,6.4
1865,10,25,43,6.1
1865,10,26,39,3.9
1865,10,27,33.5,0.8
1865,10,28,38,3.3
1865,10,29,38,3.3
1865,10,30,38,3.3
1865,10,31,38,3.3
1865,11,1,40,4.4
1865,11,2,36.5,2.5
1865,11,3,36.5,2.5
1865,11,4,31.5,-0.3
1865,11,5,27,-2.8
1865,11,6,37,2.8
1865,11,7,34,1.1
1865,11,8,33,0.6
1865,11,9,42,5.6
1865,11,10,43.5,6.4
1865,11,11,41.5,5.3
1865,11,12,41,5
1865,11,13,36.5,2.5
1865,11,14,37.5,3.1
1865,11,15,38,3.3
1865,11,16,45.5,7.5
1865,11,17,39,3.9
1865,11,18,46.5,8.1
1865,11,19,36,2.2
1865,11,20,42.5,5.8
1865,11,21,NA,NA
1865,11,22,42.5,5.8
1865,11,23,41.5,5.3
1865,11,24,35.5,1.9
1865,11,25,35.5,1.9
1865,11,26,34.5,1.4
1865,11,27,39.5,4.2
1865,11,28,NA,NA
1865,11,29,38,3.3
1865,11,30,41,5
1865,12,1,41,5
1865,12,2,42,5.6
1865,12,3,41.5,5.3
1865,12,4,33,0.6
1865,12,5,42.5,5.8
1865,12,6,36,2.2
1865,12,7,48,8.9
1865,12,8,46,7.8
1865,12,9,44.5,6.9
1865,12,10,46,7.8
1865,12,11,51,10.6
1865,12,12,54,12.2
1865,12,13,53,11.7
1865,12,14,52,11.1
1865,12,15,36,2.2
1865,12,16,40,4.4
1865,12,17,43.5,6.4
1865,12,18,41,5
1865,12,19,41,5
1865,12,20,36,2.2
1865,12,21,42.5,5.8
1865,12,22,39,3.9
1865,12,23,50,10
1865,12,24,45,7.2
1865,12,25,42,5.6
1865,12,26,40.5,4.7
1865,12,27,37,2.8
1865,12,28,40,4.4
1865,12,29,38,3.3
1865,12,30,33,0.6
1865,12,31,36,2.2
1866,1,1,33,0.6
1866,1,2,33,0.6
1866,1,3,36.5,2.5
1866,1,4,39.5,4.2
1866,1,5,31,-0.6
1866,1,6,32.5,0.3
1866,1,7,35,1.7
1866,1,8,37.5,3.1
1866,1,9,34.5,1.4
1866,1,10,34,1.1
1866,1,11,28,-2.2
1866,1,12,27.5,-2.5
1866,1,13,35,1.7
1866,1,14,48.5,9.2
1866,1,15,37,2.8
1866,1,16,38.5,3.6
1866,1,17,39.5,4.2
1866,1,18,47,8.3
1866,1,19,40,4.4
1866,1,20,39,3.9
1866,1,21,40,4.4
1866,1,22,37,2.8
1866,1,23,39.5,4.2
1866,1,24,42,5.6
1866,1,25,44,6.7
1866,1,26,46,7.8
1866,1,27,45,7.2
1866,1,28,44.5,6.9
1866,1,29,32.5,0.3
1866,1,30,31,-0.6
1866,1,31,40,4.4
1866,2,1,42,5.6
1866,2,2,40,4.4
1866,2,3,37.5,3.1
1866,2,4,36.5,2.5
1866,2,5,37,2.8
1866,2,6,43.5,6.4
1866,2,7,37,2.8
1866,2,8,34,1.1
1866,2,9,38,3.3
1866,2,10,33.5,0.8
1866,2,11,32.5,0.3
1866,2,12,33,0.6
1866,2,13,28,-2.2
1866,2,14,26,-3.3
1866,2,15,34.5,1.4
1866,2,16,31,-0.6
1866,2,17,31.5,-0.3
1866,2,18,25,-3.9
1866,2,19,32.5,0.3
1866,2,20,29.5,-1.4
1866,2,21,29,-1.7
1866,2,22,41,5
1866,2,23,42,5.6
1866,2,24,33,0.6
1866,2,25,32.5,0.3
1866,2,26,32,0
1866,2,27,34,1.1
1866,2,28,30,-1.1
1866,3,1,28,-2.2
1866,3,2,22,-5.6
1866,3,3,34,1.1
1866,3,4,29,-1.7
1866,3,5,27,-2.8
1866,3,6,28,-2.2
1866,3,7,30,-1.1
1866,3,8,37,2.8
1866,3,9,32,0
1866,3,10,40,4.4
1866,3,11,43,6.1
1866,3,12,41,5
1866,3,13,38,3.3
1866,3,14,32.5,0.3
1866,3,15,33,0.6
1866,3,16,37,2.8
1866,3,17,42,5.6
1866,3,18,41,5
1866,3,19,39,3.9
1866,3,20,35,1.7
1866,3,21,31.5,-0.3
1866,3,22,26,-3.3
1866,3,23,36,2.2
1866,3,24,40,4.4
1866,3,25,37,2.8
1866,3,26,46,7.8
1866,3,27,43,6.1
1866,3,28,48,8.9
1866,3,29,51,10.6
1866,3,30,45,7.2
1866,3,31,36.5,2.5
1866,4,1,38,3.3
1866,4,2,39,3.9
1866,4,3,35,1.7
1866,4,4,37,2.8
1866,4,5,34,1.1
1866,4,6,31,-0.6
1866,4,7,36.5,2.5
1866,4,8,35,1.7
1866,4,9,35,1.7
1866,4,10,42,5.6
1866,4,11,43,6.1
1866,4,12,45,7.2
1866,4,13,43,6.1
1866,4,14,44.5,6.9
1866,4,15,40.5,4.7
1866,4,16,46,7.8
1866,4,17,44,6.7
1866,4,18,43.5,6.4
1866,4,19,46.5,8.1
1866,4,20,40,4.4
1866,4,21,42,5.6
1866,4,22,51,10.6
1866,4,23,45,7.2
1866,4,24,40.5,4.7
1866,4,25,40.5,4.7
1866,4,26,42.5,5.8
1866,4,27,42.5,5.8
1866,4,28,49,9.4
1866,4,29,35,1.7
