Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1843,1,1,52,33,11.1,0.6
1843,1,2,40,34,4.4,1.1
1843,1,3,43,32,6.1,0
1843,1,4,46,29,7.8,-1.7
1843,1,5,40,35,4.4,1.7
1843,1,6,47,35,8.3,1.7
1843,1,7,48,39,8.9,3.9
1843,1,8,44,32,6.7,0
1843,1,9,41,30,5,-1.1
1843,1,10,44,32,6.7,0
1843,1,11,36,29,2.2,-1.7
1843,1,12,36,29,2.2,-1.7
1843,1,13,38,31,3.3,-0.6
1843,1,14,37,30,2.8,-1.1
1843,1,15,35,26,1.7,-3.3
1843,1,16,37,26,2.8,-3.3
1843,1,17,44,30,6.7,-1.1
1843,1,18,48,42,8.9,5.6
1843,1,19,49,42,9.4,5.6
1843,1,20,48,41,8.9,5
1843,1,21,46,38,7.8,3.3
1843,1,22,48,42,8.9,5.6
1843,1,23,49,40,9.4,4.4
1843,1,24,49,44,9.4,6.7
1843,1,25,49,41,9.4,5
1843,1,26,49,46,9.4,7.8
1843,1,27,52,46,11.1,7.8
1843,1,28,53,49,11.7,9.4
1843,1,29,52,44,11.1,6.7
1843,1,30,53,46,11.7,7.8
1843,1,31,48,48,8.9,8.9
1843,2,1,49,39,9.4,3.9
1843,2,2,47,36,8.3,2.2
1843,2,3,41,35,5,1.7
1843,2,4,40,25,4.4,-3.9
1843,2,5,39,32,3.9,0
1843,2,6,40,33,4.4,0.6
1843,2,7,43,33,6.1,0.6
1843,2,8,43,40,6.1,4.4
1843,2,9,43,38,6.1,3.3
1843,2,10,42,35,5.6,1.7
1843,2,11,40,35,4.4,1.7
1843,2,12,40,34,4.4,1.1
1843,2,13,42,36,5.6,2.2
1843,2,14,40,33,4.4,0.6
1843,2,15,35,24,1.7,-4.4
1843,2,16,32,21,0,-6.1
1843,2,17,36,25,2.2,-3.9
1843,2,18,39,30,3.9,-1.1
1843,2,19,40,32,4.4,0
1843,2,20,40,34,4.4,1.1
1843,2,21,45,37,7.2,2.8
1843,2,22,47,39,8.3,3.9
1843,2,23,42,38,5.6,3.3
1843,2,24,45,40,7.2,4.4
1843,2,25,47,41,8.3,5
1843,2,26,41,35,5,1.7
1843,2,27,39,35,3.9,1.7
1843,2,28,41,35,5,1.7
1843,3,1,43,34,6.1,1.1
1843,3,2,45,28,7.2,-2.2
1843,3,3,44,32,6.7,0
1843,3,4,42,27,5.6,-2.8
1843,3,5,39,33,3.9,0.6
1843,3,6,41,32,5,0
1843,3,7,42,33,5.6,0.6
1843,3,8,43,30,6.1,-1.1
1843,3,9,43,39,6.1,3.9
1843,3,10,42,35,5.6,1.7
1843,3,11,42,35,5.6,1.7
1843,3,12,55,44,12.8,6.7
1843,3,13,54,38,12.2,3.3
1843,3,14,47,39,8.3,3.9
1843,3,15,46,38,7.8,3.3
1843,3,16,48,39,8.9,3.9
1843,3,17,57,40,13.9,4.4
1843,3,18,56,41,13.3,5
1843,3,19,54,42,12.2,5.6
1843,3,20,53,41,11.7,5
1843,3,21,55,46,12.8,7.8
1843,3,22,59,46,15,7.8
1843,3,23,59,45,15,7.2
1843,3,24,55,46,12.8,7.8
1843,3,25,52,45,11.1,7.2
1843,3,26,53,39,11.7,3.9
1843,3,27,53,38,11.7,3.3
1843,3,28,53,37,11.7,2.8
1843,3,29,53,37,11.7,2.8
1843,3,30,52,39,11.1,3.9
1843,3,31,57,45,13.9,7.2
1843,4,1,59,47,15,8.3
1843,4,2,58,46,14.4,7.8
1843,4,3,62,44,16.7,6.7
1843,4,4,58,40,14.4,4.4
1843,4,5,58,47,14.4,8.3
1843,4,6,64,47,17.8,8.3
1843,4,7,56,46,13.3,7.8
1843,4,8,61,42,16.1,5.6
1843,4,9,59,42,15,5.6
1843,4,10,46,32,7.8,0
1843,4,11,49,33,9.4,0.6
1843,4,12,50,33,10,0.6
1843,4,13,54,32,12.2,0
1843,4,14,53,40,11.7,4.4
1843,4,15,61,42,16.1,5.6
1843,4,16,54,44,12.2,6.7
1843,4,17,67,40,19.4,4.4
1843,4,18,62,44,16.7,6.7
1843,4,19,64,48,17.8,8.9
1843,4,20,67,48,19.4,8.9
1843,4,21,65,46,18.3,7.8
1843,4,22,54,44,12.2,6.7
1843,4,23,55,40,12.8,4.4
1843,4,24,62,42,16.7,5.6
1843,4,25,53,46,11.7,7.8
1843,4,26,53,35,11.7,1.7
1843,4,27,58,36,14.4,2.2
1843,4,28,58,41,14.4,5
1843,4,29,55,42,12.8,5.6
1843,4,30,63,43,17.2,6.1
1843,5,1,66,43,18.9,6.1
1843,5,2,67,47,19.4,8.3
1843,5,3,69,44,20.6,6.7
1843,5,4,63,42,17.2,5.6
1843,5,5,64,37,17.8,2.8
1843,5,6,60,38,15.6,3.3
1843,5,7,58,41,14.4,5
1843,5,8,59,42,15,5.6
1843,5,9,62,42,16.7,5.6
1843,5,10,67,46,19.4,7.8
1843,5,11,62,45,16.7,7.2
1843,5,12,64,50,17.8,10
1843,5,13,62,50,16.7,10
1843,5,14,67,43,19.4,6.1
1843,5,15,64,49,17.8,9.4
1843,5,16,67,49,19.4,9.4
1843,5,17,54,47,12.2,8.3
1843,5,18,60,44,15.6,6.7
1843,5,19,66,46,18.9,7.8
1843,5,20,64,45,17.8,7.2
1843,5,21,51,46,10.6,7.8
1843,5,22,55,47,12.8,8.3
1843,5,23,59,47,15,8.3
1843,5,24,62,43,16.7,6.1
1843,5,25,60,44,15.6,6.7
1843,5,26,63,50,17.2,10
1843,5,27,60,48,15.6,8.9
1843,5,28,60,48,15.6,8.9
1843,5,29,62,45,16.7,7.2
1843,5,30,63,46,17.2,7.8
1843,5,31,62,50,16.7,10
1843,6,1,65,54,18.3,12.2
1843,6,2,63,52,17.2,11.1
1843,6,3,62,50,16.7,10
1843,6,4,53,45,11.7,7.2
1843,6,5,54,44,12.2,6.7
1843,6,6,54,42,12.2,5.6
1843,6,7,59,46,15,7.8
1843,6,8,59,49,15,9.4
1843,6,9,61,49,16.1,9.4
1843,6,10,62,48,16.7,8.9
1843,6,11,63,49,17.2,9.4
1843,6,12,63,45,17.2,7.2
1843,6,13,71,50,21.7,10
1843,6,14,70,49,21.1,9.4
1843,6,15,65,53,18.3,11.7
1843,6,16,65,53,18.3,11.7
1843,6,17,72,51,22.2,10.6
1843,6,18,70,53,21.1,11.7
1843,6,19,80,57,26.7,13.9
1843,6,20,72,51,22.2,10.6
1843,6,21,74,55,23.3,12.8
1843,6,22,65,55,18.3,12.8
1843,6,23,69,49,20.6,9.4
1843,6,24,74,52,23.3,11.1
1843,6,25,80,56,26.7,13.3
1843,6,26,74,52,23.3,11.1
1843,6,27,75,50,23.9,10
1843,6,28,78,55,25.6,12.8
1843,6,29,77,50,25,10
1843,6,30,65,52,18.3,11.1
1843,7,1,68,55,20,12.8
1843,7,2,72,56,22.2,13.3
1843,7,3,73,57,22.8,13.9
1843,7,4,74,54,23.3,12.2
1843,7,5,74,53,23.3,11.7
1843,7,6,63,52,17.2,11.1
1843,7,7,70,53,21.1,11.7
1843,7,8,70,54,21.1,12.2
1843,7,9,63,51,17.2,10.6
1843,7,10,71,54,21.7,12.2
1843,7,11,69,49,20.6,9.4
1843,7,12,71,53,21.7,11.7
1843,7,13,67,56,19.4,13.3
1843,7,14,68,53,20,11.7
1843,7,15,65,58,18.3,14.4
1843,7,16,70,53,21.1,11.7
1843,7,17,71,58,21.7,14.4
1843,7,18,76,58,24.4,14.4
1843,7,19,74,54,23.3,12.2
1843,7,20,79,50,26.1,10
1843,7,21,65,53,18.3,11.7
1843,7,22,65,55,18.3,12.8
1843,7,23,66,50,18.9,10
1843,7,24,69,48,20.6,8.9
1843,7,25,69,54,20.6,12.2
1843,7,26,72,61,22.2,16.1
1843,7,27,72,54,22.2,12.2
1843,7,28,67,53,19.4,11.7
1843,7,29,66,55,18.9,12.8
1843,7,30,68,52,20,11.1
1843,7,31,68,52,20,11.1
1843,8,1,66,57,18.9,13.9
1843,8,2,70,56,21.1,13.3
1843,8,3,70,54,21.1,12.2
1843,8,4,68,53,20,11.7
1843,8,5,64,51,17.8,10.6
1843,8,6,75,54,23.9,12.2
1843,8,7,74,62,23.3,16.7
1843,8,8,70,54,21.1,12.2
1843,8,9,73,50,22.8,10
1843,8,10,74,55,23.3,12.8
1843,8,11,77,55,25,12.8
1843,8,12,73,55,22.8,12.8
1843,8,13,73,55,22.8,12.8
1843,8,14,73,54,22.8,12.2
1843,8,15,67,57,19.4,13.9
1843,8,16,65,57,18.3,13.9
1843,8,17,74,54,23.3,12.2
1843,8,18,78,57,25.6,13.9
1843,8,19,78,56,25.6,13.3
1843,8,20,78,57,25.6,13.9
1843,8,21,71,54,21.7,12.2
1843,8,22,74,44,23.3,6.7
1843,8,23,73,45,22.8,7.2
1843,8,24,71,56,21.7,13.3
1843,8,25,70,56,21.1,13.3
1843,8,26,71,58,21.7,14.4
1843,8,27,71,54,21.7,12.2
1843,8,28,72,56,22.2,13.3
1843,8,29,71,54,21.7,12.2
1843,8,30,70,50,21.1,10
1843,8,31,73,52,22.8,11.1
1843,9,1,72,48,22.2,8.9
1843,9,2,72,68,22.2,20
1843,9,3,74,61,23.3,16.1
1843,9,4,74,51,23.3,10.6
1843,9,5,73,48,22.8,8.9
1843,9,6,74,49,23.3,9.4
1843,9,7,76,50,24.4,10
1843,9,8,80,56,26.7,13.3
1843,9,9,76,58,24.4,14.4
1843,9,10,75,59,23.9,15
1843,9,11,67,53,19.4,11.7
1843,9,12,70,46,21.1,7.8
1843,9,13,72,51,22.2,10.6
1843,9,14,66,50,18.9,10
1843,9,15,66,57,18.9,13.9
1843,9,16,65,57,18.3,13.9
1843,9,17,64,57,17.8,13.9
1843,9,18,68,55,20,12.8
1843,9,19,70,55,21.1,12.8
1843,9,20,69,53,20.6,11.7
1843,9,21,69,58,20.6,14.4
1843,9,22,67,56,19.4,13.3
1843,9,23,64,45,17.8,7.2
1843,9,24,61,53,16.1,11.7
1843,9,25,62,48,16.7,8.9
1843,9,26,60,46,15.6,7.8
1843,9,27,57,41,13.9,5
1843,9,28,54,35,12.2,1.7
1843,9,29,54,45,12.2,7.2
1843,9,30,62,48,16.7,8.9
1843,10,1,63,56,17.2,13.3
1843,10,2,64,51,17.8,10.6
1843,10,3,61,49,16.1,9.4
1843,10,4,62,53,16.7,11.7
1843,10,5,69,52,20.6,11.1
1843,10,6,68,57,20,13.9
1843,10,7,70,57,21.1,13.9
1843,10,8,64,61,17.8,16.1
1843,10,9,66,44,18.9,6.7
1843,10,10,58,40,14.4,4.4
1843,10,11,56,46,13.3,7.8
1843,10,12,54,38,12.2,3.3
1843,10,13,50,37,10,2.8
1843,10,14,50,32,10,0
1843,10,15,49,33,9.4,0.6
1843,10,16,49,33,9.4,0.6
1843,10,17,46,30,7.8,-1.1
1843,10,18,46,35,7.8,1.7
1843,10,19,45,30,7.2,-1.1
1843,10,20,66,30,18.9,-1.1
1843,10,21,52,40,11.1,4.4
1843,10,22,55,44,12.8,6.7
1843,10,23,58,46,14.4,7.8
1843,10,24,55,48,12.8,8.9
1843,10,25,54,37,12.2,2.8
1843,10,26,47,34,8.3,1.1
1843,10,27,47,31,8.3,-0.6
1843,10,28,46,31,7.8,-0.6
1843,10,29,46,31,7.8,-0.6
1843,10,30,44,32,6.7,0
1843,10,31,44,30,6.7,-1.1
1843,11,1,45,33,7.2,0.6
1843,11,2,48,31,8.9,-0.6
1843,11,3,52,42,11.1,5.6
1843,11,4,55,43,12.8,6.1
1843,11,5,54,35,12.2,1.7
1843,11,6,57,43,13.9,6.1
1843,11,7,55,45,12.8,7.2
1843,11,8,50,37,10,2.8
1843,11,9,43,32,6.1,0
1843,11,10,49,41,9.4,5
1843,11,11,52,44,11.1,6.7
1843,11,12,49,44,9.4,6.7
1843,11,13,48,37,8.9,2.8
1843,11,14,45,35,7.2,1.7
1843,11,15,44,31,6.7,-0.6
1843,11,16,44,35,6.7,1.7
1843,11,17,50,40,10,4.4
1843,11,18,48,37,8.9,2.8
1843,11,19,44,34,6.7,1.1
1843,11,20,48,34,8.9,1.1
1843,11,21,50,42,10,5.6
1843,11,22,54,40,12.2,4.4
1843,11,23,40,38,4.4,3.3
1843,11,24,46,34,7.8,1.1
1843,11,25,44,32,6.7,0
1843,11,26,53,42,11.7,5.6
1843,11,27,54,48,12.2,8.9
1843,11,28,51,44,10.6,6.7
1843,11,29,54,39,12.2,3.9
1843,11,30,52,39,11.1,3.9
1843,12,1,51,39,10.6,3.9
1843,12,2,50,39,10,3.9
1843,12,3,51,44,10.6,6.7
1843,12,4,52,43,11.1,6.1
1843,12,5,52,45,11.1,7.2
1843,12,6,51,41,10.6,5
1843,12,7,53,43,11.7,6.1
1843,12,8,53,44,11.7,6.7
1843,12,9,49,45,9.4,7.2
1843,12,10,52,46,11.1,7.8
1843,12,11,49,36,9.4,2.2
1843,12,12,50,45,10,7.2
1843,12,13,50,43,10,6.1
1843,12,14,51,45,10.6,7.2
1843,12,15,57,47,13.9,8.3
1843,12,16,50,48,10,8.9
1843,12,17,54,45,12.2,7.2
1843,12,18,50,43,10,6.1
1843,12,19,49,44,9.4,6.7
1843,12,20,52,46,11.1,7.8
1843,12,21,53,41,11.7,5
1843,12,22,55,42,12.8,5.6
1843,12,23,54,45,12.2,7.2
1843,12,24,57,53,13.9,11.7
1843,12,25,56,48,13.3,8.9
1843,12,26,51,41,10.6,5
1843,12,27,50,42,10,5.6
1843,12,28,51,47,10.6,8.3
1843,12,29,50,46,10,7.8
1843,12,30,46,44,7.8,6.7
1843,12,31,50,43,10,6.1
1844,1,1,50,31,10,-0.6
1844,1,2,36,29,2.2,-1.7
1844,1,3,35,26,1.7,-3.3
1844,1,4,48,30,8.9,-1.1
1844,1,5,54,47,12.2,8.3
1844,1,6,43,40,6.1,4.4
1844,1,7,47,35,8.3,1.7
1844,1,8,42,31,5.6,-0.6
1844,1,9,47,36,8.3,2.2
1844,1,10,51,38,10.6,3.3
1844,1,11,46,36,7.8,2.2
1844,1,12,47,39,8.3,3.9
1844,1,13,45,35,7.2,1.7
1844,1,14,42,35,5.6,1.7
1844,1,15,40,29,4.4,-1.7
1844,1,16,37,29,2.8,-1.7
1844,1,17,43,36,6.1,2.2
1844,1,18,49,44,9.4,6.7
1844,1,19,45,41,7.2,5
1844,1,20,44,40,6.7,4.4
1844,1,21,45,42,7.2,5.6
1844,1,22,45,41,7.2,5
1844,1,23,46,32,7.8,0
1844,1,24,57,53,13.9,11.7
1844,1,25,50,41,10,5
1844,1,26,52,45,11.1,7.2
1844,1,27,49,41,9.4,5
1844,1,28,50,45,10,7.2
1844,1,29,49,41,9.4,5
1844,1,30,52,41,11.1,5
1844,1,31,47,35,8.3,1.7
1844,2,1,43,36,6.1,2.2
1844,2,2,41,35,5,1.7
1844,2,3,35,30,1.7,-1.1
1844,2,4,42,35,5.6,1.7
1844,2,5,43,34,6.1,1.1
1844,2,6,42,31,5.6,-0.6
1844,2,7,43,36,6.1,2.2
1844,2,8,42,31,5.6,-0.6
1844,2,9,40,30,4.4,-1.1
1844,2,10,41,30,5,-1.1
1844,2,11,39,29,3.9,-1.7
1844,2,12,43,31,6.1,-0.6
1844,2,13,44,36,6.7,2.2
1844,2,14,47,40,8.3,4.4
1844,2,15,57,45,13.9,7.2
1844,2,16,48,39,8.9,3.9
1844,2,17,47,39,8.3,3.9
1844,2,18,50,44,10,6.7
1844,2,19,51,38,10.6,3.3
1844,2,20,44,37,6.7,2.8
1844,2,21,39,30,3.9,-1.1
1844,2,22,37,33,2.8,0.6
1844,2,23,38,26,3.3,-3.3
