Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1862,12,1,43,39,6.1,3.9
1862,12,2,46,42,7.8,5.6
1862,12,3,47,45,8.3,7.2
1862,12,4,50,46,10,7.8
1862,12,5,52,50,11.1,10
1862,12,6,52,48,11.1,8.9
1862,12,7,53,46,11.7,7.8
1862,12,8,46,37,7.8,2.8
1862,12,9,48,37,8.9,2.8
1862,12,10,51,40,10.6,4.4
1862,12,11,44,39,6.7,3.9
1862,12,12,41,32,5,0
1862,12,13,46,34,7.8,1.1
1862,12,14,43,33,6.1,0.6
1862,12,15,47,36,8.3,2.2
1862,12,16,50,43,10,6.1
1862,12,17,51,34,10.6,1.1
1862,12,18,48,35,8.9,1.7
1862,12,19,52,46,11.1,7.8
1862,12,20,45,37,7.2,2.8
1862,12,21,40,37,4.4,2.8
1862,12,22,42,37,5.6,2.8
1862,12,23,50,38,10,3.3
1862,12,24,48,42,8.9,5.6
1862,12,25,49,41,9.4,5
1862,12,26,47,42,8.3,5.6
1862,12,27,49,41,9.4,5
1862,12,28,50,42,10,5.6
1862,12,29,49,43,9.4,6.1
1862,12,30,45,37,7.2,2.8
1862,12,31,42,32,5.6,0
1863,1,1,50,36,10,2.2
1863,1,2,51,37,10.6,2.8
1863,1,3,41,31,5,-0.6
1863,1,4,39,34,3.9,1.1
1863,1,5,41,32,5,0
1863,1,6,39,30,3.9,-1.1
1863,1,7,38,33,3.3,0.6
1863,1,8,40,33,4.4,0.6
1863,1,9,40,35,4.4,1.7
1863,1,10,40,35,4.4,1.7
1863,1,11,41,29,5,-1.7
1863,1,12,42,33,5.6,0.6
1863,1,13,41,33,5,0.6
1863,1,14,42,32,5.6,0
1863,1,15,41,32,5,0
1863,1,16,44,36,6.7,2.2
1863,1,17,43,35,6.1,1.7
1863,1,18,45,39,7.2,3.9
1863,1,19,48,35,8.9,1.7
1863,1,20,48,33,8.9,0.6
1863,1,21,41,30,5,-1.1
1863,1,22,49,39,9.4,3.9
1863,1,23,51,40,10.6,4.4
1863,1,24,42,34,5.6,1.1
1863,1,25,43,34,6.1,1.1
1863,1,26,48,43,8.9,6.1
1863,1,27,54,37,12.2,2.8
1863,1,28,44,32,6.7,0
1863,1,29,50,43,10,6.1
1863,1,30,50,45,10,7.2
1863,1,31,51,35,10.6,1.7
1863,2,1,45,37,7.2,2.8
1863,2,2,48,38,8.9,3.3
1863,2,3,48,35,8.9,1.7
1863,2,4,47,33,8.3,0.6
1863,2,5,49,41,9.4,5
1863,2,6,53,48,11.7,8.9
1863,2,7,50,45,10,7.2
1863,2,8,52,35,11.1,1.7
1863,2,9,45,32,7.2,0
1863,2,10,47,36,8.3,2.2
1863,2,11,51,43,10.6,6.1
1863,2,12,50,31,10,-0.6
1863,2,13,46,27,7.8,-2.8
1863,2,14,45,37,7.2,2.8
1863,2,15,43,35,6.1,1.7
1863,2,16,46,32,7.8,0
1863,2,17,45,39,7.2,3.9
1863,2,18,49,43,9.4,6.1
1863,2,19,50,39,10,3.9
1863,2,20,47,39,8.3,3.9
1863,2,21,47,36,8.3,2.2
1863,2,22,49,33,9.4,0.6
1863,2,23,47,39,8.3,3.9
1863,2,24,48,42,8.9,5.6
1863,2,25,48,42,8.9,5.6
1863,2,26,52,45,11.1,7.2
1863,2,27,51,47,10.6,8.3
1863,2,28,50,45,10,7.2
1863,3,1,50,45,10,7.2
1863,3,2,51,45,10.6,7.2
1863,3,3,51,48,10.6,8.9
1863,3,4,52,41,11.1,5
1863,3,5,50,44,10,6.7
1863,3,6,48,38,8.9,3.3
1863,3,7,48,33,8.9,0.6
1863,3,8,43,33,6.1,0.6
1863,3,9,43,27,6.1,-2.8
1863,3,10,43,34,6.1,1.1
1863,3,11,41,30,5,-1.1
1863,3,12,45,37,7.2,2.8
1863,3,13,46,37,7.8,2.8
1863,3,14,43,32,6.1,0
1863,3,15,48,36,8.9,2.2
1863,3,16,48,33,8.9,0.6
1863,3,17,48,29,8.9,-1.7
1863,3,18,50,39,10,3.9
1863,3,19,48,32,8.9,0
1863,3,20,49,45,9.4,7.2
1863,3,21,51,40,10.6,4.4
1863,3,22,57,45,13.9,7.2
1863,3,23,59,47,15,8.3
1863,3,24,58,47,14.4,8.3
1863,3,25,59,46,15,7.8
1863,3,26,51,45,10.6,7.2
1863,3,27,58,34,14.4,1.1
1863,3,28,53,46,11.7,7.8
1863,3,29,56,46,13.3,7.8
1863,3,30,54,44,12.2,6.7
1863,3,31,55,45,12.8,7.2
1863,4,1,53,45,11.7,7.2
1863,4,2,53,46,11.7,7.8
1863,4,3,58,43,14.4,6.1
1863,4,4,57,44,13.9,6.7
1863,4,5,51,45,10.6,7.2
1863,4,6,53,38,11.7,3.3
1863,4,7,50,32,10,0
1863,4,8,47,34,8.3,1.1
1863,4,9,58,46,14.4,7.8
1863,4,10,56,37,13.3,2.8
1863,4,11,56,37,13.3,2.8
1863,4,12,54,36,12.2,2.2
1863,4,13,56,44,13.3,6.7
1863,4,14,56,44,13.3,6.7
1863,4,15,53,42,11.7,5.6
1863,4,16,55,46,12.8,7.8
1863,4,17,58,36,14.4,2.2
1863,4,18,58,36,14.4,2.2
1863,4,19,57,39,13.9,3.9
1863,4,20,58,35,14.4,1.7
1863,4,21,58,41,14.4,5
1863,4,22,59,44,15,6.7
1863,4,23,57,37,13.9,2.8
1863,4,24,58,35,14.4,1.7
1863,4,25,58,48,14.4,8.9
1863,4,26,61,38,16.1,3.3
1863,4,27,67,45,19.4,7.2
1863,4,28,56,40,13.3,4.4
1863,4,29,54,39,12.2,3.9
1863,4,30,53,36,11.7,2.2
1863,5,1,54,42,12.2,5.6
1863,5,2,60,46,15.6,7.8
1863,5,3,60,43,15.6,6.1
1863,5,4,58,48,14.4,8.9
1863,5,5,63,46,17.2,7.8
1863,5,6,58,43,14.4,6.1
1863,5,7,60,42,15.6,5.6
1863,5,8,62,37,16.7,2.8
1863,5,9,65,38,18.3,3.3
1863,5,10,59,39,15,3.9
1863,5,11,56,39,13.3,3.9
1863,5,12,53,47,11.7,8.3
1863,5,13,54,46,12.2,7.8
1863,5,14,56,45,13.3,7.2
1863,5,15,56,45,13.3,7.2
1863,5,16,59,43,15,6.1
1863,5,17,57,43,13.9,6.1
1863,5,18,58,44,14.4,6.7
1863,5,19,58,44,14.4,6.7
1863,5,20,50,44,10,6.7
1863,5,21,55,46,12.8,7.8
1863,5,22,56,41,13.3,5
1863,5,23,55,41,12.8,5
1863,5,24,58,36,14.4,2.2
1863,5,25,63,43,17.2,6.1
1863,5,26,65,42,18.3,5.6
1863,5,27,62,46,16.7,7.8
1863,5,28,66,44,18.9,6.7
1863,5,29,73,56,22.8,13.3
1863,5,30,71,57,21.7,13.9
1863,5,31,65,55,18.3,12.8
1863,6,1,72,57,22.2,13.9
1863,6,2,68,53,20,11.7
1863,6,3,63,50,17.2,10
1863,6,4,65,44,18.3,6.7
1863,6,5,63,44,17.2,6.7
1863,6,6,63,49,17.2,9.4
1863,6,7,59,50,15,10
1863,6,8,60,48,15.6,8.9
1863,6,9,62,43,16.7,6.1
1863,6,10,58,43,14.4,6.1
1863,6,11,63,42,17.2,5.6
1863,6,12,63,46,17.2,7.8
1863,6,13,59,43,15,6.1
1863,6,14,65,51,18.3,10.6
1863,6,15,69,54,20.6,12.2
1863,6,16,69,55,20.6,12.8
1863,6,17,65,52,18.3,11.1
1863,6,18,68,47,20,8.3
1863,6,19,66,53,18.9,11.7
1863,6,20,66,52,18.9,11.1
1863,6,21,72,54,22.2,12.2
1863,6,22,63,51,17.2,10.6
1863,6,23,66,49,18.9,9.4
1863,6,24,66,48,18.9,8.9
1863,6,25,67,47,19.4,8.3
1863,6,26,67,49,19.4,9.4
1863,6,27,61,51,16.1,10.6
1863,6,28,63,48,17.2,8.9
1863,6,29,64,49,17.8,9.4
1863,6,30,64,47,17.8,8.3
1863,7,1,63,54,17.2,12.2
1863,7,2,61,55,16.1,12.8
1863,7,3,70,54,21.1,12.2
1863,7,4,65,53,18.3,11.7
1863,7,5,65,54,18.3,12.2
1863,7,6,72,52,22.2,11.1
1863,7,7,71,56,21.7,13.3
1863,7,8,71,57,21.7,13.9
1863,7,9,75,50,23.9,10
1863,7,10,75,52,23.9,11.1
1863,7,11,81,56,27.2,13.3
1863,7,12,82,59,27.8,15
1863,7,13,71,49,21.7,9.4
1863,7,14,74,50,23.3,10
1863,7,15,75,57,23.9,13.9
1863,7,16,83,56,28.3,13.3
1863,7,17,74,49,23.3,9.4
1863,7,18,67,47,19.4,8.3
1863,7,19,63,51,17.2,10.6
1863,7,20,NA,49,NA,9.4
1863,7,21,NA,45,NA,7.2
1863,7,22,55,47,12.8,8.3
1863,7,23,69,51,20.6,10.6
1863,7,24,66,42,18.9,5.6
1863,7,25,65,56,18.3,13.3
1863,7,26,65,54,18.3,12.2
1863,7,27,72,49,22.2,9.4
1863,7,28,73,57,22.8,13.9
1863,7,29,74,52,23.3,11.1
1863,7,30,67,45,19.4,7.2
1863,7,31,68,50,20,10
1863,8,1,67,57,19.4,13.9
1863,8,2,66,57,18.9,13.9
1863,8,3,70,55,21.1,12.8
1863,8,4,70,52,21.1,11.1
1863,8,5,68,53,20,11.7
1863,8,6,68,58,20,14.4
1863,8,7,66,62,18.9,16.7
1863,8,8,72,63,22.2,17.2
1863,8,9,67,52,19.4,11.1
1863,8,10,72,55,22.2,12.8
1863,8,11,72,55,22.2,12.8
1863,8,12,67,55,19.4,12.8
1863,8,13,64,53,17.8,11.7
1863,8,14,68,52,20,11.1
1863,8,15,63,60,17.2,15.6
1863,8,16,70,55,21.1,12.8
1863,8,17,67,49,19.4,9.4
1863,8,18,62,51,16.7,10.6
1863,8,19,62,52,16.7,11.1
1863,8,20,62,49,16.7,9.4
1863,8,21,65,46,18.3,7.8
1863,8,22,65,56,18.3,13.3
1863,8,23,69,53,20.6,11.7
1863,8,24,69,49,20.6,9.4
1863,8,25,64,50,17.8,10
1863,8,26,61,46,16.1,7.8
1863,8,27,62,51,16.7,10.6
1863,8,28,66,50,18.9,10
1863,8,29,61,42,16.1,5.6
1863,8,30,63,47,17.2,8.3
1863,8,31,62,46,16.7,7.8
1863,9,1,61,41,16.1,5
1863,9,2,60,48,15.6,8.9
1863,9,3,61,47,16.1,8.3
1863,9,4,64,44,17.8,6.7
1863,9,5,62,47,16.7,8.3
1863,9,6,59,43,15,6.1
1863,9,7,58,48,14.4,8.9
1863,9,8,59,49,15,9.4
1863,9,9,56,47,13.3,8.3
1863,9,10,58,43,14.4,6.1
1863,9,11,60,45,15.6,7.2
1863,9,12,60,49,15.6,9.4
1863,9,13,58,48,14.4,8.9
1863,9,14,62,52,16.7,11.1
1863,9,15,58,50,14.4,10
1863,9,16,60,48,15.6,8.9
1863,9,17,57,46,13.9,7.8
1863,9,18,64,54,17.8,12.2
1863,9,19,59,53,15,11.7
1863,9,20,57,42,13.9,5.6
1863,9,21,54,45,12.2,7.2
1863,9,22,56,45,13.3,7.2
1863,9,23,56,44,13.3,6.7
1863,9,24,54,45,12.2,7.2
1863,9,25,53,38,11.7,3.3
1863,9,26,57,42,13.9,5.6
1863,9,27,55,47,12.8,8.3
1863,9,28,56,39,13.3,3.9
1863,9,29,55,42,12.8,5.6
1863,9,30,57,48,13.9,8.9
1863,10,1,55,50,12.8,10
1863,10,2,53,46,11.7,7.8
1863,10,3,57,53,13.9,11.7
1863,10,4,57,45,13.9,7.2
1863,10,5,55,42,12.8,5.6
1863,10,6,48,29,8.9,-1.7
1863,10,7,49,45,9.4,7.2
1863,10,8,53,50,11.7,10
1863,10,9,56,49,13.3,9.4
1863,10,10,55,47,12.8,8.3
1863,10,11,56,46,13.3,7.8
1863,10,12,53,45,11.7,7.2
1863,10,13,53,47,11.7,8.3
1863,10,14,56,51,13.3,10.6
1863,10,15,55,46,12.8,7.8
1863,10,16,57,43,13.9,6.1
1863,10,17,53,42,11.7,5.6
1863,10,18,56,51,13.3,10.6
1863,10,19,59,48,15,8.9
1863,10,20,50,41,10,5
1863,10,21,53,36,11.7,2.2
1863,10,22,55,48,12.8,8.9
1863,10,23,54,50,12.2,10
1863,10,24,56,48,13.3,8.9
1863,10,25,54,50,12.2,10
1863,10,26,54,47,12.2,8.3
1863,10,27,54,47,12.2,8.3
1863,10,28,50,42,10,5.6
1863,10,29,50,36,10,2.2
1863,10,30,49,37,9.4,2.8
1863,10,31,45,37,7.2,2.8
1863,11,1,46,38,7.8,3.3
1863,11,2,45,37,7.2,2.8
1863,11,3,49,36,9.4,2.2
1863,11,4,55,49,12.8,9.4
1863,11,5,56,45,13.3,7.2
1863,11,6,49,33,9.4,0.6
1863,11,7,52,42,11.1,5.6
1863,11,8,56,46,13.3,7.8
1863,11,9,48,35,8.9,1.7
1863,11,10,46,37,7.8,2.8
1863,11,11,45,37,7.2,2.8
1863,11,12,45,37,7.2,2.8
1863,11,13,49,38,9.4,3.3
1863,11,14,56,48,13.3,8.9
1863,11,15,56,48,13.3,8.9
1863,11,16,55,50,12.8,10
1863,11,17,53,50,11.7,10
1863,11,18,53,49,11.7,9.4
1863,11,19,52,49,11.1,9.4
1863,11,20,53,48,11.7,8.9
1863,11,21,54,48,12.2,8.9
1863,11,22,51,38,10.6,3.3
1863,11,23,49,42,9.4,5.6
1863,11,24,50,39,10,3.9
1863,11,25,53,48,11.7,8.9
1863,11,26,54,46,12.2,7.8
1863,11,27,55,50,12.8,10
1863,11,28,52,48,11.1,8.9
1863,11,29,50,46,10,7.8
1863,11,30,47,43,8.3,6.1
1863,12,1,51,44,10.6,6.7
1863,12,2,48,34,8.9,1.1
1863,12,3,48,29,8.9,-1.7
1863,12,4,41,33,5,0.6
1863,12,5,53,41,11.7,5
1863,12,6,53,36,11.7,2.2
1863,12,7,49,41,9.4,5
1863,12,8,51,47,10.6,8.3
1863,12,9,51,34,10.6,1.1
1863,12,10,43,39,6.1,3.9
1863,12,11,49,41,9.4,5
1863,12,12,50,48,10,8.9
1863,12,13,52,48,11.1,8.9
1863,12,14,52,47,11.1,8.3
1863,12,15,52,46,11.1,7.8
1863,12,16,50,39,10,3.9
1863,12,17,42,37,5.6,2.8
1863,12,18,45,30,7.2,-1.1
1863,12,19,45,31,7.2,-0.6
1863,12,20,45,42,7.2,5.6
1863,12,21,48,41,8.9,5
1863,12,22,49,41,9.4,5
1863,12,23,47,34,8.3,1.1
1863,12,24,48,42,8.9,5.6
1863,12,25,NA,NA,NA,NA
1863,12,26,NA,NA,NA,NA
1863,12,27,NA,NA,NA,NA
1863,12,28,NA,NA,NA,NA
1863,12,29,NA,NA,NA,NA
1863,12,30,NA,NA,NA,NA
1863,12,31,44,35,6.7,1.7
1864,1,1,44,39,6.7,3.9
1864,1,2,40,33,4.4,0.6
1864,1,3,39,36,3.9,2.2
1864,1,4,40,31,4.4,-0.6
1864,1,5,35,24,1.7,-4.4
1864,1,6,33,22,0.6,-5.6
1864,1,7,31,18,-0.6,-7.8
1864,1,8,30,20,-1.1,-6.7
1864,1,9,36,31,2.2,-0.6
1864,1,10,46,37,7.8,2.8
1864,1,11,42,31,5.6,-0.6
1864,1,12,47,33,8.3,0.6
1864,1,13,43,27,6.1,-2.8
1864,1,14,46,32,7.8,0
1864,1,15,46,39,7.8,3.9
1864,1,16,47,41,8.3,5
1864,1,17,49,40,9.4,4.4
1864,1,18,45,28,7.2,-2.2
1864,1,19,46,38,7.8,3.3
1864,1,20,48,36,8.9,2.2
1864,1,21,45,34,7.2,1.1
1864,1,22,50,44,10,6.7
1864,1,23,51,38,10.6,3.3
1864,1,24,39,31,3.9,-0.6
1864,1,25,46,34,7.8,1.1
1864,1,26,48,38,8.9,3.3
1864,1,27,50,42,10,5.6
1864,1,28,51,39,10.6,3.9
1864,1,29,47,39,8.3,3.9
1864,1,30,48,43,8.9,6.1
1864,1,31,50,42,10,5.6
1864,2,1,51,44,10.6,6.7
1864,2,2,51,39,10.6,3.9
1864,2,3,49,38,9.4,3.3
1864,2,4,42,33,5.6,0.6
1864,2,5,41,30,5,-1.1
1864,2,6,37,29,2.8,-1.7
1864,2,7,38,30,3.3,-1.1
1864,2,8,36,25,2.2,-3.9
1864,2,9,36,28,2.2,-2.2
1864,2,10,40,35,4.4,1.7
1864,2,11,40,27,4.4,-2.8
1864,2,12,47,31,8.3,-0.6
