year reset dt,year reset,year,temp c,anom c,modern anom c,modern temp c,temp c resample 1000Y
0,0,-819888,-61.74999999999997,,,,
1069,1069,-818819,-61.74999999999997,,,,
2138,2138,-817750,-61.84999999999997,,,,
3207,3207,-816681,-61.94999999999999,,,,
4276,4276,-815612,-62.14999999999998,,,,
5345,5345,-814543,-62.24999999999997,,,,
6414,6414,-813474,-61.94999999999999,,,,
7483,7483,-812405,-61.94999999999999,,,,
8552,8552,-811336,-62.04999999999998,,,,
9621,9621,-810267,-62.14999999999998,,,,
10690,10690,-809198,-62.24999999999997,,,,
11759,11759,-808129,-62.64999999999998,,,,
12828,12828,-807060,-62.84999999999997,,,,
13897,13897,-805991,-62.44999999999999,,,,
14966,14966,-804922,-63.44999999999999,,,,
16035,16035,-803853,-63.84999999999997,,,,
17104,17104,-802784,-63.44999999999999,,,,
18153,18153,-801735,-63.54999999999998,,,,
19201,19201,-800687,-63.14999999999998,,,,
20176,20176,-799712,,-8.82,,,
20250,20250,-799638,-63.54999999999998,,,,
21249,21249,-798639,,-8.92,,,
21294,21294,-798594,-63.54999999999998,,,,
22337,22337,-797551,-63.54999999999998,-8.88,,,
23381,23381,-796507,-63.24999999999997,,,,
23395,23395,-796493,,-8.54,,,
24287,24287,-795601,-62.94999999999999,,,,
24430,24430,-795458,,-8.73,,,
25194,25194,-794694,-62.04999999999998,,,,
25389,25389,-794499,,-8.53,,,
26100,26100,-793788,-61.24999999999997,,,,
26282,26282,-793606,,-8.23,,,
26874,26874,-793014,-60.64999999999998,,,,
27130,27130,-792758,,-7.33,,,
27647,27647,-792241,-60.44999999999999,,,,
27962,27962,-791926,,-6.51,,,
28421,28421,-791467,-59.94999999999999,,,,
28759,28759,-791129,,-5.91,,,
29088,29088,-790800,-59.14999999999998,,,,
29507,29507,-790381,,-5.61,,,
29755,29755,-790133,-58.64999999999998,,,,
30220,30220,-789668,,-5.05,,,
30422,30422,-789466,-58.04999999999998,,,,
30901,30901,-788987,,-4.27,,,
31014,31014,-788874,-57.64999999999998,,,,
31556,31556,-788332,,-3.7,,,
31607,31607,-788281,-57.44999999999999,,,,
32199,32199,-787689,-56.84999999999997,,,,
32203,32203,-787685,,-3.09,,,
32725,32725,-787163,-56.14999999999998,,,,
32819,32819,-787069,,-2.59,,,
33252,33252,-786636,-55.74999999999997,,,,
33396,33396,-786492,,-2.37,,,
33778,33778,-786110,-56.24999999999997,,,,
33953,33953,-785935,,-1.75,,,
34332,34332,-785556,-56.34999999999997,,,,
34540,34540,-785348,,-0.54,,,
34886,34886,-785002,-56.44999999999999,,,,
35132,35132,-784756,,-0.63,,,
35440,35440,-784448,-57.04999999999998,,,,
35733,35733,-784155,,-1.04,,,
36028,36028,-783860,-57.14999999999998,,,,
36368,36368,-783520,,-1.05,,,
36616,36616,-783272,-57.44999999999999,,,,
37008,37008,-782880,,-1.15,,,
37204,37204,-782684,-57.24999999999997,,,,
37665,37665,-782223,,-1.71,,,
37812,37812,-782076,-57.64999999999998,,,,
38310,38310,-781578,,-1.7,,,
38421,38421,-781467,-57.84999999999997,,,,
38982,38982,-780906,,-2.04,,,
39029,39029,-780859,-57.64999999999998,,,,
39628,39628,-780260,-57.54999999999998,,,,
39658,39658,-780230,,-1.84,,,
40226,40226,-779662,-57.64999999999998,,,,
40319,40319,-779569,,-2.28,,,
40825,40825,-779063,-57.74999999999997,,,,
40975,40975,-778913,,-2.37,,,
41441,41441,-778447,-58.14999999999998,,,,
41629,41629,-778259,,-2.17,,,
42056,42056,-777832,-58.14999999999998,,,,
42289,42289,-777599,,-2.13,,,
42672,42672,-777216,-58.14999999999998,,,,
42965,42965,-776923,,-2.17,,,
43321,43321,-776567,-58.34999999999997,,,,
43637,43637,-776251,,-2.34,,,
43970,43970,-775918,-58.94999999999999,,,,
44302,44302,-775586,,-2.67,,,
44619,44619,-775269,-59.24999999999997,,,,
44977,44977,-774911,,-2.7,,,
45319,45319,-774569,-59.74999999999997,,,,
45679,45679,-774209,,-2.69,,,
46019,46019,-773869,-59.94999999999999,,,,
46396,46396,-773492,,-2.96,,,
46719,46719,-773169,-59.64999999999998,,,,
47135,47135,-772753,,-3.47,,,
47373,47373,-772515,-59.34999999999997,,,,
47881,47881,-772007,,-3.82,,,
48028,48028,-771860,-58.84999999999997,,,,
48599,48599,-771289,,-4.13,,,
48682,48682,-771206,-59.14999999999998,,,,
49285,49285,-770603,,-4.52,,,
49439,49439,-770449,-59.84999999999997,,,,
49931,49931,-769957,,-4.32,,,
50197,50197,-769691,-60.54999999999998,,,,
50589,50589,-769299,,-3.93,,,
50954,50954,-768934,-61.14999999999998,,,,
51279,51279,-768609,,-3.8,,,
51732,51732,-768156,-61.54999999999998,,,,
52007,52007,-767881,,-3.84,,,
52509,52509,-767379,-61.24999999999997,,,,
52766,52766,-767122,,-4.54,,,
53287,53287,-766601,-60.44999999999999,,,,
53539,53539,-766349,,-5.33,,,
53957,53957,-765931,-60.04999999999998,,,,
54280,54280,-765608,,-6.0,,,
54627,54627,-765261,-59.64999999999998,,,,
54958,54958,-764930,,-6.4,,,
55297,55297,-764591,-59.84999999999997,,,,
55600,55600,-764288,,-6.22,,,
56018,56018,-763870,-60.14999999999998,,,,
56210,56210,-763678,,-5.56,,,
56738,56738,-763150,-60.74999999999997,,,,
56822,56822,-763066,,-5.1,,,
57439,57439,-762449,,-4.76,,,
57459,57459,-762429,-61.54999999999998,,,,
58077,58077,-761811,,-4.72,,,
58253,58253,-761635,-61.94999999999999,,,,
58755,58755,-761133,,-5.16,,,
59048,59048,-760840,-62.14999999999998,,,,
59451,59451,-760437,,-5.78,,,
59842,59842,-760046,-61.94999999999999,,,,
60146,60146,-759742,,-6.72,,,
60517,60517,-759371,-61.04999999999998,,,,
60816,60816,-759072,,-7.33,,,
61192,61192,-758696,-60.84999999999997,,,,
61421,61421,-758467,,-7.27,,,
61867,61867,-758021,-60.54999999999998,,,,
62000,62000,-757888,,-7.12,,,
62462,62462,-757426,-60.24999999999997,,,,
62556,62556,-757332,,-6.43,,,
63057,63057,-756831,-59.74999999999997,,,,
63081,63081,-756807,,-6.07,,,
63573,63573,-756315,,-5.77,,,
63652,63652,-756236,-60.24999999999997,,,,
64080,64080,-755808,,-5.3,,,
64323,64323,-755565,-61.14999999999998,,,,
64618,64618,-755270,,-5.09,,,
64995,64995,-754893,-62.04999999999998,,,,
65195,65195,-754693,,-5.5,,,
65666,65666,-754222,-62.34999999999997,,,,
65778,65778,-754110,,-6.25,,,
66363,66363,-753525,,-7.22,,,
66385,66385,-753503,-62.54999999999998,,,,
66952,66952,-752936,,-7.54,,,
67103,67103,-752785,-62.84999999999997,,,,
67538,67538,-752350,,-7.79,,,
67822,67822,-752066,-63.04999999999998,,,,
68122,68122,-751766,,-7.97,,,
68542,68542,-751346,-63.14999999999998,,,,
68699,68699,-751189,,-8.24,,,
69262,69262,-750626,-63.14999999999998,,,,
69277,69277,-750611,,-8.37,,,
69848,69848,-750040,,-8.42,,,
69982,69982,-749906,-63.24999999999997,,,,
70410,70410,-749478,,-8.59,,,
70664,70664,-749224,-63.24999999999997,,,,
70960,70960,-748928,,-8.58,,,
71346,71346,-748542,-63.14999999999998,,,,
71516,71516,-748372,,-8.5,,,
72028,72028,-747860,-63.04999999999998,,,,
72072,72072,-747816,,-8.32,,,
72635,72635,-747253,,-8.44,,,
72693,72693,-747195,-63.14999999999998,,,,
73196,73196,-746692,,-8.6,,,
73357,73357,-746531,-63.14999999999998,,,,
73747,73747,-746141,,-8.69,,,
74022,74022,-745866,-63.34999999999997,,,,
74318,74318,-745570,,-8.63,,,
74682,74682,-745206,-63.24999999999997,,,,
74891,74891,-744997,,-8.62,,,
75341,75341,-744547,-62.94999999999999,,,,
75463,75463,-744425,,-8.56,,,
76001,76001,-743887,-63.34999999999997,,,,
76056,76056,-743832,,-8.56,,,
76666,76666,-743222,-63.24999999999997,,,,
76667,76667,-743221,,-8.41,,,
77293,77293,-742595,,-8.67,,,
77331,77331,-742557,-63.14999999999998,,,,
77904,77904,-741984,,-8.84,,,
77996,77996,-741892,-63.44999999999999,,,,
78513,78513,-741375,,-8.95,,,
78685,78685,-741203,-63.64999999999998,,,,
79131,79131,-740757,,-8.6,,,
79375,79375,-740513,-63.74999999999997,,,,
79752,79752,-740136,,-8.47,,,
80064,80064,-739824,-63.34999999999997,,,,
80373,80373,-739515,,-8.25,,,
80744,80744,-739144,-63.14999999999998,,,,
80971,80971,-738917,,-8.24,,,
81425,81425,-738463,-63.24999999999997,,,,
81544,81544,-738344,,-8.08,,,
82060,82060,-737828,,-7.16,,,
82105,82105,-737783,-63.14999999999998,,,,
82561,82561,-737327,,-6.27,,,
82765,82765,-737123,-63.04999999999998,,,,
83039,83039,-736849,,-5.62,,,
83424,83424,-736464,-62.44999999999999,,,,
83544,83544,-736344,,-5.38,,,
84029,84029,-735859,,-4.76,,,
84084,84084,-735804,-61.94999999999999,,,,
84484,84484,-735404,,-4.52,,,
84632,84632,-735256,-60.64999999999998,,,,
85001,85001,-734887,,-4.47,,,
