year reset,temp cffill mod,anom c mod,co2 mean,ch4 mean,irtemp mean,irrain mean
0.0,-61.74999999999997,,,,,
999.0,-61.74999999999997,,,,,
1069.0,-61.74999999999997,,,,,
1999.0,-61.74999999999997,,,,,
2138.0,-61.849999999999966,,,,,
2999.0,-61.849999999999966,,,,,
3207.0,-61.94999999999999,,,,,
3999.0,-61.94999999999999,,,,,
4276.0,-62.14999999999998,,,,,
4999.0,-62.14999999999998,,,,,
5345.0,-62.24999999999997,,,,,
5999.0,-62.24999999999997,,,,,
6414.0,-61.94999999999999,,,,,
6999.0,-61.94999999999999,,,,,
7483.0,-61.94999999999999,,,,,
7999.0,-61.94999999999999,,,,,
8552.0,-62.04999999999998,,,,,
8999.0,-62.04999999999998,,,,,
9621.0,-62.14999999999998,,,,,
9999.0,-62.14999999999998,,,,,
10690.0,-62.24999999999997,,,,,
10999.0,-62.24999999999997,,,,,
11759.0,-62.64999999999998,,,,,
11999.0,-62.64999999999998,,,,,
12828.0,-62.849999999999966,,,,,
12999.0,-62.849999999999966,,,,,
13897.0,-62.44999999999999,,,,,
13999.0,-62.44999999999999,,,,,
14966.0,-63.44999999999999,,,,,
14999.0,-63.44999999999999,,,,,
15999.0,-63.44999999999999,,,,,
16035.0,-63.849999999999966,,,,,
16169.130000000005,,,207.29,,,
16705.560000000056,,,202.23,,,
16999.0,-63.849999999999966,,,,,
17104.0,-63.44999999999999,,,,,
17315.329999999958,,,204.86,,,
17828.130000000005,,,207.5,,,
17912.719999999972,,,202.92,,,
17999.0,-63.44999999999999,,,,,
18128.75,,,202.65,,,
18153.0,-63.54999999999998,,,,,
18965.910000000036,,,198.66,,,
18999.0,-63.54999999999998,,,,,
19201.0,-63.14999999999998,,,,,
19999.0,-63.14999999999998,,,,,
20176.0,-63.14999999999998,-8.82,,,,
20250.0,-63.54999999999998,,,,,
20601.939999999944,,,198.68,,,
20999.0,-63.54999999999998,,,,,
21249.0,-63.54999999999998,-8.92,,,,
21294.0,-63.54999999999998,,,,,
21999.0,-63.54999999999998,,,,,
22337.0,-63.54999999999998,-8.88,,,,
22442.0,,,,399.0,,
22999.0,-63.54999999999998,,,,,
23156.699999999957,,,200.49,,,
23326.0,,,191.0,,,
23381.0,-63.24999999999997,,,,,
23395.0,-63.24999999999997,-8.54,,,,
23421.0,,,,458.0,,
23999.0,-63.24999999999997,,,,,
24287.0,-62.94999999999999,,,,,
24430.0,-62.94999999999999,-8.73,,,,
24459.18000000005,,,197.91,,,
24561.0,,,,396.0,,
24739.0,,,188.4,,,
24985.410000000036,,,198.79,,,
24999.0,-62.94999999999999,,,,,
25194.0,-62.04999999999998,,,,,
25371.0,,,189.3,,,
25389.0,-62.04999999999998,-8.53,,,,
25518.0,,,,418.0,,
25999.0,-62.04999999999998,,,,,
26100.0,-61.24999999999997,,,,,
26150.68000000005,,,204.62,,,
26282.0,-61.24999999999997,-8.23,,,,
26636.0,,,195.2,,,
26715.550000000047,,,208.79,,,
26874.0,-60.64999999999998,,,,,
26900.0,,,,428.0,,
26999.0,-60.64999999999998,,,,,
27130.0,-60.64999999999998,-7.33,,,,
27230.0,,,199.4,,,
27438.0,,,,420.0,,
27647.0,-60.44999999999999,,,,,
27962.0,-60.44999999999999,-6.51,,,,
27985.23999999999,,,218.39,,,
27999.0,-60.44999999999999,,,,,
28242.0,,,,451.0,,
28318.609999999982,,,213.36,,,
28421.0,-59.94999999999999,,,,,
28578.0,,,209.0,,,
28759.0,-59.94999999999999,-5.91,,,,
28895.0,,,204.0,,,
28999.0,-59.94999999999999,,,,,
29011.0,,,,470.0,,
29088.0,-59.14999999999998,,,,,
29220.699999999957,,,214.45,,,
29507.0,-59.14999999999998,-5.61,,,,
29755.0,-58.64999999999998,,,,,
29757.0,,,205.1,,,
29807.21999999997,,,224.69,,,
29843.0,,,,466.0,,
29999.0,-58.64999999999998,,,,,
30220.0,-58.64999999999998,-5.05,,,,
30347.0,,,215.4,,,
30422.0,-58.04999999999998,,,,,
30461.0,,,,503.0,,
30781.119999999995,,,230.55,,,
30901.0,-58.04999999999998,-4.27,,,,
30999.0,-58.04999999999998,,,,,
31014.0,-57.64999999999998,,,,,
31148.0,,,,483.0,,
31198.589999999967,,,227.38,,,
31300.0,,,221.3,,,
31556.0,-57.64999999999998,-3.7,,,,
